AR596	وقاحة (noun)
AR1745	رغبة (noun)
AR1002	الحشد (noun)
AR731	عامة (noun)
AR610	غرور (noun)
AR310	الكلب (noun)
AR454	متخلف (noun)
AR917	نصاب (noun)
AR623	الأفاق (noun)
AR744	صينية (noun)
AR2196	أسود، (noun)
AR1825	حمام (noun)
AR528	بقره (noun)
AR593	الأنانية (noun)
AR1292	أهل (noun)
AR2139	اجتماعية (noun)
AR2150	سارق (noun)
AR1224	المجرمين (noun)
AR2561	دماء (noun)
AR238	بخيل (noun)
AR365	أنيق (noun)
AR557	أعمال (noun)
AR2000	الفقراء (noun)
AR1675	ذوي الاحتياجات الخاصة (noun)
AR1757	قاتل (noun)
AR1028	اعدام (noun)
AR556	رجال الأعمال (noun)
AR594	أنانية (noun)
AR1148	ألية (noun)
AR856	اللعنة (noun)
AR517	مملة (noun)
AR393	كذاب (noun)
AR845	زحمة (noun)
AR1977	حفلة (noun)
AR2755	العنف (noun)
AR5	الكسل (noun)
AR2337	مات (verb)
AR162	وحش (noun)
AR1671	الإعاقة (noun)
AR385	بدوي (noun)
AR38	وكيل (noun)
AR1322	الفلاح (noun)
AR878	جسدي (noun)
AR2670	إرهاب (noun)
AR1527	نهب (noun)
AR358	باطل (noun)
AR1539	شرموطه (noun)
AR803	مشكلة (noun)
AR1691	عدم (noun)
AR1699	جهل (noun)
AR293	نصير (noun)
AR822	استاذ (noun)
AR2683	تعذيب (noun)
AR2193	عاشق (noun)
AR1123	نفاق (noun)
AR1012	فرج (noun)
AR323	منع (noun)
AR2258	بشاعة (noun)
AR1639	تكبر (noun)
AR2503	اللصوص (noun)
AR373	انقلاب (noun)
AR1112	التربة (noun)
AR2123	راعي (noun)
AR826	الأستاذ (noun)
AR2175	بلاك (noun)
AR1286	عائلة (noun)
AR36	عامل (noun)
AR359	كذب (noun)
AR379	بدو (noun)
AR2110	بلادة (noun)
AR1872	فراشة (noun)
AR1710	المعلمة (noun)
AR2752	البلاط (noun)
AR21	قهر (noun)
AR432	واش (noun)
AR1581	يهودية (noun)
AR171	الحیوانات (noun)
AR1751	مؤسف (adjective)
AR30	قسوة (noun)
AR765	كاتب (noun)
AR288	دعاة (noun)
AR331	مارك (noun)
AR2001	فقير (noun)
AR1792	الحسد (noun)
AR2659	فخور (adjective)
AR2465	بني (adjective)
AR160	الحيوانات (noun)
AR2466	أسمر (adjective)
AR1409	الغضب (noun)
AR220	الحمير (noun)
AR111	خروج (noun)
AR93	نكتة (noun)
AR2629	فقير (adjective)
AR698	تأخير (noun)
AR390	أكذوبة (noun)
AR300	المحامى (noun)
AR2788	بَقَرَة (noun)
AR2356	تزين (verb)
AR658	سجين (noun)
AR1976	حفل (noun)
AR10	سلبيه (noun)
AR135	قوة (noun)
AR1659	المشركين (noun)
AR544	بني (noun)
AR2665	الإرهاب (noun)
AR1684	فقراء (noun)
AR2222	إرهابية (noun)
AR1638	كبرياء (noun)
AR823	كرسي (noun)
AR2575	صراصير (noun)
AR304	lawyer (noun)
AR2460	أسود (adjective)
AR1220	مستخدم (noun)
AR2367	اعرف كل (noun)
AR40	العلمية (noun)
AR911	الجبن (noun)
AR2022	بقايا (noun)
AR299	المحامي (noun)
AR107	نمو (noun)
AR1596	اليهودي (noun)
AR1709	مدرسة (noun)
AR429	القصاص (noun)
AR2475	دفاع (noun)
AR653	شلة (noun)
AR2373	غضب (verb)
AR1016	الخيار (noun)
AR1025	خِيَار (noun)
AR1706	الفخامة (noun)
AR1183	شره (noun)
AR2431	تسرق (noun)
AR476	الديوث (noun)
AR802	مشكل (noun)
AR177	إغتصاب (noun)
AR2469	صيني (adjective)
AR419	مجرم (noun)
AR1034	أستاذة (noun)
AR2508	الآسر (noun)
AR278	شراء شركات (noun)
AR570	فتى (noun)
AR1265	خطيئة (noun)
AR1978	الحزب (noun)
AR1196	طن (noun)
AR467	الإبتزاز (noun)
AR2774	كافر (noun)
AR2713	طائر (noun)
AR2634	بشع (adjective)
AR1682	الفقر (noun)
AR1795	سخط (noun)
AR1159	أليه (noun)
AR2037	صرف (noun)
AR1415	عبث (noun)
AR2684	التعذيب (noun)
AR2677	الارهاب (noun)
AR614	طور (noun)
AR1713	المعلم (noun)
AR1586	يهوديه (noun)
AR2450	الرضيع (noun)
AR1157	القمي (noun)
AR1267	شر (noun)
AR2628	الفقراء (adjective)
AR1594	إسرائيلي (noun)
AR381	بدوية (noun)
AR1487	واقع (verb)
AR1039	الغدر (noun)
AR619	وكان وكان (noun)
AR438	اسود (noun)
AR478	خبيث (noun)
AR2226	إرهابِي (noun)
AR1270	سوء (noun)
AR1724	فساد (noun)
AR2489	لِفْت (noun)
AR1355	تزوير (noun)
AR1038	سيدتي (noun)
AR1046	غش (noun)
AR1464	المشاهد (noun)
AR190	بصيرة (noun)
AR654	لجنة (noun)
AR2488	لفت (noun)
AR283	متاجر (noun)
AR648	فم (noun)
AR2567	أتباع (noun)
AR1122	المنافقين (noun)
AR281	متجر (noun)
AR1524	سلب (noun)
AR946	حنين (noun)
AR1369	احمق (noun)
AR2688	عذب (verb)
AR526	البقر (noun)
AR963	البوم (noun)
AR152	حيوانات (noun)
AR2006	فخر (noun)
AR1404	ثورة (noun)
AR1120	المنافق (noun)
AR894	خنيث (noun)
AR1089	الجريمة (noun)
AR590	انانية (noun)
AR1333	شمر (noun)
AR2627	السياسية (adjective)
AR1248	والأخلاق (noun)
AR2195	بيضاء، (noun)
AR398	غبي (adjective)
AR2766	موظفة (noun)
AR1029	رفض (noun)
AR1766	حشرات (noun)
AR301	مُحامي (noun)
AR2573	الصراصير (noun)
AR1126	منافق (noun)
AR939	البق (noun)
AR2011	داع (noun)
AR2225	الإرهابي (noun)
AR156	الحيوان (noun)
AR2370	أصلح (verb)
AR513	مللّ (noun)
AR1269	إسآءة (noun)
AR2340	خرج (verb)
AR1245	اللياقة (noun)
AR395	مندوب (noun)
AR2615	سخيف (adjective)
AR2334	هلك (verb)
AR1204	عشرات (noun)
AR1752	حزين (adjective)
AR2616	أحمق (adjective)
AR1095	الجرائم (noun)
AR11	سلبية (noun)
AR1654	منظر (noun)
AR125	أمي (noun)
AR858	فك (noun)
AR410	مجموعة (noun)
AR109	ظهور (noun)
AR2189	السود (noun)
AR1673	تعطيل (noun)
AR2717	طيور (noun)
AR1197	الكثير (noun)
AR399	عِناد (noun)
AR1486	جامع (verb)
AR1898	جانٍ‎ (noun)
AR2756	غصب (noun)
AR1526	غنيمة (noun)
AR916	الدجال (noun)
AR468	الابتزاز (noun)
AR2715	الطائر (noun)
AR2470	الصينية (adjective)
AR2357	تجمل (verb)
AR2745	الفساد (noun)
AR536	مدير (noun)
AR1088	جريمة (noun)
AR2315	خرب (verb)
AR754	نسب (noun)
AR885	مراسل (noun)
AR969	طاقم (noun)
AR907	ثرثرة (noun)
AR1749	الكذب (noun)
AR2626	سياسي (adjective)
AR1250	اخلاق (noun)
AR2452	مولود (noun)
AR1137	عجز (noun)
AR1522	حرامي (noun)
AR725	الوقاحة (noun)
AR1119	كاذب (noun)
AR1605	اليهود (noun)
AR2484	مراقب (noun)
AR280	بائع (noun)
AR2082	صغر (noun)
AR1791	تآمر (verb)
AR121	التعصب (noun)
AR2714	طير (noun)
AR1743	شهوة (noun)
AR1285	فصيلة (noun)
AR694	أغبياء (noun)
AR22	إساءة (noun)
AR95	حيلة (noun)
AR1013	كس (noun)
AR2675	الإرهابيين (noun)
AR153	حيوان (noun)
AR2237	قتل (noun)
AR1264	الشر (noun)
AR2262	نحس (noun)
AR1405	غَضَب (noun)
AR2007	الفخر (noun)
AR1609	الجماهير (noun)
AR1401	جنون (noun)
AR1268	إثم (noun)
AR832	معلم (noun)
AR236	البخيل (noun)
AR512	خبث (noun)
AR779	معزة (noun)
AR422	حظر (noun)
AR1521	سرقة (noun)
AR2464	سمر (adjective)
AR173	مخلوق (noun)
AR2205	تقنية (noun)
AR1378	كريه (noun)
AR734	كلب (noun)
AR1406	غضبه (noun)
AR2244	القاتل (noun)
AR1728	السيدة (noun)
AR660	معتقل (noun)
AR2492	إختطاف (noun)
AR282	تاجر (noun)
AR2141	اجتماعي (noun)
AR1637	تكّبر (noun)
AR440	أسود (noun)
AR613	حجم (noun)
AR2473	تأييد (noun)
AR895	طرفة عين (noun)
AR474	ديوث (noun)
AR14	سلبي (noun)
AR2339	رحل (verb)
AR197	أحمق (noun)
AR376	هرج (noun)
