BG579	лошо (adjective)
BG2422	романи (noun)
BG212	ташак (noun)
BG252	защитник (noun)
BG1482	необразован (adjective)
BG680	Кози (noun)
BG728	професори (noun)
BG165	не знам нищо (noun)
BG1201	шут (noun)
BG2319	мъка (noun)
BG1430	момиче (noun)
BG547	суета (noun)
BG709	пречка (noun)
BG2193	жаба (noun)
BG670	род (noun)
BG616	банален (noun)
BG763	шибан (noun)
BG903	съгласие (noun)
BG589	затворници (noun)
BG2371	Конспиративни теории (noun)
BG1730	зъл (adjective)
BG580	паст (noun)
BG1739	беден (noun)
BG2282	насилник (noun)
BG279	будала (noun)
BG380	черно (noun)
BG381	Черно (noun)
BG1926	детектив (noun)
BG1384	Евреите (noun)
BG2257	беден (adjective)
BG1921	Убийство (noun)
BG377	зло (noun)
BG2424	Барака (noun)
BG411	копеле (noun)
BG1066	изобилие (noun)
BG767	зайци (noun)
BG970	Престъпленията (noun)
BG1550	насекоми (noun)
BG95	дреболии (noun)
BG476	крава (noun)
BG480	Теле (noun)
BG2009	картофи (noun)
BG2069	страна работа (noun)
BG1708	Паразити (noun)
BG1551	Насекоми (noun)
BG489	шеф (noun)
BG1885	бяла (noun)
BG364	козел (noun)
BG1119	грешница (noun)
BG1247	фашизма (noun)
BG2162	различни (adjective)
BG2125	защита (noun)
BG1291	не сметка (noun)
BG2359	измами (noun)
BG924	отхвърли (noun)
BG744	тълпа (noun)
BG70	инат (adjective)
BG1756	Плъх (noun)
BG2099	новородени (noun)
BG1533	нещастни (adjective)
BG1112	морал (noun)
BG30	злоупотреба (noun)
BG2100	бебе (noun)
BG2084	банален (adjective)
BG1871	черен (noun)
BG2367	Конспиративна теория (noun)
BG1698	селяндур (noun)
BG1024	гъз (noun)
BG1018	задната (noun)
BG1997	почивам (verb)
BG167	Магаре (noun)
BG1707	Паразит (noun)
BG868	екипаж (noun)
BG904	момче (noun)
BG1715	папагали (noun)
BG1385	евреин (noun)
BG540	българка (noun)
BG1390	Стадо (noun)
BG1474	бездействие (noun)
BG741	зеле (noun)
BG2423	Ромски (noun)
BG930	мадам (noun)
BG782	финансите (noun)
BG1123	нещастник (noun)
BG568	тълпата (noun)
BG2266	грозен (adjective)
BG1971	смешник (noun)
BG2062	ядосан (adjective)
BG2093	пилета (noun)
BG2171	мръсен (adjective)
BG1322	крадци (noun)
BG1669	полицаи (noun)
BG2300	Терорист (noun)
BG1193	каша (noun)
BG976	престъпления (noun)
BG1672	мафия (noun)
BG1827	пастир (noun)
BG200	бардак (noun)
BG2236	чакал (noun)
BG605	казино (noun)
BG127	видове (noun)
BG1582	гняв (noun)
BG1238	гангстер (noun)
BG1245	Фашист (noun)
BG635	обида (noun)
BG285	лапа (noun)
BG1616	тоалетна (noun)
BG1614	тоалетната (noun)
BG1611	тоалетните (noun)
BG2416	ром (noun)
BG50	академик (noun)
BG311	фалш (noun)
BG677	чиновник (noun)
BG2033	слух (noun)
BG467	крави (noun)
BG1973	червей (noun)
BG1337	проститутки (noun)
BG2074	плагиатство (noun)
BG2248	глупаво (adjective)
BG2349	птичка (noun)
BG1303	незаконен (adjective)
BG2116	горделив (adjective)
BG1330	паразит (noun)
BG2267	противен (adjective)
BG7	мързел (noun)
BG1923	убийството (noun)
BG1198	стадо (noun)
