CA925	problema (noun)
CA1941	farsant (noun)
CA2695	defensa (noun)
CA1079	despropòsit (noun)
CA2764	diferents (adjective)
CA61	estupidesa (noun)
CA462	història (noun)
CA2397	assassinats (noun)
CA2417	cec (noun)
CA1267	fals (noun)
CA1919	mestre (noun)
CA1720	robar (noun)
CA1776	hebreu (noun)
CA2407	mort (noun)
CA1937	impostor (noun)
CA2398	assassinar (noun)
CA1662	extrema dreta (noun)
CA878	administratiu (noun)
CA2005	ira (noun)
CA476	infantil (adjective)
CA1949	falsa (noun)
CA1711	robatori (noun)
CA1887	pobres (noun)
CA1488	fatxa (noun)
CA2409	matant (noun)
CA1864	discapacitat (noun)
CA2782	fals (adjective)
CA210	estúpid (adjective)
CA766	presoner (noun)
CA712	massa (noun)
CA2239	retòrica (noun)
CA479	fanàtic (noun)
CA1785	poble (noun)
CA381	excepte (noun)
CA2667	bèstia (adjective)
CA385	vetat (noun)
CA952	professors (noun)
CA2064	servei (noun)
CA2172	parròquia (noun)
CA1234	delictes (noun)
CA44	acadèmia (noun)
CA2552	pintar (verb)
CA1024	semblant (noun)
CA15	indiferència (noun)
CA2406	matar (noun)
CA1138	compliment (noun)
CA1846	tancat (adjective)
CA48	professora (noun)
CA1087	marta (noun)
CA1746	els que no tenen (noun)
CA1988	artesà (noun)
CA2741	segrestar (noun)
CA419	dona de la vida (noun)
CA2130	cosa nostra (noun)
CA1146	fill (noun)
CA5	mandra (noun)
CA1383	empleat (noun)
CA120	barreja (noun)
CA2650	gallina (noun)
CA2927	bajanades (noun)
CA1418	moral (noun)
CA3046	bruixa (noun)
CA2959	terrorisme (noun)
CA275	miserable (noun)
CA2425	usual (adjective)
CA2222	autoestima (noun)
CA333	barbaritat (noun)
CA1221	sabata (noun)
CA1644	mediador (noun)
CA1343	moltes (noun)
CA2971	tortures (noun)
CA1995	membre (noun)
CA2126	guàrdia (noun)
CA1139	nen (noun)
CA1102	equip (noun)
CA1917	monitor (noun)
CA2514	papa (noun)
CA115	broma (noun)
CA936	nyap (noun)
CA340	defensors (noun)
CA1010	homosexual (noun)
CA230	ruc (noun)
CA329	desitjós (adjective)
CA529	negre (noun)
CA474	imbècil (adjective)
CA1034	xerrar (verb)
CA1378	il·legal (noun)
CA1688	sus (noun)
CA2916	subnormal (adjective)
CA1461	divulgació (noun)
CA2704	fresca (noun)
CA350	ministre (noun)
CA2681	incòmode (adjective)
CA468	mentider (noun)
CA1183	frau (noun)
CA2069	comuna (noun)
CA1717	estafa (noun)
CA1870	desactivar (noun)
CA2658	infantil (noun)
CA1784	gent (noun)
CA649	cap (noun)
CA403	innocent (noun)
CA711	mola (noun)
CA430	carrer (noun)
CA1981	prevaricació (noun)
CA1000	periodista (noun)
CA810	cony (noun)
CA2753	robat (noun)
CA1548	maçó (noun)
CA767	pres (noun)
CA2281	ovelles (noun)
CA2290	pastor (noun)
CA2190	maldat (noun)
CA2751	robatoris (noun)
CA1412	propietat (noun)
CA1443	trist (adjective)
CA1786	masses (noun)
CA1208	innocent (adjective)
CA2767	llepaculs (noun)
CA1348	desenes (noun)
CA198	got (noun)
CA2353	llatí (noun)
CA2379	oques (noun)
CA685	classe mitjana (noun)
CA2	degradació (noun)
CA1049	rebuig (noun)
CA1342	pila (noun)
