EN4735	bird (noun)
EN6483	melon (noun)
EN7324	🐸 (noun)
EN534	dumbass (noun)
EN6078	nigga (noun)
EN2751	breeding (noun)
EN2349	fuckin' (noun)
EN4615	masses (noun)
EN3594	decent (noun)
EN5738	poor (noun)
EN1407	wolf (noun)
EN7099	chinese (adjective)
EN5733	planet (noun)
EN5182	envy (noun)
EN1854	house (noun)
EN2197	peter (noun)
EN1098	set (noun)
EN7875	🐦 (noun)
EN339	trash (noun)
EN4268	sleep with (verb)
EN4700	clown (noun)
EN1450	bored (noun)
EN4916	ignorant (adjective)
EN7353	sneak (verb)
EN873	victim (noun)
EN762	traders (noun)
EN413	beast (noun)
EN4614	people (noun)
EN7417	hot (adjective)
EN7470	jewish (adjective)
EN1934	bitch (noun)
EN2137	se (noun)
EN1587	conservative (adjective)
EN3757	mac (noun)
EN5111	mouth (noun)
EN5625	yahoo (noun)
EN3905	false (adjective)
EN58	abusive (noun)
EN6512	listen in (verb)
EN1793	camp (noun)
EN5753	pumpkin (noun)
EN2264	professor (noun)
EN1688	mass (noun)
EN2356	wtf (noun)
EN4782	disabled (noun)
EN4076	fascism (noun)
EN7406	hard (adjective)
EN3792	farmers (noun)
EN7102	common (adjective)
EN1097	circle (noun)
EN7703	terrorism (noun)
EN3903	fold (noun)
EN2096	chinese (noun)
EN2205	problem (noun)
EN1642	middle class (noun)
EN6379	teasing (noun)
EN4981	fraud (noun)
EN4913	ignorance (noun)
EN6820	patch (verb)
EN5474	cop (noun)
EN439	violation (noun)
EN2732	cross (noun)
EN5750	pride (noun)
EN4342	jade (noun)
EN5440	nerd (noun)
EN3469	excited (adjective)
EN7534	political (adjective)
EN1378	blood (noun)
EN6979	politician (noun)
EN1199	power (noun)
EN6509	unfortunate (noun)
EN4428	john (noun)
EN976	dude (noun)
EN1074	gang (noun)
EN3262	superior (noun)
EN3179	hypocrisy (noun)
EN7524	fast (adjective)
EN2977	spoiler (noun)
EN5010	liar (noun)
EN488	bean (noun)
EN2053	scum (noun)
EN4270	screw (verb)
EN4276	score (verb)
EN4847	nonsense (noun)
EN7405	severe (adjective)
EN1799	prisoners (noun)
EN1994	cheek (noun)
EN3026	criminals (noun)
EN5833	shark (noun)
EN8016	force (noun)
EN4990	fake (noun)
EN4951	teachers (noun)
EN6467	killing (noun)
EN7085	blind (adjective)
EN3353	fox (noun)
EN7859	birds (noun)
EN102	factor (noun)
EN5062	unfortunate (adjective)
EN4732	baby (noun)
EN7544	snake (noun)
EN7325	frog (noun)
EN3694	rude (adjective)
EN1735	villain (noun)
EN4295	illegal (adjective)
EN105	academy (noun)
EN400	animal (noun)
EN4263	love (verb)
EN5211	angry (noun)
EN2972	designer (noun)
EN1126	billy (noun)
EN521	simple (noun)
EN3256	behind (noun)
EN5755	pup (noun)
EN441	rape (noun)
EN7373	nasty (adjective)
EN4143	foul (adjective)
EN2394	bunny (noun)
EN7476	lewd (adjective)
EN7292	disappointing (adjective)
EN2597	refuse (noun)
EN6825	rage (verb)
EN7150	lame (adjective)
EN956	lie (noun)
EN6631	new money (noun)
EN7564	stuff (noun)
EN3318	can (noun)
EN6787	make up (verb)
EN2260	prof (noun)
EN2159	goat (noun)
EN4328	hack (noun)
EN4612	herd (noun)
EN5196	jealous (adjective)
EN5613	rude (noun)
EN3783	mistress (noun)
EN7873	🐣 (noun)
EN6903	wild (adjective)
EN6993	fake (adjective)
EN5143	member (noun)
EN4933	taught (noun)
EN4970	base (adjective)
EN1636	middle-class (noun)
EN3106	jerry (noun)
EN1474	cow (noun)
EN3091	jack (noun)
EN6461	slayer (noun)
EN1807	train (noun)
EN1075	mob (noun)
EN2468	gay (noun)
EN4815	a word (noun)
EN4382	booty (noun)
EN7153	game (adjective)
EN6645	stuff (verb)
EN5057	wrong (adjective)
EN4564	jewish (noun)
EN1888	coward (noun)
EN3105	hun (noun)
EN4871	poorly (noun)
EN5297	toilet (noun)
EN2395	🐰 (noun)
EN305	joke (noun)
EN2806	lad (noun)
EN1026	tale (noun)
EN6431	murder (noun)
EN3207	butt (noun)
EN1096	band (noun)
EN6541	father (noun)
EN3914	fools (noun)
EN8253	nazi (noun)
EN1775	scratch (noun)
EN487	dome (noun)
EN294	follower (noun)
EN5045	incompetent (adjective)
EN2438	queer (noun)
EN1778	bad (adjective)
EN3947	foul (noun)
EN7998	god (verb)
EN1006	chaos (noun)
EN3148	dislike (noun)
EN3891	jam (noun)
EN3808	fascist (noun)
EN3424	scores (noun)
EN496	stupidity (noun)
EN7200	controller (noun)
EN5354	foot (noun)
EN2457	fairy (noun)
EN3411	porter (noun)
EN7132	coward (adjective)
EN8009	violence (noun)
EN4928	inflation (noun)
EN3928	freak (noun)
EN84	abused (noun)
EN1909	moron (noun)
EN3418	lots (noun)
EN5110	lip (noun)
EN7356	lift (verb)
EN4975	ladies (noun)
EN5987	teaser (noun)
EN5681	cruel (adjective)
EN758	trader (noun)
EN7409	bull (noun)
EN4284	have sex (verb)
EN6694	exit (verb)
EN327	process (noun)
EN1027	story (noun)
EN7649	survivor (noun)
EN2397	rabbit (noun)
EN6780	pig (verb)
EN4919	ignorant (noun)
EN3861	fish (noun)
EN3124	dirt (noun)
EN6579	blow (verb)
EN5737	pole (noun)
EN2659	owl (noun)
EN6703	choke (verb)
EN2195	dick (noun)
EN2802	compliance (noun)
EN3830	exact (noun)
EN7558	low (adjective)
EN3720	family (noun)
EN7400	miserable (adjective)
EN4584	jews (noun)
EN7504	slow (adjective)
EN6702	die (verb)
EN3425	loads (noun)
EN7260	robbed (noun)
EN1850	firm (noun)
EN1791	hole (noun)
EN6095	niggas (noun)
EN4280	do (verb)
EN1864	our money (noun)
EN870	stupid (noun)
EN2084	🐕 (noun)
EN769	special envoy (noun)
EN5135	dong (noun)
EN7309	everyday (adjective)
EN2612	bug (noun)
EN3472	insane (adjective)
EN1125	criminal (noun)
EN2970	green (adjective)
EN4730	doll (noun)
EN5746	proud (noun)
EN6982	tired (adjective)
EN3037	crime (noun)
EN6930	cross (adjective)
EN366	crowd (noun)
EN2626	craft (noun)
EN879	dope (noun)
EN693	balls (noun)
EN2358	fucked (noun)
EN5158	penis (noun)
EN5710	evil (adjective)
EN6936	pirates (noun)
EN6673	con (verb)
EN990	dude! (noun)
EN1891	chicken (noun)
EN2640	craving (noun)
EN2871	lady (noun)
EN6590	spoil (verb)
