ES3304	homicidios (noun)
ES137	proceso (noun)
ES2988	parroquia (noun)
ES2627	pobres (noun)
ES6	negligencia (noun)
ES1896	cara (noun)
ES23	abandono (noun)
ES3875	políticos (adjective)
ES1253	col (noun)
ES565	historia (noun)
ES3729	diferentes (adjective)
ES1260	deseo (noun)
ES1171	paloma (noun)
ES51	instituto (noun)
ES3597	infantil (noun)
ES276	no saben nada (noun)
ES776	pelotudo (noun)
ES1495	chico (noun)
ES998	peña (noun)
ES1266	polvo (noun)
ES234	violaciones (noun)
ES4114	bruja (noun)
ES3295	homicidio (noun)
ES274	ignorante (noun)
ES3741	sucio (adjective)
ES3209	negros (noun)
ES3842	rojo (adjective)
ES3544	orgulloso (adjective)
ES3298	asesinar (noun)
ES1843	loco (adjective)
ES3640	apoyo (noun)
ES1704	hipocrita (noun)
ES3425	morir (verb)
ES2447	homosexuales (noun)
ES3461	atacar (verb)
ES947	volumen (noun)
ES3328	habitual (adjective)
ES1802	tacos (noun)
ES1822	intelectual (noun)
ES185	ejército (noun)
ES2779	ira (noun)
ES1114	saga (noun)
ES729	cante (noun)
ES3616	chino (adjective)
ES3005	maldad (noun)
ES1108	circo (noun)
ES777	incapaz (noun)
ES1677	suelo (noun)
ES3146	estupido (noun)
ES1664	criminal (adjective)
ES3645	cojo (adjective)
ES710	por golpe (noun)
ES1648	delitos (noun)
ES1868	moral (noun)
ES3540	soberbia (adjective)
ES2639	ignorancia (noun)
ES1297	periodista (noun)
ES3782	quitar (verb)
ES124	ridículo (noun)
ES3607	bebé (noun)
ES371	huevo (noun)
ES1837	trabajador (noun)
ES1409	marta (noun)
ES3618	de oficina (adjective)
ES2770	homosexual (adjective)
ES1002	preso (noun)
ES2688	mentiras (noun)
ES1827	delincuencia (noun)
ES4173	rebelde (noun)
ES2506	gente (noun)
ES2334	tirar (verb)
ES3704	asalto (noun)
ES1042	gallina (noun)
ES231	violación (noun)
ES2914	mateo (noun)
ES1402	locura (noun)
ES1532	junto (noun)
ES1140	cabrones (noun)
ES262	tonto (noun)
ES733	cagada (noun)
ES578	mentiroso (noun)
ES1432	equipo (noun)
ES991	vil (adjective)
ES1650	delincuentes (noun)
ES1048	idiotas (noun)
ES2568	ideología (noun)
ES2346	coger (verb)
ES1942	fascista (noun)
ES663	industrial (noun)
ES703	mierda (noun)
ES1497	concha (noun)
ES1058	perra (noun)
ES3606	bebés (noun)
ES2776	enojo (noun)
ES748	error (noun)
ES3119	tonterias (noun)
ES128	broma (noun)
ES4151	fuerza (noun)
ES3971	torturas (noun)
ES1107	china (noun)
ES1290	cabo (noun)
ES3233	blancos (noun)
ES3823	chacal (noun)
ES2641	ignorante (adjective)
ES2695	incapaz (adjective)
ES3592	pollo (noun)
ES3350	augusto (noun)
ES3596	bebe (noun)
ES252	tonto (adjective)
ES3728	distinto (adjective)
ES1275	follar (noun)
ES940	soberbia (noun)
ES2617	sin sentido (noun)
ES2079	fake (noun)
ES3963	angustia (noun)
ES1486	cumplimiento (noun)
ES167	fanatismo (noun)
ES944	orgullo (noun)
ES2567	tía (noun)
ES848	cabeza (noun)
ES33	maltrato (noun)
ES3123	tonta (noun)
ES437	abogada (noun)
ES3598	nene (noun)
ES4131	vacío (noun)
ES2282	guardia (noun)
ES1834	crímen (noun)
ES1044	cobarde (noun)
ES3636	cobarde (adjective)
ES210	animal (noun)
ES1143	cabron (noun)
ES3713	robado (noun)
ES4152	violencia (noun)
ES251	estúpido (adjective)
ES57	académica (noun)
ES1580	dame (noun)
ES3527	violento (adjective)
ES3962	sufrimiento (noun)
ES3309	muerte (noun)
ES1335	traidor (noun)
ES1889	negro (adjective)
ES564	cuento (noun)
ES2161	rabia (noun)
ES4046	tarjeta (noun)
ES114	seguidor (noun)
ES2563	bomba (noun)
ES2733	boca (noun)
ES3148	bolsa (noun)
ES1276	joder (noun)
ES1953	un rápido (noun)
ES3876	pobres (adjective)
ES1256	montón (noun)
ES3860	estúpida (adjective)
ES3549	listo (adjective)
ES3294	asesinato (noun)
ES3803	duro (adjective)
ES3310	matando (noun)
ES1104	mala persona (noun)
ES1627	inocente (adjective)
ES2996	economía (noun)
ES2707	asesino (noun)
ES2705	lamentable (adjective)
ES477	víctima (noun)
ES1720	cola (noun)
ES3126	tontos (noun)
ES1653	delito (noun)
ES2092	manada (noun)
ES3293	asesinos (noun)
ES3610	café (adjective)
ES704	coño (noun)
ES679	pp (noun)
ES3887	pendejo (adjective)
ES2848	servicio (noun)
ES907	trabajo (noun)
ES2318	no por cuenta (noun)
ES420	enviado especial (noun)
ES846	jefe (noun)
ES2932	mafia (noun)
ES265	melón (noun)
ES1858	aficionados (noun)
ES2649	maestra (noun)
ES1179	pito (noun)
ES1045	ñoño (noun)
ES319	rata (noun)
ES1488	hijo (noun)
ES3228	latino (noun)
ES3895	rollo (noun)
ES1882	mal (noun)
ES3874	político (adjective)
ES2923	policial (noun)
ES1838	empleado (noun)
ES1095	perros (noun)
ES2690	película (noun)
ES61	profesor (noun)
ES1221	profesora (noun)
ES1317	gays (noun)
ES2513	cardenal (noun)
ES1106	chino (noun)
ES1003	presos (noun)
ES1491	muchacho (noun)
ES54	académico (noun)
ES3689	secuestro (noun)
ES2106	falta (noun)
ES3641	defensa (noun)
ES1381	engaño (noun)
ES417	defensores (noun)
ES2588	discapacidad (noun)
ES151	basura (noun)
ES296	culo (noun)
ES3303	asesinatos (noun)
ES1723	detrás (noun)
ES2995	ahorro (noun)
ES2532	limpieza (noun)
ES244	estupidez (noun)
ES3151	imbecil (noun)
ES1309	extraño (noun)
ES1270	maldito (noun)
ES2901	parado (noun)
ES2370	sus (noun)
ES606	grupo (noun)
ES4115	zapatero (noun)
ES3178	amarillo (noun)
ES475	engañar (noun)
ES87	viento (noun)
ES3966	tortura (noun)
ES1180	polla (noun)
ES132	mezcla (noun)
ES2818	ladrón (noun)
ES3619	incómodo (adjective)
ES630	criminal (noun)
ES2343	hacer el amor (verb)
ES1494	chaval (noun)
ES236	violadores (noun)
ES368	pelota (noun)
ES1727	lateral (noun)
ES1929	amiga (noun)
ES2303	curioso (noun)
ES2984	parasitos (noun)
ES429	representante (noun)
ES1331	rostro (noun)
ES3343	vándalos (noun)
ES2332	dormir (verb)
ES254	idiota (noun)
ES261	estúpido (noun)
ES1161	verga (noun)
ES1700	hipocresía (noun)
ES3904	violador (noun)
ES480	bendito (noun)
ES1582	señora (noun)
ES2093	falso (adjective)
ES118	cómplice (noun)
ES2618	pobreza (noun)
ES2412	ladrones (noun)
ES3031	palo (noun)
ES948	masa (noun)
ES2667	inmoral (noun)
ES2640	ignorar (noun)
ES217	animales (noun)
ES1792	portero (noun)
ES2416	presa (noun)
ES256	imbécil (noun)
ES1861	propiedad (noun)
ES230	violacion (noun)
ES1437	cojo (noun)
ES3697	secuestrado (noun)
ES1651	crimen (noun)
ES3802	pobre (adjective)
ES3707	robos (noun)
ES492	pendejo (noun)
ES2566	chica (noun)
ES1733	nalgas (noun)
ES3000	cruel (adjective)
ES862	cafe (noun)
ES3852	clase media (adjective)
ES1032	casta (noun)
ES3308	matanza (noun)
ES257	bobo (noun)
ES334	retraso (noun)
ES3937	terrorismo (noun)
ES1574	rechazar (noun)
ES2691	mentir (noun)
ES740	caída (noun)
ES661	negro (noun)
ES956	sinvergüenza (noun)
ES3340	vandalos (noun)
ES2750	pene (noun)
ES2751	miembro (noun)
ES268	cabrón (noun)
ES1166	pija (noun)
ES1473	cruce (noun)
ES10	pereza (noun)
ES1215	profe (noun)
ES2187	fascismo (noun)
ES30	abusos (noun)
ES1612	amante (noun)
ES3525	enojado (adjective)
ES263	gilipollas (noun)
ES2908	cerebro (noun)
ES3617	china (adjective)
ES423	abogado (noun)
ES994	pico (noun)
ES441	perrito (noun)
ES3890	feo (adjective)
ES3599	niña (noun)
ES2320	extrema derecha (noun)
ES605	círculo (noun)
