FA2862	جعلی (adjective)
FA478	قصه (noun)
FA2100	دروغگو (noun)
FA1261	خرس (noun)
FA1198	حزب (noun)
FA2774	آشنا (adjective)
FA2798	کار دست (noun)
FA342	وحشیانه (noun)
FA2411	ریشه (noun)
FA1042	سیما (noun)
FA2017	مزخرف (noun)
FA1966	عروسک (noun)
FA2860	چینی (adjective)
FA1000	خبرنگاران (noun)
FA441	جنده (noun)
FA2932	فاشیست (adjective)
FA353	وزیر (noun)
FA854	قشر (noun)
FA1009	سیگار (noun)
FA1276	جنايي (noun)
FA2364	مبلغ (noun)
FA1465	ناشی (noun)
FA2022	فلاکت (noun)
FA2727	سیب زمینی (noun)
FA2802	صنعتی (adjective)
FA1011	جن (noun)
FA2978	سوسك (noun)
FA19	بی تفاوت (noun)
FA2540	عاشق (noun)
FA2059	دبیر (noun)
FA1002	خبرنگار (noun)
FA1938	نقاشی (noun)
FA52	دانشکده (noun)
FA1791	تاراج (noun)
FA1452	مشتاق (noun)
FA571	اعتصاب (noun)
FA170	سپاه (noun)
FA1623	خطا (noun)
FA1130	لنگ (noun)
FA2775	معتاد (adjective)
FA3038	نادان (adjective)
FA140	شوخی (noun)
FA1559	زارع (noun)
FA1453	دیوانه (adjective)
FA501	باند (noun)
FA1749	نامشروع (adjective)
FA2153	آلت (noun)
FA2276	مافیا (noun)
FA2212	توالت (noun)
FA2269	هرزه (noun)
FA2765	درویش (noun)
FA927	مشکل (noun)
FA2117	غمگین (adjective)
FA2959	مغرور (noun)
FA161	زباله (noun)
FA1831	جان (noun)
FA422	قربانی (noun)
FA1514	اقوام (noun)
FA3073	متجاوز (noun)
FA1213	بانو (noun)
FA941	ذات (noun)
FA633	غول (noun)
FA40	عامل (noun)
FA890	منشی (noun)
FA60	دانشگاهی (noun)
FA321	خایه (noun)
FA1947	جعبه (noun)
FA1249	یار (noun)
FA1498	مهم (adjective)
FA1575	گرفتن (noun)
FA248	ابله (noun)
FA3135	تروريسم (noun)
FA601	ديوث (noun)
FA1187	خیار (noun)
FA1594	ماهی (noun)
FA1953	کفتار (noun)
FA1972	بت (noun)
FA757	لات (noun)
FA371	وکالت (noun)
FA2461	چوپان (noun)
FA1215	خانوم (noun)
FA2004	معلول (noun)
FA878	قبيله (noun)
FA1041	لیوان (noun)
FA581	حرامزاده (noun)
FA61	هيات علمي (noun)
FA1271	مصرف (noun)
FA2012	تشکر (noun)
FA781	زندانی (noun)
FA2061	دبير (noun)
FA979	هوس (noun)
FA194	حیوانات (noun)
FA1039	صورت (noun)
FA1988	میمون (noun)
FA1586	گند (noun)
FA1214	خانم (noun)
FA3227	آواره (noun)
FA2888	حسابرسی (noun)
FA1649	خشم (noun)
FA2844	نادرست (adjective)
FA1277	جنايت (noun)
FA1668	فاشيست (noun)
FA242	دلقک (noun)
FA2680	هدف (noun)
FA57	هيئت علمي (noun)
