FI61	edustaja (noun)
FI287	ääliö (noun)
FI929	se ja se (noun)
FI1627	laittomuus (noun)
FI2063	fasistit (noun)
FI3289	huijata (verb)
FI560	jätkä (noun)
FI979	kita (noun)
FI3275	toivoa (verb)
FI3778	hurja (adjective)
FI1987	pula (noun)
FI3014	julkkis (noun)
FI1725	vatsa (noun)
FI1710	takana (noun)
FI423	ylivoimainen (adjective)
FI3555	leveä (adjective)
FI1242	kaali (noun)
FI282	typerä (adjective)
FI3796	säälittävä (adjective)
FI2414	vammaiset (noun)
FI3855	keskiluokan (adjective)
FI3664	poistaminen (noun)
FI2419	vammaisten (noun)
FI1121	perhe (noun)
FI455	juristi (noun)
FI3515	kulunut (adjective)
FI1555	dame (noun)
FI1734	kettu (noun)
FI274	polla (noun)
FI1190	ongelma (noun)
FI1192	vaikeus (noun)
FI207	armeija (noun)
FI822	lehmät (noun)
FI3034	narsisti (noun)
FI1173	jorma (noun)
FI968	vakava (adjective)
FI3856	typerä (noun)
FI1870	tuhoisa (adjective)
FI440	ministeri (noun)
FI2847	seurakuntalainen (noun)
FI1311	gay (noun)
FI1623	rikollisia (noun)
FI91	typeryys (noun)
FI3169	tavallista (adjective)
FI619	konna (noun)
FI1307	queer (noun)
FI60	tekijä (noun)
FI2455	tietämättömyys (noun)
FI3127	terroristi (noun)
FI1751	lammas (noun)
FI2512	pseudo (noun)
FI1551	rouva (noun)
FI3328	murphy (noun)
FI2231	varastaa (noun)
FI3247	tinkiä (verb)
FI244	haukkuminen (noun)
FI2756	nokka (noun)
FI4101	väkivalta (noun)
FI1986	dilemma (noun)
FI3138	tappaa (noun)
FI2777	pollari (noun)
FI639	pukki (noun)
FI3401	kommentti (noun)
FI2214	kiero (adjective)
FI2168	rakastaa (verb)
FI976	alhainen (adjective)
FI1770	paljon (noun)
FI1129	suku (noun)
FI3369	vaativa (adjective)
FI2947	hain (noun)
FI2736	koi (noun)
FI1625	rikos (noun)
FI3573	kiinalainen (adjective)
FI1620	rikollista toimintaa (noun)
FI388	munat (noun)
FI1372	roskaa (noun)
FI432	kauppias (noun)
FI3951	terrori (noun)
FI2058	fasismin (noun)
FI914	massa (noun)
FI2165	saada (verb)
FI2423	poistaa (noun)
FI1236	prof (noun)
FI50	väärin (noun)
FI3523	kanaa (noun)
FI293	hullu (noun)
FI2243	ryöstää (noun)
FI3926	seksuaalirikosten (noun)
FI2144	nolla (noun)
FI2475	opetuksessa (noun)
FI2034	raivoa (noun)
FI2593	elin (noun)
FI2849	seurakunta (noun)
FI3534	vauva (noun)
FI1953	haista (noun)
FI3971	tuska (noun)
FI3862	hölmö (adjective)
FI3861	järjetön (adjective)
FI234	eläimet (noun)
FI1265	seksi (noun)
FI3139	murhasta (noun)
FI1518	kaveri (noun)
FI2771	syyllinen (noun)
FI2961	pätkä (noun)
FI1991	soppa (noun)
FI336	ass (noun)
FI151	pelleily (noun)
FI2804	läski (noun)
FI3842	köyhä (adjective)
FI898	ylimielisyys (noun)
FI967	huono (adjective)
FI576	satu (noun)
FI408	bandit (noun)
FI3954	terrorismi (noun)
FI156	sotku (noun)
FI2384	hame (noun)
FI2479	kouluttaja (noun)
FI1692	peppu (noun)
FI2973	lampaat (noun)
FI2057	fašismi (noun)
FI2543	surullinen (adjective)
FI307	tyhmä (noun)
FI1522	vako (noun)
FI3080	musta (adjective)
FI890	itsekäs (noun)
FI1281	kani (noun)
FI2418	fyysisesti (noun)
FI1198	yleisempää (noun)
FI858	porvari (noun)
FI1296	kirjeenvaihtaja (noun)
FI836	pomo (noun)
FI651	pahaa (noun)
FI2939	mestis (noun)
FI685	sika (noun)
FI68	tutkijoita (noun)
FI3858	hidas (adjective)
FI66	tiedeyhteisön (noun)
FI249	raiskaus (noun)
FI2160	äärioikeistolainen (noun)
FI1634	paska (noun)
FI1886	iho (noun)
FI1791	nälkä (noun)
FI615	bändi (noun)
FI1941	tarkka (noun)
FI2585	puhemies (noun)
FI2528	valheet (noun)
FI1313	homot (noun)
FI2299	homous (noun)
FI1114	sirkus (noun)
FI2504	moraalitonta (noun)
FI638	rikollinen (noun)
FI1835	kovaa on (noun)
FI589	tyhmä (adjective)
FI969	kielteinen (adjective)
FI1818	synti (noun)
FI450	puolustaja (noun)
FI2894	ylpeys (noun)
FI1936	eristetty (adjective)
FI4095	voima (noun)
FI3610	rampa (adjective)
FI40	pahoinpitely (noun)
FI2781	poliiseja (noun)
FI208	lauma (noun)
FI476	esto (noun)
FI142	seuraaja (noun)
FI4062	korruptoitunut (adjective)
FI1258	himo (noun)
FI478	estäminen (noun)
FI2213	terävä (adjective)
FI728	kiristää (noun)
FI2206	possu (noun)
FI842	ruskea (noun)
FI3521	teko- (adjective)
FI3948	terroristijärjestö (noun)
FI4032	huijausta (noun)
FI3145	slayer (noun)
FI3597	puolustaminen (noun)
FI1774	tulokset (noun)
FI1184	kukko (noun)
FI77	tiedekunnan (noun)
FI452	lakimies (noun)
FI3334	pottu (noun)
FI59	agentti (noun)
FI2385	tyttö (noun)
FI3811	ideologinen (adjective)
FI994	vanki (noun)
FI225	olento (noun)
FI3206	sotkea (verb)
FI2389	ideologia (noun)
FI3933	seurat (noun)
FI2700	vessa (noun)
FI3428	tottunut (adjective)
FI1183	piru (noun)
FI3179	kyy (noun)
FI616	väki (noun)
FI1928	viljelijä (noun)
FI252	raiskaajia (noun)
FI1534	salaliitto (noun)
FI2002	riippuvainen (noun)
FI4015	linnut (noun)
FI2859	raaka (adjective)
FI2945	hai (noun)
FI3088	latino (noun)
FI3238	munia (verb)
FI2267	john (noun)
FI2441	puute (noun)
FI1189	pulma (noun)
FI1124	sukulaiset (noun)
FI3942	ylpeä (adjective)
FI3203	sekoittaa (verb)
FI3543	vauvoja (noun)
FI1333	lehmän (noun)
FI3799	ankara (adjective)
FI3598	kannatus (noun)
FI4100	väkivaltainen (noun)
FI25	välinpitämättömyys (noun)
FI205	tietämätön (adjective)
FI4019	lintu (noun)
FI611	porukka (noun)
FI3198	mato (noun)
FI982	turpa (noun)
FI2687	vessassa (noun)
FI1880	onneton (adjective)
FI1113	kiinalainen (noun)
FI2404	saita (adjective)
FI781	savage (noun)
FI2619	vihaa (noun)
FI3459	vihainen (adjective)
FI966	hankala (adjective)
FI3595	tukeminen (noun)
FI3802	voimakas (adjective)
FI1276	helvetin (noun)
FI2094	vankilassa (noun)
FI1906	perheen (noun)
FI2547	ikävä (adjective)
FI42	loukkaava (noun)
FI2284	male (noun)
FI2599	penis (noun)
FI2478	opetetaan (noun)
FI1776	vagabond (noun)
FI3236	pilata (verb)
FI1510	noudattaminen (noun)
FI567	kaaos (noun)
FI631	kielletty (noun)
FI3368	paikata (verb)
FI1935	fasisti (noun)
FI831	lehmä (noun)
FI3426	totuttu (adjective)
FI1410	tarve (noun)
FI76	akateeminen (noun)
FI3246	rahoittaa (verb)
FI3537	vauvat (noun)
FI3405	huhu (noun)
FI888	itsekkyys (noun)
FI1215	luokka (noun)
FI3270	kiusata (verb)
FI1368	jäte (noun)
FI2745	mozzarella (noun)
FI3797	surkea (adjective)
FI2613	katkera (adjective)
FI2530	valehtelu (noun)
FI644	biisonit (noun)
FI2387	tipu (noun)
FI460	koira (noun)
FI1652	jerry (noun)
FI1191	ongelmaa (noun)
FI2306	juutalainen (noun)
FI666	musta (noun)
FI2783	mafia (noun)
FI1646	rikollisuus (noun)
FI296	pelle (noun)
FI3189	don (noun)
FI3069	mustat (noun)
FI3968	kärsimys (noun)
FI600	sakki (noun)
FI2060	fasismi (noun)
FI591	lapsellinen (adjective)
FI4043	salaliittoteorioita (noun)
FI1641	rikollinen (adjective)
FI1180	perkele (noun)
FI3100	ripaus (noun)
FI1267	pano (noun)
FI1044	urpo (noun)
FI1575	populistinen (noun)
FI3000	arvoitus (noun)
FI1682	näyttelijä (noun)
FI2918	retoriikka (noun)
