HI254	बांका (noun)
HI757	अनुरूप (noun)
HI802	षड्यन्त्रकारी (noun)
HI985	मालकिन (noun)
HI993	कृषकों (noun)
HI481	कैदी (noun)
HI345	बदमाश (noun)
HI1613	गिद्धों (noun)
HI1203	मूर्ति पूजा (noun)
HI1162	यहूदियों (noun)
HI1037	कट्टरपंथियों (noun)
HI430	मध्यम वर्ग (noun)
HI1710	शिशु (noun)
HI8	उदासीन (noun)
HI1450	गर्व (noun)
HI288	गिरोह (noun)
HI1324	चोर (noun)
HI1384	पुलिसकर्मियों (noun)
HI566	बाबू (noun)
HI806	डकैत (noun)
HI219	आदमी गिर (noun)
HI1853	घमंडी (adjective)
HI304	विधि - बहिष्कृत (noun)
HI642	बकवास (noun)
HI258	अराजकता (noun)
HI1256	बेईमान (noun)
HI1161	यहूदी (noun)
HI393	ऊब (noun)
HI278	मांस (noun)
HI480	बंदी (noun)
HI586	मुर्ग़ा (noun)
HI92	जंतु (noun)
HI1731	अनाप - शनाप (noun)
HI318	शरारती (noun)
HI1164	झुंड (noun)
HI906	स्कोर (noun)
HI1833	हिंसक (adjective)
HI1083	बिल्ली (noun)
HI1128	जॉन (noun)
HI777	कटौती (noun)
HI1928	डरपोक (noun)
HI580	अश्लीलता (noun)
HI1828	गुप्त शत्रु (noun)
HI1008	बदबू (noun)
HI669	समलैंगिक (noun)
HI819	अपराधों (noun)
HI1231	निर्धनता (noun)
HI905	बंडल (noun)
HI713	लालसा (noun)
HI177	गंवार (noun)
HI911	दंड (noun)
HI1560	एशियाई (noun)
HI30	विद्वानों (noun)
HI1275	दुखी (adjective)
HI1723	वकालत (noun)
HI1653	ख़राबी (noun)
HI1270	हवस (noun)
HI437	व्यक्ति - निष्ठा (noun)
HI423	डरावना (noun)
HI913	ढेर (noun)
HI1039	क्रोध (noun)
HI1856	आतंकवाद (noun)
HI636	भीड़ (noun)
HI1673	जूँ (noun)
HI192	अधिवक्ता (noun)
HI325	उद्योगपतियों (noun)
HI1155	जूदेव (noun)
HI471	ख़राब (adjective)
HI1559	व्हाइट (noun)
HI68	घपला (noun)
HI795	मज़हब (noun)
HI142	लोभ (noun)
HI1714	अंधा (adjective)
HI760	लल्लू (noun)
HI1648	पता है सब (noun)
HI368	चोट (noun)
HI178	बर्बर (noun)
HI1716	कंगाल (noun)
HI995	फ़ासिस्ट (noun)
HI1846	पीटा (noun)
HI1841	यौन उत्पीड़न (noun)
HI1296	कीट (noun)
HI764	योनी (noun)
HI1945	मोड़ पर (noun)
HI608	जातिवाद (noun)
HI320	काला (noun)
HI657	शारीरिक (noun)
HI1594	अवसरवादी (noun)
HI983	सारिका (noun)
HI444	अभिमान (noun)
HI19	दुरूपयोग (noun)
HI342	ठग (noun)
HI1303	भंडारी (noun)
HI681	कायर (noun)
HI1931	दरबारी (noun)
HI732	मगरमच्छ (noun)
HI301	आपराधिक (noun)
HI1647	पता है यह सब (noun)
HI682	कायरता (noun)
HI248	बेईमानी (noun)
HI794	रखैल (noun)
HI182	विक्रेता (noun)
HI1382	पुलिस (noun)
HI1758	गंदा (adjective)
HI461	खलनायक (noun)
HI1773	मेंढक (noun)
HI1895	पक्षियों (noun)
HI1225	निर्धन (noun)
HI1898	पंछी (noun)
HI927	शौक़ीन (noun)
HI1279	कातिल (noun)
HI435	अहंकार (noun)
HI1376	शागिर्द (noun)
HI201	वकीलों (noun)
HI1343	शौचालयों (noun)
HI1683	नाराज (adjective)
HI1709	बच्चा (noun)
HI854	ढोंग (noun)
HI347	अवैध (noun)
HI436	घमंडी (noun)
HI593	गड़बड़ (noun)
HI1829	स्मार्ट (adjective)
HI758	अनुपालन (noun)
HI1366	परवाना (noun)
HI1267	छद्म (noun)
HI1097	कोई खाता (noun)
HI1300	जवाब देना (noun)
HI21	अपमानजनक (noun)
HI1380	भद्दा (noun)
HI1096	निकम्मा (noun)
HI1774	मेंढ़क (noun)
HI162	सस्ता (noun)
HI1587	हत्यारों (noun)
HI321	काले (noun)
HI935	निर्माण (noun)
HI839	मिट्टी (noun)
HI1757	चाटुकार (noun)
HI553	आदिवासी (noun)
HI460	कामचोर (noun)
HI99	पशुओं (noun)
HI1700	मुर्गी (noun)
HI900	अपराधी (noun)
HI1835	वाहियात (noun)
HI439	गुस्ताखी (noun)
HI179	जंगली (noun)
HI1385	अधिकारी (noun)
HI188	वकील (noun)
HI1937	हिंसक (noun)
HI1293	कीड़े (noun)
HI1174	बेघर (noun)
HI1860	आतन्कवाद (noun)
HI1657	भिखारी (noun)
HI501	रोकना (noun)
HI601	शालीनता (noun)
HI504	बुद्धू (noun)
HI1281	हत्यारा (noun)
HI247	मिथ्या (noun)
HI297	दुष्ट (noun)
HI1457	चूहा (noun)
HI661	अखबार (noun)
HI449	मात्रा (noun)
HI1617	जोकर (noun)
HI148	पिछड़ेपन (noun)
HI255	दोस्त (noun)
HI1751	अलग (adjective)
HI1277	दुर्भाग्यपूर्ण (adjective)
HI1848	यौन छेड़छाड़ (noun)
HI1200	औरत (noun)
HI934	लिंग (noun)
HI1581	आतंकवादी (noun)
HI1111	सूअर (noun)
HI1455	चूहे (noun)
HI902	अनेकता (noun)
HI1402	बैल (noun)
HI398	गाय (noun)
HI1132	वेश्यावृत्ति (noun)
HI907	दर्जनों (noun)
HI1830	नासमझ (adjective)
HI997	एक तेजी (noun)
HI1249	शिक्षकों (noun)
HI922	शिक्षक (noun)
HI645	कमबख्त (noun)
HI1608	सामान्य (adjective)
HI843	नफ़रत (noun)
HI994	फासीवादी (noun)
HI1612	सांप (noun)
HI790	धोखे (noun)
HI470	बुरा (adjective)
HI1036	कट्टरवाद (noun)
HI1558	प्रेमी (noun)
HI1897	बसेरा (noun)
HI1119	चोरों (noun)
HI110	बलात्कार (noun)
HI134	गधे (noun)
HI548	चीनी (noun)
HI1060	योनि (noun)
HI506	मति - मंद (noun)
HI789	भ्रामक (noun)
HI253	रंगीला (noun)
HI908	भार (noun)
HI999	सटीक (noun)
HI228	धोखा देना (noun)
HI736	मगर (noun)
HI1933	निर्दयता (noun)
HI1823	राजनीतिक (adjective)
HI1222	बेसहारा (noun)
HI425	लौंडा (noun)
HI354	ब्लैकमेल (noun)
HI476	गुट (noun)
HI260	तले - turvyness (noun)
HI1342	शौचालय (noun)
HI592	आम आदमी (noun)
HI232	वेश्या (noun)
HI844	घृणा (noun)
HI1386	पुलिसकर्मी (noun)
HI1712	काला (adjective)
HI728	झटका बंद (noun)
HI400	गायों (noun)
HI909	बहुत (noun)
HI1317	गुस्सा (noun)
HI1501	भेड़ (noun)
HI604	जातियों (noun)
HI1087	जाने के बीच (noun)
HI1458	अवशेष (noun)
HI1181	झोपड़ी (noun)
HI1759	गंदे (adjective)
HI1262	लेडी (noun)
HI549	आत्मीय (noun)
HI815	अपराध (noun)
HI926	कर्मचारी (noun)
HI915	चपरासी (noun)
HI1276	उदास (adjective)
HI569	बकरी (noun)
HI524	बदनाम करने वाला (noun)
HI139	लालच (noun)
HI621	प्रो (noun)
HI796	प्रेमिका (noun)
HI1713	काले (adjective)
HI634	जनता (noun)
HI542	कुत्तों (noun)
HI561	आदिवासियों (noun)
HI27	दलाल (noun)
HI296	बैंड (noun)
HI862	शिखर (noun)
HI1213	अक्षम (noun)
HI1946	गद्दार (noun)
HI482	कैदियों (noun)
HI1136	नहीं है (noun)
HI535	कूड़ा (noun)
HI66	शरारत (noun)
HI1826	ग़रीब (adjective)
HI1815	साधारण (adjective)
HI282	नौकर (noun)
HI418	व्यवसायी (noun)
HI612	प्रोफेसर (noun)
HI1178	ज्यादा खा (noun)
HI683	बुज़दिली (noun)
HI183	व्यापारी (noun)
HI1568	परिभाषा (noun)
HI589	साधारण (noun)
HI1434	पार्टी (noun)
HI781	महोदया (noun)
HI1306	लाल रंग (noun)
HI364	शर्त (noun)
HI625	कुर्सी (noun)
HI20	दुर्व्यवहार (noun)
HI1199	विचारक (noun)
HI526	निन्दक (noun)
HI1227	गरीबी (noun)
HI1470	सीवेज (noun)
HI458	आवारा (noun)
HI708	फितरत (noun)
HI176	डाकू (noun)
HI1218	गांड (noun)
HI1616	भांड (noun)
HI1269	वासना (noun)
HI605	कुल (noun)
HI1271	झूठा (noun)
HI181	बर्बरता (noun)
HI1085	हिमायती (noun)
HI1416	देहाती (noun)
HI102	जानवर (noun)
HI72	खिचड़ी (noun)
HI1893	पक्षी (noun)
HI710	दगा (noun)
HI1595	घातक - स्री (noun)
HI763	चूत (noun)
HI416	पूंजीपति (noun)
HI1431	तोते (noun)
HI860	पीछे (noun)
HI438	गुस्ताख़ी (noun)
HI951	नैतिक (noun)
HI783	डेम (noun)
HI1600	जल्लाद (noun)
HI1824	दीन (adjective)
HI249	झूठ (noun)
HI29	शिक्षाविदों (noun)
HI1743	याद (noun)
HI1704	मुर्गा (noun)
HI330	उद्योगपति (noun)
HI97	animal (noun)
HI947	औचित्य (noun)
HI413	किसानों (noun)
HI473	मुंह (noun)
HI1361	मच्छरों (noun)
HI1247	शिक्षिका (noun)
HI118	बुद्धु (noun)
HI1892	चिड़िया (noun)
HI960	अनैतिक (noun)
HI603	जाति (noun)
HI1825	गरीब (adjective)
HI564	जनजाति (noun)
HI1523	रईस (noun)
HI875	बाहर का (noun)
HI916	बौना (noun)
HI1588	हत्या (noun)
HI135	गधा (noun)
HI130	कुछ भी नहीं पता (noun)
HI1304	दुकानदार (noun)
HI851	जाली (noun)
HI491	सड़ा हुआ (noun)
HI903	टन (noun)
HI170	लुटेरा (noun)
HI25	कारक (noun)
HI847	स्वांग (noun)
HI638	अभिलाषा (noun)
HI867	पार्श्व (noun)
HI946	नैतिकता (noun)
HI1867	यातना (noun)
HI1379	कामुक (noun)
HI1180	गृह व्यवस्था (noun)
HI1806	सियार (noun)
HI610	खेत (noun)
HI1838	बलात्कारी (noun)
HI1260	महिलाओं (noun)
HI1874	कार्यालय कार्यकर्ता (noun)
HI873	उदर (noun)
HI412	किसान (noun)
HI1832	असमर्थ (adjective)
HI539	कुत्ते (noun)
HI1868	अत्याचार (noun)
HI1718	जाली (adjective)
HI583	लंड (noun)
HI1236	अज्ञान (noun)
HI845	अप्रिय (noun)
HI957	पापी (noun)
HI205	दिग्गज (noun)
HI1223	गरीब (noun)
HI980	खरीद (noun)
HI1904	चकमा (noun)
HI1336	टॉयलेट (noun)
HI590	आम लोग (noun)
HI1418	गँवार (noun)
HI252	बाँका (noun)
HI885	अपमान (noun)
HI7	उदासीनता (noun)
HI445	मनमानी (noun)
HI36	सैद्धांतिक (adjective)
HI1305	बनिया (noun)
HI964	खर्च सभी (noun)
HI809	मूढ़ (noun)
HI6	निर्णय - अक्षमता (noun)
HI395	उदासी (noun)
HI60	आलस (noun)
HI1000	उगाही (noun)
HI22	दुराचार (noun)
HI34	शैक्षिक (noun)
HI1869	तड़पा (noun)
HI520	झूठे आरोपों (noun)
HI96	प्राणी (noun)
HI630	गोभी (noun)
HI588	समस्या (noun)
HI507	कुतिया (noun)
HI1248	सिखाया (noun)
HI38	शिक्षाविद् (noun)
HI158	खेल के घर (noun)
HI86	मछली (noun)
HI1668	जूं (noun)
HI1437	मटर (noun)
HI754	धोखेबाज़ (noun)
HI26	दलालों (noun)
HI64	विलक्षण (noun)
HI1640	आलू (noun)
HI1737	अपहरण (noun)
HI441	गुमान (noun)
HI223	बेवकूफ (noun)
HI1740	लुटेरों (noun)
HI852	पाखण्ड (noun)
HI1641	आलु (noun)
HI107	बलात्कारियों (noun)
HI1810	यहूदी (adjective)
HI81	अनपढ़ (noun)
HI1334	मिश्रण (noun)
HI174	डकैती (noun)
HI1717	चीनी (adjective)
HI1796	गुर्गे (noun)
HI1359	मच्छर (noun)
HI849	पाखंड (noun)
HI53	जिद्दी (adjective)
HI307	बकरा (noun)
HI1373	खच्चर (noun)
HI541	श्वान (noun)
HI618	प्राध्यापक (noun)
HI1214	विकलांग (noun)
HI1680	क्रोधित (adjective)
HI1121	लूट (noun)
HI13	दुरुपयोग (noun)
HI32	शिक्षा (noun)
HI606	वर्ण (noun)
HI203	कुत्ता (noun)
HI1760	मैला (adjective)
HI782	महिला (noun)
HI1237	अविद्या (noun)
HI555	वंश (noun)
HI973	परिवार (noun)
HI1684	हाथ से काम (noun)
HI615	प्रोफ़ेसर (noun)
HI1584	टिक (noun)
HI1436	बुराई (adjective)
HI448	घमंड (noun)
HI1341	लव (noun)
HI928	पागल (adjective)
HI1234	निष्क्रियता (noun)
HI111	चतुराई (noun)
HI565	क्लर्क (noun)
HI65	मज़ाक (noun)
HI1108	सूअरों (noun)
HI1229	ग़रीबी (noun)
HI707	मक्कारी (noun)
HI1110	सुअर (noun)
HI938	मेहनत पर (noun)
HI98	पशु (noun)
HI346	कमीने (noun)
HI978	रोगी (noun)
HI1391	माफ़िया (noun)
HI61	आलसी (noun)
HI313	मुख़बिर (noun)
HI33	संकाय (noun)
HI1394	माफिया (noun)
HI1597	कद्दू (noun)
HI1462	बयानबाजी (noun)
HI923	अध्यापक (noun)
HI100	जानवरों (noun)
HI1315	ईर्ष्या (noun)
HI1573	हंसी (noun)
HI1294	कीड़ा (noun)
HI1614	गिद्ध (noun)
HI1093	ख़राब (noun)
HI213	को छोड़कर (noun)
HI1679	आक्रामक (adjective)
HI284	मूर्ख (adjective)
HI16	गालियाँ (noun)
HI1167	जनसमूह (noun)
HI1762	भव्यता (noun)
HI1711	नवजात (noun)
HI1934	हिंसा (noun)
HI469	घड़ियाल (noun)
HI1889	चुड़ैल (noun)
HI1192	गायक (noun)
HI1918	चमार (noun)
HI1078	दर्शक (noun)
HI663	संवाददाता (noun)
HI684	मायावी (noun)
HI80	कट्टरता (noun)
HI189	मंत्री (noun)
HI955	बुराई (noun)
HI1038	कट्टरपंथी (noun)
HI210	लूटेरा (noun)
HI1432	तोता (noun)
HI814	अपराधियों (noun)
HI974	पर्दाफ़ाश (noun)
HI513	मानहानि (noun)
HI365	बू - बू (noun)
HI1453	प्रचारक (noun)
HI515	बदनामी (noun)
HI70	आसार (noun)
HI1575	हंस (noun)
HI1118	चोरी (noun)
HI774	चुनना (noun)
HI43	मूर्खता (noun)
HI1681	नाराज़ (adjective)
HI337	बेवक़ूफ़ (noun)
HI850	पाखंडी (noun)
HI71	मिलावट (noun)
HI712	tanha (noun)
HI945	आचार - विचार (noun)
HI837	गंदगी (noun)
HI119	मूर्ख (noun)
HI1045	सरगना (noun)
HI1473	मल (noun)
HI1024	चमड़ी (noun)
HI1635	उपद्रवी (noun)
HI788	छल (noun)
HI607	जात (noun)
HI729	पाजी (noun)
HI1730	बक (noun)
HI276	गोमांस (noun)
HI128	उल्लू (noun)
HI1859	आतंकवादियों (noun)
