HU1985	vak (adjective)
HU295	hop (noun)
HU2248	cigányok (noun)
HU1247	vagina (noun)
HU1319	ravasz (adjective)
HU1353	azonos nemű (noun)
HU1160	gazda (noun)
HU204	teste (noun)
HU1111	erkölcs (noun)
HU518	csőcselék (noun)
HU1061	portás (noun)
HU1088	pedagógiai (noun)
HU202	tök (noun)
HU703	eros (noun)
HU1296	megbasz (verb)
HU385	zsarolás (noun)
HU934	képmutató (noun)
HU837	gyerek (noun)
HU835	kölyök (noun)
HU1976	kisbaba (noun)
HU882	egyszerű ember (noun)
HU1802	fehér (noun)
HU97	analfabéta (adjective)
HU1815	liba (noun)
HU45	akadémikus (noun)
HU607	kutyák (noun)
HU1315	disznó (noun)
HU197	pete (noun)
HU1297	dug (verb)
HU1740	bárány (noun)
HU1082	törpe (noun)
HU1973	csibe (noun)
HU1343	john (noun)
HU2113	szegény (adjective)
HU1333	lógós (noun)
HU903	bűnözők (noun)
HU1899	burgonya (noun)
HU507	ez és ez (noun)
HU1719	mikroba (noun)
HU1463	popsi (noun)
HU1071	dohány (noun)
HU423	pénztáros (noun)
HU1801	spanyol (noun)
HU746	boci (noun)
HU894	bűncselekmények (noun)
HU2235	erőszakos (noun)
HU316	hülye (adjective)
HU1358	homoszexualitás (noun)
HU1873	féreg (noun)
HU768	lehallgatás (noun)
HU582	vádaskodás (noun)
HU157	seggfej (noun)
HU1900	fal (verb)
HU1198	falka (noun)
HU888	kalóz (noun)
HU1892	krumpli (noun)
HU1665	papagáj (noun)
HU1169	pontos (noun)
HU353	fekete (noun)
HU1434	szegények (noun)
HU214	paraszt (noun)
HU834	fiú (noun)
HU377	köcsög (noun)
HU531	gyomor (noun)
HU1639	durva (noun)
HU72	szolga (noun)
HU1056	evő (noun)
HU580	rágalmazó (noun)
HU1428	képtelenség (noun)
HU1816	lúd (noun)
HU122	lény (noun)
HU1978	újszülött (noun)
HU2119	buta (adjective)
HU159	semmit sem (noun)
HU1389	háztartás (noun)
HU467	üzletember (noun)
HU1702	rabló (noun)
HU604	kutya (noun)
HU1531	dühös (noun)
HU1590	mozzarella (noun)
HU528	rossz (adjective)
HU1686	patkány (noun)
HU900	bűnözés (noun)
HU2165	kín (noun)
HU662	átlagember (noun)
HU1903	könyvmoly (noun)
HU712	nyuszi (noun)
HU709	kibaszott (noun)
HU874	szerető (noun)
HU2181	crossdresser (noun)
