ID1321	karyawan (noun)
ID1957	iri (adjective)
ID300	biadab (noun)
ID1133	wanita (noun)
ID483	band (noun)
ID1052	awak (noun)
ID2275	asia (noun)
ID2111	azab (adjective)
ID2629	tajam (adjective)
ID1194	jenayah (adjective)
ID257	kedekut (noun)
ID1588	kenal (verb)
ID2627	pandai (adjective)
ID2331	biasa (adjective)
ID2717	protes (noun)
ID651	petani (noun)
ID2782	bohong (adjective)
ID402	lelaki (noun)
ID1031	idaman (noun)
ID1423	tani (noun)
ID638	coklat (noun)
ID425	cerita (noun)
ID775	betina (noun)
ID1378	biadab (adjective)
ID634	atasan (noun)
ID205	pemerkosa (noun)
ID863	batang (noun)
ID1320	pekerja (noun)
ID1602	cerdik (adjective)
ID2653	palsu (adjective)
ID544	brengsek (noun)
ID309	kekejaman (noun)
ID1707	pondok (noun)
ID2484	kentang (noun)
ID2356	ulat (noun)
ID226	tolol (noun)
ID577	kesalahan (noun)
ID2029	kupu-kupu (noun)
ID1591	liar (adjective)
ID1098	budak (noun)
ID350	pencuri (noun)
ID333	menteri (noun)
ID1583	bercinta (verb)
ID964	muka (noun)
ID763	pengecut (noun)
ID1592	haram (adjective)
ID1377	sedih (adjective)
ID3060	paksa (noun)
ID2447	berlalu (verb)
ID296	penjahat (noun)
ID503	tanda (noun)
ID1892	sial (adjective)
ID2917	tidak dapat (adjective)
ID1801	guru (noun)
ID1409	pengadaan (noun)
ID2357	cacing (noun)
ID897	kursi (noun)
ID1506	mafia (noun)
ID1825	lady (noun)
ID303	barbar (noun)
ID1207	tanah (noun)
ID2403	mengganggu (verb)
ID729	bacot (noun)
ID2880	konyol (adjective)
ID1014	pijat (noun)
ID2725	sunyi (adjective)
ID708	massa (noun)
ID637	cokelat (noun)
ID367	penipuan (noun)
ID2583	kebiasaan (adjective)
ID2858	kecoa (noun)
ID1257	roti (noun)
ID2338	mendengar (verb)
ID2328	malang (noun)
ID54	fakultas (noun)
ID2310	dibunuh (noun)
ID2318	eksekusi (noun)
ID485	kumpulan (noun)
ID1743	kedekut (adjective)
ID706	pengangguran (noun)
ID1097	nak (noun)
ID1472	kaki (noun)
ID911	kol (noun)
ID1601	licin (adjective)
ID204	pemerkosaan (noun)
ID1562	nyamuk (noun)
ID3049	gembira (adjective)
ID2563	aneh (adjective)
ID502	ganas (noun)
ID155	garang (adjective)
ID1358	moral (noun)
ID2415	berdoa (verb)
ID1857	bersedih (adjective)
ID830	suku (noun)
ID713	bus (noun)
ID1677	israel (noun)
ID2099	bayan (noun)
ID1130	puan (noun)
ID834	petugas (noun)
ID132	bercanda (noun)
ID1232	pantat (noun)
ID1355	akhlak (noun)
ID469	fanatik (noun)
ID1401	kerabat (noun)
ID2704	sokongan (noun)
ID278	pelit (noun)
ID2052	mesum (noun)
ID406	dude (noun)
ID1976	cepat (adjective)
ID53	dosen (noun)
ID722	buruk (adjective)
ID2897	miskin (adjective)
ID1926	umum (noun)
ID2700	pengecut (adjective)
ID1855	salah (adjective)
ID2121	kejahatan (adjective)
ID2104	jimat (noun)
ID2671	perang (adjective)
ID904	prof (noun)
ID1391	boros (noun)
ID1844	lucah (adjective)
ID936	wartawan (noun)
ID2884	kebanyakan (adjective)
ID1739	pelit (adjective)
ID2607	gemas (adjective)
ID628	majikan (noun)
ID1704	rumah tangga (noun)
ID2896	susah (adjective)
ID1282	skor (noun)
ID2912	hambar (adjective)
ID1086	rookie (noun)
ID1852	pembunuhan (noun)
ID2920	murahan (adjective)
ID1725	dara (noun)
ID2057	pegawai (noun)
ID1614	mencuri (noun)
ID3020	hoax (noun)
ID2054	polis (noun)
ID227	bodoh (noun)
ID202	fitnah (noun)
ID2919	rendah (adjective)
ID2667	ganas (adjective)
ID519	kuasa (noun)
ID2369	silap (verb)
ID429	pembohong (noun)
ID1937	anggota (noun)
ID1286	beban (noun)
ID2469	melampaui (verb)
ID445	bangang (adjective)
ID2448	berjalan (verb)
ID1673	yahudi (noun)
ID1493	marah (noun)
ID1950	dengki (noun)
ID2869	yahudi (adjective)
ID96	binal (adjective)
ID2918	bangsat (adjective)
ID2156	tikus (noun)
ID513	hitam (noun)
ID46	agen (noun)
ID724	hina (adjective)
ID2139	tiang (noun)
ID486	bangsat (noun)
ID2438	menipu (verb)
ID3058	kekerasan (noun)
ID463	dungu (adjective)
ID195	makhluk (noun)
ID720	buaya (noun)
ID399	bohong (noun)
ID712	jahanam (noun)
ID163	giat (noun)
ID1466	kawan (noun)
ID593	beast (noun)
ID1817	mesum (adjective)
ID2411	doa (verb)
ID2927	kekerasan (adjective)
ID1096	pemula (noun)
ID2212	domba (noun)
ID1841	kotor (adjective)
ID1808	penulis (noun)
ID2001	toilet (noun)
ID1284	banyak (noun)
ID1371	kasar (adjective)
ID2816	mencuri (verb)
ID1108	vagina (noun)
ID528	kurang ajar (noun)
ID1858	sendu (adjective)
ID498	kriminal (noun)
ID1225	palsu (noun)
ID2107	dahsyat (adjective)
ID2470	mampus (verb)
ID1961	sakit hati (adjective)
ID1851	berbohong (noun)
ID1074	campuran (noun)
ID1216	kebencian (noun)
ID2669	buta (adjective)
ID542	gampang (noun)
ID798	scammer (noun)
ID2393	kaya baru (noun)
ID877	biasa (noun)
ID1198	diplomat (noun)
ID2787	kodok (noun)
ID2691	kembang (adjective)
ID2117	pesta (noun)
ID2409	mohon (verb)
ID1611	maling (noun)
ID1250	punggung (noun)
ID491	nakal (noun)
ID2966	penderitaan (noun)
ID686	volume (noun)
ID1110	timun (noun)
ID2911	tawar (adjective)
ID1292	puluhan (noun)
ID439	bodoh (adjective)
ID457	tolol (adjective)
ID1184	pidana (noun)
ID2990	waria (noun)
ID1894	bahagia (adjective)
ID2125	kacang (noun)
ID1738	terbatas (adjective)
ID631	bos (noun)
ID871	kesusahan (noun)
ID2756	jijik (adjective)
ID1726	gadis (noun)
ID616	kejahatan (noun)
ID193	hewan (noun)
ID223	bebal (noun)
ID1850	lengah (adjective)
ID52	akademik (noun)
ID1590	mengenali (verb)
ID1213	kesan (noun)
ID224	gila (noun)
ID306	ingin (adjective)
ID1966	geram (adjective)
ID2631	bijak (adjective)
ID1939	penis (noun)
ID1788	konyol (noun)
ID1530	busuk (adjective)
ID2050	pelaku (noun)
ID2827	curi (verb)
ID2625	sombong (adjective)
ID2273	putih (noun)
ID1450	ikan (noun)
ID1238	ekor (noun)
ID1369	jahat (adjective)
ID2418	pohon (verb)
ID1376	pedih (adjective)
ID1349	keong (noun)
ID2508	beribadah (verb)
ID2894	politik (adjective)
ID314	peniaga (noun)
ID692	cacat (noun)
ID826	kaum (noun)
ID1215	jijik (noun)
ID1446	bau (noun)
ID499	dilarang (noun)
ID173	tentera (noun)
ID676	egois (noun)
ID530	babi (noun)
ID1955	dengki (adjective)
ID732	klik (noun)
ID2407	meminta (verb)
ID837	kambing (noun)
ID906	prof. (noun)
ID30	pelecehan (noun)
ID1326	bebas (adjective)
ID2148	harga diri (noun)
ID929	kelinci (noun)
ID365	mangsa (noun)
ID2361	kacau (verb)
ID1342	ngaceng (noun)
ID1527	berbau (adjective)
ID9	kung (verb)
ID1956	cemburu (adjective)
ID3053	kuat (noun)
ID3051	istana (noun)
ID366	menipu (noun)
ID379	lonte (noun)
ID424	sapi (noun)
ID2678	cina (adjective)
ID2312	bunuh (noun)
ID2474	arwah (verb)
ID2445	pergi (verb)
ID2118	partai (noun)
ID1120	menolak (noun)
ID1183	jenayah (noun)
ID573	merusak (noun)
ID2531	mendesak (adjective)
ID2416	merayu (verb)
ID2715	borak (noun)
ID3056	keterlaluan (noun)
ID335	pendukung (noun)
ID1003	memo (noun)
ID2565	ganjil (adjective)
ID1728	kepercayaan (noun)
ID45	faktor (noun)
ID762	kasta (noun)
ID1885	celaka (adjective)
ID2749	berbeda (adjective)
ID2562	cacat (adjective)
ID2471	maut (verb)
ID806	anying (noun)
ID1555	penonton (noun)
ID315	penjual (noun)
ID727	lubang (noun)
ID1777	kemiskinan (noun)
ID1791	hampa (adjective)
ID1586	mengetahui (verb)
ID3085	canggung (adjective)
ID652	pengusaha (noun)
ID721	jelek (adjective)
ID2630	cerdas (adjective)
ID2348	nazar (noun)
ID2663	bayi (noun)
ID2870	kekurangan (adjective)
ID905	profesor (noun)
ID487	penipu (noun)
ID331	pejuang (noun)
ID2443	meninggal (verb)
ID2649	basi (adjective)
ID1100	cung (noun)
ID141	tipu (noun)
ID2424	muak (verb)
ID737	tahanan (noun)
ID2137	dalang (noun)
ID2186	hiu (noun)
ID2977	menyakiti (verb)
ID1328	peminat (noun)
ID2149	kebanggaan (noun)
ID1880	gelabah (adjective)
ID2584	selalu (adjective)
ID479	kelompok (noun)
ID324	pengacara (noun)
ID1101	muda (noun)
ID621	bosan (noun)
ID1779	miskin (noun)
ID2335	wajar (adjective)
ID1373	hitam (adjective)
ID1303	kuli (noun)
ID1587	main (verb)
ID951	gay (noun)
ID1954	sirik (adjective)
ID2689	bengkak (adjective)
ID453	bebal (adjective)
ID633	ketua (noun)
ID39	kasar (noun)
ID222	dungu (noun)
ID997	dukun (noun)
ID1135	bu (noun)
ID330	pembela (noun)
ID191	manusia (noun)
ID725	keji (adjective)
ID2303	teroris (noun)
ID209	diperkosa (noun)
ID1322	mabuk (adjective)
ID754	sampah (noun)
ID477	geng (noun)
ID207	rogol (noun)
ID1963	marah (adjective)
ID1001	murahan (noun)
ID443	goblok (adjective)
ID2309	membunuh (noun)
ID1847	malas (adjective)
ID496	jahat (noun)
ID2464	almarhum (verb)
ID1325	gila (adjective)
ID2815	mengambil (verb)
ID2855	kepercayaan (adjective)
ID2674	pura-pura (adjective)
ID2007	kamar mandi (noun)
ID1462	kutu (noun)
ID2368	merusak (verb)
ID2967	azab (noun)
ID2116	sambutan (noun)
ID1211	kotoran (noun)
ID1603	pintar (adjective)
ID963	gosip (noun)
ID2460	mati (verb)
ID125	pengikut (noun)
ID441	bego (adjective)
ID1834	nafsu (noun)
ID398	kebohongan (noun)
ID102	tegar (adjective)
ID970	pengkhianat (noun)
ID1223	munafik (noun)
ID2413	memohon (verb)
ID1291	ton (noun)
ID543	celaka (noun)
ID245	ass (noun)
ID165	minat (noun)
ID304	kampung (noun)
ID557	mayat (noun)
ID1582	tahu (verb)
ID1105	memek (noun)
ID68	kebodohan (noun)
ID2394	mendesak (verb)
ID693	git (noun)
ID2401	mengecewakan (verb)
ID212	pencabulan (noun)
ID2532	ketat (adjective)
ID484	gelombang (noun)
ID2900	mundur (adjective)
ID1898	seorang (noun)
ID1584	entot (verb)
ID230	goblok (noun)
ID1396	anak bini (noun)
ID1372	malang (adjective)
ID1106	bunga (noun)
ID2518	mengajarkan (verb)
ID2672	coklat (adjective)
ID2277	ras (noun)
ID707	kerumunan (noun)
ID944	homo (noun)
ID135	perangai (noun)
ID75	banteng (noun)
ID1289	banyaknya (noun)
ID824	keluarga (noun)
ID1271	gali (noun)
ID489	bajingan (noun)
ID2330	umum (adjective)
ID313	pedagang (noun)
ID1869	menyedihkan (adjective)
ID2429	makan (verb)
ID1217	menyenangkan (noun)
ID559	pengurus (noun)
ID2108	kejam (adjective)
ID482	sekelompok (noun)
ID2109	teruk (adjective)
ID29	pelanggaran (noun)
ID2479	gugur (verb)
ID2952	terorisme (noun)
ID1525	meki (noun)
ID2468	hidup (verb)
ID869	persoalan (noun)
ID2507	menghormati (verb)
ID161	rajin (noun)
ID2898	papa (adjective)
ID1604	munafik (adjective)
ID1477	busuk (noun)
ID808	asu (noun)
ID65	mental (noun)
ID2402	menuntut (verb)
ID927	sialan (noun)
ID2656	ayam (noun)
ID2926	kencang (adjective)
ID342	anjing (noun)
ID1095	pemuda (noun)
ID2679	sia-sia (adjective)
ID743	barisan (noun)
