IS1149	sitjandi (noun)
IS813	hvítkál (noun)
IS1206	áhugamaður (noun)
IS2170	venjulegur (adjective)
IS1434	sofa hjá (verb)
IS357	heimskur (adjective)
IS601	drusla (noun)
IS1965	skólp (noun)
IS2342	ungabarn (noun)
IS2714	vald (noun)
IS1926	tróða (noun)
IS847	púff (noun)
IS2230	kartafla (noun)
IS1009	cunt (noun)
IS1854	lögreglumenn (noun)
IS148	hálfviti (noun)
IS2094	latino (noun)
IS581	git (noun)
IS883	sóp (noun)
IS936	þrá (noun)
IS2442	skakkur (adjective)
IS1112	óþægilegt (noun)
IS1265	pander (noun)
IS2141	slayer (noun)
IS2123	ticks (noun)
IS1366	fasisma (noun)
IS1667	konur (noun)
IS248	lögfræðinga (noun)
IS417	magnate (noun)
IS1028	ma'am (noun)
IS1103	jerry (noun)
IS1774	ingum (noun)
IS1693	latur (adjective)
IS1713	óheppinn (adjective)
IS2220	deyja (verb)
IS1239	ær (noun)
IS395	sekt (noun)
IS1476	stela (noun)
IS1501	hafa-ekki (noun)
IS1555	skáli (noun)
IS2702	véla (verb)
IS315	uppnám (noun)
IS1749	typpið (noun)
IS2682	samsæriskenningar (noun)
IS822	kynhvöt (noun)
IS2438	rangar (adjective)
IS2364	aðjúnkt (noun)
IS2328	hænur (noun)
IS1480	fengur (noun)
IS1173	porter (noun)
IS170	asni (noun)
IS2060	runt (noun)
IS1850	lögreglumaður (noun)
IS1781	snar (noun)
IS2240	veit-allt (noun)
IS1619	della (noun)
IS1029	frú (noun)
IS2107	gæs (noun)
IS2629	pína (noun)
IS2709	afl (noun)
IS2158	óheppilegt (noun)
IS382	ofbeldi (noun)
IS1943	rotta (noun)
IS1658	siðlaus (adjective)
IS1085	refsing (noun)
IS2274	lús (noun)
IS1139	neðstu (noun)
IS796	prófessor (noun)
IS273	heimskur (noun)
IS823	eros (noun)
IS2434	rangur (adjective)
IS2124	morð (noun)
IS1938	grasker (noun)
IS2070	nigga (noun)
IS236	ráðherra (noun)
IS2159	venjulega (adjective)
IS338	kaós (noun)
IS2626	neyð (noun)
IS448	bastard (noun)
IS316	rugl (noun)
IS1253	fjölskylda (noun)
IS1083	glæpi (noun)
IS1007	píka (noun)
IS1755	Öfund (noun)
IS445	motherfucker (noun)
IS2309	stoltur (adjective)
IS947	ugla (noun)
IS591	gera-ekkert (noun)
IS608	slæmur (adjective)
IS1179	fullt (noun)
IS505	leiðindum (noun)
IS1710	leiður (adjective)
IS1158	ræktun (noun)
IS1254	frændur (noun)
IS791	kæruleysi (noun)
IS1868	dóni (noun)
IS2167	vanur (adjective)
IS1445	ólöglegur (adjective)
IS2571	klár (adjective)
IS2127	dráp (noun)
IS1364	gangsters (noun)
IS775	klípa (noun)
IS1354	bræði (noun)
IS711	hundur (noun)
IS4	gelta (verb)
IS1077	afbrot (noun)
IS1733	aftur tala (noun)
IS1818	moth (noun)
IS2394	ránum (noun)
IS1747	massi (noun)
IS2080	negro (noun)
IS2577	ekki (adjective)
IS279	dupe (noun)
IS1676	gervi (noun)
IS1284	búandi (noun)
IS2510	kjánalegur (adjective)
IS2375	guff (noun)
IS2028	fé (noun)
IS1115	hræsni (noun)
IS2030	heimska (noun)
IS1004	sonny (noun)
IS1513	samkynhneigð (noun)
IS1483	ræna (noun)
IS2163	almennur (adjective)
IS890	drasl (noun)
IS1740	iðnaðarmaður (noun)
IS665	tík (noun)
IS2179	viper (noun)
IS594	mob (noun)
IS1673	faker (noun)
IS938	vamp (noun)
IS2632	þraut (noun)
IS2383	controller (noun)
IS1006	twat (noun)
IS2029	heimsku (noun)
IS1022	hafna (noun)
IS623	fanga (noun)
IS350	lygasaga (noun)
IS2294	reitt (adjective)
IS223	barbarian (noun)
IS1301	nákvæmlega (noun)
IS385	hljómsveit (noun)
IS1598	fötlun (noun)
IS776	vandi (noun)
IS1259	fjölskyldu (noun)
IS2675	gabb (noun)
IS2550	fátækur (adjective)
IS707	hundar (noun)
IS572	hroka (noun)
IS2069	nigger (noun)
IS1178	heilmikið (noun)
IS742	geit (noun)
IS2580	ofbeldisfullur (adjective)
IS999	samræmi (noun)
IS1987	got (noun)
IS2460	stela (verb)
IS805	stól (noun)
IS511	kýr (noun)
IS2668	fugl (noun)
IS1381	moll (noun)
IS850	samkynhneigðra (noun)
IS1207	geðveikur (adjective)
IS515	naut (noun)
IS224	barbaric (noun)
IS1506	homma (noun)
IS1837	nörd (noun)
IS120	fána (noun)
IS29	misnotkun (noun)
IS1783	blöndu (noun)
IS1617	þvættingur (noun)
IS853	gays (noun)
IS881	bra (noun)
IS16	áhugaleysi (noun)
IS1907	veisla (noun)
IS1263	ofstæki (noun)
IS609	slæmt (adjective)
IS2413	kidnapper (noun)
IS1604	slökkva (noun)
IS2225	spud (noun)
IS1288	búi (noun)
IS1929	léleg (noun)
IS2231	kartöflu (noun)
IS1848	lögga (noun)
IS682	róg (noun)
IS2181	vulture (noun)
IS2630	sársauki (noun)
IS714	seppi (noun)
IS2699	craven (noun)
IS314	dude (noun)
IS2583	ofbeldi (adjective)
IS1156	bak (noun)
IS1215	reisn (noun)
IS233	talsmenn (noun)
IS1663	siðlaust (noun)
IS178	græðgi (noun)
IS1458	grís (noun)
IS1719	morðingi (noun)
IS2355	kínversku (adjective)
IS347	fib (noun)
IS2289	heitur (adjective)
IS824	ríða (noun)
IS2221	drepast (verb)
IS958	wanker (noun)
IS2563	blóðhundur (noun)
IS73	sodomy (noun)
IS152	fífl (noun)
IS1039	villandi (noun)
IS2173	hlera (verb)
IS1123	hlið (noun)
IS128	lifandi vera (noun)
IS955	áhöfn (noun)
IS150	bjáni (noun)
IS2249	slúður (noun)
IS1610	þvaður (noun)
IS1202	kennari (noun)
IS340	ringulreið (noun)
IS432	svín (noun)
IS504	leiðinlegur (noun)
IS645	carrion (noun)
IS1909	aðila (noun)
IS2293	reiður (adjective)
IS172	rass (noun)
IS1995	hvolpur (noun)
IS360	vitlaus (adjective)
IS2710	yfirgangur (noun)
IS2166	óbreyttur (adjective)
IS833	kanínur (noun)
IS1082	lögbrot (noun)
IS1026	skera upp (noun)
IS934	tál (noun)
IS615	yap (noun)
IS2026	sauðfé (noun)
IS899	dót (noun)
IS1287	bóndi (noun)
IS712	rakki (noun)
IS410	skaði (noun)
IS365	einfaldur (adjective)
IS333	fát (noun)
IS797	prófessorar (noun)
IS2502	kjánalegt (noun)
IS246	lögfræðingur (noun)
IS2572	gáfaður (adjective)
IS2368	málsvörn (noun)
IS898	mor (noun)
IS1567	hýena (noun)
IS611	illur (adjective)
IS455	kúgun (noun)
IS2639	pyntingar (noun)
IS826	skrúfa (noun)
IS2406	rænt (noun)
IS3	glenna (verb)
IS1175	slæmri (noun)
IS291	hóra (noun)
IS855	twink (noun)
IS1916	pea (noun)
IS1712	dapur (adjective)
IS1924	stöng (noun)
IS1276	hélt kona (noun)
IS659	fávita (noun)
IS762	typpi (noun)
IS1432	stunda kynlíf (verb)
IS1994	hákarl (noun)
IS1348	gretta (noun)
IS254	barón (noun)
IS1081	glæpamenn (noun)
IS2535	karfi (noun)
IS366	grænn (adjective)
IS2022	kindur (noun)
IS1942	rottur (noun)
IS144	auli (noun)
IS1335	villa (noun)
IS1538	fjöldinn (noun)
IS1800	lakari (noun)
IS1120	hræsnari (noun)
IS2677	gult spjald (noun)
IS2284	gramur (adjective)
IS2093	white (noun)
IS657	retard (noun)
IS1228	siðferði (noun)
IS1856	lögregluþjónn (noun)
IS1611	kjaftæði (noun)
IS1328	hjörð (noun)
IS1552	þrif (noun)
IS785	skipta upp (noun)
IS328	óreiðu (noun)
IS1562	hroki (noun)
IS506	leiðindi (noun)
IS1224	áhugamenn (noun)
IS214	egg (noun)
IS1370	fava (noun)
IS1186	skora (noun)
IS1327	flokkur (noun)
IS834	kanína (noun)
IS1267	pimp (noun)
IS1273	haldið kona (noun)
IS896	sorp (noun)
IS1631	aðgerðaleysi (noun)
IS610	vondur (adjective)
IS1509	lesbía (noun)
IS1797	klósett (noun)
IS1882	dónalegur (noun)
IS1670	imposter (noun)
IS11	leti (noun)
IS538	bændur (noun)
IS396	sekur (noun)
IS1681	lygari (noun)
IS1853	lögreglumaðurinn (noun)
IS1185	hellingur (noun)
IS1993	keyri (noun)
IS1625	fátækt (noun)
IS808	prof (noun)
IS2114	brent (noun)
IS1315	fiskur (noun)
