IT1152	gay (noun)
IT3900	andarsene (verb)
IT2018	assassino (noun)
IT789	boy (noun)
IT365	cretino (noun)
IT347	idiota (noun)
IT3560	pastore (noun)
IT456	casino (noun)
IT2841	pittore (noun)
IT873	becco (noun)
IT4594	rosso (noun)
IT27	indifferenza (noun)
IT4247	differente (adjective)
IT3483	memoria (noun)
IT1480	circo (noun)
IT1112	leader (noun)
IT247	massa (noun)
IT4180	rosso (adjective)
IT2398	fascista (noun)
IT1893	figa (noun)
IT1355	azienda (noun)
IT2391	campo a (noun)
IT3847	arrivato (noun)
IT3901	crepare (verb)
IT335	ignorante (adjective)
IT364	buffone (noun)
IT2050	criminalità (noun)
IT115	duro (adjective)
IT1654	strano (noun)
IT4486	sufficiente (adjective)
IT1576	professore (noun)
IT3035	maestra (noun)
IT3781	clown (noun)
IT258	animali (noun)
IT2188	tonnellate (noun)
IT1110	capo (noun)
IT1546	maschio (noun)
IT2498	pagliaccio (noun)
IT2672	sbattere (verb)
IT1310	ignobile (adjective)
IT4485	sostenuto (adjective)
IT1601	concorso (noun)
IT1744	monnezza (noun)
IT4663	romani (noun)
IT1963	amante (noun)
IT772	favola (noun)
IT551	ministro (noun)
IT2953	disabili (noun)
IT3734	uccidere (noun)
IT2752	roba (noun)
IT161	scherzo (noun)
IT4350	ideologico (adjective)
IT1108	principale (noun)
IT2019	delitto (noun)
IT3782	errore (noun)
IT3154	asta (noun)
IT3459	stanga (noun)
IT2083	orrore (noun)
IT209	spazzatura (noun)
IT1584	prof (noun)
IT3886	la rovina (noun)
IT1602	piena (noun)
IT3685	pochissimo (noun)
IT1215	famiglia (noun)
IT3638	di colore (noun)
IT751	mercato (noun)
IT4196	stronzata (noun)
IT151	fedele (noun)
IT245	esercito (noun)
IT3274	cesso (noun)
IT3719	assassini (noun)
IT1878	adolescente (noun)
IT2173	decine (noun)
IT573	difesa (noun)
IT1222	manzo (noun)
IT3689	minuto (noun)
IT2822	popolazione (noun)
IT788	bugiardo (noun)
IT1737	rifiuti (noun)
IT2736	ladri (noun)
IT3646	nero (adjective)
IT2606	ufficiale (noun)
IT3079	incapacità (noun)
IT3331	colpevole (noun)
IT3151	mazza (noun)
IT1880	figliuolo (noun)
IT4497	terrorismo (noun)
IT1662	ragazzo (noun)
IT2699	suini (noun)
IT4288	fascista (adjective)
IT4119	piccolo (noun)
IT1585	docente (noun)
IT2972	ano (noun)
IT1900	patata (noun)
IT842	delinquente (noun)
IT110	amore di sé (noun)
IT2735	ladro (noun)
IT4437	imbecille (adjective)
IT3414	economia (noun)
IT282	stupro (noun)
IT1701	fogna (noun)
IT4326	fuori di sé (adjective)
IT4395	idiota (adjective)
IT2407	trucco (noun)
IT3649	uomo (noun)
IT2350	familiari (noun)
IT1046	incapace (noun)
IT670	troia (noun)
IT2646	inutile (noun)
IT508	barbarie (noun)
IT956	martino (noun)
IT153	complice (noun)
IT4068	pirla (noun)
IT2898	cantanti (noun)
IT2988	miseria (noun)
IT4152	comune (adjective)
IT1313	stomaco (noun)
IT1772	ritrovato (noun)
IT382	ignorante (noun)
IT3355	cosa nostra (noun)
IT2027	crimine (noun)
IT1259	branco (noun)
IT3108	triste (adjective)
IT89	idiozia (noun)
IT60	operatore (noun)
IT4662	rom (noun)
IT1212	mole (noun)
IT4404	corrente (adjective)
IT4105	banale (adjective)
IT2566	fascisti (noun)
IT4586	ndrangheta (noun)
IT199	processo (noun)
IT2856	mestiere (noun)
IT3904	mancare (verb)
IT2701	maiali (noun)
IT1706	vile (noun)
IT4117	bambina (noun)
IT1494	commesso (noun)
IT3429	compagnia (noun)
IT1623	scopare (noun)
IT4385	scarso (adjective)
IT917	stronza (noun)
IT2560	mafioso (noun)
IT764	carne (noun)
IT3643	nera (noun)
IT943	ricatto (noun)
IT3460	palo (noun)
IT1578	professori (noun)
IT1917	cogliere (noun)
IT3243	mix (noun)
IT3259	bagno (noun)
IT4122	bimbo (noun)
IT4033	abituato (adjective)
IT3034	insegnanti (noun)
IT3173	gay (adjective)
IT2276	vile (adjective)
IT4118	bambino (noun)
IT3008	bisogno (noun)
IT2299	sofferto (adjective)
IT609	intellettuale (noun)
IT3549	pecore (noun)
IT2143	cuccia (noun)
IT1315	bocca (noun)
IT46	abusi (noun)
IT1472	cani (noun)
IT1039	cialtrone (noun)
IT2973	senza senso (noun)
IT2487	ipocrita (adjective)
IT2072	abominio (noun)
IT2857	governo (noun)
IT1609	affluenza (noun)
IT2142	canile (noun)
IT1771	arte (noun)
IT4149	cinesi (adjective)
IT2999	necessità (noun)
IT1495	capra (noun)
IT834	giro (noun)
IT1916	rifiutare (noun)
IT1703	vaccina (noun)
IT3639	neri (noun)
IT3482	ratto (noun)
IT4645	forza (noun)
IT4515	angoscia (noun)
IT1062	ignoranza (noun)
IT3666	bianco (noun)
IT4120	bebè (noun)
IT4402	qualsiasi (adjective)
IT275	creatura (noun)
IT2051	politico (noun)
