LV2092	neglīts (adjective)
LV762	muļķības (noun)
LV1164	gangsteru (noun)
LV1644	draudzes (noun)
LV1596	policists (noun)
LV864	cienītā (noun)
LV2048	stiprs (adjective)
LV201	bandītu (noun)
LV197	teste (noun)
LV2225	Čigāņi (noun)
LV230	baronu (noun)
LV784	taṇhā (noun)
LV638	kazām (noun)
LV575	kuce (noun)
LV2011	netīrs (adjective)
LV73	sīkumi (noun)
LV975	sēžas (noun)
LV1821	slepkavība (noun)
LV1504	dusmīgs (noun)
LV1030	kriminālnoziegums (noun)
LV1699	metis (noun)
LV228	suns (noun)
LV1730	gane (noun)
LV763	sadzīves atkritumu (noun)
LV1265	sus (noun)
LV1800	zosis (noun)
LV1278	zagļiem (noun)
LV1683	retorika (noun)
LV2125	terorismu (noun)
LV113	fauna (noun)
LV1363	hiēna (noun)
LV1957	zīdaiņiem (noun)
LV844	pīzda (noun)
LV1006	kaudzes (noun)
LV2109	uzmācas (noun)
LV214	tirgotājs (noun)
LV746	ģīmis (noun)
LV134	idiote (noun)
LV1881	kartupeļi (noun)
LV574	nokavēt (noun)
LV1675	Žurka (noun)
LV1426	māca (noun)
LV1962	jaundzimušo (noun)
LV1961	bēbis (noun)
LV70	joks (noun)
LV1855	klauni (noun)
LV656	problēmu (noun)
LV660	vienkāršās (noun)
LV498	apjoms (noun)
LV1645	pagasta (noun)
LV309	fanātisms (noun)
LV1353	mājturība (noun)
LV802	kretīnisms (noun)
LV1048	pieklājības (noun)
LV1423	instruktors (noun)
LV1424	instruktoru (noun)
LV493	augstprātība (noun)
LV1401	zemiem ienākumiem (noun)
LV1005	tonnas (noun)
LV8	vienaldzīgs (noun)
LV1171	fašistiem (noun)
LV1479	kukaiņu (noun)
LV1391	invaliditātes (noun)
LV2076	dumjš (adjective)
LV2	riet (verb)
LV1510	nekārtība (noun)
LV932	augsnes (noun)
LV380	šantāža (noun)
LV1816	ērces (noun)
LV1412	bezdarbība (noun)
LV1485	sass (noun)
LV673	kastām (noun)
LV754	gļēvulība (noun)
LV1727	gans (noun)
LV1814	ērču (noun)
LV2090	gudrs (adjective)
LV2078	muļķīgi (adjective)
LV2138	spīdzināšana (noun)
LV1126	blusu (noun)
LV878	demagoģija (noun)
LV1801	zoss (noun)
LV999	lērums (noun)
LV157	ass (noun)
LV1340	masas (noun)
LV1928	dusmīgs (adjective)
LV605	suņiem (noun)
LV1223	pussy (noun)
LV268	mauka (noun)
LV1959	zīdainis (noun)
LV559	maitu (noun)
LV1427	skolotājs (noun)
LV1045	tikumību (noun)
LV1905	īgņa (noun)
LV1394	nespēja (noun)
LV2067	šakāļi (noun)
LV490	iedomība (noun)
LV341	blabbermouth (noun)
LV1796	tehnisks (noun)
LV418	kasieris (noun)
LV977	aiz (noun)
LV107	dzīvnieki (noun)
LV1042	amatieru (noun)
LV250	muļķīgs (noun)
LV571	stulbs (noun)
LV502	tāds un tāds (noun)
LV1525	audzināt (noun)
LV1676	Žurkas (noun)
LV833	krustojums (noun)
LV866	kundze (noun)
LV979	aizmugure (noun)
LV1279	zādzība (noun)
LV1752	zaglis (noun)
LV736	gejs (noun)
LV1404	nabadzība (noun)
LV1275	zog (noun)
LV2079	muļķīgs (adjective)
LV2188	sazvērestības teorijas (noun)
LV322	joslas (noun)
LV1280	zādzībām (noun)
LV1082	saimniece (noun)
LV1808	terorists (noun)
LV925	fricis (noun)
LV681	profesors (noun)
