PL200	zwierzęta (noun)
PL512	fałsz (noun)
PL1285	gej (noun)
PL2298	bezdomnych (noun)
PL1607	kupa (noun)
PL1249	pierdolenie (noun)
PL1260	dziennikarzem (noun)
PL3398	bystry (adjective)
PL3719	terroryzm (noun)
PL2609	zły (noun)
PL2302	łasy (adjective)
PL1134	fala (noun)
PL1633	maź (noun)
PL850	masa (noun)
PL239	głupota (noun)
PL2194	złodziei (noun)
PL3783	ptaki (noun)
PL876	motłoch (noun)
PL2138	ruchać (verb)
PL604	dziki (noun)
PL2141	zaliczyć (verb)
PL3038	hiszpanie (noun)
PL2835	złe (noun)
PL769	bydła (noun)
PL1450	naród (noun)
PL897	podły (adjective)
PL2648	wierność (noun)
PL157	postęp (noun)
PL2727	pysk (noun)
PL1687	skóra (noun)
PL868	tłum (noun)
PL2224	skurwysyństwo (noun)
PL1597	przestępstwa (noun)
PL2188	złodziejem (noun)
PL3126	zabicie (noun)
PL3426	dzieci (noun)
PL234	kubek (noun)
PL3454	przeciętny (adjective)
PL3322	plotki (noun)
PL1608	nic (noun)
PL588	grono (noun)
PL2518	pic (noun)
PL3841	przemoc (noun)
PL913	klika (noun)
PL2496	pseudo (noun)
PL778	brązowy (noun)
PL840	pycha (noun)
PL760	nuda (noun)
PL2982	złodziej (noun)
PL1782	pracownik (noun)
PL2034	złość (noun)
PL444	kretyn (noun)
PL1985	stado (noun)
PL3652	tępy (adjective)
PL3558	wrak (noun)
PL246	głupi (adjective)
PL1605	zbrodnia (noun)
PL3537	niezgodny (adjective)
PL3586	ukraść (verb)
PL2726	ryj (noun)
PL3641	żydowski (adjective)
PL3096	zabójstwo (noun)
PL3891	gruby (adjective)
PL3337	wyjaśnienie (noun)
PL2754	mafii (noun)
PL892	złe (adjective)
PL579	sieć (noun)
PL2734	sprawca (noun)
PL1196	kapusta (noun)
PL2869	godność (noun)
PL104	stały (adjective)
PL1988	zakłamany (adjective)
PL154	cyfrowy (noun)
PL172	gorąco (noun)
PL895	kiepski (adjective)
PL2148	lewy (adjective)
PL2272	żyd (noun)
PL1152	kurka (noun)
PL1059	plebs (noun)
PL869	zgraja (noun)
PL852	git (noun)
PL3459	klasyczny (adjective)
PL2106	rzecznik (noun)
PL2812	papuga (noun)
PL2419	bieda (noun)
PL3670	biedny (adjective)
PL2587	penis (noun)
PL385	pełnomocnik (noun)
PL240	szaleństwo (noun)
PL873	hołota (noun)
PL316	burdel (noun)
PL171	fanatyzm (noun)
PL554	paliwoda (noun)
PL3447	chiński (adjective)
PL1528	żreć (verb)
PL2258	samej płci (noun)
PL161	agresywny (adjective)
PL2137	pierdolić (verb)
PL3320	uzasadnienie (noun)
PL3080	terroryści (noun)
PL2603	gniew (noun)
PL346	bandyta (noun)
PL2183	konię (noun)
PL3839	potęga (noun)
PL3851	zdrajca (noun)
PL2545	owady (noun)
PL2100	widz (noun)
PL1320	ściek (noun)
PL920	mafia (noun)
PL759	nudy (noun)
PL2941	głupoty (noun)
PL1876	rodzeństwo (noun)
PL2517	blaga (noun)
PL1913	rolnik (noun)
PL595	zakazane (noun)
PL3540	inny (adjective)
PL686	szantaż (noun)
PL2199	kradzieży (noun)
PL402	piesek (noun)
PL2889	retoryka (noun)
PL1402	naiwność (noun)
PL1677	za (noun)
PL2237	gejem (noun)
PL1883	fanatyk (noun)
PL483	kurwa (noun)
PL511	nieprawda (noun)
PL3332	wytłumaczenie (noun)
PL383	adwokat (noun)
PL1783	pracownika (noun)
PL2979	wąż (noun)
PL1717	hodowli (noun)
PL3886	wulgarny (adjective)
PL3668	polityczny (adjective)
PL1272	dziwny (noun)
PL2228	łatek (noun)
PL1922	faszystowski (noun)
PL2290	lud (noun)
PL3636	szakal (noun)
PL1081	cyrk (noun)
PL1225	dupa (noun)
PL3565	faszystowski (adjective)
PL2880	szczury (noun)
PL3578	żabka (noun)
PL728	hipokryta (noun)
PL1504	gwałtu (noun)
PL1667	hipokryzja (noun)
PL1957	smród (noun)
PL1321	zastraszyć (noun)
PL1498	madam (noun)
PL403	pies (noun)
PL3805	teorie spiskowe (noun)
PL1920	rolnicy (noun)
PL3362	menda (noun)
PL802	przedsiębiorca (noun)
PL2454	nauczyciel (noun)
PL442	debil (noun)
PL1179	kasty (noun)
PL1002	pizda (noun)
PL439	idiota (noun)
PL1234	pieprzyć (noun)
PL226	pała (noun)
PL587	zespół (noun)
PL1599	kryminał (noun)
PL2807	parafii (noun)
PL3780	ptaków (noun)
PL3375	wściekły (adjective)
PL1379	marzenie (noun)
PL2836	zła (noun)
PL1748	wir (noun)
PL2479	brzydki (adjective)
PL3662	żałosny (adjective)
PL2745	policjantów (noun)
PL2456	nauczycielka (noun)
PL2104	pussy (noun)
PL400	prawnik (noun)
PL509	kłamstwo (noun)
PL2937	owce (noun)
PL1558	kochanka (noun)
PL265	cymbał (noun)
PL3343	narzekać (noun)
PL792	chłopów (noun)
PL1464	synek (noun)
PL2970	ekonomista (noun)
PL598	przestępca (noun)
PL2400	bzdura (noun)
PL612	wskaźnik (noun)
PL1741	mnóstwo (noun)
PL3376	zwierzęcy (adjective)
PL3699	seksualne (noun)
PL2066	bób (noun)
PL848	wielkość (noun)
PL1921	faszysta (noun)
PL2583	penisa (noun)
PL460	głąb (noun)
PL570	koło (noun)
PL2606	oburzenie (noun)
PL1966	ryby (noun)
PL1502	dame (noun)
PL1047	czelność (noun)
PL358	barbarzyństwo (noun)
PL2864	duma (noun)
PL1143	koń (noun)
PL1161	problemem (noun)
PL1223	fuck (noun)
PL66	wydziału (noun)
PL851	wół (noun)
PL2144	pieprzyć (verb)
PL1612	zero (noun)
PL352	bankier (noun)
PL2872	wyższość (noun)
PL1157	przejąć się (noun)
PL81	umysłowo (noun)
PL365	cham (noun)
PL57	agent (noun)
PL3453	zwykły (adjective)
PL489	małpa (noun)
PL877	dzicz (noun)
PL1319	krowa (noun)
PL2238	gejów (noun)
PL2824	ostry (adjective)
PL18	obojętność (noun)
PL3323	plotka (noun)
PL2117	do niczego (noun)
PL1499	pani (noun)
PL991	idiotka (noun)
PL1532	robienie się (noun)
PL1159	problemu (noun)
PL41	znęcanie się (noun)
PL1915	rolnika (noun)
PL1797	szalony (adjective)
PL3421	kura (noun)
PL2435	ignorancja (noun)
PL255	dureń (noun)
PL833	arogancja (noun)
PL3560	robiony (adjective)
PL766	bydło (noun)
PL40	nadużycie (noun)
PL2854	biedny (noun)
PL2390	niepełnosprawnych (noun)
PL3226	umrzeć (verb)
PL1404	sowa (noun)
PL615	złośliwy (noun)
PL2340	laska (noun)
PL1847	szkodliwy (adjective)
PL1917	farmer (noun)
PL3450	szary (adjective)
PL1301	oblicze (noun)
PL3684	brednie (noun)
PL2740	oficer (noun)
PL1473	ogórek (noun)
PL925	więzień (noun)
PL581	gang (noun)
PL420	sęp (noun)
PL854	tak a tak (noun)
PL2278	żyda (noun)
PL1828	przyzwoitość (noun)
PL2135	jebać (verb)
PL250	prostak (noun)
PL2189	kradzież (noun)
PL2288	gmin (noun)
PL2055	faszystów (noun)
PL796	chłop (noun)
PL1852	smutny (adjective)
PL1643	syf (noun)
PL583	banda (noun)
PL2741	policjant (noun)
PL2623	bałagan (noun)
PL392	obrona (noun)
PL1705	tyłek (noun)
PL1106	urzędnik (noun)
PL3509	porwanie (noun)
PL761	krów (noun)
PL1190	profesor (noun)
PL3273	emocjonalny (adjective)
PL326	jaja (noun)
PL79	idiotyzm (noun)
PL1110	kozy (noun)
PL3166	bugs (noun)
PL2045	pustka (noun)
PL3	podłość (noun)
PL1189	prof (noun)
PL1907	przyjaciółka (noun)
PL3813	torba (noun)
PL1835	moralność (noun)
PL1277	gay (noun)
PL225	bańka (noun)
PL2494	rzekomy (noun)
PL2130	reakcja (noun)
PL3442	ślepy (adjective)
PL3165	don (noun)
PL678	kutas (noun)
PL2191	złodziejstwo (noun)
PL64	akademicki (noun)
PL2374	wyłączyć (noun)
PL1829	moralności (noun)
PL2461	nauczycieli (noun)
PL1991	fałszywy (adjective)
PL2170	sus (noun)
PL2216	john (noun)
PL3031	czarny (adjective)
PL445	głupi (noun)
PL217	gwałt (noun)
PL1766	kopacz (noun)
