PT1602	peixes (noun)
PT2577	comum (adjective)
PT2689	pintar (verb)
PT831	cão (noun)
PT1974	deficiência (noun)
PT204	idiota (noun)
PT2807	crianças (noun)
PT1306	merda (noun)
PT105	esquisito (noun)
PT1014	transa (noun)
PT745	vagabundos (noun)
PT1436	peão (noun)
PT1507	maldade (noun)
PT339	ministro (noun)
PT3014	política (adjective)
PT937	cacete (noun)
PT595	bobagem (noun)
PT1512	triste (adjective)
PT8	preguiça (noun)
PT2741	nervoso (adjective)
PT3026	lerdo (adjective)
PT119	confusão (noun)
PT1400	casinha (noun)
PT1363	bumbum (noun)
PT2252	guarda (noun)
PT1013	foda (noun)
PT2472	negão (noun)
PT1789	sus (noun)
PT2059	preguiçoso (adjective)
PT944	galo (noun)
PT1142	loucura (noun)
PT3167	drag (noun)
PT2318	cruel (adjective)
PT2600	palhaços (noun)
PT2607	confundir (verb)
PT1001	foder (noun)
PT1496	moral (noun)
PT1383	pães (noun)
PT184	estuprada (noun)
PT815	covarde (noun)
PT3196	força (noun)
PT499	quadrilha (noun)
PT1368	rabo (noun)
PT41	corretor (noun)
PT710	classe media (noun)
PT1460	não profissional (noun)
PT2556	matando (noun)
PT2361	ratos (noun)
PT502	ordem (noun)
PT638	tedio (noun)
PT2599	pai (noun)
PT1634	falta (noun)
PT1431	toneladas (noun)
PT2391	tubarão (noun)
PT2759	inteligente (adjective)
PT136	ignorante (adjective)
PT182	estuprar (noun)
PT2250	policial (noun)
PT1051	lésbica (noun)
PT3225	roma (noun)
PT2006	ignorância (noun)
PT2347	leitão (noun)
PT2115	gay (adjective)
PT172	criança (noun)
PT542	preto (noun)
PT2550	homicidio (noun)
PT928	piroca (noun)
PT1326	solo (noun)
PT1690	fascistas (noun)
PT830	cadela (noun)
PT2423	pastor (noun)
PT2821	chineses (adjective)
PT1354	atrás (noun)
PT1814	roubar (noun)
PT945	obstáculo (noun)
PT2183	privada (noun)
PT2486	negros (noun)
PT570	cuzão (noun)
PT1992	baixa renda (noun)
PT407	vadia (noun)
PT1766	foder (verb)
PT1985	absurdo (noun)
PT953	estragar- (noun)
PT665	chefe (noun)
PT1920	barraco (noun)
PT2319	brutal (adjective)
PT581	por golpe (noun)
PT746	vagabunda (noun)
PT420	piranha (noun)
PT1213	filho (noun)
PT1608	fake (noun)
PT614	preconceito (noun)
PT1215	menino (noun)
PT574	retardado (noun)
PT349	representante (noun)
PT139	multidão (noun)
PT1316	criminal (adjective)
PT2605	vermes (noun)
PT2907	suja (adjective)
PT2375	cabeça (noun)
PT1321	diplomata (noun)
PT2327	má (adjective)
PT992	povo (noun)
PT979	professores (noun)
PT514	criminoso (noun)
PT2061	incapaz (adjective)
PT1386	ora (noun)
PT735	volume (noun)
PT1049	estranho (noun)
PT450	caos (noun)
PT994	massa (noun)
PT179	estuprador (noun)
PT1765	montar (verb)
PT737	extensão (noun)
PT520	criminosa (noun)
PT2241	nerd (noun)
PT159	besta (noun)
PT2536	homicídio (noun)
PT2192	pé (noun)
PT727	arrogância (noun)
PT2493	negro (adjective)
PT116	mistura (noun)
PT1052	gay (noun)
PT1437	peões (noun)
PT2164	solução (noun)
PT408	menina (noun)
PT2628	ricos (noun)
PT2256	máfia (noun)
PT940	diabo (noun)
PT2492	preto (adjective)
PT752	vilão (noun)
PT138	exército (noun)
PT436	mentira (noun)
PT655	boi (noun)
PT313	ladrão (noun)
PT346	defensor (noun)
PT2099	peru (noun)
PT649	touro (noun)
PT1535	revelação (noun)
PT2107	membro (noun)
PT446	galã (noun)
PT479	imbecil (adjective)
PT1347	hipócrita (noun)
PT1070	face (noun)
PT338	defensores (noun)
PT884	clã (noun)
PT897	família (noun)
PT691	empresário (noun)
PT230	jumento (noun)
PT1039	jornalista (noun)
PT1412	aries (noun)
PT2906	sujo (adjective)
PT2775	gasto (adjective)
PT2785	frango (noun)
PT1440	anão (noun)
PT2557	morte (noun)
PT2321	ruim (noun)
PT772	boca (noun)
PT1221	buceta (noun)
PT1669	raiva (noun)
PT2919	retardado (adjective)
PT2355	auto-estima (noun)
PT1944	mulher (noun)
PT2482	negro (noun)
PT205	bobo (noun)
PT2893	roubado (noun)
PT935	caralho (noun)
PT1905	pintura (noun)
PT99	seguidor (noun)
PT2758	orgulhoso (adjective)
PT2077	agiota (noun)
PT2062	incompetente (adjective)
PT2098	penís (noun)
PT1947	ideologia (noun)
PT1287	criminosos (noun)
PT503	maroto (noun)
PT1293	crimes (noun)
PT3015	político (adjective)
PT832	cachorro (noun)
PT1078	covardia (noun)
PT3132	pássaro (noun)
PT444	cara (noun)
PT2685	consertar (verb)
PT1667	furia (noun)
PT2478	negra (noun)
PT2997	bobo (adjective)
PT662	vaca (noun)
PT604	fiasco (noun)
PT716	classe média (noun)
PT1770	dormir com (verb)
PT3074	jacaré (noun)
PT225	não sabe nada (noun)
PT1348	falso (noun)
PT3134	ave (noun)
PT882	circo (noun)
PT3029	feio (adjective)
PT1024	cabo (noun)
PT1577	um rápido (noun)
PT971	cadeira (noun)
PT1988	pobreza (noun)
PT3171	bruxa (noun)
PT2717	acostumado (adjective)
PT2711	chorão (noun)
PT730	orgulho (noun)
PT1668	fúria (noun)
PT2071	assassino (noun)
PT2776	batido (adjective)
PT302	saco (noun)
PT170	criatura (noun)
PT1073	traidor (noun)
