RO2756	copil (noun)
RO292	avar (noun)
RO1424	tone (noun)
RO7	lene (noun)
RO1012	fute (noun)
RO1003	dorință (noun)
RO99	sex anal (noun)
RO2716	intens (adjective)
RO2002	lady (noun)
RO1865	gospodărie (noun)
RO1396	dos (noun)
RO755	volum (noun)
RO407	cu excepția (noun)
RO1839	evreii (noun)
RO2083	penis (noun)
RO1151	nebunie (noun)
RO44	broker (noun)
RO907	chinez (noun)
RO2447	negro (noun)
RO846	mort (noun)
RO1053	fetiță (noun)
RO1532	familie (noun)
RO188	fauna (noun)
RO414	fraier (noun)
RO2721	labă (noun)
RO3128	păsări (noun)
RO787	șmecher (noun)
RO257	simplu (noun)
RO1962	simplu (adjective)
RO671	bovine (noun)
RO3042	barbă (noun)
RO593	bastard (noun)
RO949	pula (noun)
RO1563	fermier (noun)
RO3130	pasăre (noun)
RO196	viol (noun)
RO1390	prat (noun)
RO328	teste (noun)
RO977	caste (noun)
RO2459	alb (noun)
RO1658	mafiot (noun)
RO569	câine (noun)
RO2646	boi (verb)
RO2030	incompetent (adjective)
RO129	melange (noun)
RO1767	șiret (adjective)
RO1935	fără sens (noun)
RO600	Şantaj (noun)
RO539	penal (noun)
RO168	anguilla (noun)
RO111	complice (noun)
RO110	următor (noun)
RO525	rogue (noun)
RO1570	fascist (noun)
RO540	ţap (noun)
RO135	membru (noun)
RO929	capra (noun)
RO124	amestec (noun)
RO2240	nesimțit (noun)
RO2294	răul (noun)
RO1070	figură (noun)
RO521	grup (noun)
RO1661	fascism (noun)
RO2060	gâză (noun)
RO2619	dispărea (verb)
RO236	cretin (noun)
RO2528	orb (noun)
RO395	jigodie (noun)
RO2762	bebeluş (noun)
RO1782	hoți (noun)
RO3082	teroriști (noun)
RO545	indicator (noun)
RO1920	cu dizabilități (noun)
RO2981	încet (adjective)
RO378	avocați (noun)
RO233	imbecil (noun)
RO786	șiret (noun)
RO2062	insecta (noun)
RO254	ignorant (noun)
RO1249	selecta (noun)
RO267	măgar (noun)
RO1730	fute (verb)
RO2552	naș (noun)
RO2642	adora (verb)
RO761	git (noun)
RO398	baron (noun)
RO2221	polițiști (noun)
RO895	câini (noun)
RO51	academia (noun)
RO1804	sărac (noun)
RO558	negru (noun)
RO700	antreprenor (noun)
RO852	întârziere (noun)
RO2805	susținere (noun)
RO3206	zulu (noun)
RO676	vite (noun)
RO1387	posterior (noun)
RO321	ouă (noun)
RO2691	clasic (adjective)
RO756	masa (noun)
RO324	coaie (noun)
RO2206	rât (noun)
RO1296	aventurier (noun)
RO2616	muri (verb)
RO1774	furt (noun)
RO483	vită (noun)
RO2049	criminal (noun)
RO1222	începător (noun)
RO2287	brutal (adjective)
RO368	cruzime (noun)
RO1425	tonă (noun)
RO1258	madam (noun)
RO1530	viță (noun)
RO1458	angajat (noun)
RO2232	mafia (noun)
RO3045	vrăjeală (noun)
RO1485	morală (noun)
RO960	problema (noun)
RO2833	izolat (adjective)
RO1216	tortură (noun)
RO322	prostii (noun)
RO1587	infecție (noun)
RO2971	evreiesc (adjective)
RO2780	comun (adjective)
RO1007	dor (noun)
RO1838	evrei (noun)
RO1613	turmă (noun)
RO1483	amatori (noun)
RO45	agent (noun)
RO57	universitar (noun)
RO1534	casă (noun)
RO251	dumbass (noun)
RO457	minciună (noun)
RO374	curier (noun)
RO519	bande (noun)
RO2363	microorganism (noun)
RO1375	în spatele (noun)
RO2846	jefuit (noun)
RO590	cap (noun)
RO3185	rom (noun)
RO2004	pair (noun)
RO1550	peşte (noun)
RO570	escroc (noun)
RO1022	culcat (noun)
RO988	profesori (noun)
RO229	stupid (adverb)
RO494	poveste (noun)
RO1386	fund (noun)
RO1182	zero (noun)
RO339	bandit (noun)
RO693	țăran (noun)
RO2751	găină (noun)
RO992	profesor (noun)
RO681	maro (noun)
RO2380	păstor (noun)
RO1958	incompetent (noun)
RO821	caravană (noun)
RO1703	curios (noun)
RO375	ministru (noun)
RO178	animal (noun)
RO1536	rudele (noun)
RO2601	devora (verb)
RO623	gafă (noun)
RO997	varză (noun)
