SL2484	terorizma (noun)
SL91	lenuh (noun)
SL133	nepismeni (noun)
SL465	druščina (noun)
SL2819	slep (adjective)
SL2413	mušic (noun)
SL1342	rita (noun)
SL1988	učitelj (noun)
SL424	norišnica (noun)
SL202	tepec (noun)
SL1722	nezakonit (adjective)
SL2697	glasovi (noun)
SL2531	vandali (noun)
SL1335	prat (noun)
SL3233	glasen (adjective)
SL1692	mušica (noun)
SL3060	butast (adjective)
SL2574	prositi (verb)
SL2462	latino (noun)
SL897	koze (noun)
SL2287	sramoten (adjective)
SL1153	krokodil (noun)
SL986	prekleto (noun)
SL2340	retorično (noun)
SL2242	parazit (noun)
SL192	bedak (noun)
SL2956	žabe (noun)
SL1846	Žid (noun)
SL266	javna hiša (noun)
SL464	krog (noun)
SL1535	ljubica (noun)
SL2285	zloben (adjective)
SL564	podjetnik (noun)
SL1903	ideologija (noun)
SL1423	uslužbenec (noun)
SL1909	malikovalci (noun)
SL2490	klop (noun)
SL970	profesor (noun)
SL1005	reporter (noun)
SL2329	podgane (noun)
SL2061	masa (noun)
SL1385	splavi (noun)
SL3140	strahovlada (noun)
SL3094	smetnjak (noun)
SL2014	lažnivec (noun)
SL1231	prevara (noun)
SL2526	običajen (adjective)
SL1804	revež (noun)
SL1970	neznanje (noun)
SL1328	guza (noun)
SL2749	nenavaden (adjective)
SL2542	klovni (noun)
SL3073	pokvarjen (adjective)
SL2864	kriv (adjective)
SL2616	oditi (verb)
SL822	prasica (noun)
SL1927	posebnimi potrebami (noun)
SL1016	vanje (noun)
SL1079	smeti (noun)
SL138	armada (noun)
SL1387	desetine (noun)
SL1036	izdajalec (noun)
SL1592	jata (noun)
SL988	seks (noun)
SL1388	kupi (noun)
SL2192	nos (noun)
SL2856	mlad (adjective)
SL434	izmišljotina (noun)
SL261	bordel (noun)
SL929	težava (noun)
SL2283	zloba (noun)
SL2745	agresivno (adjective)
SL1407	lakota (noun)
SL2084	jezni (noun)
SL2759	aroganten (adjective)
SL355	veličasten (noun)
SL2216	policisti (noun)
SL1714	znati (verb)
SL2461	bela (noun)
SL2537	ser (noun)
SL1898	ptička (noun)
SL2279	zabava (noun)
SL2821	rjavo (adjective)
SL1459	morale (noun)
SL326	prodajalec (noun)
SL1928	invalid (noun)
SL933	prost (noun)
SL1605	napaka (noun)
SL2781	politik (noun)
SL3102	nadlegoval (noun)
SL1580	ribe (noun)
SL2068	moški spolni organ (noun)
SL380	bebec (noun)
SL2918	razen (adjective)
SL2619	končati se (verb)
SL1	ponižanje (noun)
SL99	plačanec (noun)
SL1138	sove (noun)
SL3038	židovski (adjective)
SL1782	plen (noun)
SL630	dolgočasno (noun)
SL2005	nezakonitost (noun)
SL448	otročje (adjective)
SL1967	ignoranca (noun)
SL2806	otroka (noun)
SL435	lagati (noun)
SL227	rit (noun)
SL2654	vem za vse (noun)
SL583	blamaža (noun)
SL385	žrtev (noun)
SL1420	intelektualec (noun)
SL555	izsiljuje (noun)
SL32	zloraba (noun)
SL131	fanatiki (noun)
SL753	grd (adjective)
SL1309	gnus (noun)
SL1999	nemoralno (noun)
SL522	kralj (noun)
SL210	bimbo (noun)
SL2736	uš (noun)
SL1450	amaterji (noun)
SL779	zapornik (noun)
SL631	dolgčas (noun)
SL1213	zavrne (noun)
SL333	zagovornik (noun)
SL2965	žaba (noun)
SL3269	romi (noun)
SL648	rjava (noun)
SL1850	mase (noun)
SL3143	teror (noun)
SL752	oduren (adjective)
SL2495	morilci (noun)
SL1014	peder (noun)
SL3141	teroriziranje (noun)
SL50	akademik (noun)
SL151	živali (noun)
SL278	módo (noun)
SL1546	kmetje (noun)
SL386	tepec! (noun)
SL3152	muka (noun)
SL701	obseg (noun)
SL2259	parazitov (noun)
SL2313	kol (noun)
SL1588	godlja (noun)
SL1338	ske (noun)
SL182	neumnost (noun)
SL3241	nasilja (noun)
SL3268	cigani (noun)
SL1488	grob (adjective)
SL723	fakin (noun)
SL2281	žur (noun)
SL2244	nesramen (noun)
SL211	cepec (noun)
SL2599	provokator (noun)
SL2605	iti (verb)
SL744	slàb (adjective)
SL282	moda (noun)
SL1415	vzgojitelj (noun)
SL415	prepričali (noun)
SL1889	hijene (noun)
SL2383	pastir (noun)
SL3196	teorije zarote (noun)
SL2500	umora (noun)
SL964	profesorica (noun)
SL1310	lažno (noun)
SL1031	fris (noun)
SL1959	nesposoben (noun)
SL891	uradnik (noun)
SL188	butec (noun)
SL1135	sova (noun)
SL702	vol (noun)
SL2471	tehnika (noun)
SL397	kurba (noun)
SL1791	john (noun)
SL2501	umorov (noun)
SL1883	zdravim (noun)
SL898	koza (noun)
SL1394	ocene (noun)
SL745	slab (adjective)
SL991	jebeš (noun)
SL862	ološ (noun)
SL762	klika (noun)
SL814	idiot (noun)
SL1849	ljudstvo (noun)
SL540	podgana (noun)
SL636	voli (noun)
SL1354	zadnji del (noun)
SL336	minister (noun)
SL1393	ton (noun)
SL426	kaos (noun)
SL413	laž (noun)
SL285	jajca (noun)
SL2908	rop (noun)
SL2129	glasbenik (noun)
SL2510	pobijanje (noun)
SL2210	policíst (noun)
SL2213	policist (noun)
SL1773	kraja (noun)
SL2614	biti (verb)
SL327	odvetnik (noun)
SL2082	jeza (noun)
SL739	kajman (noun)
SL728	zlobni (noun)
SL917	kurac (noun)
SL2018	len (adjective)
SL2025	žal (adjective)
SL22	zlorabe (noun)
SL2207	policaj (noun)
SL2335	retorika (noun)
SL338	branilec (noun)
SL815	imbecil (noun)
SL16	novic (noun)
SL975	gneča (noun)
SL694	aroganca (noun)
SL1589	bolha (noun)
SL2324	ponòs (noun)
SL1808	male (noun)
SL1471	pokvarjenost (noun)
SL2805	dete (noun)
SL396	prostitutka (noun)
SL3086	pameten (adjective)
SL339	podpornik (noun)
SL1145	kretenizem (noun)
SL1424	delavec (noun)
SL433	goveda (noun)
SL865	psa (noun)
SL528	prasec (noun)
SL638	krave (noun)
SL156	žival (noun)
SL2682	umakniti se (verb)
SL1951	revščina (noun)
SL280	sranje (noun)
SL2541	klovn (noun)
SL1550	fašist (noun)
SL1840	judi (noun)
SL350	ščene (noun)
SL1326	pih (noun)
SL727	mafijo (noun)
SL2683	pasti (verb)
SL833	nesramnost (noun)
SL1219	gospa (noun)
SL2529	divjak (noun)
SL556	izsiljevanje (noun)
SL632	govedo (noun)
SL2112	jezen (adjective)
SL2011	sla (noun)
SL755	gobec (noun)
SL885	rod (noun)
SL1838	Židje (noun)
SL1291	kazenski (adjective)
SL1540	hlapec (noun)
SL1021	gej (noun)
SL466	skupina (noun)
SL2381	neumnosti (noun)
SL199	norec (noun)
SL2323	ponos (noun)
SL59	idiotizem (noun)
SL1995	pisec (noun)
SL1499	obraz (noun)
SL1598	pajac (noun)
SL1264	teslo (noun)
SL949	udobja (noun)
SL356	baron (noun)
SL920	kurc (noun)
SL3182	ptice (noun)
SL467	društvo (noun)
SL887	družina (noun)
SL1192	dečko (noun)
SL3010	trd (adjective)
SL978	pohoda (noun)
SL2206	miličnik (noun)
SL1457	etika (noun)
SL708	tako in tako (noun)
SL1010	novinar (noun)
SL167	posilstvo (noun)
SL373	neumna (noun)
SL2028	morilec (noun)
SL941	navaden (noun)
SL1774	tatovi (noun)
SL1032	ksiht (noun)
SL3185	ptiči (noun)
SL642	šef (noun)
SL1343	zadaj (noun)
SL1320	hinavsko (noun)
SL726	sodrga (noun)
SL1940	nesmisel (noun)
SL1571	vonj (noun)
SL3137	terorizmu (noun)
SL1897	deklič (noun)
SL1816	lezbijke (noun)
SL1206	junto (noun)
SL447	otroški (adjective)
SL3092	nizek (adjective)
SL2491	klopi (noun)
SL1042	baba (noun)
SL367	zapore (noun)
