TR778	uyum (noun)
TR366	çıkmaz sokak (noun)
TR38	bilim adamları (noun)
TR1499	papağan (noun)
TR1193	hırsızlar (noun)
TR1667	öldürme (noun)
TR1165	yasa dışı (adjective)
TR224	olmazsa (noun)
TR639	prof. (noun)
TR132	salak (noun)
TR991	akrabalar (noun)
TR1909	sıradan (adjective)
TR1231	yahudi (noun)
TR1272	civciv (noun)
TR1349	sözde (noun)
TR405	Öküz (noun)
TR428	köylü (noun)
TR2020	komplo teorisi (noun)
TR865	ikiyüzlü (noun)
TR1896	yahudı (adjective)
TR820	nedim (noun)
TR691	korkak (noun)
TR963	suçlular (noun)
TR943	puanları (noun)
TR1305	saçmalık (noun)
TR1503	Şer (noun)
TR780	oğlum (noun)
TR787	hıyar (noun)
TR2060	eşkiya (noun)
TR1767	agresif (adjective)
TR434	işadamı (noun)
TR29	akademisyenler (noun)
TR1164	sevişmek (verb)
TR410	inekler (noun)
TR857	toprak (noun)
TR1769	sinirli (adjective)
TR1162	sikişmek (verb)
TR1063	faul (noun)
TR1806	çinli (adjective)
TR579	keçi (noun)
TR2030	satılmış (noun)
TR1623	enayi (noun)
TR1192	hırsızlık (noun)
TR1331	öğretmenler (noun)
TR2014	kırmızı kart (noun)
TR855	kir (noun)
TR1908	tek göz (adjective)
TR1360	talihsiz (adjective)
TR107	yaratık (noun)
TR1733	inatçı (noun)
TR704	hurda (noun)
TR1775	huysuz (adjective)
TR433	İşadamı (noun)
TR1963	terörizm (noun)
TR1687	soytarı (noun)
TR940	ton (noun)
TR408	boğa (noun)
TR1137	sivrisinek (noun)
TR779	evladım (noun)
TR205	bakanı (noun)
TR202	avukatı (noun)
TR320	yaramaz (noun)
TR1758	bit (noun)
TR958	delirmek (adjective)
TR1119	gardiyan (noun)
TR868	İkiyüzlü (noun)
TR314	teke (noun)
TR247	orospu (noun)
TR1303	saçma (noun)
TR1919	siyasal (adjective)
TR223	çapulcu (noun)
TR1000	yayma (noun)
TR1348	sahtekâr (noun)
TR1393	penis (noun)
TR304	grup (noun)
TR505	hükümlü (noun)
TR1865	kurbağa (noun)
TR609	sorun (noun)
TR33	teorik (adjective)
TR1440	moral (noun)
TR721	özlem (noun)
TR1807	çin (adjective)
TR644	kalabalık (noun)
TR1355	tutku (noun)
TR1377	alay (noun)
TR1131	seyirci (noun)
TR1298	engelli (noun)
TR1730	bilgiç (noun)
