VI614	khử bọt (noun)
VI1267	đụ (verb)
VI598	chó (noun)
VI2153	không thể (adjective)
VI2003	sạm (adjective)
VI2013	kẻ mối lái (noun)
VI983	bánh (noun)
VI1535	ghen tị (noun)
VI1169	nghiện (noun)
VI994	bên (noun)
VI1184	cau có (noun)
VI1524	khớp (noun)
VI1575	phòng vệ sinh (noun)
VI1983	hải tặc (noun)
VI749	đồng tính (noun)
VI296	nói lối (noun)
VI955	đất (noun)
VI886	cắt nhỏ (noun)
VI1012	người giử cửa (noun)
VI1488	buồn (adjective)
VI2006	tàu (adjective)
VI127	hiếp (noun)
VI1578	cầu tiêu (noun)
VI593	làm trể (noun)
VI1096	bà con (noun)
VI1219	Âm đạo (noun)
VI72	không đau (noun)
VI375	công nghiệp (noun)
VI712	ghế (noun)
VI1110	chủ chứa (noun)
VI663	dê (noun)
VI1141	lên khói (noun)
VI345	hình sự (noun)
VI489	tư sản (noun)
VI321	tuần đinh (noun)
VI2151	ngu (adjective)
VI714	sư đầy đủ (noun)
VI391	phản bội (noun)
VI1441	không hoạt động (noun)
VI2259	người bỏ đảng (noun)
VI377	đại thần (noun)
VI495	người thị dân (noun)
VI1475	nữ (noun)
VI2098	mạnh (adjective)
VI2227	thẻ phạt (noun)
VI908	vợ lẻ (noun)
VI159	không biết gì (noun)
VI411	chôn (noun)
VI207	côn đồ (noun)
VI115	động là (noun)
VI1168	trò hề (noun)
VI1517	chủ tiệm (noun)
VI400	con riêng (noun)
VI1916	tiền mới (noun)
VI213	man rợ (noun)
VI1224	cai ngục (noun)
VI1181	tam (noun)
VI1220	âm đạo (noun)
VI449	thư ký (noun)
VI1328	có không (noun)
VI229	bộ trưởng (noun)
VI779	thủ đoạn (noun)
VI1826	black (noun)
VI501	công việc bàn (noun)
VI1858	ve (noun)
VI511	người tự phụ (noun)
VI889	thưa cô, (noun)
VI1049	công nhân (noun)
VI798	giường lỗi (noun)
VI787	rác (noun)
VI555	đảng phái (noun)
VI1268	giao cấu (verb)
VI799	rệp (noun)
VI1023	rất nhiều (noun)
VI2228	thẻ đỏ (noun)
VI2129	khoa học (noun)
VI686	thường (noun)
VI1156	chị bán cá (noun)
VI309	hỗn loạn (noun)
VI2150	thông minh (adjective)
VI2065	ếch (noun)
VI2075	Ếch (noun)
VI959	khó chịu (noun)
VI2186	keo cú (noun)
VI83	hổn tạp (noun)
VI368	tinh nghịch (noun)
VI1756	cừu (noun)
VI868	thanh niên (noun)
VI1058	cứng (noun)
VI218	thương nhân (noun)
VI389	hiện (noun)
VI864	tuân thủ (noun)
VI1160	bọ chét (noun)
VI754	gay (noun)
VI1625	cảnh sát (noun)
VI1989	giả (adjective)
VI1021	tấn (noun)
VI736	thỏ (noun)
VI675	thô tục (noun)
VI1061	tài tử (noun)
VI1531	bóng (adjective)
VI794	rệp (noun)
VI2001	mù (adjective)
VI1456	thày giáo (noun)
VI1113	mua sắm (noun)
VI1424	lỗ đít (noun)
VI1117	tình nhân (noun)
VI1937	biết tất cả (noun)
VI2057	bẩn (adjective)
VI1923	chết (verb)
VI1494	lãi cao (noun)
VI142	ngốc (noun)
VI338	giới (noun)
VI989	răng chó (noun)
VI678	cặc (noun)
