ZH2097	傷心 (adjective)
ZH823	母狗 (noun)
ZH1983	无能 (noun)
ZH2381	党 (noun)
ZH328	残酷 (noun)
ZH2185	怒 (noun)
ZH2186	憤怒 (noun)
ZH3280	丑+的 (adjective)
ZH743	壞人 (noun)
ZH2733	暴发户 (noun)
ZH573	戴绿帽 (noun)
ZH447	愚 (adjective)
ZH1753	操 (verb)
ZH2093	謊言 (noun)
ZH3042	绑架 (noun)
ZH372	嚼 (noun)
ZH1571	法西斯 (noun)
ZH2949	黑 (adjective)
ZH1578	快一 (noun)
ZH2103	悲伤 (adjective)
ZH119	玩笑 (noun)
ZH720	量 (noun)
ZH1826	卖淫 (noun)
ZH214	迷奸 (noun)
ZH2067	lady (noun)
ZH711	自以为是 (noun)
ZH341	部 长 (noun)
ZH2744	欺骗 (verb)
ZH1415	很 多 (noun)
ZH41	经纪人 (noun)
ZH580	乌龟 (noun)
ZH88	自尊 (noun)
ZH2789	讲价 (verb)
ZH1375	腚 (noun)
ZH3106	虚伪+的 (adjective)
ZH1367	背后 (noun)
ZH275	贪婪 (noun)
ZH1398	看 门 人 (noun)
ZH1995	穷 (noun)
ZH2298	乳 (noun)
ZH1925	小 屋 (noun)
ZH2070	伪 (noun)
ZH1109	瘾 (noun)
ZH2152	块 (noun)
ZH1827	卖 淫 (noun)
ZH1823	嫖娼 (noun)
ZH1081	嘎 (noun)
ZH762	恶 (adjective)
ZH538	坏蛋 (noun)
ZH2481	鯊 (noun)
ZH2155	鸡鸡 (noun)
ZH2866	恶心的 (adjective)
ZH3379	雀 (noun)
ZH2192	弄脏 (noun)
ZH233	傻子 (noun)
ZH765	壞 (adjective)
ZH1197	屄 (noun)
ZH406	谎言 (noun)
ZH1789	老马 (noun)
ZH407	假话 (noun)
ZH3320	恐怖主义 (noun)
ZH220	脑袋 (noun)
ZH2094	悲傷 (adjective)
ZH554	非法的 (noun)
ZH2655	杀人犯 (noun)
ZH3265	聪明+的 (adjective)
ZH2749	诈骗 (verb)
ZH1006	fuck (noun)
ZH936	问题 (noun)
ZH2434	南瓜 (noun)
ZH2417	穷人 (noun)
ZH2999	拥护 (noun)
ZH2001	贫 (noun)
ZH820	bitch (noun)
ZH1527	传宗接代 (noun)
ZH1484	德 (noun)
ZH2939	娃娃 (noun)
ZH2012	贫困 (noun)
ZH2057	可耻+的 (adjective)
ZH1236	煽動 (noun)
ZH2632	谋杀 (noun)
ZH818	婊子 (noun)
ZH1754	靠 (verb)
ZH324	野性 (noun)
ZH1727	蚊 (noun)
ZH718	傲慢 (noun)
ZH1371	尻 (noun)
ZH2054	不良 (adjective)
ZH342	律师 (noun)
ZH3105	假+的 (adjective)
ZH1658	疯狂 (noun)
ZH1755	干 (verb)
ZH825	诋毁 (noun)
ZH2943	嬰兒 (noun)
ZH1845	有没有 (noun)
ZH3151	一本正经 (noun)
ZH3018	荡妇 (noun)
ZH1866	同性戀 (noun)
ZH941	平 民 (noun)
ZH1448	疯狂+的 (adjective)
ZH1108	愛 (noun)
ZH1746	反动 (noun)
ZH2746	骗 (verb)
ZH3234	一般+的 (adjective)
ZH2923	鸡 (noun)
ZH2909	抄袭 (noun)
ZH1163	杂种 (noun)
ZH1501	罪人 (noun)
ZH1175	混 合 (noun)
ZH632	无 聊 (noun)
ZH924	灌醉 (noun)
ZH3164	吸血鬼 (noun)
ZH2992	教授+的 (adjective)
ZH2173	羡 (noun)
ZH1988	屁眼 (noun)
ZH3378	鸟 (noun)
ZH383	欺骗 (noun)
ZH891	家族 (noun)
ZH2411	小猪 (noun)
ZH1507	无耻+的 (adjective)
ZH3055	抢劫 (noun)
ZH552	无赖 (noun)
ZH1690	洞洞 (noun)
ZH2834	八卦 (noun)
ZH2775	死亡 (verb)
ZH2373	粗暴+的 (adjective)
ZH322	暴虐 (noun)
ZH2441	鼠 (noun)
ZH2015	静止 (noun)
ZH2418	差 (noun)
ZH2947	黑色+的 (adjective)
ZH1458	硬上 (noun)
ZH2041	导师 (noun)
ZH1409	很多 (noun)
ZH326	野蛮 (noun)
ZH189	動物 (noun)
ZH2154	小鸡鸡 (noun)
ZH359	宏 大 的 (noun)
ZH1576	骗局 (noun)
ZH167	兽 (noun)
ZH2484	鲨鱼 (noun)
ZH1054	同性 (noun)
ZH2226	卫生间 (noun)
