Word,POS,Stereotype,Tag,Synset,Source,Glossa,Glossa EN,Lingua Glossa,Simona,Komal,Commenti Simona,Commenti Komal,Disagreement 3-0,Disagreement 1/2-0,agreement,Viviana,Valerio
abiezione,n,yes,dmc,bn:00000216n,OMWN_IT,A low or downcast state- H.L.Menchken,A low or downcast state- H.L.Menchken,en,1,2,,,FALSE,FALSE,FALSE,,2
accademia,n,yes,pa,bn:00000570n,OMWIKI,Società di dotti uniti per il progresso delle arti e delle scienze.,A learned establishment for the advancement of knowledge,it,1,0,,,FALSE,TRUE,FALSE,,0
‘ndranghetista,n,no,re,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
‘nrdanghetista,n,no,cds,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
abbaiare,v,no,an,bn:00083126v,OMWIKI,Produrre un breve suono esplosivo forte simile a quello di un cane.,Make barking sounds,it,1,1,,,FALSE,FALSE,TRUE,,
abietto,n,yes,dmc,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
accidia,n,no,svp,bn:00000800n,OMWN_IT,"L'accidia o acedia è l'avversione all'operare, mista a noia e indifferenza.// La pigrizia è la mancanza di determinazione nel compiere un'azione di cui si riconosce l'importanza.// Mancanza di determinazione nel compiere un''azione di cui si riconosce l''importanza",Apathy and inactivity in the practice of virtue (personified as one of the deadly sins),it,1,2,,,FALSE,FALSE,FALSE,,2
abiezione,n,yes,dmc,bn:15280432n,WIKITR,"The term abjection literally means ""the state of being cast off"".","The term abjection literally means ""the state of being cast off"".",en,2,2,,,FALSE,FALSE,TRUE,,
abnorme,a,yes,ddf,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
abnorme,a,no,qas,**NotInBN***,,,,,,,,,FALSE,FALSE,,,
abulia,n,no,svp,bn:00000377n,OMWN_IT,L'abulia // Perdita di forza di volontà.,A loss of will power,it,2,2,,,FALSE,FALSE,TRUE,,
pigrizia,n,no,svp,bn:00000800n,OMWN_IT,"L'accidia o acedia è l'avversione all'operare, mista a noia e indifferenza.// La pigrizia è la mancanza di determinazione nel compiere un'azione di cui si riconosce l'importanza.// Mancanza di determinazione nel compiere un''azione di cui si riconosce l''importanza",Apathy and inactivity in the practice of virtue (personified as one of the deadly sins),it,1,2,,,,,FALSE,,2
