ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
AR691,أبله,a,[no_synset],[no_synset_lemma],شخص شديد الغباء والسذاجة,,لا تكن أبله وتصدق كل ما يقال لك.,,cds,no,,,,,,
AR223,أتان,n,[no_synset],[no_synset_lemma],شتيمة للمرأة تصفها بالغباء أو العناد,,إنها عنيدة مثل الأتان.,,an,no,,,,,,
AR1221,أجير,n,['omw-arb-10053808-n'],[no_synset_lemma],شخص يعمل لمصلحة غيره بلا مبدأ، مرتزق,,هذا الكاتب مجرد أجير يكتب لمن يدفع له.,,pa,yes,,,,,,
AR2616,أحمق,a,[no_synset],[no_synset_lemma],وصف لشخص قليل العقل والتفكير,,لا تستمع إليه، إنه رجل أحمق.,,ddp,yes,,,,,,
AR2302,أراجوز,n,[no_synset],[no_synset_lemma],شخص تافه يتلاعب به الآخرون,,لقد كان مجرد أراجوز في أيديهم.,,dmc,yes,,,,,,
AR868,أرنب,n,['omw-arb-07666521-n'],[no_synset_lemma],وصف للرجل الجبان الذي يخشى المواجهة,,هرب من المشكلة مثل الأرنب.,,an,no,,,,,,
AR2460,أسود,a,['omw-arb-00392812-a'],[no_synset_lemma],تستخدم أحياناً كإهانة عنصرية للإشارة إلى لون البشرة,,"ناداه بـ ""يا أسود"" بقصد إهانته.",,ps,yes,,,,,,
AR1397,أصولية,n,[no_synset],[no_synset_lemma],وصف ازدرائي لشخص متشدد في أفكاره الدينية أو السياسية,,أفكاره رجعية، فهو شخصية أصولية.,,cds,no,,,,,,
AR94,أضحوكة,n,['omw-arb-00427580-n'],[no_synset_lemma],شخص أو شيء مثير للسخرية الشديدة,,بسبب تصرفاته الغريبة، أصبح أضحوكة البلدة.,,cds,no,,,,,,
AR383,أعرابي,n,[no_synset],[no_synset_lemma],وصف يستخدم للتقليل من شأن شخص واعتباره بدائياً أو غير متحضر,,يتصرف كالأعرابي الجاهل.,,ps,yes,,,,,,
AR2477,أعرج,a,[no_synset],[no_synset_lemma],إهانة تستخدم عيباً جسدياً للتحقير أو الإشارة إلى خلل ما,,خطته كلها عرجاء ولن تنجح.,,ddf,yes,,,,,,
AR2461,أعمى,a,['omw-arb-02168555-v'],[no_synset_lemma],شخص يرفض رؤية الحقيقة، جاهل عن عمد,,إنه أعمى البصيرة لا يرى فساده.,,ddf,yes,,,,,,
AR2316,أفسد,v,"['omw-arb-00295563-v', 'omw-arb-02579447-v', 'omw-arb-00276214-v', 'omw-arb-00477941-v', 'omw-arb-02527651-v']",[no_synset_lemma],فعل يصف إلحاق الضرر الأخلاقي أو المادي,,لقد أفسد الشباب بأفكاره المسمومة.,,qas,no,,,,,,
AR2290,أفعى,n,['omw-arb-01726692-n'],[no_synset_lemma],وصف لشخص غادر وماكر وخبيث,,احذر منها، إنها أفعى سامة.,,an,no,,,,,,
AR390,أكذوبة,n,[no_synset],[no_synset_lemma],شيء غير حقيقي بالكامل، أو شخص حياته قائمة على الكذب,,كل وعوده كانت أكذوبة كبيرة.,,qas,no,,,,,,
AR125,أمي,n,[no_synset],[no_synset_lemma],شخص جاهل أو قليل المعرفة، ليس فقط من لا يقرأ ويكتب,,إنه أمي في السياسة لا يفقه شيئاً.,,ddp,yes,,,,,,
AR591,أناني,n,[no_synset],[no_synset_lemma],شخص لا يهتم إلا بمصلحته الشخصية على حساب الآخرين,,هو شخص أناني لا يفكر إلا في نفسه.,,cds,no,,,,,,
AR165,أنعام,n,[no_synset],[no_synset_lemma],وصف مهين لمجموعة من الناس بأنهم كالبهائم لا يفكرون,,الجماهير تسير خلفه كالأنعام.,,ddp,yes,,,,,,
AR728,أوباش,n,[no_synset],[no_synset_lemma],مجموعة من الناس المنحطين أخلاقياً وسلوكياً,,هؤلاء الأوباش سبب كل المشاكل.,,ddp,yes,,,,,,
AR2211,أوزة,n,[no_synset],[no_synset_lemma],إهانة لامرأة توصف بالغباء أو السذاجة,,لا تكوني أوزة وتصدقي كلامه المعسول.,,an,no,,,,,,
AR795,أير,n,[no_synset],[no_synset_lemma],كلمة بذيئة جداً تشير إلى العضو الذكري، وتستخدم كشتيمة قاسية,,توقف عن التصرف كالأير.,,asm,no,,,,,,
AR2585,إبن آوى,n,[no_synset],[no_synset_lemma],وصف لشخص انتهازي وجبان وماكر,,إنه مثل ابن آوى، يهاجم فقط عندما يكون خصمه ضعيفاً.,,an,no,,,,,,
AR1268,إثم,n,"['omw-arb-00757080-n', 'omw-arb-00745637-n']",[no_synset_lemma],خطيئة أو ذنب عظيم,,حياتك مليئة بالآثام.,,dmc,yes,,,,,,
AR2492,إختطاف,n,[no_synset],[no_synset_lemma],أخذ شخص بالقوة واحتجازه رغماً عنه,,جريمة اختطاف الأطفال هزت المدينة.,,re,no,,,,,,
AR2553,إختلس,v,['omw-arb-02321757-v'],[no_synset_lemma],سرقة المال المؤتمن عليه بخفية وخيانة,,اختلس الموظف أموال الشركة وهرب.,,re,no,,,,,,
AR2670,إرهاب,n,['omw-arb-00759694-n'],[no_synset_lemma],ترويع الآمنين وإخافتهم لتحقيق أهداف سياسية,,الإرهاب جريمة ضد الإنسانية.,,re,no,,,,,,
AR1773,إزدراء,n,[no_synset],[no_synset_lemma],النظر إلى شخص أو شيء بدونية واحتقار,,نظر إليه بازدراء بسبب فقره.,,cds,no,,,,,,
AR22,إساءة,n,"['omw-arb-00419908-n', 'omw-arb-06715223-n']",[no_synset_lemma],فعل أو قول يسبب الأذى أو الإهانة,,تعرض الطفل للإساءة من قبل زوج أمه.,,re,no,,,,,,
AR1115,إشمئزاز,n,"['omw-arb-07503260-n', 'omw-arb-04714440-n']",[no_synset_lemma],شعور بالقرف الشديد والنفور,,تصرفاته تثير الاشمئزاز في نفسي.,,svp,no,,,,,,
AR1665,إعاقة,n,"['omw-arb-01066163-n', 'omw-arb-03520811-n']",[no_synset_lemma],وصف مهين لشخص يعتبر عائقاً أو معطلاً للآخرين,,أنت إعاقة حقيقية في طريق تقدمنا.,,ddf,yes,,,,,,
AR177,اغتصاب,n,[no_synset],[no_synset_lemma],إجبار شخص على ممارسة الجنس بالقوة,,الاغتصاب جريمة بشعة لا تغتفر.,,re,no,,,,,,
AR1692,إفقار,n,[no_synset],[no_synset_lemma],التسبب في جعل شخص أو مجتمع فقيراً بشكل متعمد,,سياساتهم أدت إلى إفقار الشعب.,,is,yes,,,,,,
AR2335,إنتهى,v,['omw-arb-00358431-v'],[no_synset_lemma],تعبير يعني أن شخصاً ما فقد قيمته أو تأثيره,,كممثل، لقد انتهى منذ سنوات.,,cds,no,,,,,,
AR786,ابتذال,n,[no_synset],[no_synset_lemma],انحطاط في الذوق أو الأسلوب أو الأخلاق,,أسلوبه في الكلام مليء بالابتذال.,,an,no,,,,,,
AR469,ابتزاز,n,[no_synset],[no_synset_lemma],الحصول على مال أو منافع بالتهديد بفضح سر ما,,مارس الابتزاز ضدها بصورها الشخصية.,,re,no,,,,,,
AR462,ابن زنا,n,[no_synset],[no_synset_lemma],شتيمة قاسية جداً تشكك في شرعية نسب الشخص,,شتمه قائلاً: يا ابن الزنا.,,ddp,yes,,,,,,
AR433,احتيال,n,['omw-arb-00769092-n'],[no_synset_lemma],خداع الناس للحصول على أموالهم بطرق ماكرة,,لقد وقع ضحية عملية احتيال كبيرة.,,cds,no,,,,,,
AR2496,اختطف,n,['omw-arb-01439190-v'],"['اختطف', 'إصطاد_سمك', 'قبض_على', 'أصبح_محكما', 'أمسك', 'لفت', 'انتزع', 'أصاب_ب', 'صياح', 'فهم', 'لفت_الانتباه', 'سحر', 'أمسك_ب', 'ثبت', 'جذب', 'أمسك_به', 'خدع', 'أمْسك', 'لمح', 'نظرة', 'وقع_في_شرك', 'حبس_نفسه', 'شرك', 'لحق', 'فاجأ', 'تفشى', 'انتهز']",أخذ شخصاً أو شيئاً بالقوة والخداع,,اختطف المجرمون الطفل وطالبوا بفدية.,,re,no,,,,,,
AR2672,ارهاب,n,[no_synset],[no_synset_lemma],ترويع الآمنين وإخافتهم لتحقيق أهداف سياسية,,الإرهاب جريمة ضد الإنسانية.,,re,no,,,,,,
AR611,استعلاء,n,[no_synset],[no_synset_lemma],التعامل مع الآخرين بفوقية وغرور,,يتحدث مع الجميع باستعلاء مقيت.,,svp,no,,,,,,
AR2102,استغباء,n,[no_synset],[no_synset_lemma],معاملة شخص وكأنه غبي أو ساذج,,توقف عن استغباء الناس، فنحن نفهم خطتك.,,asm,no,,,,,,
AR2320,استغلالي,n,[no_synset],[no_synset_lemma],شخص يستفيد من الآخرين بطريقة غير عادلة,,إنه مدير استغلالي يسرق مجهود موظفيه.,,qas,no,,,,,,
AR2359,استهزأ,v,"['omw-arb-00849080-v', 'omw-arb-00849332-v', 'omw-arb-00851933-v']",[no_synset_lemma],السخرية من شخص أو شيء وتحقيره,,استهزأ بملابسه القديمة أمام الجميع.,,asm,no,,,,,,
AR1601,اسرائيلي,n,[no_synset],[no_synset_lemma],وصف يستخدم أحياناً كشتيمة في سياقات سياسية معادية,,"اتهمه خصمه بأنه عميل ""إسرائيلي"" لخيانته.",,ps,yes,,,,,,
AR1116,اشمئزاز,n,[no_synset],[no_synset_lemma],شعور بالقرف الشديد والنفور,,تصرفاته تثير الاشمئزاز في نفسي.,,svp,no,,,,,,
AR1669,إعاقة,n,['omw-arb-01074498-n'],[no_synset_lemma],وصف مهين لشخص يعتبر عائقاً أو معطلاً للآخرين,,أنت إعاقة حقيقية في طريق تقدمنا.,,ddf,yes,,,,,,
AR1028,اعدام,n,[no_synset],[no_synset_lemma],حكم أو فعل يهدف إلى إنهاء مستقبل شخص أو فكرة,,لقد كان قرارهم بمثابة إعدام لمسيرته المهنية.,,qas,no,,,,,,
AR179,اغتصاب,n,[no_synset],[no_synset_lemma],إجبار شخص على ممارسة الجنس بالقوة,,الاغتصاب جريمة بشعة لا تغتفر.,,re,no,,,,,,
AR701,افتراء,n,[no_synset],[no_synset_lemma],اتهام شخص كذبًا بما ليس فيه,,كل ما قلته عني هو افتراء.,,re,no,,,,,,
AR2420,القرصنة,n,[no_synset],[no_synset_lemma],سرقة جهود الآخرين ونسبتها للذات,,هذا البحث مجرد قرصنة من أعمال غيرك.,,re,no,,,,,,
AR1559,المثلية,n,[no_synset],[no_synset_lemma],وصف ازدرائي للشذوذ الجنسي,,إنهم يروجون للمثلية في مجتمعنا.,,om,no,,,,,,
AR1899,المذنب,n,[no_synset],[no_synset_lemma],من ارتكب خطأ أو جرماً ويستحق اللوم,,أنت المذنب في كل ما حدث.,,cds,no,,,,,,
AR2421,انتحال,n,[no_synset],[no_synset_lemma],ادعاء صفة أو شخصية ليست لك,,تم القبض عليه بتهمة انتحال صفة ضابط.,,re,no,,,,,,
AR2245,انتهازي,a,[no_synset],[no_synset_lemma],من يستغل الظروف أو الأشخاص لمصلحته الشخصية,,إنه شخص انتهازي لا يهمه إلا نفسه.,,cds,no,,,,,,
AR358,باطل,n,"['omw-arb-06756407-n', 'omw-arb-04876053-n']",[no_synset_lemma],وصف للشيء أو القول بأنه لا أساس له من الصحة,,كل ادعاءاتك باطلة.,,cds,no,,,,,,
AR1973,ببغاء,n,[no_synset],[no_synset_lemma],شخص يكرر الكلام دون فهم أو وعي,,لا تكن ببغاء تردد ما تسمعه.,,an,no,,,,,,
AR239,بخل,n,[no_synset],[no_synset_lemma],صفة من يمتنع عن الإنفاق الشديد,,قتله بخله وحرصه على المال.,,svp,no,,,,,,
AR236,بخيل,a,[no_synset],[no_synset_lemma],شخص شديد الإمساك في الإنفاق,,إنه رجل بخيل لا ينفق على أهل بيته.,,is,yes,,,,,,
AR377,بدو,n,[no_synset],[no_synset_lemma],وصف للشخص بالخشونة وقلة التحضر,,تصرفاته تدل على أنه بدو.,,ps,yes,,,,,,
AR276,بربرية,n,['omw-arb-00424767-n'],[no_synset_lemma],صفة للسلوك الوحشي والهمجي,,هذه الأفعال تتسم بالبربرية.,,ddp,yes,,,,,,
AR559,برجوازي,n,['omw-arb-09882716-n'],[no_synset_lemma],وصف ازدرائي لمن يهتم بالمظاهر المادية والمصالح الشخصية,,لا يفكر إلا في ماله، عقليته برجوازية.,,qas,no,,,,,,
AR1360,برغوث,n,[no_synset],[no_synset_lemma],وصف للشخص الحقير أو المزعج الذي لا قيمة له,,اغرب عن وجهي أيها البرغوث.,,an,no,,,,,,
AR2130,بزاق,n,[no_synset],[no_synset_lemma],وصف للشخص الضعيف والمنفر,,إنه جبان مثل البزاق.,,an,no,,,,,,
AR2258,بشاعة,n,['omw-arb-04690196-n'],"['قُبْح', 'قباحة', 'بشاعة']",صفة للقبح الشديد في الشكل أو الفعل,,بشاعة الجريمة هزت الجميع.,,ddf,yes,,,,,,
AR2634,بشع,a,[no_synset],[no_synset_lemma],وصف لشيء أو شخص قبيح جداً,,منظره بشع لا يطاق.,,ddf,yes,,,,,,
AR2344,بطاطا,n,[no_synset],[no_synset_lemma],شخص كسول، عديم الحركة أو الفائدة,,انهض أيها البطاطا وقم بعمل شيء مفيد.,,or,no,,,,,,
AR2760,بطش,n,['omw-arb-00965404-n'],[no_synset_lemma],استخدام القوة والظلم بشكل مفرط,,عُرف الحاكم ببطشه بمعارضيه.,,re,no,,,,,,
AR1969,بغبغاء,n,[no_synset],[no_synset_lemma],"مرادف ""ببغاء""؛ من يكرر الكلام بلا فهم",,هو مجرد بغبغاء في الحزب.,,an,no,,,,,,
AR1967,بغبغان,n,[no_synset],[no_synset_lemma],"مرادف ""ببغاء""؛ من يكرر الكلام بلا فهم",,توقف عن ترديد كلامه كالبغبغان.,,an,no,,,,,,
AR1885,بغل,n,[no_synset],[no_synset_lemma],وصف للشخص شديد الغباء والعناد,,لن يفهم، إنه بغل عنيد.,,an,no,,,,,,
AR1263,بغي,n,['omw-arb-00745637-n'],[no_synset_lemma],امرأة تمتهن الدعارة (إهانة شديدة),,وصفها بأنها بغي لتشويه سمعتها.,,asf,no,,,,,,
AR2110,بلادة,n,['omw-arb-04891683-n'],"['سخافة', 'بلادة', 'بله', 'بلاهة', 'سُخْف']",صفة لبطء الفهم وقلة الذكاء,,لم أر في حياتي بلادة مثل هذه.,,ddp,yes,,,,,,
AR2104,بليد,n,[no_synset],[no_synset_lemma],شخص قليل الفهم وبطيء الاستيعاب,,شرحت له عشر مرات، لكنه تلميذ بليد.,,asm,no,,,,,,
AR356,بهتان,n,['omw-arb-06756407-n'],[no_synset_lemma],كذب صريح ومفضوح يهدف للإساءة,,اتهاماته لي كانت زوراً وبهتاناً.,,dmc,yes,,,,,,
AR154,بهيمة,n,['omw-arb-00015388-n'],[no_synset_lemma],وصف للشخص الذي يتصرف بلا عقل كالأنعام,,إنه يتصرف كالبهيمة، لا يفكر إلا في غرائزه.,,an,no,,,,,,
AR1791,تآمر,v,"['omw-arb-00708128-v', 'omw-arb-00706975-v']",[no_synset_lemma],التخطيط سراً لإيذاء شخص أو جهة ما,,اتهموه بالتآمر لقلب نظام الحكم.,,cds,no,,,,,,
