ID,Lemma,POS,Synset_ID,Synset_Lemma (?),Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
EL8,αβουλησία,NOUN,,"['βουλητική αδυναμία', 'απραξία', 'αποφασιστική ανικανότητα']",Ψυχολογική κατάσταση όπου το άτομο αδυνατεί να πάρει αποφάσεις ή να αναλάβει δράση,,"«Η αβουλησία, ως κατάσταση πρόσκαιρης αδυναμίας τής παρόρμησης ή εσκεμμένη απουσία τής πρόθεσης ή της διάθεσης και της τάσης για δράση, θα πρέπει να διακρίνεται από την απραξία και την απάθεια.»",,svp,,,"['abulia', 'indecision', 'passivity']",mental state of inability to decide or act,State,0.38,
EL8,αβουλησία,NOUN,,"['διστακτικότητα', 'μαλθακότητα', 'παθητικότητα']",Σταθερό χαρακτηριστικό προσώπου που δεν αναλαμβάνει πρωτοβουλίες και αφήνει άλλους να αποφασίζουν,,"«Αβουλία, ή αβουλησία, είναι η αδυναμία της θέλησης για ενέργεια και πράξη με συνειδητή προσπάθεια.»",,svp,,,"['hesitancy', 'softness', 'passiveness']",habitual trait of someone who lets others decide,Behavioral_Trait,0.38,
EL10,αβουλία,NOUN,,"['απραγία', 'αδρανοποίηση', 'βουλητική παράλυση']",Νευροψυχιατρική διαταραχή που εκδηλώνεται με έλλειψη θέλησης για πράξη ή λόγο,,"«Για να το θέσω απλά, η αβουλία αναφέρεται στην έλλειψη κινήτρων.»",,svp,,,"['abulia', 'lethargy', 'inactiveness']",neuro-psychiatric condition marked by lack of will,State,0.23,
EL10,αβουλία,NOUN,,"['μαλθακότητα', 'αναποφασιστικότητα', 'απραξία']",Ιδιότητα ανθρώπου που αποφεύγει κάθε πρωτοβουλία και δεν δείχνει προσωπική θέληση,,«Στις δύσκολες στιγμές τον κυρίευε μια αβουλία.»,,svp,,,"['softness', 'indecision', 'inertia']",quality of a person who avoids taking any initiative,Behavioral_Trait,0.23,
EL315,αγαθιάρης,ADJ,,"['αφελής', 'καλόβολος', 'κουτόχορτος', 'καλοκάγαθος']",Άνθρωπος απλοϊκός και εύπιστος που δεν υποψιάζεται πονηρές προθέσεις,,Ελα μωρε τι να της κανει ο αγαθιαρης #vrady,,ddp,,,"['naive', 'gullible', 'simple', 'trusting']","simple-minded, gullible person",Person,0.28,0.53
EL983,αγγούρι,NOUN,,"['βλήμα', 'κούτσουρο', 'ψώνιο']",Υποτιμητικός χαρακτηρισμός για άτομο αργόστροφο ή αδέξιο,,username username Ο Χρήστος ο Καμπαρες φίλε ειναι λαικο παιδί. Θέλει καμια Κοκκινου τετοιες γυναίκες οχι το αγγουρι την Ευα,,or,,,"['dummy', 'blockhead', 'slowpoke']",derogatory term for slow or clumsy person,Person,0.26,1.16
EL983,αγγούρι,NOUN,,"['μπελάς', 'παλούκι', 'καζίκι', 'ζόρι']","Δύσκολη ή επίπονη υποχρέωση· μεταφορική χρήση για μεγάλη ταλαιπωρία, φόρτο δουλειάς ή πρόβλημα που προμηνύει κόπο",,Πρέπει να φύγω για να πληρώσω το κωλοκράτος κι ο πισινός μου αρνείται να σηκωθεί από την καρέκλα και να φάει το αγγούρι!,,or,,,"['ordeal', 'slog', 'headache', 'pain']","big hassle: tough, draining task or predicament",State,0.26,1.33
EL515,αγελάδα,NOUN,,"['βόδι', 'βουβάλι', 'φάλαινα', 'χοντρή']",Υβριστικός όρος για γυναίκα που θεωρείται βαριά ή αδέξια,,Δεν την είδες; Σαν όρθια αγελάδα.,,pr,,,"['cow', 'buffalo', 'fatso', 'heifer']",insult for a woman seen as heavy or clumsy,Person,0.49,1.23
EL1799,αγένεια,NOUN,,"['αγροικία', 'χοντράδα', 'απρέπεια', 'αναισθησία']",Συμπεριφορά που δείχνει έλλειψη σεβασμού και καλών τρόπων,,Η κουλτούρα της αγένειας,,dmc,,,"['rudeness', 'impoliteness', 'coarseness', 'discourtesy']",trait of lacking courtesy and respect,Behavioral_Trait,0.48,0.47
EL1799,αγένεια,NOUN,,"['απρέπεια', 'χωριάτικο', 'φάουλ']",Μεμονωμένη πράξη ή σχόλιο που προσβάλλει και δείχνει έλλειψη τρόπων,,username username username Από την αγένεια σου καταλαβαίνω τι μπετοβλακας είσαι!,,dmc,,,"['rude act', 'impropriety', 'gaffe']",single rude act or comment,Event,0.48,1.23
EL1611,αγενής,ADJ,,"['απρεπής', 'χοντράνθρωπος', 'αναιδής', 'κακομαθημένος']",Άτομο που συμπεριφέρεται χωρίς τρόπους και δεν σέβεται τους άλλους,,"username Εσάς πάντως, που είστε αγενής, δεν θα σας φιλοξενώ ΄στο εξής στο προφίλ μου.",,dmc,,,"['rude', 'impolite', 'boor', 'ill-mannered']",person who behaves rudely and without respect,Person,1.07,0.53
EL1611,αγενής,ADJ,,"['απρεπής', 'προσβλητικός', 'κακότροπος', 'χυδαίος']",Λόγος ή ενέργεια που παραβιάζει κοινωνικούς κανόνες και προκαλεί ενόχληση ή δυσαρέσκεια,,"username username username έχετε να μου πείτε κάτι απευθείας αντί με κουτσομπολεύετε; αυτό που κάνετε είναι το λιγότερο αγενές, αν όχι ξεκάθαρα στοχοποιητικό!",,dmc,,,"['rude', 'discourteous', 'impolite conduct']",rude behaviour : impolite act or remark,Behavioral Trait,1.07,1.07
