ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
IT228,calore,noun,Synset('omw-iwn-14038264-n'),"['calore', 'estro']",Intensi desideri sessuali.,hn,Yamanakas è in calore e tu dovrai fare di tutto per farla sbollire.,se,,,,,,,,
IT2431,puzza,noun,Synset('omw-iwn-05714894-n'),"['zaffata', 'tanfata', 'lezzo', 'tanfo', 'fortore', 'afrore', 'puzza', 'sito', 'puzzo', 'pestilenza', 'fetore']",odore molto penetrante e sgradevole,omw,"Una roba romantica, con le candele e la puzza di incenso che il giorno dopo te la senti anche sui calzini.",se,,,,,,,,
IT702,falsità,noun,Synset('omw-iwn-06756407-n'),"['falso', 'falsità', 'fola', 'invenzione']",affermazione falsa,omw,Una falsità assoluta... tanto è vero che le mafie sono ancora ben forti e radicate sul territorio.,se,,,,,,,,
IT2276,vile,adjective,Synset('omw-iwn-00264776-a'),"['pusillanime', 'pavido', 'vile', 'codardo', 'vigliacco']",detto di chi manca di coraggio,omw,"Un vile gesto l'ha ridotta così ma lei non si arrende e lotta ogni giorno, e noi con lei.",se,,,,,,,,
IT1706,vile,noun,Synset('omw-iwn-09614047-n'),"['codardo', 'vigliacco', 'vile', 'pusillanime']",persona che non ha coraggio,omw,Un soldato non è un vile perché nutre il sentimento della paura affrontando il nemico.,se,,,,,,,,
IT3416,terribile,adjective,Synset('omw-iwn-01263013-a'),"['tristo', 'feroce', 'empio', 'crudo', 'perverso', 'terribile', 'perfido', 'scellerato', 'crudele', 'malvagio', 'disumano', 'selvaggio']","Che non ha pietà, crudele, spietato.",dm,Combattere contro un terribile nemico.,dm,,,,,,,,
IT2735,ladro,noun,Synset('omw-iwn-10707804-n'),['ladro'],chi ruba,omw,"Un magistrato ha detto in TV: ""Chi non paga tutte le tasse è un ladro"".",se,,,,,,,,
IT2278,indegno,adjective,Synset('omw-iwn-02588421-a'),"['indegno', 'immeritevole']",che non è degno di merito,omw,"Un bieco artificio, indegno forse di un vero artista, ma il risultato darebbe ragione a Machiavelli.",se,,,,,,,,
IT2093,ipocrita,noun,Synset('omw-iwn-10195593-n'),"['ipocrita', 'cortigiano']",persona falsa e adulatrice,omw,Tutti gli ipocriti si facciano avanti nel sentirsi offesi.,se,,,,,,,,
IT2231,folle,adjective,Synset('omw-iwn-02572038-a'),"['irragionevole', 'dissennato', 'folle', 'insensato', 'pazzo', 'pazzesco']","Che si comporta come se avesse perduto la ragione e agisce sconsideratamente, spec. in seguito a una forte emozione.",dm,Tra queste mura spoglie si sentono squallide voci di assenze incorporate da folli sentimenti.,se,,,,,,,,
IT4486,sufficiente,adjective,Synset('omw-iwn-01891109-a'),"['sufficiente', 'sostenuto', 'sussiegoso']",detto di chi manifesta un senso di superiorità indisponente,omw,"Tore si voltò, guardò la moglie con aria sufficiente e disse: ""Io vado"".",se,,,,,,,,
IT826,clan,noun,Synset('omw-iwn-08227214-n'),"['clan', 'salotto', 'club', 'circolo']","Gruppo ristretto, comunità chiusa, con sfumatura negativa, cricca, consorteria",dm,Tizian due anni fa aveva raccontato in un giornale di Modena dei clan dei videogames.,se,,,,,,,,
IT1259,branco,noun,Synset('omw-iwn-08183046-n'),['branco'],gruppo di persone o cose (dispregiativo),omw,"Temuti da tutti, sono un branco di esaltati sanguinari la cui massima aspirazione è esplodere in battaglia.",se,,,,,,,,
