id	lemma	pos	synset	synset_lemma	definition	example
IT1152	gay	noun	Synset('omw-iwn-10182913-n')	['gay', 'omosessuale', 'diverso', 'checca', 'finocchio', 'invertito']	uomo omosessuale	[]
IT789	boy	noun	Synset('omw-iwn-09871364-n')	['boy', 'moroso', 'bello', 'boy-friend', 'ragazzo']	l'innamorato, il fidanzato	[]
IT3560	pastore	noun	Synset('omw-iwn-10587605-n')	['pecoraio', 'pastore']	chi guida al pascolo greggi o armenti	[]
IT3560	pastore	noun	Synset('omw-iwn-02104523-n')	['pastore', 'cane-da-pastore']	cane addestrato a sorvegliare il gregge	[]
IT3560	pastore	noun	Synset('omw-iwn-09983572-n')	['pastore']	guida spirituale, sacerdote protestante	[]
IT456	casino	noun	Synset('omw-iwn-03685486-n')	['casino']	casa signorile rustica adibita a luogo di raaccolta per i cacciatori	[]
IT456	casino	noun	Synset('omw-iwn-04581595-n')	['casotto', 'casa di tolleranza', 'casa di piacere', 'casa chiusa', 'bordello', 'lupanare', 'postribolo', 'casino']	casa di prostituzione	[]
IT456	casino	noun	Synset('omw-iwn-13976322-n')	['tregenda', 'bordello', 'baraonda', 'vespaio', 'marasma', 'sarabanda', 'putiferio', 'rivoluzione', 'quarantotto', 'casino', 'pandemonio', 'tempesta']	stato di grande confusione e turbamento	[]
IT456	casino	noun	Synset('omw-iwn-02977936-n')	['casa da gioco', 'casinò']	luogo dove si gioca alla roulette e a vari giochi	[]
IT2841	pittore	noun	Synset('omw-iwn-10391653-n')	['pittore']	chi esercita l'arte della pittura	[]
IT2841	pittore	noun	Synset('omw-iwn-10393909-n')	['pittore', 'imbianchino']	operaio che imbianca i muri	[]
IT873	becco	noun	Synset('omw-iwn-02416880-n')	['caprone', 'becco', 'capro']	maschio della capra	[]
IT873	becco	noun	Synset('omw-iwn-01758308-n')	['becco']	sporgenza cornea di forma allungata che riveste gli archi mascellari e mandibolari degli uccelli, usata per afferrare il cibo e anche per difendersi	[]
IT4594	rosso	noun	Synset('omw-iwn-09405949-n')	['fiume-Rosso', 'rosso']	uomo dai capelli rossi	[]
IT4594	rosso	noun	Synset('omw-iwn-10513823-n')	['fiume-Rosso', 'rosso']	uomo dai capelli rossi	[]
IT4594	rosso	noun	Synset('omw-iwn-04962784-n')	['rosso']	colore	[]
IT4594	rosso	noun	Synset('omw-iwn-09863936-n')	['rosso', 'marxista']	seguace del marxismo	[]
IT4594	rosso	noun	Synset('omw-iwn-09863749-n')	['fiume-Rosso', 'rosso']	uomo dai capelli rossi	[]
IT4594	rosso	noun	Synset('omw-iwn-01464844-n')	['giallo', 'rosso', 'tuorlo']	la parte più nutriente dell'uovo di colore variabile tra il giallo e il rosso	[]
IT27	indifferenza	noun	Synset('omw-iwn-04636610-n')	['distacco', 'apatia', 'noncuranza', 'indifferenza']	l'essere distaccato e indifferente	[]
IT3483	memoria	noun	Synset('omw-iwn-06516087-n')	['memoria', 'autobiografia']	scritto autobiografico	[]
IT3483	memoria	noun	Synset('omw-iwn-03744276-n')	['memoria']	parte di un elaboratore elettronico che immagazzina per operazioni future dati e informazioni	[]
IT3483	memoria	noun	Synset('omw-iwn-05935060-n')	['segno', 'testimonianza', 'reminiscenza', 'rimembranza', 'ricordanza', 'ricordo', 'memoria']	immagine o idea che resta di qualcuno o qualcosa	[]
IT3483	memoria	noun	Synset('omw-iwn-05760202-n')	['rimembranza', 'reminiscenza', 'ricordo', 'memoria']	capacità della mente di rievocare esperienze passate	[]
IT1480	circo	noun	Synset('omw-iwn-03034860-n')	['circo equestre', 'circo']	costruzione mobile in cui si svolge lo spettacolo del circo	[]
IT1480	circo	noun	Synset('omw-iwn-00519739-n')	['circo equestre', 'circo']	spettacolo che si svoge in un circo	[]
IT247	massa	noun	Synset('omw-iwn-05024254-n')	['massa']	quantità di materia presente in un corpo	[]
IT247	massa	noun	Synset('omw-iwn-08160276-n')	['gente', 'massa', 'popolo']	il complesso dei cittadini	[]
IT247	massa	noun	Synset('omw-iwn-09348055-n')	['aggregato', 'massa']	massa composita	[]
IT247	massa	noun	Synset('omw-iwn-13774404-n')	['mucchio', 'massa', 'cumulo', 'ammasso', 'caterva', 'montagna']	gran quantità	[]
IT4180	rosso	adjective	Synset('omw-iwn-00381097-a')	['rosso']	Uno dei colori di base	[]
IT4180	rosso	adjective	Synset('omw-iwn-01175007-a')	['infiammato', 'arrossato', 'rosso']	Di ciò che è infiammato, arrossato	[]
IT2398	fascista	noun	Synset('omw-iwn-10079893-n')	['nero', 'fascista']	seguace del fascismo	[]
IT1355	azienda	noun	Synset('omw-iwn-08058098-n')	['società', 'impresa', 'azienda', 'ditta', 'compagnia']	azienda	[]
