n	asm	no	nookie
n	dmc	yes	kwezelaar
n	asf	no	twat
a	ddp	yes	liggelowig
n	cds	no	bliksem
n	cds	no	skinderbek
n	pr	no	prostituee
n	asf	no	codswallop
n	asm	no	hand werk
n	re	no	tragiese skurk
n	cds	no	skroot yster
n	cds	no	wise guy
n	ddp	yes	charlatan
n	asf	no	fuckhead
n	ddp	yes	pillock
n	dmc	yes	snoever
n	asm	no	stomkop
n	cds	no	niks doen
n	cds	no	luilak
n	dmc	yes	hartseer sak
n	svp	no	gorger
n	ddp	yes	onskuldig persoon
n	svp	no	dilly-dallier
n	cds	no	finagler
n	ddp	yes	barbaarse
n	re	no	defamer
n	dmc	yes	slackers
n	ps	yes	changelings
n	cds	no	geldskieters
n	ddp	yes	clown
n	cds	no	lening sharking
n	cds	no	vark
n	or	no	dom persoon
n	pr	no	minnares
n	cds	no	weet-all
n	cds	no	groveler
n	asm	no	doofus
n	cds	no	chiseler
n	cds	no	verwaand
n	cds	no	vuil hond
n	cds	no	roes sak
n	is	yes	vagebond
n	ddp	yes	motherfucker
n	an	no	manlike escort
n	re	no	terrorisme
n	cds	no	geswel
n	cds	no	rakker
n	dmc	yes	knoeier
n	dmc	yes	misleiding
n	ps	yes	mongool
n	ddp	yes	kwak medisyne
n	cds	no	misdadiger
n	qas	no	beroerder
n	cds	no	line-shooter
n	cds	no	greenhorn
n	re	no	misdadig
n	or	no	onskuldig persoon
n	dmc	yes	bedrog
n	dmc	yes	uitdraaier
n	ddp	yes	sondig nie
n	ps	yes	vormverwisselaar
n	qas	no	tagalong
n	an	no	luiaard
n	ddp	yes	onbevoeg
n	cds	no	zeur piet
n	asm	no	flouter
n	cds	no	brigand
n	an	no	skurk
n	cds	no	stomkop
n	re	no	daad van terrorisme
a	cds	no	laf
n	asm	no	sagte aanraking
n	ddp	yes	dimwit
n	asm	no	piel
n	ddp	yes	rumormonger
n	ddp	yes	rumourmonger
n	cds	no	soet net
n	cds	no	handlangers
n	or	no	knucklehead
n	cds	no	bendelid
n	cds	no	huishoudelike afval
n	dmc	yes	so-en-so
n	an	no	onverbiddelijk
n	ddp	yes	codswallop
n	dmc	yes	gapper
n	qas	no	afkeur
n	cds	no	dommerik
n	cds	no	strooplikker
n	cds	no	pad agent
n	cds	no	die groot ongewaste
n	dmc	yes	vervalser
n	qas	no	amateur
n	cds	no	vervolger
n	an	no	rogue
n	an	no	minx
n	ddp	yes	swak vis
n	an	no	val man
n	re	no	maligner
a	svp	no	aggressief
n	svp	no	smulpaap
n	dmc	yes	dallier
n	dmc	yes	barbaarse
n	cds	no	barbaarse
n	cds	no	muggins
n	qas	no	verwerp
n	svp	no	miser
n	ddf	yes	half-pint
n	ddp	yes	vertraagdes
n	cds	no	siciliaanse mafia
n	an	no	teef
n	asf	no	dwaas
n	cds	no	jeug bendes
n	or	no	domkop
n	cds	no	deugniet
n	svp	no	niks doen
n	om	no	faggot
n	ps	yes	moroon
n	ps	yes	mongoloids
n	cds	no	polisiemanne
n	cds	no	verbied
n	is	yes	tragiese skurk
n	cds	no	straat bende
n	cds	no	dogmatisme
n	asm	no	val man
n	cds	no	knoeier
n	dmc	yes	misdadig
n	or	no	pillock
n	cds	no	probleem
n	cds	no	doortrapt
n	cds	no	demagogiese
n	svp	no	superbia
n	an	no	lafaard
n	dmc	yes	skelm
n	pr	no	hogwash
n	svp	no	minginess
n	an	no	coquette
n	svp	no	uitdraaier
n	svp	no	self-liefde
n	cds	no	rube
n	ddp	yes	onkunde
n	om	no	moffie
n	asm	no	dimwit
n	re	no	italiaanse mafia
n	cds	no	afval
n	cds	no	sluip dief
n	dmc	yes	pseudo
n	cds	no	schurkerij
n	asm	no	rol in die hooi
n	dmc	yes	goed-vir-nietige
n	cds	no	verklikker
n	an	no	sagte aanraking
n	cds	no	fib
n	ps	yes	swaksinnige
n	an	no	internet hoax
n	ddp	yes	gepeupel
n	re	no	vilifier
n	an	no	so-en-so
n	dmc	yes	libertinism
n	svp	no	aanmatiging
n	cds	no	slordige persoon
n	an	no	shit head
n	asf	no	stomkop
n	cds	no	kniesoor
n	an	no	cuckold
n	om	no	moffies
n	ddp	yes	cretin
n	qas	no	fib
n	cds	no	val man
n	ddp	yes	zooerastia
n	ddp	yes	flous
n	re	no	lasteraar
n	dmc	yes	tussenrat
n	or	no	faggot
n	re	no	verkragters
n	is	yes	scrooge
n	pr	no	prostitusie
n	cds	no	ydelheid
n	ps	yes	mestizaje
n	cds	no	dom
n	cds	no	dastardliness
n	ddp	yes	knucklehead
n	ps	yes	barbaar
n	ps	yes	cretin
n	asf	no	saphead
n	cds	no	babbelaar
n	an	no	folderol
n	an	no	skoen
n	an	no	skelm
n	an	no	dwaas
n	dmc	yes	luilak
n	re	no	terroriste
n	cds	no	bendebedrywighede
n	an	no	tragiese skurk
n	dmc	yes	huigelaar
n	ddp	yes	bedrieg
n	cds	no	domkop
n	cds	no	bemoeial
n	cds	no	gapper
n	pr	no	prostitute
n	svp	no	hoogmoed
n	cds	no	tricker
n	re	no	villainess
n	svp	no	tightfistedness
n	dmc	yes	rube
n	asm	no	shtup
n	ddp	yes	asshole
n	cds	no	uitdraaier
n	ddp	yes	dom
n	dmc	yes	huichelaar
n	cds	no	fascistiese
a	qas	no	kranksinnige
n	om	no	queer
n	an	no	vamper
n	or	no	gays
n	ddp	yes	bumbler
n	asf	no	cunt
n	re	no	skelm
