id	pos	category	stereotype	lemma	level
AR1499	n	an	no	الأوروبية الآسيوية غريفون	inclusive
AR1048	n	cds	no	ديماجوجي	conservative
AR70	n	om	no	اللواطة	inclusive
AR2743	n	dmc	yes	تشرد	inclusive
AR1322	n	qas	no	الفلاح	inclusive
AR2310	n	an	no	دُودَة	inclusive
AR931	n	an	no	التنصت	inclusive
AR118	n	ddp	yes	codswallop	conservative
AR1099	n	an	no	diddly	conservative
AR948	n	an	no	مغناج	conservative
AR1339	n	dmc	yes	أثر الرائحة الكريهة	conservative
AR2567	n	cds	no	أتباع	conservative
AR36	n	pa	yes	عامل	inclusive
AR255	n	qas	no	بيضة	inclusive
AR1298	n	cds	no	عصبية	conservative
AR69	n	svp	no	slothfulness	inclusive
AR523	n	pr	no	ثيران	inclusive
AR1210	n	ddf	yes	قزم	conservative
AR522	n	an	no	ماشية	inclusive
AR1948	n	qas	no	العدوى الذاتية	inclusive
AR614	n	an	no	طور	inclusive
AR128	n	ddp	yes	امية	inclusive
AR1244	n	dmc	yes	الأخلاق	inclusive
AR830	n	pa	yes	أستاذ	inclusive
AR2594	n	an	no	إبن أوى	inclusive
AR164	n	an	no	بعديات	inclusive
AR2656	a	svp	no	متعالي	conservative
AR2344	n	or	no	البطاطا	inclusive
AR447	n	qas	no	القطب	inclusive
AR357	n	dmc	yes	والزيف	inclusive
AR1126	n	dmc	yes	منافق	conservative
AR1922	n	ps	yes	القوط الشرقيون	inclusive
AR1195	n	cds	no	scads	inclusive
AR359	n	cds	no	كذب	conservative
AR1131	n	dmc	yes	رياء	conservative
AR522	n	pr	no	ماشية	inclusive
AR699	n	ps	yes	استبدل	conservative
AR2671	n	re	no	العملية الارهابية	conservative
AR195	n	cds	no	غبي	inclusive
AR207	n	ddp	yes	muttonhead	conservative
AR2153	n	dmc	yes	نصف باينت	conservative
AR1958	n	qas	no	الطفيليّات	inclusive
AR2123	n	pa	yes	راعي	inclusive
AR1174	n	om	no	مجافي الفم	inclusive
AR418	n	dmc	yes	جاني	inclusive
AR114	n	asm	no	بزوغ	inclusive
AR2503	n	re	no	اللصوص	inclusive
AR1250	n	dmc	yes	اخلاق	inclusive
AR753	n	cds	no	القبائل العربية	inclusive
AR1247	n	dmc	yes	حافز أخلاقي	inclusive
AR418	n	cds	no	جاني	conservative
AR1267	n	dmc	yes	شر	inclusive
AR359	n	qas	no	كذب	conservative
AR1876	n	an	no	وجه ساخرة	inclusive
AR99	n	qas	no	الفضلات	inclusive
AR951	n	an	no	prickteaser	conservative
AR394	n	pa	yes	خادم فندق	inclusive
AR1261	n	an	no	eurypterid	inclusive
AR2537	n	an	no	علجوم	inclusive
AR332	n	an	no	تقع الرجل	conservative
AR245	n	cds	no	مبغى	inclusive
AR575	n	qas	no	الطبقة المتوسطة	inclusive
AR1636	n	cds	no	الغطرسة	inclusive
AR501	n	qas	no	المتردد	conservative
AR518	n	pr	no	أبقار	inclusive
AR2764	n	an	no	الأفاعي،	inclusive
AR1066	n	pa	yes	المتودد	inclusive
AR275	n	ps	yes	البرابرة	conservative
AR2523	n	qas	no	العظمة	inclusive
AR611	n	svp	no	الاستعلاء	conservative
AR1798	n	ddp	yes	تخلف عقلي،	inclusive
AR730	n	qas	no	رعاع	conservative
AR2701	n	om	no	عبر اللباس	inclusive
AR233	n	svp	no	الجشع	inclusive
AR602	n	ps	yes	البلغار	inclusive
AR563	n	qas	no	رجال اعمال	inclusive
AR1372	n	dmc	yes	الأحمق	inclusive
AR195	n	an	no	غبي	conservative
AR2070	n	an	no	المكروبات	inclusive
AR524	n	pr	no	مواشي	inclusive
AR2152	n	re	no	ستيلير	inclusive
AR983	n	an	no	التمساحيات	inclusive
AR358	n	cds	no	باطل	inclusive
AR186	n	cds	no	دهاء	inclusive
AR1962	n	qas	no	رعية	inclusive
AR703	n	re	no	التشهير	inclusive
AR272	n	ddp	yes	برابرة	conservative
AR1356	n	cds	no	غلاية من الأسماك	inclusive
AR617	n	cds	no	lowlife	conservative
AR329	n	ps	yes	مرقس	conservative
AR291	n	pa	yes	محامي	inclusive
AR2557	n	cds	no	المتعالم	conservative
AR2710	n	pr	no	hetaera	inclusive
AR1914	n	cds	no	sicilian mafia	inclusive
AR502	n	qas	no	المتخبط	conservative
AR36	n	or	no	عامل	conservative
AR445	n	qas	no	قطب	inclusive
AR239	n	svp	no	البخل	inclusive
AR692	n	cds	no	القميء	inclusive
AR2139	n	pr	no	اجتماعية	inclusive
AR1013	n	asf	no	كس	conservative
AR484	n	cds	no	يخطيء	inclusive
AR44	n	pa	yes	جامعي	inclusive
AR621	n	cds	no	بوابة	conservative
AR806	n	qas	no	والعوام	inclusive
AR1891	n	cds	no	نيرد	conservative
AR2315	v	qas	no	خرب	conservative
AR1349	n	pa	yes	بائعة سمك	inclusive
AR1615	n	cds	no	أسقف	inclusive
AR2727	n	an	no	الخدع	conservative
AR883	n	cds	no	المراسل	inclusive
AR1196	n	cds	no	طن	inclusive
AR656	n	ddp	yes	عان	inclusive
AR459	n	cds	no	موظر	conservative
AR1910	n	re	no	كوزا نوسترا	inclusive
AR731	n	ddp	yes	عامة	conservative
AR1617	n	qas	no	منزل الرسام	inclusive
AR156	n	ddp	yes	الحيوان	inclusive
AR1317	n	qas	no	فلاحون	inclusive
AR2293	n	an	no	الأفعى القرنية الأنف	inclusive
AR684	n	dmc	yes	المنبوذون	inclusive
AR2194	n	ps	yes	لاتيني	inclusive
AR2272	n	ps	yes	فاندال	inclusive
AR1071	n	cds	no	خارج عن القانون	inclusive
AR2496	n	re	no	اختطف	inclusive
AR877	n	pa	yes	العريف	inclusive
AR1858	n	an	no	البعوضيات	inclusive
AR2100	n	ddp	yes	غباء	inclusive
AR1171	n	om	no	buttocks	inclusive
AR1784	n	svp	no	تحجر	conservative
AR593	n	cds	no	الأنانية	inclusive
AR1227	n	asm	no	فالوس	inclusive
AR78	n	ddp	yes	الشرج	conservative
AR2354	n	or	no	بطاطا	inclusive
AR1985	n	asm	no	بازلاء	inclusive
AR53	n	ddp	yes	تخلف عقلي	inclusive
AR195	n	asm	no	غبي	conservative
AR480	n	qas	no	تخبط	inclusive
AR536	n	cds	no	مدير	inclusive
AR2373	v	an	no	غضب	conservative
AR1315	n	qas	no	مزارع	inclusive
AR2168	n	ps	yes	نيغا	conservative
AR607	n	cds	no	التعالي	conservative
AR820	n	pa	yes	الأستاذية	inclusive
AR274	n	ps	yes	غليظ	conservative
AR2131	n	cds	no	اللغز	conservative
AR312	n	qas	no	البارون	inclusive
AR2125	n	pa	yes	الراعي	inclusive
AR2742	n	pa	yes	سكاف	inclusive
AR242	n	ddp	yes	التخلف	inclusive
AR1758	n	cds	no	مراب	inclusive
AR2570	n	an	no	صرصار	inclusive
AR717	n	re	no	vilifier	conservative
AR1907	n	cds	no	بوليس	inclusive
AR1193	n	dmc	yes	جانح	conservative
AR720	n	dmc	yes	السارق	conservative
AR874	n	cds	no	مؤامرة الصمت	inclusive
AR340	n	pr	no	امرأة من الشارع	conservative
AR642	n	cds	no	cacography	inclusive
AR2295	n	an	no	نسر	inclusive
AR2565	n	an	no	علقيات	inclusive
AR1699	n	ddp	yes	جهل	conservative
AR120	n	cds	no	المضطهد	conservative
AR2403	n	an	no	phthiraptera	inclusive
AR491	n	cds	no	كريهة تصل	inclusive
AR893	n	om	no	homophile	conservative
AR324	n	cds	no	blackballing	inclusive
AR2406	n	an	no	قمليات	inclusive
AR2183	n	ps	yes	سوداء	inclusive
AR2719	n	asm	no	avafauna	inclusive
AR554	n	qas	no	الفلاحين	inclusive
AR366	n	cds	no	غندور	inclusive
AR635	n	re	no	villainess	conservative
AR1184	n	svp	no	الأكول	inclusive
AR2267	n	cds	no	الربا	conservative
AR2200	n	cds	no	hypersexual	conservative
AR2745	n	cds	no	الفساد	conservative
AR1221	n	pa	yes	أجير	inclusive
AR789	n	an	no	عامية	conservative
AR597	n	cds	no	التمادي	conservative
AR1423	n	cds	no	الفاشستية	conservative
AR731	n	an	no	عامة	conservative
AR1479	n	cds	no	رجعيه	conservative
AR742	n	om	no	الطفل شابهها	conservative
AR332	n	cds	no	تقع الرجل	conservative
AR2284	n	ps	yes	الواندل	inclusive
AR1046	n	dmc	yes	غش	conservative
AR1500	n	an	no	gyps fulvus	inclusive
AR354	n	an	no	المومس	conservative
AR1403	n	svp	no	اهتياج	conservative
AR626	n	cds	no	layabout	conservative
AR678	n	cds	no	الجيف	inclusive
AR1839	n	an	no	mollusca	inclusive
AR728	n	ddp	yes	أوباش	conservative
