n	dmc	yes	селяк
n	re	no	сериен изнасилвач
n	cds	no	поддръжници
n	an	no	слаб човек
n	cds	no	наивник
n	dmc	yes	измет чанта
n	om	no	homophile движение
n	an	no	мижитурка
n	cds	no	страна работа
n	cds	no	трина
n	asf	no	fuckhead
n	ps	yes	шваба
n	ddp	yes	pillock
n	cds	no	Хюбрис
n	ddp	yes	карък
n	dmc	yes	Либертианско
n	dmc	yes	варвари
n	dmc	yes	мързелан
n	is	yes	злодей
n	cds	no	finagler
n	qas	no	сплетник
n	an	no	бавен човек
n	cds	no	Суета
n	cds	no	книжен червей
n	cds	no	пречка
a	ddp	yes	детски
n	cds	no	заем акула
n	ddp	yes	непохватен човек
n	cds	no	догматизъм
n	ps	yes	changelings
n	om	no	педофилът
n	cds	no	конформист
n	ps	yes	меко докосване
n	cds	no	лукавост
n	svp	no	безсмислието
n	qas	no	лъжа
n	dmc	yes	зверчето
n	ddp	yes	будала
n	asf	no	абдал
n	cds	no	измислица
n	an	no	меко докосване
n	cds	no	groveler
n	re	no	сицилианската мафия
n	asm	no	doofus
n	an	no	grossness
n	cds	no	chiseler
n	ddp	yes	Варвари
n	cds	no	идиот изключване
n	ddp	yes	неведение
n	cds	no	балама
n	cds	no	беляджия
n	re	no	мошеник
n	re	no	мафия
n	dmc	yes	трина
n	asf	no	codswallop
n	cds	no	безпорядък
n	cds	no	хитрец
n	cds	no	демагогски
a	dmc	yes	ленив
n	asm	no	идиот изключване
n	cds	no	прекъсване на
n	dmc	yes	несериозен човек
n	ddp	yes	шарлатанин
n	svp	no	самолюбие
n	is	yes	гаврош
a	svp	no	високомерен
n	cds	no	scrawler
n	cds	no	conceitedness
n	asf	no	вагинален
n	qas	no	зверчето
n	cds	no	злодея
n	cds	no	чекия
n	rci	yes	коварния
n	qas	no	tagalong
n	ddp	yes	палячо
n	dmc	yes	Мистификация
n	cds	no	хак писател
n	asm	no	flouter
n	dmc	yes	изтърсак
n	cds	no	layabout
n	re	no	акт на тероризъм
n	or	no	абдал
n	cds	no	дървеняк
n	ps	yes	кретен
a	is	yes	тесногръд
n	cds	no	италианската мафия
n	cds	no	високомерие
n	an	no	трагичен злодей
n	is	yes	скръндза
n	cds	no	зубрач
n	cds	no	копеле
n	pa	yes	варварин
n	ddp	yes	rumormonger
n	ddp	yes	rumourmonger
n	dmc	yes	злодей
n	or	no	knucklehead
n	svp	no	не сметка
n	re	no	изнасилвачи
n	re	no	Терорист
a	ddp	yes	тъп
a	or	no	взискателен
n	dmc	yes	изме́нник
n	om	no	педал
n	asm	no	парче на опашката
n	dmc	yes	недодялан човек
n	ps	yes	boche
n	ps	yes	Сменено дете
n	ddp	yes	невежа
n	pr	no	уличната проституция
n	an	no	бавно загряващ човек
n	cds	no	тщеславие
n	an	no	банален
n	or	no	ексцентричен
n	re	no	maligner
n	an	no	некомпетентен
n	cds	no	преписвач
n	dmc	yes	лош човек
n	qas	no	послъгвам
n	cds	no	Ушев
n	an	no	балама
n	asf	no	идиот
n	dmc	yes	грубиян
n	dmc	yes	разбойник
n	dmc	yes	dallier
n	ps	yes	монголоидни
n	svp	no	gorger
n	cds	no	банда
n	asm	no	абдал
n	cds	no	калпазанин
n	or	no	хомосексуали́ст
n	ddp	yes	доносник
n	cds	no	сводница
n	an	no	кокона
n	ddp	yes	дангалак
n	dmc	yes	безделник
n	an	no	джудже
n	pr	no	блудство
n	cds	no	фалш
n	dmc	yes	непохватен човек
n	ps	yes	метис
n	dmc	yes	негоден за нищо
n	asm	no	меко докосване
n	ps	yes	mongoloids
n	ps	yes	малоумник
n	svp	no	волунтаризъм
n	cds	no	измет
n	or	no	минджа
n	pr	no	мъжки ескорт
n	cds	no	коварния
n	ddp	yes	зверчето
n	or	no	pillock
n	cds	no	немарлив човек
n	cds	no	шилото
n	svp	no	superbia
n	ddp	yes	безсмислен
n	cds	no	мързеливец
n	pr	no	дама на удоволствие
n	asf	no	вагина
n	svp	no	minginess
n	ddp	yes	лековерник
n	pr	no	мъжката проституция
n	dmc	yes	подлия
n	dmc	yes	варварски
n	cds	no	половин пинта
n	cds	no	самомнителност
n	an	no	мръсен трик
n	asm	no	чекиджия
n	cds	no	жалък страхливец
n	ddp	yes	бедните риба
n	cds	no	лихвари
n	cds	no	лихва
n	cds	no	боклук
n	an	no	тъпако
n	cds	no	младежката престъпно
n	ps	yes	негър
n	ps	yes	дангалак
n	an	no	мародер
n	svp	no	каналокопател
n	ddp	yes	шарлатанство
n	cds	no	метални отпадъци
n	ddp	yes	коварния
n	cds	no	лъжльо
n	cds	no	гонител
n	cds	no	злосторник
n	dmc	yes	libertinism
n	cds	no	надменност
n	cds	no	главорез
n	cds	no	варварски
n	dmc	yes	изменник
n	ddp	yes	zooerastia
n	qas	no	паразит
n	cds	no	банда култура
n	pr	no	проститутка
n	svp	no	стипца
n	ps	yes	mestizaje
n	asf	no	меко докосване
n	pr	no	развратница
n	rci	yes	Варвари
n	cds	no	dastardliness
n	dmc	yes	еди-кой си
n	ddp	yes	knucklehead
n	cds	no	дивак
n	cds	no	самохвалко
n	an	no	folderol
n	ps	yes	преча на
a	dmc	yes	зъл
n	pr	no	любовница
n	dmc	yes	некадърник
n	dmc	yes	зло
n	cds	no	wangler
n	qas	no	неприятности машина
a	cds	no	високомерен
n	pr	no	глупости
n	ddp	yes	подлец
n	or	no	бедните риба
n	cds	no	tricker
n	asm	no	чекия
n	re	no	villainess
n	cds	no	наглост
n	svp	no	tightfistedness
n	or	no	галфон
n	asm	no	shtup
n	svp	no	ярост
n	dmc	yes	отстъпник
n	re	no	Тероризмът
n	om	no	queer
n	an	no	vamper
n	svp	no	високомерие
a	om	no	хомосексуален
n	ddp	yes	кучи син
a	dmc	yes	окаян
n	an	no	прасе, свиня
n	ps	yes	дивак
n	om	no	банален
n	cds	no	линия стрелецът
n	cds	no	офицер
n	cds	no	gossiper
n	an	no	необразован човек
a	qas	no	луд
n	cds	no	Варвари
n	an	no	zooerasty
n	dmc	yes	Либертинизъм
n	ddp	yes	Сменени деца
n	ddf	yes	половин пинта
n	an	no	курва
n	cds	no	bellyacher
n	cds	no	извън закона
n	re	no	дата-изнасилване
n	an	no	содомия
n	asf	no	слива
n	cds	no	сатири
n	cds	no	лихвар кожодер
n	dmc	yes	преструвка
n	is	yes	cheapskate
n	ddp	yes	дивак
n	pr	no	проститутки
n	cds	no	измамник
n	asf	no	folderol
n	dmc	yes	отблъснат
n	cds	no	зло
n	re	no	насилник
n	cds	no	кучи син
n	ps	yes	метиси
n	cds	no	villainess
a	dmc	yes	мързелив
n	pr	no	лека жена
n	asf	no	Сменено дете
n	an	no	nanus
n	an	no	страхли́вец
n	an	no	скъперник
n	cds	no	меко докосване
a	ddp	yes	глупав
n	cds	no	страхли́вец
n	cds	no	wonk
n	dmc	yes	лош дъх
n	cds	no	gossipmonger
n	om	no	гей
n	or	no	тъпак
n	ddp	yes	некадърник
n	pr	no	жена на улицата
n	cds	no	маниак
n	asf	no	dumbass
n	ps	yes	циганин
n	re	no	libeler
n	ddp	yes	pudden главата
n	ps	yes	мангал
n	an	no	diddlysquat
n	ddp	yes	изкупителна жертва
n	is	yes	подлия
n	dmc	yes	негодник
n	cds	no	loansharking
a	ddp	yes	животински
n	cds	no	абдал
n	svp	no	безполезност
n	ps	yes	простак
n	an	no	немарлив човек
n	om	no	Куиър
a	ddf	yes	неприятен
n	cds	no	бандит
n	rci	yes	варварин
n	is	yes	стипца
n	cds	no	мъчен въпрос
n	cds	no	Шейлок
n	an	no	развратница
n	cds	no	полицай
n	dmc	yes	фанатизъм
n	or	no	педал
n	ddp	yes	тъпанар
n	cds	no	ноу-то-всички
n	an	no	глупак
n	ddp	yes	nonsensicality
n	cds	no	банален
n	asf	no	палячо
n	om	no	paederast
n	ddp	yes	преча на
n	pr	no	търговски сексуални
n	an	no	тъпак
a	ddp	yes	лековерен
n	pr	no	спортни дама
n	cds	no	defrauder
n	cds	no	свиня
n	an	no	тежка гемия
n	cds	no	измет и бобтейл
n	cds	no	moaner
n	cds	no	хой polloi
n	cds	no	бракувам
n	asm	no	отвличане на разстояние
n	cds	no	промъкнем крадец
n	qas	no	некадърник
n	cds	no	трик
n	or	no	Хомофилско движение
n	dmc	yes	мързеливец
n	cds	no	vaunter
n	cds	no	показност
n	re	no	подлия
n	cds	no	Мафиот
n	ps	yes	Варвари
n	qas	no	измет
n	asm	no	изкупителна жертва
n	ddp	yes	ferociousness
n	cds	no	глупак
n	dmc	yes	pseud
n	ps	yes	карък
n	cds	no	варварин
n	pr	no	нахалница
a	ddp	yes	невеж
n	cds	no	зрител
a	cds	no	страхлив
n	cds	no	splashiness
v	asm	no	еба
n	an	no	порочност
n	ddp	yes	non sens
n	cds	no	младок
n	an	no	измет
n	cds	no	селяндур
n	cds	no	nosy-parker
a	svp	no	мързелив
n	cds	no	Шайлок
n	cds	no	на всяко гърне меродия
n	asf	no	будала
n	pr	no	comare
n	cds	no	избиване
n	dmc	yes	lingerer
n	cds	no	тъпак
n	or	no	путка
n	cds	no	шарлатанин
n	re	no	терористи
n	cds	no	помпозност
n	an	no	мъжки ескорт
n	qas	no	избиване
n	om	no	хоп
n	cds	no	ултраконсервативно
n	cds	no	хитрина
n	cds	no	Коза ностра
n	cds	no	наказателното зло
n	cds	no	хайлазин
n	cds	no	git
n	asf	no	Вагина
n	asm	no	Глупост
n	cds	no	проблем
n	asf	no	галфон
n	cds	no	мърляч
n	an	no	мързелан
n	an	no	пола преследвач
n	ddp	yes	Глупост
n	cds	no	измет чанта
n	rci	yes	варвари
n	dmc	yes	Мистификации
n	cds	no	крадец на дребно
n	svp	no	самохвалство
n	cds	no	скрап
n	an	no	абдал
n	cds	no	нещо което смущава
