id	pos	category	stereotype	lemma	level
BG1266	n	cds	no	тъмничар	inclusive
BG1644	n	an	no	нощна пеперуда	inclusive
BG1963	n	an	no	змия	inclusive
BG2251	n	an	no	канал бас	inclusive
BG995	n	cds	no	мръсотия	inclusive
BG828	n	an	no	cimex lectularius	inclusive
BG230	n	rci	yes	грубиян	conservative
BG937	n	cds	no	измама	inclusive
BG1646	n	pr	no	молец	inclusive
BG288	n	an	no	блудница	conservative
BG95	n	qas	no	дреболии	inclusive
BG153	n	asm	no	тъпак	conservative
BG494	n	asm	no	тъмно кафяво	inclusive
BG937	n	dmc	yes	измама	inclusive
BG1373	n	ps	yes	юдео	inclusive
BG625	n	an	no	развратница	conservative
BG223	a	svp	no	користолюбив	conservative
BG2186	n	an	no	anura	inclusive
BG971	n	cds	no	закононарушение	inclusive
BG1111	n	dmc	yes	моралните ценности	inclusive
BG414	n	ddp	yes	тъпанар	conservative
BG307	n	cds	no	неистинността	conservative
BG367	n	an	no	бизони	inclusive
BG1673	n	cds	no	мафията	inclusive
BG1855	n	cds	no	изтърсак	conservative
BG1776	n	qas	no	Реториката	inclusive
BG86	n	qas	no	съучастник	inclusive
BG1147	n	cds	no	сводници	inclusive
BG2340	n	om	no	травестизмът	inclusive
BG159	n	or	no	knucklehead	conservative
BG368	n	ddp	yes	клюкар	conservative
BG1852	n	or	no	скуош	inclusive
BG543	n	cds	no	арогантност	conservative
BG1873	n	ps	yes	негроид	inclusive
BG471	n	an	no	Бик	inclusive
BG514	n	an	no	стария свят биволско	inclusive
BG63	n	an	no	бивол	inclusive
BG1114	n	dmc	yes	Морал	inclusive
BG970	n	cds	no	Престъпленията	inclusive
BG779	n	om	no	педал	inclusive
BG1255	n	asm	no	широка боб	inclusive
BG1348	n	om	no	shirtlifter	inclusive
BG572	n	is	yes	villainess	conservative
BG2263	a	cds	no	интелигентен	inclusive
BG204	n	cds	no	публичен дом	inclusive
BG16	n	svp	no	Безразличие	inclusive
BG717	n	cds	no	ballup	inclusive
BG898	n	cds	no	селекционер	inclusive
BG934	n	qas	no	цапач	conservative
BG188	n	an	no	скъперник	conservative
BG618	n	asm	no	идиот	inclusive
BG1518	n	dmc	yes	лъжец	inclusive
BG610	n	dmc	yes	парий	inclusive
BG256	n	pa	yes	юрист	inclusive
BG335	n	dmc	yes	лъжльо	conservative
BG1242	n	cds	no	гангстери	inclusive
BG1295	n	cds	no	реакционер	conservative
BG558	n	cds	no	негодник	conservative
BG2071	a	cds	no	високомерен	conservative
BG402	n	cds	no	тек	inclusive
BG1519	a	svp	no	мързелив	conservative
BG2411	n	dmc	yes	предател	conservative
BG513	n	qas	no	burgher хора	inclusive
BG483	n	an	no	bos primigenius taurus	inclusive
BG1087	n	pa	yes	работник	inclusive
BG201	n	cds	no	Публичен дом	inclusive
BG1260	n	asf	no	влагалище	conservative
BG445	n	cds	no	самохвалко	conservative
BG1758	n	pr	no	плъх	inclusive
BG437	n	cds	no	бу-бу	inclusive
BG636	n	re	no	calunnia	inclusive
BG2370	n	cds	no	conspiracism	inclusive
BG1635	n	ps	yes	Монголец	inclusive
BG74	n	om	no	содомия	inclusive
BG1947	n	dmc	yes	нещастен	inclusive
BG489	n	cds	no	шеф	inclusive
BG2005	n	or	no	спъд	inclusive
BG2254	n	cds	no	зубрач	conservative
BG548	n	cds	no	conceitedness	conservative
BG1517	n	dmc	yes	казуист	conservative
BG328	n	an	no	говеждо месо	inclusive
BG359	n	cds	no	престъпник	conservative
BG1334	n	pr	no	Проституцията	inclusive
BG1235	n	svp	no	безсмислието	conservative
BG2428	n	cds	no	Нимфоманка	inclusive
BG1440	a	is	yes	тесногръд	conservative
BG1328	n	re	no	грабеж	inclusive
BG334	n	dmc	yes	fabricator	conservative
BG1073	n	cds	no	peons	inclusive
BG571	n	re	no	злодей	conservative
BG976	n	re	no	престъпления	inclusive
BG296	n	pr	no	уличница	conservative
BG608	n	dmc	yes	бездомник	inclusive
BG1043	n	om	no	дирник	inclusive
BG236	n	pa	yes	варвари	conservative
BG1672	n	re	no	мафия	conservative
BG131	n	an	no	Животинския свят	inclusive
BG2273	a	re	no	силен	inclusive
BG615	n	cds	no	мижитурка	conservative
