id	pos	category	stereotype	lemma	level
BN2	n	svp	no	workplace aversion	inclusive
BN602	n	ps	yes	judiasm	inclusive
BN76	n	or	no	বোকা	conservative
BN782	n	an	no	মথ	inclusive
BN307	n	an	no	rabbitkind	inclusive
BN152	n	pa	yes	undertakers	inclusive
BN13	n	svp	no	lazyness	inclusive
BN678	n	ddf	yes	disable	inclusive
BN108	n	asm	no	testes	inclusive
BN1127	n	an	no	vulpini	inclusive
BN655	n	an	no	hyena	inclusive
BN482	n	asf	no	female's sex organ	conservative
BN1020	n	re	no	জলদস্যুতা	inclusive
BN843	n	asm	no	peas	inclusive
BN884	n	an	no	singleceller	inclusive
BN24	n	ddp	yes	anamalia	inclusive
BN641	n	ps	yes	jewess	inclusive
BN798	n	om	no	paederasty	inclusive
BN30	n	ddp	yes	animalia	inclusive
BN586	n	ps	yes	jewity	inclusive
BN552	n	om	no	⚣	inclusive
BN168	n	an	no	catties	inclusive
BN456	n	cds	no	religious totalitarianism	inclusive
BN45	n	an	no	metazoans	inclusive
BN279	n	or	no	capitata group	inclusive
BN478	n	asf	no	quim	conservative
BN320	n	an	no	strigiform	inclusive
BN1151	n	asm	no	ornis	inclusive
BN74	n	asf	no	মূর্খতা	conservative
BN760	n	ps	yes	mongolia people	inclusive
BN324	n	an	no	strigiformes	inclusive
BN248	n	cds	no	tribeswomen	inclusive
BN785	n	an	no	mule	inclusive
BN991	n	or	no	pottato	inclusive
BN672	n	ddf	yes	disabilities, people with	inclusive
BN481	n	asf	no	va jay jay	conservative
BN136	n	ps	yes	blackly	inclusive
BN844	n	asm	no	petit pois	inclusive
BN17	n	an	no	metazoa	inclusive
BN460	n	cds	no	fundamentalism	inclusive
BN646	n	ps	yes	ইহুদি	inclusive
BN675	n	ddf	yes	disibility	inclusive
BN1048	n	an	no	chickens	inclusive
BN215	n	an	no	canine lupus	inclusive
BN4	n	svp	no	indolency	inclusive
BN1051	n	an	no	muff	inclusive
BN418	n	om	no	asscheeks	inclusive
BN1062	a	dmc	yes	নোংরা	inclusive
BN907	n	an	no	micro-organismically	inclusive
BN1094	n	an	no	blattaria	inclusive
BN955	n	an	no	রাজ হাস	inclusive
BN605	n	ps	yes	religion of ancient israel	inclusive
BN414	n	om	no	keister	inclusive
BN746	n	qas	no	mixtures	inclusive
BN75	n	ddp	yes	মূর্খ	inclusive
BN154	n	pa	yes	morticians	inclusive
BN1171	n	ps	yes	zulu	inclusive
BN314	n	an	no	bedbug	inclusive
BN527	n	re	no	thieving	inclusive
BN690	n	ddf	yes	invalidity	inclusive
BN163	n	an	no	🐄	inclusive
BN1079	n	an	no	ব্যাঙ	inclusive
BN659	n	an	no	chienna	inclusive
BN551	n	om	no	homosexuality	inclusive
BN353	n	ps	yes	hybridisation	inclusive
BN362	n	cds	no	interfertility	inclusive
BN947	n	an	no	cygninae	inclusive
BN536	n	re	no	filched	inclusive
BN274	n	asm	no	ধন	inclusive
BN548	n	om	no	poofy	inclusive
BN457	n	cds	no	fundamentalists	inclusive
BN404	n	cds	no	seattle sound	inclusive
BN816	n	cds	no	snaparazzi	inclusive
BN26	n	ddp	yes	kingdomanimalia	inclusive
BN218	n	an	no	কুকুর	inclusive
BN804	n	om	no	man-boy love	inclusive
BN609	n	ps	yes	hebrew religion	inclusive
BN697	n	an	no	entomofauna	inclusive
BN520	n	cds	no	stealing	inclusive
BN466	n	asf	no	paracolpium	conservative
