pos	category	stereotype	lemma	level
n	an	no	crocodílid	inclusive
a	cds	no	murri	conservative
n	cds	no	tacte suau	conservative
n	re	no	acte de terrorisme	inclusive
n	an	no	indelicadesa	conservative
n	an	no	subordre blattaria	inclusive
n	an	no	animalculum	inclusive
n	cds	no	conventículos	inclusive
n	an	no	voltor	inclusive
n	qas	no	barroer	conservative
n	cds	no	caos	inclusive
n	ps	yes	biotecnologia vegetal	inclusive
n	ddf	yes	handicap	inclusive
n	an	no	búfal	inclusive
n	svp	no	golafre	conservative
n	an	no	tonto	conservative
n	ps	yes	ostrogots	inclusive
n	om	no	estrany	conservative
n	re	no	agressió sexual	inclusive
n	cds	no	transgressor	inclusive
a	cds	no	criminal	inclusive
n	is	yes	mesquí	conservative
n	svp	no	indolència	conservative
n	qas	no	necrotrófico	inclusive
n	cds	no	trasto	inclusive
n	cds	no	indicador	conservative
n	or	no	coco	inclusive
n	an	no	burro	conservative
n	svp	no	ràbia	conservative
n	an	no	especulador	conservative
n	ddp	yes	imbècil	inclusive
n	svp	no	triganer	conservative
n	ddp	yes	totxo	conservative
n	cds	no	préstecs de diners	conservative
n	pa	yes	oïdor de comptes	inclusive
n	asm	no	granat	inclusive
n	an	no	culícids	inclusive
n	pr	no	cony	conservative
n	asm	no	maxilípedo	inclusive
v	asm	no	follar	conservative
n	cds	no	rondinaire	conservative
n	pa	yes	professor adjunt	inclusive
n	om	no	pederasta	conservative
n	cds	no	murmurador	conservative
n	pr	no	rucada	conservative
n	cds	no	pompositat	conservative
n	cds	no	pallús	inclusive
n	or	no	patates	inclusive
n	re	no	màfia siciliana	inclusive
n	svp	no	avara	inclusive
n	cds	no	ociós	conservative
n	is	yes	pidolaire	inclusive
n	cds	no	hipersexualitat	conservative
n	re	no	maledicència	inclusive
n	dmc	yes	gangsterisme	inclusive
n	an	no	fauna	inclusive
n	cds	no	zelotes	inclusive
n	cds	no	begards	inclusive
n	ddp	yes	discapacitat cognitiva	inclusive
n	cds	no	portaplatets	conservative
n	an	no	porcs	inclusive
n	an	no	acaparador	conservative
n	cds	no	mescla	inclusive
n	or	no	trumfera	inclusive
n	asf	no	ingenu	conservative
n	ddp	yes	endarreriment mental	inclusive
n	re	no	bandit	inclusive
a	om	no	distint	inclusive
n	re	no	lladre d'estar per casa	inclusive
n	cds	no	proxeneta	conservative
a	asm	no	cafè	inclusive
n	re	no	lluita armada	conservative
n	dmc	yes	bandoler	inclusive
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	qas	no	bast	conservative
n	cds	no	novel · les de deu centaus	inclusive
n	dmc	yes	pària	inclusive
n	an	no	branta bernicla	inclusive
n	dmc	yes	fariseu	conservative
n	pa	yes	treballador	inclusive
n	qas	no	escòria	conservative
n	svp	no	abúlia	inclusive
n	cds	no	bromista	inclusive
n	asm	no	bajà	conservative
n	dmc	yes	scattergood	inclusive
v	cds	no	mustiar	inclusive
n	pr	no	hetaira	inclusive
n	an	no	culicidae	inclusive
v	qas	no	maquillar	inclusive
n	an	no	blattaria	inclusive
n	qas	no	partidària	inclusive
n	cds	no	bungle	inclusive
n	an	no	athene noctua somaliensis	inclusive
n	or	no	dengue	inclusive
n	cds	no	delicte criminal	inclusive
n	cds	no	malfeiner	conservative
n	an	no	gallineta nòrdica	inclusive
n	cds	no	pillet	inclusive
n	an	no	gripau europeu	inclusive
a	is	yes	inoportú	inclusive
n	re	no	xantatgista	inclusive
n	cds	no	bandes de carrer	conservative
n	cds	no	magisteri	inclusive
a	is	yes	intolerant	conservative
n	dmc	yes	vague	conservative
n	an	no	bos taurus	inclusive
a	qas	no	desventurat	conservative
n	an	no	microorganismes	inclusive
n	an	no	hirudini	inclusive
n	asf	no	ruc	conservative
n	cds	no	beguines i begards	inclusive
n	ddp	yes	variat i globitos	conservative
n	cds	no	gangsterisme	inclusive
n	asm	no	fàl · lic	inclusive
n	dmc	yes	propietat	inclusive
n	cds	no	lowlife	conservative
n	cds	no	corresponsal notícies	inclusive
n	re	no	assassí	inclusive
n	asm	no	panoli	conservative
n	re	no	malversació	inclusive
n	svp	no	dallier	conservative
n	or	no	creïlles	inclusive
n	qas	no	mentida	conservative
n	cds	no	venalitat	conservative
n	svp	no	garreperia	inclusive
n	an	no	animalcule	inclusive
n	cds	no	salvatge	conservative
n	an	no	bestiar cabrum	inclusive
n	cds	no	hybris	conservative
n	an	no	unicel.lulars	inclusive
n	ddp	yes	animals	inclusive
n	cds	no	criminal desesperat	inclusive
n	cds	no	rèprobe	conservative
v	qas	no	embolicar	conservative
n	an	no	carrer noia	conservative
n	ddp	yes	bajanada	conservative
n	re	no	violadors	conservative
n	ddp	yes	retràs mental	inclusive
a	ddp	yes	immadur	conservative
n	cds	no	'ndrangheta	inclusive
n	qas	no	emborratxar	inclusive
n	cds	no	farsa	inclusive
a	an	no	rata	conservative
n	or	no	gais	conservative
n	ddf	yes	discapacitats físiques	inclusive
a	svp	no	furiós	inclusive
n	pa	yes	pescateria	inclusive
n	dmc	yes	falsia	inclusive
n	dmc	yes	mala persona	conservative
n	cds	no	wangler	conservative
n	an	no	vermell tambor	inclusive
a	is	yes	garrepa	conservative
a	svp	no	irritat	inclusive
n	svp	no	parsimònia	inclusive
n	dmc	yes	prevaricador	conservative
n	re	no	lladres	inclusive
n	an	no	bandarra	conservative
n	svp	no	avar	inclusive
n	an	no	oca	inclusive
n	cds	no	banda	inclusive
n	cds	no	engany	inclusive
n	ps	yes	retardar	conservative
a	qas	no	frenètic	conservative
a	ddf	yes	guerxo	inclusive
n	dmc	yes	escòria borsa	conservative
n	asm	no	bollocks	inclusive
n	an	no	gosset	inclusive
n	svp	no	ociós	conservative
n	re	no	delicte-només	inclusive
n	dmc	yes	bufons	inclusive
n	an	no	anguil·liforme	inclusive
n	ps	yes	groller	conservative
n	rci	yes	trompellot	conservative
n	cds	no	teories de la conspiració	inclusive
v	an	no	ulular	inclusive
n	re	no	violació	inclusive
n	an	no	bàmbol	conservative
n	cds	no	cap	inclusive
n	or	no	moviment homòfil	conservative
n	an	no	tomfool	conservative
n	re	no	màfia	conservative
n	an	no	culex pipiens	inclusive
n	qas	no	burghers	inclusive
n	pr	no	prostitut	inclusive
n	dmc	yes	bumbler	conservative
n	ps	yes	raça i etnicitat en el cens dels estats units	inclusive
n	cds	no	agent de policia	conservative
n	dmc	yes	infeliç	inclusive
n	cds	no	trola	inclusive
n	cds	no	babau	conservative
n	is	yes	gasiu	conservative
n	pr	no	barrabassada	conservative
n	qas	no	blooper	inclusive
n	cds	no	deixat	conservative
n	ps	yes	targeta vermella	inclusive
n	re	no	delinqüència	inclusive
n	cds	no	pinxo	conservative
n	cds	no	sagal	inclusive
n	cds	no	proxenetisme	conservative
n	dmc	yes	bandolerisme	inclusive
n	cds	no	tap	conservative
n	cds	no	egoisme	conservative
n	cds	no	slews	inclusive
n	om	no	marica	inclusive
a	ddp	yes	ximplet	conservative
n	pa	yes	taquiller d'estació	inclusive
n	an	no	microbiana	inclusive
n	cds	no	broma	inclusive
n	dmc	yes	vagabunderia	inclusive
n	qas	no	burgesa	inclusive
n	an	no	cabró	conservative
v	cds	no	baratar	inclusive
n	ddp	yes	idiotesa	inclusive
n	pa	yes	diplomàtic	inclusive
n	or	no	clepsa	inclusive
n	svp	no	gorger	conservative
n	cds	no	peresós	conservative
n	dmc	yes	trànsfuga	conservative
a	is	yes	exigu	inclusive
n	an	no	matxo	inclusive
a	dmc	yes	desastrós	conservative
n	ps	yes	negror	inclusive
n	pr	no	ximpleria poc amagada	conservative
n	cds	no	guàrdia de la presó	inclusive
v	qas	no	espifiar	conservative
n	dmc	yes	groller	conservative
n	re	no	organització terrorista	conservative
n	re	no	comportament criminal	inclusive
n	cds	no	fawner	conservative
a	cds	no	intel · ligent	inclusive
n	re	no	roberia	inclusive
n	or	no	cap buit	conservative
n	cds	no	truaneria	conservative
n	pr	no	bestiar boví	inclusive
n	dmc	yes	canalla	conservative
n	cds	no	endogrup	inclusive
n	is	yes	pobresa relativa	inclusive
n	om	no	shirtlifter	inclusive
n	cds	no	ardit	inclusive
n	om	no	sexe anal	inclusive
n	cds	no	2 avaluador	conservative
n	an	no	merda	conservative
n	cds	no	violència de colles	conservative
n	qas	no	barrejadissa	inclusive
n	cds	no	clans	inclusive
n	cds	no	teòric de la conspiració	inclusive
n	cds	no	propagandista	inclusive
n	an	no	anguiliforme	inclusive
n	qas	no	compliment	inclusive
n	cds	no	bufó	conservative
n	ddp	yes	innocent	conservative
a	is	yes	escàs	inclusive
n	ddp	yes	ingenu	conservative
n	an	no	assaltant	inclusive
n	cds	no	galà	inclusive
n	an	no	gyps fulvus	inclusive
n	cds	no	cap de turc	conservative
a	ddp	yes	fava	conservative
v	cds	no	dissertar	conservative
n	an	no	ximple	conservative
n	pa	yes	assessor legal	inclusive
n	dmc	yes	proscrit	inclusive
n	cds	no	astuta	conservative
n	re	no	pirates	inclusive
n	ddp	yes	xarlatà	conservative
n	cds	no	clavegueram	inclusive
n	dmc	yes	tinyeta	conservative
n	an	no	innocent	conservative
n	cds	no	truc literari	conservative
n	cds	no	nimfòmana	conservative
n	asf	no	imbècil	conservative
n	qas	no	retòrica	inclusive
n	asf	no	talòs	conservative
n	dmc	yes	predelinqüent	inclusive
n	cds	no	cap del crim	inclusive
n	pr	no	sexuals comercials	conservative
n	an	no	ganso	conservative
a	asm	no	bru	inclusive
n	re	no	matant	inclusive
n	svp	no	bo-per-res	conservative
n	dmc	yes	goof-off	conservative
n	asm	no	vicia faba	inclusive
n	qas	no	trola	conservative
n	cds	no	nadons	inclusive
n	cds	no	colla	inclusive
n	an	no	microbi	inclusive
n	pa	yes	talòs	conservative
n	om	no	paresa	inclusive
n	qas	no	llast	inclusive
v	cds	no	debilitar-se	inclusive
n	ddp	yes	pres	inclusive
n	qas	no	endoparàsits	inclusive
