id	pos	category	stereotype	lemma	level
CA216	n	ddp	yes	curt	inclusive
CA1955	n	re	no	infanticidi	inclusive
CA317	n	pa	yes	bast	conservative
CA1470	n	cds	no	xulo	inclusive
CA451	n	cds	no	potes turvydom	inclusive
CA562	n	ddp	yes	bastard	conservative
CA1917	n	cds	no	monitor	inclusive
CA499	n	cds	no	transgressor	conservative
CA16	n	svp	no	apàtic	inclusive
CA218	n	an	no	talòs	conservative
CA266	n	an	no	garrepa	conservative
CA597	n	qas	no	boo-boo	inclusive
CA505	n	cds	no	fora de la llei	inclusive
CA739	n	dmc	yes	personatge antagònic	conservative
CA1662	n	cds	no	extrema dreta	conservative
CA2689	n	pa	yes	agregat	inclusive
CA2799	n	an	no	frogspawn	inclusive
CA881	n	an	no	ibex	inclusive
CA839	n	cds	no	insolència	conservative
CA208	a	an	no	curt	conservative
CA1954	a	ddp	yes	incapaç	conservative
CA2066	n	cds	no	letrina	inclusive
CA971	n	cds	no	munió	conservative
CA168	n	ddp	yes	animalia	inclusive
CA243	n	an	no	ases	inclusive
CA2746	n	re	no	estupre	inclusive
CA2832	a	svp	no	miserable	conservative
CA2350	a	is	yes	desventurat	conservative
CA2415	n	cds	no	homuncles	inclusive
CA283	n	ddp	yes	endarreriment	inclusive
CA1927	n	dmc	yes	cheater	conservative
CA169	n	an	no	infauna	inclusive
CA3001	n	asm	no	aviària	inclusive
CA1804	n	svp	no	menjar en excés	inclusive
CA56	n	cds	no	amateurisme	conservative
CA1967	n	svp	no	fartaner	conservative
CA1851	a	an	no	ranci	conservative
CA2823	a	ddf	yes	repugnant	conservative
CA1138	n	qas	no	compliment	inclusive
CA947	n	pa	yes	càtedres	inclusive
CA1032	v	cds	no	parlotejar	inclusive
CA1158	n	or	no	carabasses	inclusive
CA1433	a	qas	no	llastimós	conservative
CA353	n	pa	yes	proponent	inclusive
CA639	n	an	no	brau	inclusive
CA1793	n	cds	no	mitrat	inclusive
CA583	n	dmc	yes	llicenciós	conservative
CA1220	n	ddp	yes	doofus	conservative
CA626	n	pa	yes	tosquedat	conservative
CA1909	n	cds	no	splashiness	inclusive
CA1960	a	qas	no	desgraciat	conservative
CA1589	n	cds	no	mafiós	conservative
CA956	n	pa	yes	professional	inclusive
CA500	n	re	no	delinqüent	inclusive
CA920	n	asm	no	carall	inclusive
CA875	n	cds	no	clans	inclusive
CA439	n	dmc	yes	falsia	inclusive
CA441	n	qas	no	mentida	conservative
CA215	n	ddp	yes	imbècil	inclusive
CA1162	n	cds	no	desferra	conservative
CA222	n	asm	no	beneit	conservative
CA1487	n	pa	yes	llaurador	inclusive
CA1529	n	dmc	yes	fake	inclusive
CA1912	n	cds	no	ostentació	conservative
CA501	n	re	no	malfactor	inclusive
CA247	n	om	no	somera	inclusive
CA1260	n	svp	no	fàstic	inclusive
CA606	n	cds	no	fanfarró	conservative
CA1589	n	dmc	yes	mafiós	inclusive
CA2239	n	qas	no	retòrica	inclusive
CA1040	n	ddp	yes	xarlatanisme	conservative
