n	ddp	yes	hlouposti
n	asm	no	nookie
n	cds	no	pošetilec
n	cds	no	hříšnice
n	cds	no	maffie
n	ps	yes	kraut
n	pa	yes	barbaři
n	pr	no	pouliční prostituce
n	cds	no	fanatik
n	cds	no	nepoøádek
n	asf	no	kočka
n	cds	no	lenoch
n	qas	no	konformista
n	ddp	yes	pillock
n	cds	no	satyrismus
n	an	no	lunkhead
n	or	no	lunkhead
n	svp	no	gorger
n	cds	no	pool spěchání
n	svp	no	dilly-dallier
n	cds	no	finagler
n	ddp	yes	nemotora
n	re	no	terorizmus
n	asf	no	pochva
n	pr	no	komerčních sexuálních
n	re	no	defamer
n	ddp	yes	barbarizace
n	qas	no	fušer
n	dmc	yes	zrádce
n	ps	yes	changelings
n	an	no	spodina taška
n	ddp	yes	pošetilec
a	dmc	yes	smradlavý
n	an	no	kurva
n	pr	no	kurevnictví
n	ddp	yes	oklamaný
n	dmc	yes	tragické darebák
n	dmc	yes	licoměrnost
n	cds	no	groveler
n	pr	no	cizoložnice
v	asm	no	souložit
n	dmc	yes	plížit zloděje
n	an	no	tragické darebák
n	asm	no	doofus
n	cds	no	chiseler
n	an	no	diddly-shit
n	asm	no	hloupost
n	ps	yes	spratek
n	svp	no	tightwad
n	or	no	homosexuál
n	dmc	yes	přeběhlík
n	cds	no	šarlatán
n	dmc	yes	bandita
n	asm	no	hlupák
n	cds	no	neofašismus
n	an	no	zakrslík
n	dmc	yes	nemehlo
n	an	no	zuřivost
n	qas	no	nehorázná lež
n	cds	no	blázen
v	asm	no	napálit
n	an	no	sračka
n	an	no	slowpoke
n	or	no	buzerant
n	dmc	yes	hobo
n	cds	no	usmrtit
n	cds	no	hybris
n	ddp	yes	hloupý člověk
n	cds	no	conceitedness
n	dmc	yes	defrauder
n	re	no	pomlouvač
n	cds	no	rogue
n	dmc	yes	loudal
n	qas	no	tagalong
n	pa	yes	barbar
n	cds	no	ultrakonzervativní
n	an	no	pip-pískot
n	an	no	chlap mizerná
n	cds	no	fumbler
n	asm	no	flouter
n	cds	no	smutný pytel
n	dmc	yes	lump
n	an	no	kreténe
n	ddp	yes	obětní beránek
n	re	no	padouch
n	qas	no	parazit
n	cds	no	kuplířství
n	ddp	yes	twerp
n	ps	yes	kretén
n	pr	no	závan
n	re	no	terorista
a	svp	no	mstivý
n	ddp	yes	dimwit
n	ddp	yes	rumormonger
n	ddp	yes	rumourmonger
n	cds	no	demagogie
n	ps	yes	blázen
n	cds	no	italské mafie
n	ddp	yes	neznalost
n	cds	no	lidé
n	qas	no	utracení
n	or	no	samcoložník
n	ddp	yes	skrblík
n	cds	no	hulvát
n	asm	no	blboun
n	ddp	yes	barbarství
n	is	yes	padouch
n	an	no	internet podvod
n	ddf	yes	trpaslík
n	cds	no	ragtag
n	dmc	yes	klamné
n	dmc	yes	renegát
n	qas	no	smutný pytel
n	cds	no	donašeč
n	cds	no	hlupák
n	an	no	hovno
n	an	no	pouliční prostituce
n	cds	no	nestoudnost
n	ddp	yes	soft touch
n	dmc	yes	libertinismus
n	dmc	yes	bigotní
n	an	no	tulák
n	dmc	yes	dallier
n	cds	no	muggins
n	ddf	yes	half-pint
n	cds	no	ragtag a bobtail
n	svp	no	arogance
n	re	no	vydírání
a	om	no	homosexuální
n	is	yes	ničema
n	om	no	invalida
n	dmc	yes	mystifikátor
n	cds	no	sračka
n	asf	no	děvče
n	ps	yes	mongoloids
n	cds	no	policejní strážnice
n	cds	no	fanatismus
n	dmc	yes	fušer
n	cds	no	stoupenec
n	ps	yes	hrubián
n	ddp	yes	zrádce
n	or	no	blbec
n	or	no	pillock
n	an	no	trpaslík
n	or	no	tupec
n	svp	no	ješitnost
n	svp	no	minginess
n	pr	no	stále žena
n	dmc	yes	tulák
n	qas	no	barbarové
n	cds	no	odpady kovové
n	dmc	yes	bota-off
n	an	no	šmejd
n	asm	no	dimwit
n	pr	no	pochybná ženština
n	asf	no	cancy
n	dmc	yes	pseudo
n	dmc	yes	zápach
n	or	no	pudden hlava
a	dmc	yes	false
n	an	no	ignorant
n	cds	no	zpátečnictví
n	ddp	yes	neotesanec
n	svp	no	ne'er-dělat-dobře
n	cds	no	nesnadný problém
n	re	no	vilifier
n	cds	no	Úžera
n	ddp	yes	stupe
n	ps	yes	barbarství
n	cds	no	gangster
n	cds	no	lichvářů
n	ddp	yes	zooerastia
n	an	no	pouliční děvka
n	dmc	yes	hrubý
n	or	no	pudink hlava
n	cds	no	policistů
n	svp	no	bigotnost
n	cds	no	gang
n	pr	no	prostitut
n	dmc	yes	fetor
n	cds	no	flákač
n	ps	yes	mestizaje
n	ddp	yes	tupec
n	svp	no	nafoukanost
n	cds	no	dastardliness
n	an	no	flákač
n	svp	no	marnost
n	ps	yes	negr
n	ddp	yes	pařez
n	cds	no	barbaři
v	asm	no	mrdat
n	cds	no	bigoterie
n	pr	no	xantipa
n	pr	no	kuplíř
n	an	no	vulgarita
n	asf	no	neotesanec
n	cds	no	nevinná lež
n	an	no	ornament
n	cds	no	bazén shánějí
n	ddp	yes	blbeček
n	cds	no	wangler
n	svp	no	fanatik
n	re	no	jednat terorismu
n	dmc	yes	dilly-dallier
n	an	no	zbabělec
n	cds	no	tricker
n	re	no	villainess
n	pr	no	prostituce
n	svp	no	tightfistedness
n	dmc	yes	špatný člověk
n	an	no	blázen
n	dmc	yes	rube
n	asm	no	shtup
n	cds	no	pedantský
n	dmc	yes	no-účet
n	om	no	queer
n	re	no	pomluva
n	is	yes	tragický darebák
n	ddp	yes	newsmonger
n	an	no	lump
n	dmc	yes	podvodník bůh
n	ddp	yes	bumbler
n	qas	no	natrhat
n	asf	no	cunt
n	cds	no	literární nádeník
n	cds	no	reakcionář
n	an	no	kráva
n	dmc	yes	falešný
n	pr	no	žena z ulice
n	an	no	zooerasty
n	ps	yes	nigga
n	dmc	yes	darebný
n	cds	no	bellyacher
n	an	no	vamper
n	re	no	sériový násilník
n	cds	no	konformista
n	dmc	yes	ne'er-dělat-dobře
n	cds	no	pecivál
n	asf	no	blbec
n	asf	no	idiot
n	ps	yes	mestik
n	dmc	yes	lingerer
n	asf	no	mamlas
n	an	no	nechat kogo
n	cds	no	extrémní pravičák
n	svp	no	být sklíčený
n	cds	no	patolízal
n	svp	no	jedlík
n	dmc	yes	odpadlík
n	cds	no	slaboch
n	dmc	yes	smrad
n	cds	no	fašismus
n	asf	no	symbol vulvy
n	cds	no	villainess
n	cds	no	mafiosi
n	an	no	nanus
n	ddp	yes	hulvát
n	ddp	yes	šarlatán lékaře
n	an	no	nekompetentní osoba
n	qas	no	ragtag
n	cds	no	onanování
n	an	no	mužský doprovod
n	asf	no	tupec
n	cds	no	wonk
n	svp	no	lakota
n	cds	no	mladistvý delikvent
n	ddp	yes	tlachal
n	re	no	libeler
n	cds	no	blbec
n	ddp	yes	muttonhead
n	svp	no	bigotní
n	cds	no	kultury gangu
n	an	no	lowlife
n	an	no	diddlysquat
n	asf	no	šmejd
n	cds	no	loansharking
n	asm	no	onanista
n	cds	no	utracení
n	qas	no	lež
n	or	no	gayů
n	ddp	yes	ragtag a bobtail
n	cds	no	nehorázná lež
n	ps	yes	patsy
n	cds	no	policistka
n	dmc	yes	přetvářka
n	cds	no	člen gangu
n	ps	yes	mongoloidní rasa
n	dmc	yes	chlap mizerná
n	cds	no	nemotorný člověk
n	om	no	gay
n	an	no	nedbalý člověk
n	pr	no	john
n	ps	yes	blbec
n	an	no	neúprosnost
n	cds	no	křupan
n	dmc	yes	ničema
n	cds	no	šprtat
n	asm	no	stupidita
n	an	no	diddly-squat
n	cds	no	defrauder
n	svp	no	zpupnost
n	qas	no	trouble maker
n	cds	no	lži dětem
n	svp	no	marnivost
n	re	no	italské mafie
n	qas	no	žebrák
n	asm	no	lofas
n	an	no	tlouštík
n	svp	no	budižkničemu
n	cds	no	wisenheimer
n	an	no	hloupost
n	ddp	yes	nevzdělaný člověk
n	or	no	pinda
n	cds	no	chlap mizerná
n	cds	no	vaunter
n	cds	no	policisté
n	ddp	yes	šmejd
n	dmc	yes	pseud
n	asf	no	kretén
n	ddp	yes	zrádný
n	qas	no	výtržník
n	qas	no	mazal
n	cds	no	nerdy
n	svp	no	bota-off
n	re	no	mafiosi
n	ddp	yes	donáška
n	cds	no	drzost
n	cds	no	delikvent
n	dmc	yes	neotesanec
n	cds	no	divák
n	an	no	tlusťoch
n	cds	no	nosy-parker
n	cds	no	zbabělost
n	cds	no	sexuální maniactví
n	or	no	kreténe
n	dmc	yes	nepravý
n	ps	yes	blb
n	pr	no	comare
n	dmc	yes	lhář
n	svp	no	amour propre
n	asm	no	vůl
n	or	no	pitomec
n	ddp	yes	špicl
n	dmc	yes	botcher
n	cds	no	pedanta
n	qas	no	barbarství
n	cds	no	úvěr sharking
a	svp	no	chamtivý
n	re	no	násilníků
n	dmc	yes	disimulace
n	or	no	gay
n	cds	no	git
n	svp	no	rýhovač
n	qas	no	barbaři
n	asf	no	vagína
n	cds	no	tragické darebák
n	dmc	yes	náboženský fanatik
n	ddp	yes	hloupost
n	dmc	yes	barbarizace
n	re	no	teroristický čin
n	cds	no	zločince
n	dmc	yes	páchnout
n	ddf	yes	zakrslík
n	ps	yes	mongoloidní plemeno
n	dmc	yes	flákač
n	ddp	yes	nesmysl
n	or	no	homophile hnutí
n	asf	no	muttonhead
n	dmc	yes	barbaři
n	dmc	yes	divoch
n	ddp	yes	nonsens
n	ddp	yes	kretén
n	cds	no	lišák
n	cds	no	know-it-all
n	svp	no	držgrešle
n	dmc	yes	prevaricator
n	cds	no	scrawler
a	dmc	yes	úzkoprsý
n	ddp	yes	cancy
n	ddp	yes	mamlas
n	cds	no	lupič
n	rci	yes	barbarizace
n	dmc	yes	mladistvý delikvent
n	asf	no	kreténe
n	or	no	cunt
n	svp	no	panovačnost
n	cds	no	rumourmonger
n	asf	no	šašek
n	pa	yes	hulvát
n	re	no	terorismus
n	ddp	yes	changeling
n	cds	no	spodina taška
n	asf	no	blb
n	cds	no	čubčí syn
n	cds	no	ruční práce
n	cds	no	barbarové
n	cds	no	posera
n	pr	no	crack děvka
n	an	no	hlupák
n	cds	no	ostentatiousness
n	cds	no	taleteller
n	cds	no	šmírování
n	re	no	sicilské mafie
n	cds	no	gangy
n	asm	no	pták
n	pr	no	coura
n	qas	no	fumbler
n	cds	no	half-pint
a	dmc	yes	bezskrupulózní
n	an	no	mužská prostitutka
n	asm	no	důvěřivosti
n	ddp	yes	fumbler
n	cds	no	pompéznost
n	cds	no	marnivost
v	asm	no	prcat
n	cds	no	bažant
n	pr	no	struska
n	ddp	yes	lůza
n	asf	no	odročit
n	cds	no	neplecha
n	pr	no	nabubřelá mluva
n	asm	no	kus ocasu
n	cds	no	slyboots
n	or	no	šmejd
n	cds	no	ďábel
n	an	no	posera
n	ps	yes	barbar
n	cds	no	masy
n	re	no	mafián
n	rci	yes	barbarové
n	ps	yes	obětní beránek
n	cds	no	problém
n	cds	no	soft touch
n	om	no	homosexuální
n	an	no	pitomec
n	pr	no	chlapcem nájmu
n	cds	no	zbabělec
n	svp	no	pecivál
