pos	category	stereotype	lemma	level
n	ddp	yes	pařez	conservative
n	pr	no	lampyris submucronata	inclusive
n	pa	yes	sluha	inclusive
n	cds	no	iluzionistu	conservative
n	ddf	yes	handicap	inclusive
n	dmc	yes	dilly-dallier	conservative
a	dmc	yes	neslušný	conservative
n	ddp	yes	pošetilec	conservative
n	cds	no	zbojník	conservative
n	an	no	animalculum	inclusive
n	ps	yes	blackamoor	inclusive
n	cds	no	zpátečník	conservative
n	re	no	maffie	inclusive
n	cds	no	klaun	inclusive
n	svp	no	lenost	inclusive
n	cds	no	culchie	inclusive
n	an	no	ovce	inclusive
n	an	no	zbabělec	conservative
n	cds	no	lotr	conservative
n	pa	yes	osobní židli	inclusive
n	pr	no	coura	conservative
n	dmc	yes	tuláctví	inclusive
n	cds	no	mediátor	inclusive
n	ps	yes	Židovský	inclusive
n	svp	no	conceitedness	conservative
n	dmc	yes	zpustlík	conservative
n	qas	no	ministrant	inclusive
n	cds	no	fašismu	conservative
n	ps	yes	judaizmus	inclusive
n	ps	yes	ostrogóti	inclusive
n	an	no	hoax	conservative
n	an	no	mikroorganismu	inclusive
n	cds	no	prodejnost	conservative
n	re	no	okraden	inclusive
n	om	no	⚣	conservative
n	an	no	kráva	conservative
n	pr	no	nevěstka	conservative
n	rci	yes	barbarizace	conservative
n	re	no	terorismu	inclusive
n	re	no	čin	inclusive
n	dmc	yes	zakázán	inclusive
n	an	no	culex pipiens	inclusive
n	ddp	yes	hrubián	conservative
n	is	yes	chudáky	inclusive
n	cds	no	tun	inclusive
n	or	no	meticulosity	inclusive
n	qas	no	fízl	inclusive
n	cds	no	šelestu dobytku	inclusive
n	svp	no	sedm smrtelných hříchů	inclusive
n	cds	no	policejní strážník	inclusive
n	an	no	zkřížený tvář	inclusive
n	pr	no	volové	inclusive
n	an	no	hovno	conservative
n	dmc	yes	pokrytec	conservative
n	cds	no	pachatele	inclusive
n	cds	no	rustler	inclusive
n	cds	no	šlechtění rostlin	inclusive
n	cds	no	povrchnosti	inclusive
n	ps	yes	negroidní	inclusive
n	an	no	můr	inclusive
n	cds	no	scammer	conservative
n	ps	yes	vandal	inclusive
n	cds	no	whiner	conservative
n	cds	no	loupežník	conservative
n	om	no	hýždě	inclusive
n	ddp	yes	tlachal	conservative
n	dmc	yes	rozmařilec	conservative
n	cds	no	hayseed	conservative
n	an	no	Žralok lidožravý	inclusive
n	dmc	yes	falešný	conservative
n	cds	no	donáška	conservative
n	om	no	transvestitismus	inclusive
n	an	no	fauna	inclusive
n	dmc	yes	homunkulus	inclusive
n	svp	no	zpupnost	conservative
n	cds	no	zpackat	inclusive
n	rci	yes	barbarové	conservative
n	svp	no	spořivost	inclusive
n	ddp	yes	blbeček	conservative
n	ps	yes	černoch	inclusive
n	cds	no	arogance	conservative
n	ddp	yes	neotesanec	inclusive
n	cds	no	klauniáda	inclusive
n	an	no	zahýbat	conservative
n	re	no	darebný	conservative
n	cds	no	instruktor	inclusive
n	om	no	drag queen	inclusive
n	om	no	homoeroticism	inclusive
n	qas	no	olůvko	inclusive
n	an	no	puštík proužkovaný	inclusive
n	ddp	yes	imbecil	inclusive
a	dmc	yes	false	conservative
n	an	no	hlemýžď	inclusive
n	is	yes	sociální vyvrženec	inclusive
n	qas	no	zátěž	inclusive
n	dmc	yes	nemorálnosti	inclusive
n	cds	no	demagog	conservative
n	ps	yes	judaismu	inclusive
n	svp	no	niggardliness	conservative
n	om	no	anální styk	inclusive
n	svp	no	avariciousness	inclusive
n	cds	no	onanovat	conservative
n	pa	yes	advocator	inclusive
n	qas	no	barbaři	conservative
n	asm	no	blbeček	conservative
n	an	no	mikrobiální	inclusive
n	dmc	yes	barbaři	conservative
n	dmc	yes	scattergood	inclusive
n	cds	no	zlomyslný	conservative
n	re	no	lupič	inclusive
n	cds	no	gangy	conservative
n	pr	no	hetaira	inclusive
n	an	no	lunkhead	conservative
n	ddf	yes	half-pint	conservative
n	an	no	culicidae	inclusive
n	pr	no	plané žvásty	conservative
n	an	no	blattaria	inclusive
n	ps	yes	mestici	conservative
n	cds	no	panovačnost	conservative
n	ddp	yes	ornament	conservative
n	svp	no	chlubivost	conservative
n	om	no	gluteální oblasti	inclusive
n	an	no	metazoa	inclusive
n	an	no	ropušnice	inclusive
n	cds	no	ničema	conservative
n	cds	no	delikvent	inclusive
n	cds	no	kiks	inclusive
n	ps	yes	vandalové	inclusive
n	cds	no	darebáctví	conservative
n	an	no	diddlyshit	conservative
n	an	no	helminti	inclusive
n	ps	yes	žlutá karta	inclusive
n	an	no	bos taurus	inclusive
n	an	no	lůza	conservative
n	or	no	zelí	inclusive
n	pr	no	kurva	inclusive
n	svp	no	superbia	conservative
n	re	no	ndrina	inclusive
a	ddf	yes	slepý	inclusive
n	svp	no	fanatismus	conservative
n	cds	no	lowlife	conservative
n	an	no	sračka	conservative
n	cds	no	ruční práce	conservative
n	dmc	yes	delikvent	inclusive
n	svp	no	dallier	conservative
n	om	no	nance	conservative
n	cds	no	loanshark	inclusive
n	pa	yes	akad.	inclusive
n	cds	no	slaboch	conservative
n	an	no	žábovitý	inclusive
n	pr	no	voly	inclusive
n	cds	no	weisenheimer	conservative
n	re	no	krádež	inclusive
n	cds	no	hybris	conservative
a	is	yes	chudí	inclusive
n	an	no	vlčice	inclusive
n	cds	no	banditti	conservative
n	qas	no	testes	inclusive
n	or	no	solanum leptostigma	inclusive
n	asm	no	měkký paprsek	inclusive
n	ps	yes	doofus	conservative
n	ddp	yes	spratek	conservative
n	cds	no	kliky	inclusive
n	re	no	zuřivost	inclusive
n	an	no	anguillidae	inclusive
n	dmc	yes	klaun	inclusive
n	an	no	komár	inclusive
n	cds	no	krádež	inclusive
n	an	no	komárů	inclusive
n	cds	no	vyhnanstvím	conservative
n	cds	no	presumptuousness	conservative
n	ps	yes	nevychovanec	conservative
n	om	no	cross-šaty	inclusive
n	or	no	kreténe	conservative
n	an	no	kajmani	inclusive
n	qas	no	omámit	inclusive
n	dmc	yes	homunculus	inclusive
n	svp	no	jedlík	inclusive
n	cds	no	pompéznost	conservative
n	svp	no	zuřivost	conservative
n	qas	no	sekanina	inclusive
n	svp	no	flákač	conservative
n	cds	no	šéf	inclusive
n	ddp	yes	rozmnožování zvířat	inclusive
n	om	no	homosexuální	inclusive
n	svp	no	závist	inclusive
n	ddp	yes	barbar	conservative
n	ps	yes	rómové	inclusive
n	an	no	psí	inclusive
n	an	no	šváb	inclusive
n	pr	no	hetéra	inclusive
n	asm	no	penisu	inclusive
n	pr	no	zbraň moll	inclusive
n	cds	no	kultury gangu	inclusive
n	an	no	králíka	inclusive
n	asm	no	šulin	conservative
n	an	no	slowpoke	conservative
n	ddp	yes	nesmysl	conservative
n	dmc	yes	etické motiv	inclusive
n	asm	no	twerp	conservative
n	an	no	šneci	inclusive
n	ps	yes	bulharština	inclusive
n	cds	no	šmírování	conservative
n	ps	yes	mestik	conservative
a	dmc	yes	nezdvořilý	conservative
n	svp	no	7 smrtelných hříchů	inclusive
n	dmc	yes	mrav	inclusive
