id	pos	category	stereotype	lemma	level
CS824	n	om	no	homosexuální	conservative
CS354	n	ps	yes	bedu	inclusive
CS190	n	svp	no	hamižnost	inclusive
CS153	n	or	no	bonce	inclusive
CS1198	n	an	no	kyjonožci	inclusive
CS87	n	cds	no	vtípek	inclusive
CS701	n	cds	no	kin skupina	inclusive
CS903	n	ddp	yes	kretenizmus	inclusive
CS1830	n	an	no	papoušek	inclusive
CS1471	n	om	no	stejný-přitažlivost sexu	inclusive
CS1972	n	ps	yes	černoši	inclusive
CS1453	n	pr	no	pohotovostní procházení	conservative
CS2419	n	an	no	mezek	inclusive
CS820	n	om	no	buzerant	inclusive
CS641	n	asf	no	imbecile	conservative
CS222	n	svp	no	držgrešle	conservative
CS2063	n	an	no	přeřeknutí	inclusive
CS944	n	asf	no	piča	conservative
CS1599	n	cds	no	pompousness	conservative
CS168	n	or	no	mamlas	conservative
CS1023	n	cds	no	trestného činu	inclusive
CS1304	n	cds	no	free mason	inclusive
CS2061	n	an	no	červ	inclusive
CS509	n	pr	no	dobytek	inclusive
CS384	n	cds	no	války gangů	inclusive
CS2332	a	ddf	yes	jednooký	inclusive
CS666	n	re	no	defrauder	inclusive
CS1233	n	cds	no	pasák	inclusive
CS1248	n	qas	no	hospodář	inclusive
CS933	n	ps	yes	mezirodový hybrid	inclusive
CS2369	n	re	no	prostopášníka	conservative
CS674	n	an	no	lůza	conservative
CS2177	n	re	no	plagiarise	inclusive
CS392	n	cds	no	banditti	conservative
CS799	n	an	no	králík	inclusive
CS603	n	an	no	bachor	inclusive
CS564	n	cds	no	domýšlivost	conservative
CS1108	n	om	no	kaudálně	inclusive
CS388	n	an	no	tulák	conservative
CS579	n	dmc	yes	tuláci	conservative
CS2514	n	dmc	yes	treasonist	conservative
CS1503	n	cds	no	lidé	inclusive
CS296	n	ddp	yes	vůl	conservative
CS1745	n	an	no	mul	inclusive
CS577	n	cds	no	git	conservative
CS2068	v	qas	no	podělat	conservative
CS576	n	is	yes	ničema	conservative
CS349	n	ps	yes	beduínští pastevci	inclusive
CS165	n	asm	no	hlupák	conservative
CS587	n	dmc	yes	villainess	conservative
CS133	n	an	no	stvoření	inclusive
CS232	n	asm	no	testikulární	inclusive
CS423	n	cds	no	lump	conservative
CS2408	n	an	no	kajmani	inclusive
CS341	n	cds	no	fop	inclusive
CS1652	n	an	no	hmyzu	inclusive
CS1130	n	an	no	ovis aries	inclusive
CS1142	n	cds	no	stohy	inclusive
CS825	n	om	no	⚣	conservative
CS427	n	dmc	yes	flákač	conservative
CS1902	n	an	no	animalculum	inclusive
CS2035	n	cds	no	homunkulové	inclusive
CS2368	n	an	no	lampyris sibirica	inclusive
CS585	n	cds	no	darebný	conservative
CS3	n	svp	no	lenoch	inclusive
CS368	n	pa	yes	bellman	inclusive
CS2224	n	pr	no	žvást	conservative
CS2202	a	ddf	yes	slepý	inclusive
CS1752	n	cds	no	nerd	conservative
CS829	n	cds	no	gossipmonger	conservative
CS1221	n	ddf	yes	invalida	inclusive
CS647	n	an	no	vlčice	inclusive
CS833	n	an	no	fyziognomika	inclusive
CS166	n	cds	no	blb	conservative
CS645	n	cds	no	hrubián	inclusive
CS209	n	cds	no	dům radosti	inclusive
CS165	n	cds	no	hlupák	inclusive
CS62	n	an	no	american buffalo	inclusive
CS2114	n	or	no	solanum estradae	inclusive
CS1604	n	cds	no	učitelů	inclusive
CS1749	n	an	no	čumák	inclusive
CS165	n	ddp	yes	hlupák	inclusive
CS2095	n	or	no	solanum andigenum	inclusive
CS637	n	cds	no	sračka	conservative
CS170	n	asf	no	tupec	conservative
CS945	n	asf	no	pinda	conservative
CS1598	n	cds	no	splashiness	conservative
CS1063	n	svp	no	odpor	inclusive
CS694	n	cds	no	kmen	inclusive
CS2005	n	an	no	brent	inclusive
CS508	n	an	no	bos taurus	inclusive
CS1428	n	an	no	pašík	inclusive
CS79	n	om	no	pedikace	inclusive
CS1672	n	asm	no	pyj	inclusive
CS1009	n	an	no	looter	inclusive
CS943	n	or	no	pizda	conservative
CS1072	n	dmc	yes	licoměrnost	conservative
CS246	n	ddp	yes	barbarové	conservative
CS1265	n	dmc	yes	zápach	conservative
CS1649	n	cds	no	lichváře	inclusive
CS245	n	rci	yes	hulvát	conservative
CS85	n	cds	no	žertík	inclusive
CS1520	n	qas	no	chata	inclusive
