pos	category	stereotype	lemma	level
n	ps	yes	hybrid interspecific	inclusive
n	dmc	yes	dilly-dallier	conservative
n	an	no	animalculum	inclusive
n	re	no	rapist	conservative
n	an	no	mochyn bach	inclusive
n	pa	yes	athrawon	inclusive
n	cds	no	pilferer	conservative
n	dmc	yes	person digartref	inclusive
n	an	no	ffwl	conservative
n	cds	no	culchie	inclusive
n	cds	no	dwsinau	inclusive
n	pa	yes	barbariaid	conservative
n	cds	no	demagog	conservative
n	ps	yes	gymuned iddewig	inclusive
n	an	no	moo-buwch	inclusive
n	or	no	tatws gwyddelig	inclusive
a	qas	no	arferol	inclusive
n	cds	no	wahardd	inclusive
n	svp	no	conceitedness	conservative
n	asf	no	numskull	conservative
n	an	no	gwiber	inclusive
n	qas	no	gaill	inclusive
n	cds	no	pomposity	inclusive
n	asm	no	fuck	conservative
n	an	no	morgi	inclusive
n	cds	no	gossipmonger	conservative
n	an	no	ffug rhyngrwyd	conservative
n	asm	no	codi	inclusive
n	an	no	barbariaeth	inclusive
n	om	no	homosexualism	inclusive
n	asm	no	pys maes	inclusive
n	re	no	brawychiaeth	conservative
n	an	no	culex pipiens	inclusive
n	qas	no	hofel	inclusive
n	ddp	yes	carcharor	inclusive
n	qas	no	blooper	inclusive
n	qas	no	parasit	inclusive
n	cds	no	strikebreakers	inclusive
n	ddp	yes	anwybodusyn	conservative
n	or	no	dolt	conservative
n	dmc	yes	da-am-ddim	conservative
n	an	no	microbaidd	inclusive
n	cds	no	scads	inclusive
n	cds	no	ffasgaeth	conservative
n	asm	no	atodiadau	inclusive
n	ddp	yes	twirp	conservative
n	cds	no	grifter	inclusive
n	cds	no	dde eithafol-asgellwr	conservative
n	dmc	yes	dissimulator	conservative
n	an	no	creadur	inclusive
n	om	no	derriere	inclusive
n	ps	yes	vandal	inclusive
n	an	no	dylluan	inclusive
n	cds	no	whiner	conservative
n	qas	no	llaw maes	inclusive
n	ddp	yes	pysgod gwael	conservative
n	asm	no	darn o gynffon	conservative
n	cds	no	hayseed	conservative
n	an	no	afr	inclusive
n	cds	no	egotism	conservative
n	re	no	mor-ladrad	inclusive
n	dmc	yes	adyn	conservative
n	qas	no	busnes mawr	inclusive
n	pa	yes	mortician	inclusive
n	cds	no	idler	conservative
n	an	no	gŵydd	inclusive
n	asf	no	gwallt crotch	inclusive
n	asm	no	caled-ar	inclusive
n	an	no	gast	conservative
n	om	no	molester plentyn	conservative
n	dmc	yes	loiterer	conservative
n	an	no	dunce	conservative
n	cds	no	troseddol	inclusive
n	pr	no	wasanaethau rhywiol	conservative
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
