id	pos	category	stereotype	lemma	level
CY1904	n	cds	no	fawner	conservative
CY1558	n	an	no	shote	inclusive
CY177	n	asm	no	ballock	inclusive
CY1969	n	ddp	yes	ffoledd	inclusive
CY1105	n	cds	no	mobster	inclusive
CY1481	n	dmc	yes	mozzarella	inclusive
CY529	n	ps	yes	cretin	conservative
CY649	n	or	no	brassica oleracea	inclusive
CY1045	n	qas	no	ffermwyr	inclusive
CY2030	n	ddp	yes	cingroen	conservative
CY912	n	om	no	pen-ôl	inclusive
CY648	n	or	no	cabetsien	inclusive
CY1689	n	qas	no	fferm tenant	inclusive
CY2073	n	ps	yes	cerdyn cosb	inclusive
CY295	n	dmc	yes	bigot	conservative
CY1469	n	ps	yes	mongoliaid	inclusive
CY704	n	an	no	cilgi	conservative
CY1108	n	cds	no	ffasgiaeth	conservative
CY283	n	ps	yes	bedouins	inclusive
CY1153	n	cds	no	snooper	conservative
CY237	n	or	no	pillock	conservative
CY392	n	cds	no	fumbler	conservative
CY595	n	an	no	nani-gafr	inclusive
CY807	n	or	no	ciwcymbrau	inclusive
CY1067	n	asm	no	pysgod	inclusive
CY2020	n	re	no	gweithredu o derfysgaeth	inclusive
CY122	n	cds	no	muggins	conservative
CY976	n	re	no	felonies	inclusive
CY67	n	qas	no	oddments	inclusive
CY237	n	ddp	yes	pillock	conservative
CY1459	n	dmc	yes	slackers	conservative
CY877	n	cds	no	nofel dime	inclusive
CY1036	n	qas	no	llaw maes	inclusive
CY1627	n	qas	no	sinker	inclusive
CY527	n	asm	no	changelings	inclusive
CY1048	n	cds	no	ffasgydd	conservative
CY1296	n	cds	no	addoli eilun-dduwiau	inclusive
CY811	n	or	no	ciwcymer	inclusive
CY1729	n	re	no	torturer	inclusive
CY1628	n	cds	no	puzzler	conservative
CY349	n	cds	no	streic-dorri	inclusive
CY146	n	svp	no	trachwant	inclusive
CY1935	n	cds	no	prig	conservative
CY98	n	ddp	yes	ffawna	inclusive
CY2054	n	om	no	transvestitism	inclusive
CY1568	n	ddp	yes	prattler	inclusive
CY69	n	cds	no	mishmash	inclusive
CY480	n	re	no	adyn	conservative
CY681	n	om	no	nance	conservative
CY1319	n	is	yes	anghenus	inclusive
CY784	n	cds	no	hybrid	inclusive
CY741	n	svp	no	tanha	inclusive
CY2023	n	re	no	terfysgaeth	inclusive
CY1567	n	cds	no	prankishness	inclusive
CY2026	n	an	no	gaiman	inclusive
CY328	n	ps	yes	inkiness	inclusive
CY1026	n	cds	no	caffael	conservative
CY1950	n	an	no	chwilod duon	inclusive
CY132	n	ddp	yes	numskull	conservative
CY660	n	asm	no	ffycin	conservative
CY607	n	asm	no	pidlan	conservative
CY1964	a	ps	yes	iddewaidd	inclusive
CY787	n	ps	yes	traws-bridio	inclusive
CY975	a	qas	no	wallgof	conservative
CY270	n	qas	no	falsity	conservative
CY2071	n	ps	yes	cerdyn melyn	inclusive
CY827	n	re	no	drais ar ddêt	conservative
CY1739	n	cds	no	usuriaeth	conservative
CY29	n	pa	yes	gyfadran	inclusive
CY38	n	ddp	yes	amentia	inclusive
CY770	n	an	no	crocodeiliaid	inclusive
CY1039	n	qas	no	ffarmwr	inclusive
CY1143	n	asf	no	gwallt crotch	inclusive
CY558	n	re	no	scammer	inclusive
CY1507	n	cds	no	mafia	inclusive
CY620	n	cds	no	peli i fyny	inclusive
CY228	n	cds	no	pêl-ddu	inclusive
CY867	n	cds	no	troseddau	inclusive
CY1106	n	cds	no	gangster	inclusive
CY742	n	svp	no	craving	inclusive
CY1822	n	cds	no	wank	conservative
CY835	n	pr	no	concubinage	inclusive
CY557	n	re	no	swindler	inclusive
