n	cds	no	politifolk
n	asm	no	nookie
n	asf	no	twat
n	pr	no	mandlig escort
n	dmc	yes	fabrikator
n	svp	no	forfængelighed
n	an	no	slyngelstater
n	asf	no	codswallop
n	qas	no	cadger
n	ddp	yes	charlatan
n	cds	no	dumme
n	cds	no	alfons
n	an	no	tomfool
n	ddp	yes	pillock
n	pr	no	kælling
n	qas	no	dauber
n	an	no	spekulant
n	an	no	lunkhead
n	or	no	lunkhead
n	svp	no	gorger
n	dmc	yes	fråser
n	ps	yes	skifting
n	svp	no	dilly-dallier
n	cds	no	finagler
n	qas	no	besvær maker
n	cds	no	tragisk skurk
n	re	no	defamer
a	is	yes	ynkelig
n	dmc	yes	barbarer
n	svp	no	drivert
n	ps	yes	changelings
n	pr	no	guff
n	cds	no	devilment
n	cds	no	tilskuer
n	is	yes	gnier
n	ddp	yes	dunderhead
n	cds	no	bras
n	dmc	yes	pilferer
n	cds	no	groveler
a	ps	yes	rasende
n	qas	no	bøtcher
n	asm	no	doofus
n	asf	no	tosse
n	asm	no	jacking off
n	cds	no	chiseler
n	pr	no	elskerinde
n	asf	no	skedeåbning
n	ddp	yes	budding hoved
n	cds	no	opskårne
n	ddp	yes	dum
n	re	no	seriel voldtægtsmand
n	ddp	yes	motherfucker
n	an	no	fæ
n	asm	no	tomfool
n	dmc	yes	vildledende
n	ddp	yes	forræder
n	cds	no	kylling
n	an	no	slowpoke
n	cds	no	mafioso
n	dmc	yes	trist sæk
n	an	no	kylling
n	or	no	poof
n	cds	no	line-shooter
n	cds	no	facisme
n	ddp	yes	ragtag og stumphale
n	cds	no	hybris
n	svp	no	nærighed
n	cds	no	conceitedness
n	an	no	jilt
n	cds	no	så-og-så
n	an	no	pak
n	qas	no	tagalong
n	pa	yes	barbar
v	an	no	rase
n	re	no	voldtægter
n	cds	no	kujon
n	cds	no	ros
n	ps	yes	drønnert
n	asm	no	flouter
n	cds	no	scrawler
n	cds	no	layabout
n	dmc	yes	ne'er-do-godt
n	an	no	skurk
a	ddp	yes	godtroende
n	asf	no	lortehoved
n	pr	no	gadeprostitution
n	dmc	yes	rotter
n	or	no	homophile
n	re	no	eu's terrorliste
n	ddp	yes	dimwit
n	cds	no	egoistisk
n	cds	no	pool hustling
n	ddp	yes	rumourmonger
n	cds	no	looker-on
n	rci	yes	barbarer
n	re	no	terrorister
n	or	no	knucklehead
n	dmc	yes	hykleri
n	dmc	yes	dagdriver
n	an	no	falde fyr
n	cds	no	selvretfærdig
n	ddp	yes	kvaksalveri
n	an	no	idiot
n	ddp	yes	codswallop
n	is	yes	tigger
n	cds	no	fæhoved
n	or	no	numskull
n	dmc	yes	mope
n	cds	no	litterære hack
n	cds	no	fjumrehoved
n	ddp	yes	bestialitet
n	an	no	rogue
n	an	no	minx
n	qas	no	løgnerske
n	cds	no	ragtag
n	cds	no	rotter
n	re	no	maligner
n	asm	no	idiot
n	qas	no	falskheden
n	cds	no	blunderer
n	cds	no	talebearer
n	dmc	yes	så-og-så
a	dmc	yes	ildelugtende
n	asm	no	gren
n	dmc	yes	dallier
n	cds	no	muggins
a	dmc	yes	ynkelig
n	dmc	yes	rakehell
n	cds	no	newsmonger
n	an	no	skurkagtige
n	ddf	yes	dværg
n	cds	no	hånd job
n	cds	no	dagdriver
n	pr	no	kantsten crawling
n	qas	no	ros
n	ddp	yes	mor fucker
n	re	no	blackmail
n	dmc	yes	shirker
n	om	no	faggot
n	ps	yes	mongoloids
n	ddp	yes	hoftestykke
n	qas	no	skrammel
n	cds	no	dogmatisme
n	cds	no	wangler
n	cds	no	rookie
n	svp	no	dovenskab
n	cds	no	bander
n	cds	no	bøtcher
n	svp	no	superbia
n	cds	no	hack writer
n	qas	no	usandhed
n	pr	no	mætresse
n	an	no	bluffnummer
n	svp	no	minginess
n	svp	no	selv-kærlighed
n	an	no	coquette
n	cds	no	rube
n	asf	no	hoftestykke
n	cds	no	pøbelen
n	cds	no	drillesyg
n	ddp	yes	gawk
n	cds	no	tumpe
n	an	no	sluggard
n	asm	no	dimwit
a	cds	no	snedig
a	ddp	yes	latterlig
n	om	no	twinks
n	cds	no	strømer
n	dmc	yes	pseudo
n	cds	no	groveller
n	cds	no	fanatiker
n	qas	no	riffraff
n	is	yes	niggard
n	cds	no	fib
n	is	yes	tragisk skurk
n	an	no	ignorant
n	an	no	internet hoax
n	cds	no	hurtigt et
a	svp	no	liderlig
n	cds	no	stodder
n	pr	no	hore
n	re	no	vilifier
n	dmc	yes	barbariske
n	cds	no	brøgger
