id	pos	category	stereotype	lemma	level
DA2053	n	re	no	mord	inclusive
DA1772	n	re	no	cosa nostra	conservative
DA1139	n	cds	no	peon	inclusive
DA2176	n	cds	no	wank	conservative
DA1486	n	cds	no	den store uvaskede	conservative
DA1259	n	pa	yes	fiskehandler	inclusive
DA639	n	an	no	rappenskralde	conservative
DA200	n	svp	no	gnier	inclusive
DA1772	n	cds	no	cosa nostra	inclusive
DA831	n	ddp	yes	gossiper	conservative
DA988	n	cds	no	demagogi	conservative
DA568	n	dmc	yes	lowlife	conservative
DA1474	n	ps	yes	jødedommens historie	inclusive
DA294	n	asf	no	falde fyr	conservative
DA1453	n	om	no	homoseksualitet	inclusive
DA1131	n	cds	no	scores	inclusive
DA1310	n	re	no	gangstere	inclusive
DA157	n	asf	no	idiot	conservative
DA628	n	an	no	svækling	conservative
DA393	n	dmc	yes	misdæder	inclusive
DA1691	n	ps	yes	metic	inclusive
DA160	n	asm	no	muggins	conservative
DA1157	n	cds	no	amatør	inclusive
DA848	n	cds	no	tusindkonstner	conservative
DA1389	n	an	no	gosling	inclusive
DA770	n	pa	yes	stol	inclusive
DA1488	n	cds	no	masserne	conservative
DA1775	n	cds	no	mafiaen	conservative
DA737	n	qas	no	commoner	inclusive
DA661	n	dmc	yes	svindler	conservative
DA784	n	svp	no	seksuallyst	inclusive
DA2180	a	svp	no	arrogant	conservative
DA830	n	ddp	yes	rumormonger	conservative
DA382	n	an	no	slyngelstater	conservative
DA527	n	qas	no	businessperson	inclusive
DA381	n	cds	no	gruppe	inclusive
DA1434	n	pr	no	bolet	inclusive
DA1381	n	cds	no	yderste højre-fløjen	conservative
DA2111	n	or	no	potatoe	inclusive
DA2251	n	re	no	røverier	inclusive
DA623	n	cds	no	casino	inclusive
DA1600	n	pa	yes	jesuit	inclusive
DA1605	n	dmc	yes	cheater	conservative
DA1119	n	pa	yes	porter	inclusive
DA1521	n	cds	no	ballader	inclusive
DA488	n	an	no	zooerasty	conservative
DA2201	n	cds	no	spædbørn	inclusive
DA1233	n	qas	no	landmænd	inclusive
DA2081	n	pa	yes	wagoner	inclusive
DA664	n	cds	no	bedrager	conservative
DA99	n	cds	no	folderol	conservative
DA391	n	cds	no	mordvarg	conservative
DA92	n	cds	no	melange	inclusive
DA579	n	cds	no	pøbelen	conservative
DA539	n	qas	no	mellemindkomstlande	inclusive
DA1204	n	cds	no	slægtninge	inclusive
DA1925	n	an	no	uldfår	inclusive
DA386	n	dmc	yes	forbudt	inclusive
DA861	n	qas	no	skrot	inclusive
DA98	n	ddp	yes	codswallop	conservative
DA172	n	asf	no	dumbass	conservative
DA959	n	or	no	kusse	conservative
DA578	n	dmc	yes	gør ingenting	conservative
DA1176	n	dmc	yes	moralske kompas	inclusive
DA917	n	asm	no	jerk-off	conservative
DA456	n	dmc	yes	roue	conservative
DA1251	n	cds	no	finagler	conservative
DA1441	n	pr	no	prostituerede	conservative
DA1638	n	cds	no	pengeudlåner	conservative
DA636	n	asm	no	tåbe	inclusive
DA1239	n	cds	no	hurtigt et	inclusive
DA927	n	an	no	krokodilleskind	inclusive
DA1236	n	cds	no	fascistiske	conservative
DA852	n	ddp	yes	sundhed svig	conservative
DA887	n	cds	no	listighed	conservative
DA2099	n	cds	no	parvenu	inclusive
DA1226	n	qas	no	fieldhand	inclusive
DA1812	n	dmc	yes	hick	conservative
DA2390	n	re	no	sexkriminalitet	inclusive
DA423	n	an	no	sloven	conservative
DA1761	n	cds	no	ordenshåndhæver	inclusive
DA490	n	ddp	yes	bestialitet	conservative
DA2358	n	qas	no	bloodhound	inclusive
DA1952	n	ddf	yes	runt	conservative
DA344	n	cds	no	dandies	inclusive
DA92	n	qas	no	melange	inclusive
DA1610	n	om	no	peeress	inclusive
DA174	n	or	no	pikhoved	conservative
DA1524	n	cds	no	crooner	inclusive
DA570	n	dmc	yes	så-og-så	conservative
DA860	n	cds	no	husholdningsaffald	conservative
DA479	n	qas	no	klodrian	conservative
DA370	a	ddp	yes	barnlig	conservative
DA1509	n	cds	no	hybris	conservative
DA1764	n	cds	no	panser	conservative
DA431	n	cds	no	sortbensyge	inclusive
DA211	n	cds	no	massageklinik	inclusive
DA1941	n	an	no	med t+	inclusive
DA673	n	an	no	skrammel	conservative
DA911	n	an	no	kirkeugle	inclusive
DA910	n	an	no	athene noctua	inclusive
DA1186	n	cds	no	synder	conservative
DA2535	n	qas	no	barak	inclusive
DA2294	v	re	no	stjæle	inclusive
DA1693	n	ps	yes	metokerne	inclusive
DA382	n	cds	no	slyngelstater	conservative
DA2539	n	an	no	little owl	inclusive
DA201	n	svp	no	fedtsyl	conservative
DA1705	n	cds	no	toiletter	inclusive
DA130	n	ddp	yes	makrofauna	inclusive
DA1339	n	re	no	fangevogter	inclusive
DA1066	n	om	no	suppleanter	inclusive
DA1624	a	dmc	yes	doven	conservative
DA2537	n	cds	no	brigandage	inclusive
DA1321	n	asm	no	hestebønne	inclusive
DA216	n	cds	no	bawdyhouse	inclusive
DA1588	n	cds	no	underviser	inclusive
DA1418	n	re	no	tyvagtige	inclusive
DA665	n	cds	no	scammer	inclusive
DA184	n	an	no	røv	inclusive
DA1352	n	asf	no	kønshår	inclusive
DA299	n	or	no	budding hoved	conservative
DA551	n	cds	no	uforskammethed	conservative
DA2350	n	cds	no	wonk	conservative
DA764	n	pa	yes	professoren	inclusive
DA878	n	an	no	væggetøj	inclusive
DA1026	n	cds	no	lovovertrædelse	inclusive
DA667	n	cds	no	cheekiness	conservative
DA1914	n	an	no	animalcule	inclusive
DA1615	n	dmc	yes	faker	conservative
DA379	n	cds	no	bander	inclusive
DA2203	a	ps	yes	sort	inclusive
DA1966	n	ps	yes	darky	conservative
DA1219	n	cds	no	procuress	inclusive
DA32	n	pa	yes	academe	inclusive
DA1252	n	cds	no	wangler	conservative
DA718	n	an	no	vulgaritet	conservative
DA1395	n	an	no	hog	inclusive
DA563	n	cds	no	mængde	inclusive
DA1755	n	svp	no	luxuria	inclusive
DA1532	n	dmc	yes	vaks	inclusive
DA832	n	cds	no	gossipmonger	conservative
DA360	n	pa	yes	piccolo	inclusive
DA633	n	ddp	yes	skifting	inclusive
DA1669	a	om	no	homoseksuel	conservative
DA64	n	svp	no	amour propre	conservative
DA264	n	pa	yes	overretssagfører	inclusive
DA1392	n	an	no	gåsegrib	inclusive
DA69	n	om	no	pædicare	inclusive
DA582	n	cds	no	villainess	conservative
DA932	n	cds	no	interfertility	inclusive
DA1016	n	asm	no	doofus	conservative
DA239	n	ddp	yes	barbarer	conservative
DA436	n	cds	no	stodder	conservative
DA1133	n	cds	no	slews	inclusive
DA317	n	asf	no	tøs	conservative
DA133	n	ddp	yes	animere være	inclusive
DA731	n	asm	no	hane	inclusive
DA1107	n	qas	no	kennel	inclusive
DA131	n	an	no	animalsk	inclusive
DA224	n	asm	no	nosser	inclusive
DA99	n	asf	no	folderol	conservative
DA2328	a	ps	yes	rasende	conservative
DA2015	n	qas	no	lejer gård	inclusive
DA547	n	qas	no	skrivebord job	inclusive
DA1580	n	cds	no	pomposity	inclusive
DA2102	n	cds	no	nouveaux rigdomme	inclusive
DA1298	n	cds	no	fundamentalistiske	inclusive
DA2256	n	re	no	voldsmand	inclusive
DA2050	n	re	no	morderske	inclusive
DA1187	n	dmc	yes	stakkels djævel	conservative
DA2151	n	an	no	humanus	inclusive
DA292	n	cds	no	tosse	conservative
DA1490	n	cds	no	hierarch	inclusive
DA1306	n	svp	no	tomhed	conservative
DA2195	n	cds	no	babyer	inclusive
DA1762	n	cds	no	politibetjent	conservative
DA1026	n	re	no	lovovertrædelse	inclusive
DA1165	n	asm	no	hård-on	inclusive
DA116	n	an	no	gulål	inclusive
DA1916	n	ddp	yes	mikrocephali	inclusive
DA136	n	ddp	yes	væsen	inclusive
DA1806	n	dmc	yes	uhøflige	conservative
DA1625	n	qas	no	lyve	conservative
DA632	n	asm	no	retard	inclusive
DA390	n	cds	no	fredløshed	conservative
DA866	n	cds	no	metalaffald	conservative
DA1607	n	dmc	yes	moralsk bankerot	inclusive
DA1896	n	ps	yes	halv-kaste	conservative
DA1535	n	an	no	barred owl	inclusive
DA337	n	cds	no	falskheden	inclusive
DA498	n	pr	no	bos taurus	inclusive
DA1151	n	cds	no	egghead	inclusive
DA1114	n	an	no	ovis aries	inclusive
DA1157	n	qas	no	amatør	inclusive
DA2145	n	cds	no	moaner	conservative
DA1611	n	om	no	lady	inclusive
DA1601	n	cds	no	jokester	inclusive
DA1462	n	om	no	homosexualism	inclusive
DA931	n	ddf	yes	crookback	inclusive
DA173	n	cds	no	tumpe	conservative
DA618	n	cds	no	Ådsel	inclusive
DA555	n	ps	yes	bulgarere	inclusive
DA390	n	dmc	yes	fredløshed	inclusive
DA1531	a	dmc	yes	snæversynet	conservative
DA2003	n	ps	yes	andre racer	inclusive
DA2147	n	cds	no	grumbler	conservative
DA459	n	qas	no	forkludre	inclusive
DA1658	n	qas	no	butiksindehaver	inclusive
DA2206	a	ddf	yes	blind	inclusive
DA938	n	cds	no	krydsninger	inclusive
DA1697	n	cds	no	schoolma'am	conservative
DA1431	n	pr	no	ludder	inclusive
DA1090	n	om	no	balde	inclusive
DA132	n	ddp	yes	infauna	inclusive
DA394	n	an	no	han-ged	inclusive
DA236	n	cds	no	barbariske	conservative
DA1253	n	asm	no	fisk	inclusive
DA2055	n	re	no	slayer	inclusive
DA635	n	asm	no	cretin	inclusive
DA644	n	re	no	ærekrænkende	inclusive
DA1885	n	qas	no	veltalenhed	inclusive
DA77	n	om	no	analt samleje	inclusive
DA616	n	cds	no	ådsler	inclusive
DA792	n	asm	no	skide	conservative
DA404	n	cds	no	drillesyg	conservative
DA1722	n	dmc	yes	slacker	conservative
DA237	n	qas	no	barbar	conservative
DA685	n	ps	yes	kineser	inclusive
DA1738	n	an	no	møl	inclusive
DA913	n	qas	no	besætning	inclusive
DA1578	n	cds	no	pompousness	inclusive
DA94	n	qas	no	gallimaufry	inclusive
DA520	n	pr	no	norge rat	inclusive
DA673	n	qas	no	skrammel	conservative
DA2134	n	dmc	yes	trifler	conservative
DA41	n	pa	yes	tilsvarende medlem	inclusive
DA1621	n	dmc	yes	prevaricator	inclusive
DA661	n	cds	no	svindler	inclusive
DA255	n	pa	yes	advocator	inclusive
DA2148	n	cds	no	complainer	conservative
DA937	n	cds	no	hybrid	inclusive
DA121	n	an	no	ålefisk	inclusive
DA2101	n	cds	no	nyrige	inclusive
DA1564	n	is	yes	nødlidende	inclusive
DA2533	n	ps	yes	roma-folket	inclusive
DA2511	n	an	no	hugormen	inclusive
DA1811	n	dmc	yes	bondeknold	conservative
DA238	n	pa	yes	boor	conservative
DA1099	n	om	no	derriere	inclusive
DA567	n	dmc	yes	rotter	conservative
DA695	n	cds	no	tribesman	inclusive
DA732	n	cds	no	problem	conservative
DA1283	n	cds	no	frimurerloge	inclusive
DA1504	n	qas	no	hutch	inclusive
DA1437	n	pr	no	prostitution	conservative
DA1209	n	cds	no	fanatiker	conservative
DA1079	n	om	no	aboral	inclusive
DA565	n	an	no	git	conservative
DA96	n	asm	no	vedhæng	inclusive
DA773	n	pa	yes	professorer	inclusive
DA1155	n	pa	yes	medarbejder	inclusive
DA723	n	asm	no	pik	conservative
DA722	n	asm	no	prik	conservative
DA473	n	cds	no	snæversynethed	conservative
DA956	n	cds	no	laddie	inclusive
DA1304	n	dmc	yes	dilly-dallier	conservative
DA2262	n	cds	no	bootlicker	conservative
DA2472	n	ps	yes	rødt kort	inclusive
DA1038	n	cds	no	dime romaner	inclusive
DA1448	n	om	no	shirtlifter	inclusive
DA827	n	or	no	homophile	conservative
DA2089	n	an	no	kvinde chaser	conservative
DA97	a	svp	no	aggressiv	conservative
DA1167	n	asm	no	peniserektion	inclusive
DA91	n	cds	no	omnium-gatherum	inclusive
DA779	n	or	no	have-kål	inclusive
DA1508	n	qas	no	skur	inclusive
DA165	n	ddp	yes	fæhoved	conservative
DA1369	n	an	no	gede-antilope	inclusive
DA1463	n	ps	yes	hebraism	inclusive
DA1083	n	om	no	balder	inclusive
DA1649	n	an	no	insecta	inclusive
DA225	n	asm	no	ballock	inclusive
DA1386	v	asm	no	kneppe	conservative
DA2275	n	an	no	padde	inclusive
DA101	n	cds	no	fanatikere	inclusive
DA88	n	qas	no	småting	inclusive
DA1345	n	an	no	pipistrelle	inclusive
DA746	n	cds	no	complacence	inclusive
DA1429	n	cds	no	bydreng	inclusive
DA356	n	cds	no	fib	conservative
DA240	n	rci	yes	churl	conservative
DA329	n	pr	no	trækkerdreng	conservative
DA287	n	cds	no	blackball	inclusive
DA1255	n	asm	no	blød stråle	inclusive
DA577	n	svp	no	dagdriver	conservative
DA27	n	cds	no	mægler	inclusive
DA592	n	an	no	yap	inclusive
DA1810	n	cds	no	chawbacon	conservative
DA1315	n	cds	no	facisme	conservative
DA1874	n	qas	no	taleren	inclusive
DA1402	n	an	no	grise	inclusive
DA475	n	cds	no	konform	conservative
DA1305	n	dmc	yes	mope	conservative
DA2418	n	asm	no	fallos	inclusive
DA168	n	an	no	lortehoved	conservative
DA1303	n	dmc	yes	dillydallier	conservative
DA1507	n	qas	no	rønne	inclusive
DA236	n	ps	yes	barbariske	conservative
DA1735	n	an	no	culicidae	inclusive
DA301	n	cds	no	stupe	conservative
DA2296	n	cds	no	tørvetriller	conservative
DA237	n	cds	no	barbar	conservative
DA671	n	an	no	ragtag	conservative
DA312	n	pr	no	skøge	inclusive
DA659	n	cds	no	camorraen	inclusive
DA2069	n	dmc	yes	uheldige person	inclusive
DA134	n	an	no	dyr	inclusive
DA233	n	cds	no	røver	conservative
DA131	n	ddp	yes	animalsk	inclusive
DA558	n	svp	no	høj handedness	conservative
DA270	n	an	no	vovse	inclusive
DA1760	n	cds	no	strømer	inclusive
DA2104	n	qas	no	fredsforstyrrer	conservative
DA2434	n	om	no	cross-dressers	inclusive
DA2051	n	re	no	drab	inclusive
DA393	n	re	no	misdæder	inclusive
DA230	n	qas	no	testikler	inclusive
DA994	n	pr	no	kurtisaner	inclusive
DA169	n	or	no	knucklehead	conservative
DA1597	n	cds	no	læreruddannelsen	inclusive
DA834	n	ddp	yes	newsmonger	conservative
DA2191	n	an	no	volaille	inclusive
DA2406	n	re	no	eu's terrorliste	inclusive
DA2451	n	asm	no	fugle	inclusive
DA1095	n	om	no	vilkår for anatomiske placering	inclusive
DA481	n	cds	no	bøtcher	conservative
DA552	n	cds	no	anmassende	conservative
DA371	n	cds	no	selvretfærdig	conservative
DA75	n	om	no	græsk	inclusive
DA163	n	an	no	tomfool	conservative
DA921	n	an	no	krokodille	inclusive
DA1763	n	cds	no	politifolk	conservative
DA269	n	pa	yes	prokurator	inclusive
DA1943	n	pr	no	socialites	inclusive
DA2178	n	cds	no	hånd job	conservative
DA327	n	an	no	rentboy	conservative
DA1089	n	om	no	tooshie	inclusive
DA477	n	dmc	yes	fumbler	conservative
DA2361	a	cds	no	viselig	inclusive
DA1082	n	om	no	laterale	inclusive
DA240	n	qas	no	churl	conservative
DA542	n	qas	no	middelklassen	inclusive
DA2534	n	ps	yes	sigøjnerske	inclusive
DA402	n	cds	no	fortræd-making	conservative
DA3	v	an	no	bjæffe	inclusive
DA1036	n	an	no	diddlysquat	conservative
DA588	n	an	no	cayman	inclusive
DA2372	n	pr	no	lysbille	inclusive
DA1232	n	qas	no	granger	inclusive
DA1498	n	qas	no	hus maleri	inclusive
DA1143	n	ddf	yes	mandsling	conservative
DA302	n	cds	no	pudden-head	conservative
DA2131	v	an	no	rase	conservative
DA161	n	asm	no	saphead	conservative
DA233	n	re	no	røver	inclusive
DA997	n	pr	no	kurtisane	inclusive
DA1812	n	cds	no	hick	conservative
DA2235	n	or	no	majroe	inclusive
DA982	n	re	no	dato-voldtægt	conservative
DA1532	n	cds	no	vaks	inclusive
DA159	n	asm	no	fladpande	conservative
DA1733	n	an	no	stikmyggelarve	inclusive
DA1622	n	dmc	yes	drivert	conservative
DA675	n	an	no	familiaris	inclusive
DA624	n	is	yes	paria	inclusive
DA1781	n	ps	yes	ostgot	inclusive
DA160	n	cds	no	muggins	conservative
DA1517	n	an	no	hyæne	inclusive
DA295	n	ddp	yes	hoftestykke	conservative
DA1865	n	or	no	græskar	inclusive
DA306	n	asm	no	ninny	conservative
DA850	n	ddp	yes	sundhed bedrageri	conservative
DA989	n	cds	no	rak-rouser	conservative
DA570	n	cds	no	så-og-så	conservative
DA345	n	cds	no	hulter til turvyness	inclusive
DA1708	n	cds	no	comfort station	inclusive
DA1160	n	re	no	felony	inclusive
DA175	n	asf	no	lunkhead	conservative
DA1168	n	qas	no	sciolist	conservative
DA1415	n	re	no	ran	inclusive
DA2183	n	re	no	plagiering	inclusive
DA1459	n	om	no	homosexualitet	inclusive
DA137	n	ddp	yes	dyreverdenen	inclusive
DA995	n	pr	no	doxy	inclusive
DA1265	n	cds	no	knibe	inclusive
DA157	n	ps	yes	idiot	conservative
DA4	n	svp	no	dovenskab	conservative
DA841	n	an	no	moo-ko	inclusive
DA1809	n	dmc	yes	hayseed	conservative
DA1774	n	re	no	forbryderorganisation	inclusive
DA1952	n	dmc	yes	runt	conservative
DA992	n	pr	no	konkubine	inclusive
DA655	n	re	no	defamer	conservative
DA1407	n	cds	no	hack writer	conservative
DA1940	n	an	no	snegl	inclusive
DA1510	n	svp	no	overmod	inclusive
DA888	n	cds	no	bedrag	inclusive
DA2421	n	re	no	kval	inclusive
DA2496	n	cds	no	poltroon	conservative
DA1582	n	cds	no	huslærer	inclusive
DA262	n	pa	yes	landsretssagfører	inclusive
DA1606	n	dmc	yes	umoralsk	inclusive
DA948	n	cds	no	million	inclusive
DA174	n	an	no	pikhoved	conservative
DA1108	n	qas	no	kenneler	inclusive
DA561	n	svp	no	forfængelighed	conservative
