pos	category	stereotype	lemma	level
n	cds	no	dumpfbacke	inclusive
n	cds	no	schwächling	conservative
n	pa	yes	minister-counselor	inclusive
n	or	no	irish potato	inclusive
n	an	no	animalculum	inclusive
n	cds	no	flachwichser	inclusive
n	cds	no	begharden	inclusive
n	an	no	hemipteron	inclusive
n	om	no	päderasten	conservative
n	an	no	nordamerikanischer bison	inclusive
n	an	no	bodypacking	inclusive
n	re	no	homegrown-terrorismus	conservative
n	ddp	yes	analphabetenquote	inclusive
n	pr	no	kühe	inclusive
n	asm	no	favabohne	inclusive
n	cds	no	vermessenheit	conservative
n	cds	no	nazi	conservative
n	an	no	gauner	conservative
n	dmc	yes	fahrende leute	inclusive
n	cds	no	cull	conservative
n	cds	no	fundamentalistische	inclusive
n	ps	yes	mischling	conservative
n	dmc	yes	grobheit	conservative
n	pa	yes	pyronia tithonus	inclusive
n	cds	no	polizist	conservative
n	ps	yes	vergeuder	conservative
n	svp	no	zorn	inclusive
n	pr	no	metze	conservative
n	an	no	kreuzungsfresser	inclusive
n	pa	yes	buchhalterin	inclusive
n	pa	yes	außerordentliche professur	inclusive
n	pa	yes	extraordinarius	inclusive
n	asf	no	muschi	conservative
n	re	no	mordversuch	inclusive
n	an	no	culex pipiens	inclusive
n	svp	no	knickerigkeit	conservative
n	qas	no	parasit	inclusive
n	ddp	yes	pudden-kopf	conservative
n	re	no	bösewichte	conservative
n	cds	no	outlaw	inclusive
n	an	no	mikroben	inclusive
n	qas	no	konformität	inclusive
n	or	no	grundbirne	inclusive
n	cds	no	scads	inclusive
a	dmc	yes	schlecht	conservative
a	qas	no	schmalzig	conservative
n	or	no	irische kartoffel	inclusive
n	asm	no	klöte	inclusive
n	asm	no	klöten	inclusive
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	cds	no	verschwörungstheorien	inclusive
n	cds	no	weichei	conservative
n	cds	no	puzzler	conservative
n	ddp	yes	dussel	conservative
n	an	no	hausziege	inclusive
a	om	no	anomal	inclusive
