n	asm	no	nookie
n	asf	no	twat
a	cds	no	πανούργος
n	cds	no	βάρβαρος
a	svp	no	θυμωμένος
n	is	yes	ζητιάνος
n	dmc	yes	δυσωδία
n	cds	no	ηλίθιος
n	cds	no	αλητεία
n	asf	no	codswallop
a	svp	no	λάγνος
n	ddp	yes	καθυστερημένος
n	asf	no	dunce
n	asf	no	fuckhead
n	cds	no	νταβατζή
n	ddp	yes	pillock
n	svp	no	φυγόπονος
n	an	no	lunkhead
n	or	no	lunkhead
n	svp	no	trencher
n	cds	no	βλαξ
n	asm	no	σπασμωδικές off
a	cds	no	δυσνόητος
n	svp	no	gorger
n	cds	no	Ύβρις
n	svp	no	dilly-dallier
n	cds	no	νεανική παραβατική
n	an	no	αργοκίνητος
n	ps	yes	κρετίνος
n	cds	no	ηθικολόγος
n	dmc	yes	αχρειότητα
n	cds	no	finagler
n	or	no	αλλόκοτος
n	cds	no	παραπονιάρης
n	dmc	yes	slackers
n	cds	no	ατζαμής
n	ddp	yes	συρφετός
n	cds	no	κακή ψάρια
n	ddp	yes	τούβλο
a	ddp	yes	βραδύνους
n	cds	no	φυγόπονος
n	ddp	yes	βάρβαρος
n	ddp	yes	dunderhead
n	cds	no	δημαγωγός
n	cds	no	μαφία της σικελίας
n	cds	no	groveler
n	cds	no	κότα
n	asm	no	doofus
n	asm	no	μαλάκας
n	ddp	yes	στραβόξυλο
n	an	no	grossness
n	asm	no	jacking off
n	an	no	raunch
n	cds	no	η μητέρα μαλάκα
n	cds	no	λογοτεχνική hack
n	rci	yes	Βάρβαροι
n	dmc	yes	νάνος
n	svp	no	tightwad
n	pr	no	πόρνες
v	qas	no	τα κάνω μούσκεμα
n	asf	no	ιδιώτης
n	dmc	yes	χαραμοφάης
n	an	no	άρπαγας
n	pr	no	διατηρούνται γυναίκα
n	qas	no	λεχρίτης
n	dmc	yes	μικροκλέφτης
n	cds	no	σατυρίαση
n	dmc	yes	hobos
n	re	no	εκβιασμό
n	om	no	άτομο με ειδικές ανάγκες
n	dmc	yes	ακόλαστος
n	ps	yes	ηλίθιος
n	cds	no	ανόητος
n	ddp	yes	καριόλη
n	cds	no	conceitedness
n	ps	yes	Ούννος
n	cds	no	εκτός νόμου
n	dmc	yes	δυσοσμία
n	re	no	εγκληματίας
n	an	no	σκύλα
n	qas	no	tagalong
n	ddp	yes	κτηνοβασία
n	pr	no	δημοκοπία
n	an	no	μπούμπουρας
n	pr	no	γυναίκα του δρόμου
n	cds	no	οι πολλοί
n	cds	no	παλιάνθρωπος
n	ddp	yes	ανίκανος
n	asm	no	flouter
n	cds	no	νταβατζήδες
n	ps	yes	χαζός
n	qas	no	ημιμαθής
n	dmc	yes	μελαγχολώ
n	ddp	yes	αλμπάνης
n	an	no	λεχρίτης
v	asm	no	πηδάω
n	asf	no	απαλό άγγιγμα
n	ddp	yes	ανόητο
n	cds	no	διαβολάκι
