pos	category	stereotype	lemma	level
n	qas	no	ερασιτεχνισμού	conservative
n	dmc	yes	dilly-dallier	conservative
n	cds	no	υπεκφεύγων	conservative
n	an	no	animalculum	inclusive
n	ps	yes	blackamoor	inclusive
n	asm	no	σπασμωδικές off	conservative
n	re	no	βάναυση συμπεριφορά	inclusive
n	an	no	hemipteron	inclusive
n	cds	no	culchie	inclusive
n	ddp	yes	Βάρβαροι	conservative
n	ps	yes	κρετίνος	conservative
n	cds	no	νεανικών συμμοριών	inclusive
n	cds	no	demagog	conservative
n	or	no	cuke	inclusive
n	cds	no	καυχησιάρης	conservative
n	dmc	yes	δειλός	conservative
n	om	no	sodomist	inclusive
n	re	no	εγκληματική συμπεριφορά	inclusive
n	cds	no	δωρεάν mason	inclusive
n	svp	no	conceitedness	conservative
n	an	no	έτσι κ 'έτσι	conservative
n	cds	no	φονταμενταλιστές	inclusive
n	asm	no	πούτσος	conservative
n	cds	no	νεόπλουτοι	inclusive
n	cds	no	μπάτσος	inclusive
n	qas	no	χαμόσπιτο	inclusive
n	an	no	σκύλα	inclusive
n	cds	no	άνανδρος	conservative
n	cds	no	ειδωλολατρική	inclusive
n	qas	no	κορυφαίο στέλεχος	inclusive
n	cds	no	υπόνομος	inclusive
n	asm	no	πόσθη	inclusive
n	pa	yes	βάρβαρη	conservative
n	cds	no	γκαφατζής	conservative
n	an	no	πόρνη	conservative
n	asm	no	φαλλικό	inclusive
n	ddf	yes	αναπηρία	inclusive
n	an	no	αμνάδα	inclusive
n	qas	no	επαγγελματική τάξη	inclusive
n	ddp	yes	ανοησίες	conservative
n	cds	no	ελευθεροτεκτονισμός	inclusive
n	qas	no	blooper	inclusive
n	cds	no	κοπάδια	inclusive
n	dmc	yes	αγένεια	conservative
n	or	no	meticulosity	inclusive
n	pr	no	εταίρα	conservative
n	ps	yes	αθίγγανος ρομ	inclusive
n	or	no	νογκίνη	inclusive
n	cds	no	αλεπού	conservative
n	re	no	κακή χρήση	inclusive
n	om	no	κώλος	inclusive
n	cds	no	scads	inclusive
n	cds	no	Φραμασόνοι	inclusive
n	an	no	ψείρα	inclusive
n	svp	no	δυσάρεστες	inclusive
n	cds	no	ομάδα	inclusive
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	ddp	yes	καθυστερημένος	conservative
n	cds	no	συμμορία	conservative
n	svp	no	φιληδονία	inclusive
n	ps	yes	vandal	inclusive
v	cds	no	διαπραγματεύομαι	inclusive
n	cds	no	δημιουργός των φυτών	inclusive
n	cds	no	εγωισμό	conservative
n	an	no	απαλό άγγιγμα	conservative
n	ddp	yes	θερμό κατάπλασμα	conservative
n	or	no	κορόιδο	conservative
n	qas	no	απομεινάρια	inclusive
n	dmc	yes	τεμπέλης	conservative
n	an	no	νάνος	conservative
n	dmc	yes	σπάταλος	inclusive
n	re	no	φονιάς	inclusive
n	cds	no	ντραγκέτα	inclusive
n	ps	yes	nigga	conservative
n	cds	no	ουτιδανός	conservative
n	ps	yes	αφρικάνος	inclusive
n	om	no	Μάραθρο	inclusive
n	cds	no	αστυνομικίνα	inclusive
n	cds	no	αριβίστας	inclusive
n	ddp	yes	χαζομάρα	conservative
n	svp	no	ματαιοδοξία	conservative
n	an	no	dunce	conservative
n	asm	no	κοχλίωση	conservative
v	re	no	πληγώνω	inclusive
n	qas	no	ερασιτέχνης	inclusive
n	asm	no	Κουκιά	inclusive
n	or	no	αγγούρι	inclusive
n	an	no	moo-αγελάδας	inclusive
n	qas	no	κατασκοπεύω	inclusive
n	an	no	Κατσίκι	inclusive
n	qas	no	flub	inclusive
n	re	no	απαγωγέας	inclusive
n	svp	no	avariciousness	inclusive
n	ps	yes	Οβραίοι	inclusive
v	re	no	τραυματίζω	inclusive
n	or	no	θερμό κατάπλασμα	conservative
