pos	category	stereotype	lemma	level
n	cds	no	fascisti	conservative
n	cds	no	pool hustler	conservative
n	re	no	piracy jure gentium	inclusive
a	cds	no	pretentious	conservative
n	re	no	snatcher	inclusive
n	pa	yes	minister-counselor	inclusive
n	an	no	true eel	inclusive
n	om	no	anterior and posterior	inclusive
n	re	no	legal irresponsibility	inclusive
n	cds	no	barbarian	conservative
n	cds	no	house of prostitution	inclusive
n	an	no	vipera berus chersea-splendens	inclusive
n	cds	no	grunge punk	inclusive
n	is	yes	parayan	inclusive
n	is	yes	impoverishing	inclusive
n	cds	no	shot caller	conservative
n	cds	no	cull	conservative
n	qas	no	parasitic embryo	inclusive
n	cds	no	out-of-control sexual behaviors	conservative
n	asf	no	numskull	conservative
n	asf	no	pubic topiary	inclusive
n	cds	no	pomposity	inclusive
n	om	no	criminalized homosexuality	inclusive
n	cds	no	naples mafia	inclusive
n	re	no	murked	inclusive
n	om	no	homosexualism	inclusive
n	dmc	yes	social outcast	inclusive
n	cds	no	court jesters	inclusive
n	cds	no	sex-traders	inclusive
n	cds	no	girl craziest	conservative
n	asf	no	vaginal opening	conservative
n	qas	no	prevaricating	conservative
n	pr	no	fancy woman	conservative
a	qas	no	feudalistic	inclusive
n	is	yes	have-not	inclusive
a	dmc	yes	slothful	conservative
n	om	no	anal fuck	inclusive
n	asm	no	erector clitoris	inclusive
n	cds	no	strikebreakers	inclusive
n	dmc	yes	lie of omission	inclusive
n	cds	no	outlaw	inclusive
n	cds	no	cattle-rustling	inclusive
n	ddf	yes	impaired	inclusive
n	cds	no	scads	inclusive
n	cds	no	out-of-control sexual behaviour	conservative
n	pr	no	whoremongering	inclusive
n	om	no	homosexualite	inclusive
n	cds	no	volume	inclusive
n	an	no	vipera prester gagatina	inclusive
n	ddp	yes	birin	conservative
n	re	no	theft	inclusive
n	an	no	microorganism	inclusive
n	re	no	unlawfulness	inclusive
n	asm	no	f***	conservative
a	svp	no	hotheaded	conservative
n	cds	no	blackguard	conservative
n	an	no	chicken dish	inclusive
n	an	no	dicondylia	inclusive
n	an	no	noctua passerina	inclusive
n	svp	no	trencher-knives	inclusive
n	om	no	antero-posteriorly	inclusive
n	pa	yes	accountancy qualifications and regulation	inclusive
a	dmc	yes	soiled	inclusive
n	cds	no	begards	inclusive
n	rci	yes	barbarian in western cultures	conservative
v	is	yes	beg	inclusive
n	cds	no	mancrazily	conservative
n	cds	no	scores	inclusive
n	om	no	faggot	inclusive
n	ps	yes	bulgarian slavs	inclusive
n	re	no	crimanal	inclusive
a	qas	no	poor	conservative
n	an	no	mule production	inclusive
n	an	no	faunae	inclusive
n	om	no	anial sex	inclusive
n	cds	no	outlawing	inclusive
n	cds	no	pimpet	conservative
n	pa	yes	diplomatic rank	inclusive
a	dmc	yes	seedy	conservative
n	an	no	face	inclusive
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	ddp	yes	stultifyingly	inclusive
n	asf	no	netherhair	inclusive
n	an	no	numskull	conservative
n	om	no	male homosexual	inclusive
n	cds	no	retard	inclusive
n	asm	no	cockerel	inclusive
n	qas	no	odds and ends	inclusive
n	an	no	owl	inclusive
n	ps	yes	biological hybrid	inclusive
n	ps	yes	waster	conservative
n	cds	no	nazi	conservative
n	ps	yes	nigger please	conservative
n	re	no	romeo and juliet laws	inclusive
n	cds	no	conspiracy theorism	inclusive
n	cds	no	porky pie	conservative
n	an	no	microoerganisms	inclusive
n	an	no	lunkhead	conservative
a	ddf	yes	lame	inclusive
n	an	no	blattaria	inclusive
n	cds	no	black-legger	inclusive
n	asm	no	gullable	conservative
n	cds	no	girl gang	inclusive
n	re	no	the m.o.f.f.i.a.	inclusive
n	om	no	marmango	inclusive
n	ddp	yes	stupidity	conservative
