n	asm	no	nookie
n	cds	no	charlantry
n	cds	no	sexual narcissism
n	cds	no	police officer
n	om	no	fudgepacker
n	ps	yes	other races
n	cds	no	reprobate
n	or	no	shman
n	cds	no	tribal culture
a	ddf	yes	unsighted
n	cds	no	criminal leader
n	cds	no	police men
n	ps	yes	sheeny
a	qas	no	mawkish
n	ps	yes	interfamilial hybrid
n	an	no	tomfool
n	qas	no	real estate tycoon
n	an	no	pip-squeak
n	cds	no	moralism
n	re	no	homocide
n	cds	no	demogogue
n	asm	no	bird brain
n	an	no	vipera berus punctata
n	qas	no	tabi%e2%80%98in
n	cds	no	fundamentism
n	ps	yes	black is not a color
n	svp	no	dilly-dallier
n	dmc	yes	acceptability
n	ddp	yes	fatuity
n	cds	no	dullard
n	an	no	ovis orientalis aries
n	ddp	yes	assh*l*
n	re	no	criminousness
a	ddf	yes	ill-shapen
n	cds	no	court jesters
n	ps	yes	black african
n	ps	yes	bedu
n	an	no	adder
n	cds	no	an idiot
n	asm	no	english bean
n	ddp	yes	charlitain
n	qas	no	gentleman farmers
n	an	no	simple
n	om	no	ventral
n	cds	no	cocksucker
a	cds	no	exigent
n	dmc	yes	moral bankruptcy
n	om	no	zootomical terms of location
n	re	no	indictable-only offences
n	asm	no	doofus
n	or	no	brassica camperstris
n	an	no	doleful creatures
n	svp	no	tightwad
n	cds	no	supercilious
n	svp	no	concupisance
n	dmc	yes	humunculus
n	qas	no	solid waste
n	re	no	injurious falsehood
n	cds	no	sleiveen
n	cds	no	hyper-sexuality
n	an	no	caprinae
n	cds	no	idiocy
a	svp	no	greedy
n	re	no	m. a. f. i. a.
n	qas	no	leech
n	an	no	ckokroach
n	pa	yes	senior police officer
n	om	no	female impersonator
a	qas	no	hallucinating
n	svp	no	bordem
n	qas	no	tenant farmer
n	om	no	queerio
n	cds	no	bull
n	dmc	yes	hobo
n	qas	no	social parasitism
n	an	no	caiman lutescens
n	dmc	yes	delinquent
n	cds	no	dandy
n	an	no	micro-organismically
n	om	no	analsecks
n	cds	no	gobs
a	cds	no	cunning
n	ps	yes	gleaming goths
n	cds	no	self-importance
n	svp	no	boredomness
n	ps	yes	idiocies
n	cds	no	brigand
n	om	no	dairy aire
n	cds	no	rabble rouser
n	cds	no	outlawry
n	pa	yes	exponent
n	cds	no	criminally
n	or	no	twat
n	an	no	ibexes
n	cds	no	tormenter
n	qas	no	social caste
n	an	no	shark attacks in australia
