id	pos	category	stereotype	lemma	level
EN1382	n	qas	no	gag reel	inclusive
EN7077	a	cds	no	snotty	conservative
EN6856	n	is	yes	mendicant	conservative
EN5485	n	re	no	maffias	conservative
EN5024	n	cds	no	lying in trade	conservative
EN6950	n	re	no	yeargh	inclusive
EN204	n	om	no	buttfucker	inclusive
EN1575	n	qas	no	sir osthara	inclusive
EN206	n	om	no	assplay	inclusive
EN858	n	an	no	sucker	inclusive
EN1975	n	re	no	slanderous	inclusive
EN2838	n	or	no	cucumis sativus	inclusive
EN2454	n	or	no	homophobic slurs	conservative
EN552	n	an	no	jennies	inclusive
EN1107	n	re	no	knave	conservative
EN5750	n	svp	no	pride	inclusive
EN5436	n	cds	no	nerdiness	conservative
EN2800	n	qas	no	conform	inclusive
EN523	n	asm	no	putz	conservative
EN6765	a	qas	no	kitschy	conservative
EN1987	n	re	no	calumniators	inclusive
EN3241	n	om	no	retrolateral	inclusive
EN6796	n	cds	no	pædant	conservative
EN3018	n	re	no	criminates	inclusive
EN443	n	re	no	ass-rape	conservative
EN2120	n	cds	no	clann	inclusive
EN940	n	pr	no	rentboy	conservative
EN3744	n	cds	no	ponce	inclusive
EN1965	n	re	no	libel per quod	inclusive
EN2534	v	cds	no	prate	inclusive
EN2029	n	re	no	slanderer	conservative
EN2677	n	asm	no	wankiest	conservative
EN3062	n	cds	no	lawlessly	inclusive
EN1321	n	cds	no	muthafucker	conservative
EN6059	n	cds	no	narcism	inclusive
EN2454	n	om	no	homophobic slurs	conservative
EN1267	n	cds	no	black-legger	inclusive
EN2298	n	svp	no	physical attraction	inclusive
EN2434	n	cds	no	overseas press	inclusive
EN5515	n	cds	no	cosanostra	conservative
EN2929	n	dmc	yes	misleading	conservative
EN1872	n	dmc	yes	paraiyan	inclusive
EN4688	n	cds	no	hubrus	conservative
EN1436	n	an	no	viciousness	conservative
EN2878	n	cds	no	dastardliness	conservative
EN5498	n	cds	no	m o f f i a	conservative
EN4881	n	is	yes	impoverished	inclusive
EN7942	n	cds	no	dietrology	inclusive
EN7218	n	or	no	brassica septiceps	inclusive
EN7953	n	cds	no	politics and current events	inclusive
EN6227	n	cds	no	mancraziness	conservative
EN337	n	asf	no	folderol	conservative
EN6515	n	cds	no	usura	conservative
EN7669	a	svp	no	swaggering	conservative
EN2962	n	pr	no	courtisanerie	inclusive
EN5044	a	ddp	yes	incapable	conservative
EN3617	n	dmc	yes	amoralized	inclusive
EN1895	n	cds	no	changeling	inclusive
EN7073	a	ddp	yes	brutish	conservative
EN4701	n	cds	no	buffoon	conservative
EN1069	n	cds	no	shot caller	conservative
EN6535	n	an	no	vultures	inclusive
EN1410	n	qas	no	bungler	conservative
EN2710	n	an	no	crocodilians	inclusive
EN1929	n	pr	no	beyotch	conservative
EN3758	n	cds	no	pandering	conservative
EN419	n	an	no	faunae	inclusive
EN746	n	qas	no	birin	conservative
EN899	n	pr	no	sluttish	conservative
EN5234	a	svp	no	hot-tempered	conservative
EN1916	n	asm	no	half-wit	inclusive
EN4721	n	cds	no	crooned	inclusive
EN3234	n	om	no	anatomical term of location	inclusive
EN500	av	an	no	stupidly	conservative
EN6569	v	cds	no	babble	conservative
EN1101	n	cds	no	rascal	conservative
EN1400	n	cds	no	bragger	conservative
EN3304	n	om	no	tooshie	inclusive
EN1246	n	cds	no	mongrel	inclusive
EN4938	n	cds	no	teaching aid	inclusive
EN5019	n	cds	no	lying by omission	conservative
EN4964	n	dmc	yes	deceiver	conservative
EN5498	n	re	no	m o f f i a	conservative
EN3371	n	svp	no	gourmandise	conservative
EN2041	n	cds	no	swindler	conservative
EN756	n	an	no	brutality	conservative
EN956	n	dmc	yes	lie	inclusive
EN1895	n	ps	yes	changeling	conservative
EN6274	n	cds	no	girl-crazily	conservative
EN2897	n	dmc	yes	speciosities	conservative
EN4355	n	re	no	theif	inclusive
EN2555	n	ddp	yes	montambanco	conservative
EN5510	n	cds	no	sicilian mobsters	inclusive
EN118	n	pa	yes	academical	inclusive
EN4068	n	cds	no	fashism	conservative
EN6018	n	pr	no	society figure	inclusive
EN3804	n	qas	no	farmist	inclusive
EN861	n	asm	no	mark	conservative
EN1233	n	cds	no	slovenly person	conservative
EN6241	n	cds	no	boy-craziest	conservative
EN6330	n	cds	no	woman-craziness	conservative
EN8	n	svp	no	indolency	inclusive
EN6271	n	cds	no	hypersexualism	conservative
EN3774	n	cds	no	pimpet	conservative
EN1728	n	ddp	yes	rabble	conservative
EN3223	n	om	no	tail	inclusive
EN5176	v	cds	no	scheme	inclusive
EN723	n	dmc	yes	brigand	conservative
EN4439	n	pr	no	female sex workers	inclusive
EN3275	n	om	no	anatomic position	inclusive
EN7996	n	cds	no	recreant	conservative
EN3559	n	dmc	yes	immoralisms	inclusive
EN4773	n	cds	no	imp	inclusive
EN1448	n	svp	no	boredom	inclusive
EN3091	n	an	no	jack	conservative
EN3066	n	cds	no	crimination	inclusive
EN763	n	qas	no	trading	inclusive
EN7255	n	re	no	armed-robbery	inclusive
EN1007	n	cds	no	pandemonium	inclusive
EN3462	n	dmc	yes	delict	inclusive
EN3415	n	cds	no	rafts	inclusive
EN2772	n	ps	yes	interfertility	inclusive
EN5044	a	ddp	yes	incapable	inclusive
EN354	n	cds	no	zealotry	conservative
EN4409	n	pr	no	prostitude	inclusive
EN752	a	svp	no	avid	conservative
EN2516	n	cds	no	sewerage	inclusive
EN3214	n	om	no	posteriorly	inclusive
EN2927	n	dmc	yes	mislead	conservative
EN7071	n	cds	no	new borns	inclusive
EN7747	n	re	no	torture	inclusive
EN2985	n	ps	yes	lummox	conservative
EN6037	n	cds	no	narcissists	inclusive
EN569	n	an	no	enichires	inclusive
EN6802	n	cds	no	book-louse	conservative
EN7039	n	an	no	ingokho	inclusive
EN433	n	re	no	denigration	conservative
EN744	n	rci	yes	barbaric	conservative
EN37	n	svp	no	disinterest	inclusive
EN7935	n	cds	no	conspiratard	inclusive
EN2826	n	or	no	c-word	conservative
EN5077	n	cds	no	shy lock	inclusive
EN337	n	an	no	folderol	conservative
EN19	n	dmc	yes	abject	inclusive
EN5042	n	qas	no	behavioral signals of lying	conservative
EN625	n	ddp	yes	chatterbox	conservative
EN7483	n	cds	no	scientismist	inclusive
EN7493	n	ddp	yes	stultify	inclusive
EN2243	n	pa	yes	chair	inclusive
EN6813	n	cds	no	pedants	conservative
EN2892	n	dmc	yes	beguiling	conservative
EN5585	n	om	no	pederastry	inclusive
EN2885	v	asm	no	barrack	inclusive
EN2450	n	or	no	faggedy	conservative
EN1925	n	asf	no	coo-yon	conservative
EN863	n	asm	no	soft touch	conservative
EN867	n	or	no	dullard	conservative
EN5134	n	asm	no	schlong	inclusive
EN5019	n	cds	no	lying by omission	inclusive
EN668	n	asm	no	bollock	inclusive
EN3326	n	om	no	buttcheeks	inclusive
EN4351	n	cds	no	stealing	inclusive
EN4772	n	cds	no	monkey	inclusive
EN6864	n	cds	no	grumbler	conservative
EN3748	n	cds	no	pimping	conservative
EN6078	n	ps	yes	nigga	conservative
EN3669	n	an	no	eurypterid	inclusive
EN49	a	svp	no	aboulic	conservative
EN6632	v	re	no	crucify	inclusive
EN6239	n	cds	no	nymphomaniacs	conservative
EN6230	n	cds	no	nymphomaniac	conservative
EN746	n	rci	yes	birin	conservative
EN1415	n	cds	no	stumbler	conservative
EN2079	n	an	no	shedog	inclusive
EN3383	n	svp	no	gormandizing	conservative
EN3373	n	svp	no	gourmandizes	conservative
EN2737	n	ps	yes	cross-breed	inclusive
EN6305	n	cds	no	dependencia sexual	conservative
EN3618	n	dmc	yes	moral compass	inclusive
EN4515	n	om	no	homoeroticism	inclusive
EN2475	n	or	no	league for civil education	conservative
EN743	n	qas	no	barbarians	conservative
EN5608	n	cds	no	papparazi	inclusive
EN7653	n	re	no	sex offenses	inclusive
EN3688	n	is	yes	wretch	conservative
EN2907	n	dmc	yes	mystified	conservative
