pos	category	stereotype	lemma	level
v	cds	no	morti	inclusive
n	asf	no	vaginito	conservative
n	an	no	lupino	inclusive
n	om	no	gejo	conservative
n	qas	no	bestoselektado	conservative
n	an	no	aegipiinae	inclusive
n	cds	no	zeloto	inclusive
n	pr	no	amĵistino	conservative
n	pa	yes	kalkulisto	inclusive
n	ps	yes	hibrida motoro	inclusive
n	an	no	bovino	inclusive
n	pr	no	aĉulino	conservative
n	cds	no	narcisisma	inclusive
n	an	no	papago	inclusive
n	asm	no	bruno	inclusive
n	cds	no	popolo	conservative
n	ps	yes	ostrogoto	inclusive
n	pa	yes	barbaro	conservative
n	cds	no	fraŭdisto	inclusive
v	asm	no	seksumi	conservative
n	ps	yes	nigruloj	inclusive
n	asf	no	twat	conservative
n	an	no	azenoj	inclusive
n	an	no	porketo	inclusive
n	ps	yes	ostrogotoj	inclusive
n	an	no	tineo	inclusive
a	cds	no	saĝa	inclusive
n	an	no	feko	conservative
n	cds	no	korespondisto	inclusive
n	cds	no	faŝisto	conservative
n	om	no	postaĵo	inclusive
n	svp	no	vanteco	conservative
n	ddp	yes	trompito	conservative
n	ddp	yes	analfabeteco	inclusive
n	an	no	noktopapilio	inclusive
n	cds	no	bestoselektado	conservative
n	cds	no	infano	inclusive
n	or	no	con	conservative
n	cds	no	memamo	conservative
a	dmc	yes	senmorala	inclusive
n	pr	no	putino	conservative
n	re	no	terorismo	inclusive
n	cds	no	bordelo	inclusive
n	qas	no	barbaroj	conservative
n	qas	no	farbisto	inclusive
n	ps	yes	bulgara	inclusive
n	ps	yes	judaismo	inclusive
n	an	no	bovinoj	inclusive
n	dmc	yes	hipokritulo	conservative
n	an	no	publikulino	conservative
a	svp	no	manĝegi	inclusive
n	om	no	samsekseco	inclusive
n	an	no	bos taurus	inclusive
n	ddp	yes	barbaro	conservative
n	an	no	vulpino	inclusive
a	ps	yes	nigra	inclusive
n	ddf	yes	handikapulo	inclusive
n	an	no	hoakso	conservative
n	pa	yes	oficisto	inclusive
n	qas	no	aferisto	inclusive
n	cds	no	infanaĉo	conservative
n	cds	no	malsaĝulo	conservative
n	an	no	capra	inclusive
n	or	no	ordinara fenkolo	inclusive
n	or	no	samseksemulo	conservative
n	pa	yes	kaporalo	inclusive
n	cds	no	mensogo	inclusive
n	om	no	kvira	conservative
n	cds	no	kaoso	inclusive
n	cds	no	fanatikeco	conservative
n	an	no	psitakoformaj birdoj	inclusive
n	ddp	yes	malsaĝulo	conservative
n	ps	yes	bulgaro	inclusive
n	pr	no	Ĉiesulino	inclusive
n	an	no	gipo	inclusive
n	re	no	forrabo	inclusive
n	ps	yes	mongoloj	inclusive
n	an	no	hundino	inclusive
n	cds	no	bufono	inclusive
n	dmc	yes	barbaro	conservative
n	om	no	drag queen	inclusive
n	pa	yes	ŝafisto	inclusive
n	pr	no	ratfelo	inclusive
n	pa	yes	helpoprofesoro	inclusive
n	dmc	yes	hipokrito	conservative
n	cds	no	faŝisma	conservative
n	asm	no	erektiĝo	inclusive
n	cds	no	paŝtataro	inclusive
n	an	no	strigiformes	inclusive
n	dmc	yes	eksterleĝulo	inclusive
n	ps	yes	barbaro	inclusive
n	cds	no	ŝercemulo	inclusive
n	asm	no	idioto	inclusive
n	ps	yes	hibridiĝo	inclusive
n	cds	no	instruisto	inclusive
n	dmc	yes	pario	inclusive
n	pr	no	bruna rato	inclusive
n	or	no	gejo	conservative
v	cds	no	marĉandi	inclusive
n	an	no	helika	inclusive
n	an	no	merdo	conservative
n	cds	no	aro	inclusive
n	cds	no	policistino	conservative
n	dmc	yes	hipokrito qualifier	conservative
n	or	no	napo	inclusive
n	svp	no	naŭzo	inclusive
n	svp	no	indiferenteco	inclusive
n	an	no	krokodiloj	inclusive
n	cds	no	nerdo	conservative
n	re	no	slayer	inclusive
n	cds	no	mafio	inclusive
n	asf	no	cunt	conservative
n	ps	yes	negroj	inclusive
n	dmc	yes	elpelito	inclusive
n	re	no	torturo	inclusive
n	dmc	yes	bufono	inclusive
n	pr	no	bos taurus	inclusive
n	cds	no	klano	inclusive
n	re	no	terora ago	conservative
n	qas	no	agrokulturisto	inclusive
a	re	no	forta	inclusive
n	cds	no	cosa nostra	conservative
n	cds	no	armeo	inclusive
