a	ddp	yes	bruta
n	cds	no	eksterleĝulo
n	an	no	aĉulino
n	an	no	kokri
n	asf	no	twat
n	cds	no	bestoselektado
n	cds	no	memamo
a	svp	no	kruca
n	or	no	kvira
n	asf	no	malsaĝulo
a	ddp	yes	besta
n	ddp	yes	pugtruo
n	cds	no	Ĉedoma rubo
n	pr	no	amovendistino
n	asf	no	vittu
n	pr	no	sinvendisto
n	cds	no	nerdo
n	cds	no	ratido
n	asm	no	kaco
n	dmc	yes	bigoteco
n	pa	yes	barbaroj
n	om	no	gejo
n	an	no	stratulino
n	ps	yes	mestizo
n	asm	no	malsaĝulo
n	cds	no	mafiano
n	svp	no	avarulino
n	ddp	yes	malsaĝeco
n	pr	no	amoristino
n	pr	no	prostituado
n	an	no	malsaĝulo
n	re	no	mafio
n	asf	no	vagino
n	pr	no	ĉiesulino
a	om	no	samseksema
n	asf	no	möse
n	om	no	gejoj
n	pr	no	publikulino
n	rci	yes	barbaroj
n	re	no	mafiano
n	an	no	avarulo
a	cds	no	aroganta
a	an	no	besta
n	ddp	yes	trompito
v	asm	no	seksumi
n	pr	no	amorulino
n	ddp	yes	sensencaĵo
n	svp	no	bigotismo
n	pr	no	amĵistino
n	dmc	yes	komercistaĉo
n	an	no	amorulino
n	cds	no	popolo
n	rci	yes	barbaro
a	svp	no	aroganta
n	an	no	fiulino
n	ps	yes	idioto
n	or	no	piĉo
n	dmc	yes	fraŭdisto
n	dmc	yes	hipokrito
n	dmc	yes	trickster
n	cds	no	policistino
n	cds	no	malsaĝulo
n	pr	no	prostitucio
n	dmc	yes	hipokrito qualifier
n	ps	yes	barbaro
n	an	no	avareco
n	is	yes	avarulino
n	or	no	gejoj
n	cds	no	kriminala
n	qas	no	bestoselektado
n	pr	no	putino
n	dmc	yes	sentaŭgulo
n	cds	no	uzuro
n	re	no	seksperforto
n	ddp	yes	trompato
n	an	no	putino
n	pr	no	stratulino
n	qas	no	mensogo
n	re	no	stupro
n	cds	no	infanaĉo
a	dmc	yes	skandala
n	cds	no	demagogo
n	asf	no	foco
n	re	no	cosa nostra
n	cds	no	vanteco
n	dmc	yes	barbaro
n	cds	no	malkuraĝo
n	pr	no	prostituito
n	dmc	yes	trikstero
n	or	no	twat
n	an	no	prostituino
n	re	no	terora ago
n	svp	no	vanteco
n	cds	no	fraŭdisto
n	or	no	foco
n	an	no	ĉiesulino
n	an	no	merdo
n	dmc	yes	hipokritulo
n	cds	no	faŝismo
a	svp	no	agresa
a	cds	no	demagogia
n	asf	no	vaginito
n	pr	no	prostituo
a	dmc	yes	malfarinda
n	svp	no	avarulo
n	cds	no	bigotismo
n	asf	no	fica
a	svp	no	fiera
n	an	no	kokrito
n	cds	no	faŝisto
a	ddf	yes	malbela
n	ddp	yes	malsaĝulo
n	re	no	misfamigo
n	cds	no	faŝisma
n	dmc	yes	perfidulo
n	ddp	yes	barbaro
n	an	no	avarulino
n	an	no	publikulino
n	re	no	teroristo
v	asm	no	fiki
n	or	no	fotze
n	re	no	seksa perforto
n	re	no	teroraj agoj
n	svp	no	bigoteco
n	cds	no	barbaroj
n	pr	no	aĉulino
n	asf	no	fotze
n	ps	yes	barbaroj
n	pr	no	prostituisto
n	or	no	con
n	is	yes	avarulo
n	cds	no	faŝista
n	re	no	seksatenco
n	cds	no	policano
n	qas	no	vagulo
n	is	yes	avareco
a	svp	no	avara
n	pr	no	Ĉiesulino
n	asf	no	cunt
n	svp	no	fanatikulo
n	ddp	yes	nescio
n	cds	no	barbaro
a	ddp	yes	kredema
a	cds	no	ruza
n	pr	no	ĉiesulino qualifier
n	cds	no	hejma rubo
n	an	no	feko
n	cds	no	komercistaĉo
n	pr	no	prostituino
n	cds	no	policisto
n	cds	no	fanatikeco
n	asf	no	con
n	or	no	vittu
n	svp	no	memamo
n	dmc	yes	hipokriteco qualifier
n	dmc	yes	fetoro
n	cds	no	cosa nostra
n	om	no	kvira
a	ddp	yes	stulta
n	re	no	terorismo
n	dmc	yes	eksterleĝulo
n	dmc	yes	fanatikulo
n	cds	no	krimulo
n	an	no	hoakso
v	asm	no	amori
n	dmc	yes	barbaroj
n	pr	no	fiulino
n	cds	no	mafio
n	or	no	cunt
n	ddp	yes	barbaroj
n	cds	no	demagogio
av	an	no	stulte
n	ps	yes	mongoloida raso
n	cds	no	nimfomanio
n	re	no	Ĉantaĝo
n	cds	no	pekanto
n	dmc	yes	bigotismo
n	cds	no	pedanto
n	ddp	yes	grumblulo
n	cds	no	bubo
n	pa	yes	barbaro
n	svp	no	sentaŭgulo
a	ddp	yes	freneza
n	cds	no	malkuraĝeco
n	qas	no	barbaro
n	om	no	samseksemulo
n	ddp	yes	idioto
n	om	no	pederasto
n	pr	no	prostituitino
n	cds	no	fanatikismo
n	or	no	fica
n	asf	no	piĉo
n	svp	no	avareco
a	ddp	yes	malsaĝa
n	dmc	yes	hipokriteco
a	svp	no	grumblema
n	asf	no	idioto
n	or	no	kviro
n	cds	no	bando
n	cds	no	fanatikulo
n	or	no	möse
n	ps	yes	mestizoj
n	an	no	fekaĵo
n	cds	no	mensogo
n	or	no	samseksemulo
n	cds	no	konformisto
n	cds	no	faŝistoj
n	qas	no	konformisto
a	an	no	bruta
n	qas	no	barbaroj
n	ddp	yes	grumblemulo
n	om	no	tvinko
n	om	no	kviro
n	cds	no	bigoteco
n	or	no	gejo
