id	pos	category	stereotype	lemma	level
EO97	n	ps	yes	nigro	inclusive
EO145	n	dmc	yes	elpelito	inclusive
EO9	n	qas	no	akolito	inclusive
EO165	n	pa	yes	komizo	inclusive
EO224	n	cds	no	filĉjo	inclusive
EO93	n	cds	no	krimulo	conservative
EO78	n	cds	no	mensogo	inclusive
EO69	n	pr	no	prostituitino	conservative
EO317	a	cds	no	ruza	inclusive
EO403	n	pr	no	tineo	inclusive
EO129	n	qas	no	meza klaso	inclusive
EO134	a	ddf	yes	malbona	inclusive
EO88	n	svp	no	bigotismo	conservative
EO580	n	re	no	terorismo	inclusive
EO517	n	or	no	terpomo	inclusive
EO564	n	an	no	hirudoj	inclusive
EO39	n	an	no	malsaĝulo	conservative
EO341	n	ps	yes	judo	inclusive
EO304	n	an	no	caprinae	inclusive
EO38	av	an	no	stulte	conservative
EO343	n	ps	yes	judoj	inclusive
EO548	n	or	no	napo	inclusive
EO619	n	an	no	bovino	inclusive
EO272	n	qas	no	agrokulturisto	inclusive
EO241	a	ddp	yes	kredema	conservative
EO270	n	qas	no	terkultivisto	inclusive
EO87	n	svp	no	fanatikulo	conservative
EO183	n	an	no	kuniklo	inclusive
EO148	n	ddp	yes	idioto	inclusive
EO414	n	cds	no	policano	conservative
EO156	n	re	no	kamoro	inclusive
EO349	n	qas	no	farbisto	inclusive
EO17	n	om	no	peccatum contra naturam	inclusive
EO383	n	asm	no	peniso	inclusive
EO147	n	dmc	yes	ekzilo	inclusive
EO582	n	ddp	yes	grumblulo	conservative
EO125	n	qas	no	burĝo	inclusive
EO87	n	cds	no	fanatikulo	conservative
EO214	n	an	no	krokodiluloj	inclusive
EO483	n	cds	no	narcisismo	inclusive
EO89	n	svp	no	bigoteco	conservative
EO81	n	cds	no	ĥaoso	inclusive
EO561	n	an	no	anuro	inclusive
EO61	n	rci	yes	barbaro	conservative
EO150	n	an	no	fiulino	conservative
EO559	n	an	no	anura	inclusive
EO55	n	cds	no	prostituejo	inclusive
EO299	n	cds	no	provoso	inclusive
EO61	n	pa	yes	barbaro	conservative
EO502	n	cds	no	uzuro	conservative
EO149	n	an	no	aĉulino	conservative
EO400	n	an	no	culicidae	inclusive
EO508	n	an	no	aegipiinae	inclusive
EO479	n	an	no	helika	inclusive
EO440	n	an	no	papagoformaj	inclusive
EO540	a	an	no	besta	conservative
EO588	n	re	no	torturado	inclusive
EO590	n	asm	no	birdoj	inclusive
EO99	n	qas	no	magnato	inclusive
EO84	n	ps	yes	bedueno	inclusive
EO322	n	cds	no	Ŝtelo	inclusive
EO552	n	re	no	homforkapto	inclusive
EO518	v	cds	no	manĝegi	inclusive
EO416	n	re	no	cosa nostra	inclusive
EO364	n	ddf	yes	malkapablo	inclusive
EO419	n	re	no	mafiano	conservative
EO171	n	asm	no	kaco	conservative
EO261	n	qas	no	amatoro	inclusive
EO259	n	qas	no	hundejo	inclusive
EO353	n	svp	no	glutemeco	inclusive
EO73	n	pr	no	amorulino	conservative
EO398	n	ps	yes	mongolino qualifier	inclusive
EO352	n	svp	no	manĝegemo	inclusive
EO381	n	an	no	insekto	inclusive
EO174	n	pa	yes	profesoro	inclusive
EO167	n	an	no	capra	inclusive
EO61	n	ps	yes	barbaro	conservative
EO380	n	an	no	insektoj	inclusive
EO247	n	svp	no	malamego	inclusive
EO294	n	cds	no	faŝisto	conservative
EO551	n	re	no	kidnapo	inclusive
EO367	n	ddp	yes	pugtruo	conservative
EO419	n	cds	no	mafiano	conservative
EO239	n	pr	no	konkubino	inclusive
EO34	n	re	no	stupro	conservative
EO29	n	an	no	besto	inclusive
EO117	n	asm	no	bruna	inclusive
EO487	n	ps	yes	negroj	inclusive
EO191	n	om	no	kvira	conservative
