pos	category	stereotype	lemma	level
n	ps	yes	estúpido	conservative
n	asm	no	cafe	inclusive
n	an	no	animalculum	inclusive
n	an	no	autillo yanqui	inclusive
n	asm	no	pelotas	inclusive
n	cds	no	conventículos	inclusive
n	cds	no	montones	inclusive
n	an	no	ixodidos	inclusive
n	cds	no	blanco	conservative
n	dmc	yes	bárbara	conservative
n	cds	no	gente	conservative
n	cds	no	película	inclusive
n	asf	no	chorradas	conservative
n	an	no	tonto	conservative
n	svp	no	cólera	inclusive
n	om	no	transvestismo	inclusive
n	svp	no	tṛṣna	inclusive
a	cds	no	criminal	inclusive
n	cds	no	majadería	conservative
n	cds	no	teoria de conspiración	inclusive
n	qas	no	necrotrófico	inclusive
n	ps	yes	beduino	inclusive
n	ps	yes	idiotez	conservative
n	ps	yes	retrasada	conservative
n	asm	no	turca	conservative
n	an	no	burro	conservative
n	ps	yes	blancos	inclusive
n	an	no	culex pipiens	inclusive
a	is	yes	tacaño	conservative
a	cds	no	arrogante	conservative
n	cds	no	corresponsalia	inclusive
n	asf	no	baratija	conservative
n	ps	yes	hibridismo	inclusive
n	pa	yes	campesino	inclusive
n	dmc	yes	sneak thief	conservative
n	pr	no	utreras	inclusive
n	ps	yes	rommany	inclusive
n	svp	no	tajadero	conservative
n	asm	no	maxilípedo	inclusive
n	an	no	barnacla	inclusive
n	om	no	puto	inclusive
n	asf	no	panocha	conservative
a	pa	yes	teórica	inclusive
n	svp	no	voluptuosa	inclusive
n	qas	no	ectoparásitos	inclusive
n	om	no	pederasta	conservative
n	an	no	yacaré	inclusive
n	cds	no	caos	inclusive
n	pa	yes	funerario	inclusive
a	ddp	yes	insípido	inclusive
n	cds	no	cabecilla	inclusive
n	an	no	gallo	inclusive
n	an	no	fauna	inclusive
n	pr	no	heterocera	inclusive
n	cds	no	zelotes	inclusive
n	ps	yes	china	inclusive
n	ddp	yes	incapaz	conservative
n	ddf	yes	enano	conservative
n	an	no	psitaciforme	inclusive
n	pr	no	bueyes	inclusive
n	cds	no	bastardo	conservative
n	cds	no	culchie	inclusive
a	cds	no	astuto	conservative
n	cds	no	pp	inclusive
n	pa	yes	contador	inclusive
n	om	no	mariquita	conservative
n	or	no	sativus	inclusive
n	an	no	acaparador	conservative
n	cds	no	segundo evaluador	conservative
n	re	no	muerte	inclusive
n	or	no	bonetillos	inclusive
n	or	no	pepino	inclusive
n	cds	no	bicho	conservative
n	cds	no	proxeneta	conservative
n	cds	no	bandidaje	inclusive
n	pr	no	becerra	inclusive
n	dmc	yes	transgresor	inclusive
n	cds	no	peones	inclusive
n	cds	no	teoria conspiratoria	inclusive
n	cds	no	idolatria	inclusive
n	or	no	pluma	conservative
n	svp	no	niggardliness	conservative
n	svp	no	avariento	inclusive
a	om	no	anómalo	inclusive
n	or	no	cenoyo	inclusive
n	svp	no	parsimonia	conservative
n	an	no	branta bernicla	inclusive
n	cds	no	hablar de nuevo	inclusive
n	svp	no	vago	inclusive
n	an	no	buitre	conservative
n	dmc	yes	scattergood	inclusive
n	an	no	bovinos domésticos	inclusive
n	asf	no	tía	conservative
n	cds	no	cruce	inclusive
n	ddp	yes	imbecilidad	inclusive
n	ddp	yes	animales	inclusive
n	cds	no	casa de citas	inclusive
n	cds	no	hurto	inclusive
v	qas	no	maquillar	inclusive
n	an	no	blattaria	inclusive
n	cds	no	bungle	inclusive
n	ddf	yes	jorobado	inclusive
n	an	no	fisonomía	inclusive
n	asm	no	pito	inclusive
n	an	no	becerra	inclusive
n	ps	yes	judaísmo	inclusive
n	re	no	transgresor	inclusive
n	an	no	escorpiones de mar	inclusive
n	cds	no	préstamos de dinero	inclusive
n	svp	no	abúlico	inclusive
n	cds	no	rebaño	inclusive
n	cds	no	cotilleos	inclusive
n	dmc	yes	buena-para-nada	conservative
n	re	no	terrorista	conservative
n	dmc	yes	vagabundos	conservative
n	svp	no	airados	inclusive
n	an	no	bos taurus	inclusive
n	qas	no	casucha	inclusive
n	ddp	yes	bastardo	conservative
n	cds	no	presionante	conservative
n	an	no	esponja	conservative
n	an	no	gul	inclusive
a	is	yes	avara	conservative
n	re	no	villana	conservative
n	ps	yes	bárbaro	conservative
n	cds	no	lowlife	conservative
