id	pos	category	stereotype	lemma	level
ES3680	n	or	no	brassica campestris ssp. rapa	inclusive
ES241	n	or	no	sesera	inclusive
ES3699	n	re	no	privación ilegítima de la libertad	inclusive
ES573	n	dmc	yes	trolero	conservative
ES354	n	cds	no	lupanar	inclusive
ES3824	n	an	no	aureus	inclusive
ES2661	n	dmc	yes	tramposo	conservative
ES792	n	ddp	yes	zoofilia	conservative
ES1606	n	cds	no	demagogica	conservative
ES1331	n	an	no	rostro	inclusive
ES2303	n	cds	no	curioso	conservative
ES2847	n	cds	no	aseo	inclusive
ES379	a	dmc	yes	avaro	conservative
ES830	n	pr	no	bos primigenius	inclusive
ES1902	n	dmc	yes	pasar-todo	inclusive
ES1088	n	cds	no	defraudador	inclusive
ES1717	n	om	no	términos anatómicos de localización	inclusive
ES3250	n	cds	no	adicciones sexuales	conservative
ES396	n	ddp	yes	barbarie	inclusive
ES1157	n	an	no	raunch	conservative
ES172	n	cds	no	zelotas	inclusive
ES1814	n	ddf	yes	enano	conservative
ES466	n	asf	no	tacto suave	conservative
ES385	n	re	no	bandido	inclusive
ES50	n	cds	no	corredores	inclusive
ES615	n	dmc	yes	pícaro	conservative
ES936	n	svp	no	vanagloria	conservative
ES2125	n	cds	no	masónica	inclusive
ES2073	n	pa	yes	pescadero	inclusive
ES4063	n	cds	no	conspiranoia	inclusive
ES1383	n	svp	no	tṛsnā	inclusive
ES718	n	pa	yes	funerario	inclusive
ES451	n	qas	no	barroquismo	inclusive
ES1836	n	re	no	delinquimiento	inclusive
ES275	n	an	no	persona sin educación	conservative
ES818	n	an	no	ternero	inclusive
ES2848	n	cds	no	servicio	inclusive
ES1313	n	om	no	1069bf	conservative
ES776	n	cds	no	pelotudo	conservative
ES3451	n	cds	no	pedantería	conservative
ES1340	n	cds	no	cobardia	conservative
ES245	n	an	no	disparate	conservative
ES3008	a	dmc	yes	inicuo	conservative
ES3689	n	re	no	secuestro	inclusive
ES256	n	asm	no	imbécil	inclusive
ES1457	n	an	no	jacaré	inclusive
ES324	n	svp	no	amarrete	conservative
ES1464	n	an	no	crocodilo	inclusive
ES439	n	pa	yes	licenciado en derecho	inclusive
ES146	n	an	no	jerigonza	conservative
ES4107	n	ps	yes	gitano	inclusive
ES3316	n	cds	no	homúnculos	inclusive
ES538	n	cds	no	embuste	inclusive
ES1090	n	an	no	variopinto y globitos	conservative
ES655	n	cds	no	travieso	conservative
ES1152	n	qas	no	emborracharse	inclusive
ES654	n	cds	no	diablura	conservative
ES708	n	cds	no	ilegítimo	inclusive
ES1330	n	an	no	fisiognómico	inclusive
ES1686	n	svp	no	aversión	inclusive
ES940	n	svp	no	soberbia	inclusive
ES2025	n	or	no	cañiguera	inclusive
ES2685	a	dmc	yes	descortés	conservative
ES481	n	ddp	yes	pasmarote	conservative
ES487	n	ddp	yes	badulaque	conservative
ES3750	a	cds	no	fascista	inclusive
ES837	n	pr	no	becerras	inclusive
ES1091	n	an	no	gentuza	conservative
ES363	n	asm	no	ballock	inclusive
ES3308	n	re	no	matanza	inclusive
ES2907	n	cds	no	nerdo	conservative
ES262	n	ddp	yes	tonto	inclusive
ES1131	n	an	no	caprinos	inclusive
ES402	a	svp	no	ansioso	inclusive
ES2482	n	ps	yes	judio	inclusive
ES1618	n	pr	no	concubina	inclusive
ES1750	n	om	no	posas	inclusive
ES2095	n	dmc	yes	motley fool	inclusive
ES373	n	qas	no	testicular	inclusive
ES772	n	dmc	yes	tarado	conservative
ES3192	n	cds	no	narcisista	inclusive
ES727	n	qas	no	chapucería	inclusive
ES970	n	svp	no	ocioso	conservative
ES2416	n	re	no	presa	inclusive
ES937	n	cds	no	altivez	conservative
ES257	n	an	no	bobo	conservative
ES496	n	pr	no	zorra	conservative
ES3711	n	re	no	robar	inclusive
ES4215	n	cds	no	facho	conservative
ES3448	v	qas	no	maquillarse qualifier	inclusive
ES1612	n	pr	no	amante	inclusive
ES1722	n	om	no	aboral	inclusive
ES2767	v	cds	no	maquinar	inclusive
ES2845	n	cds	no	lavabo público	inclusive
ES2861	n	an	no	mollusca	inclusive
ES1653	n	re	no	delito	inclusive
ES2849	n	cds	no	water	inclusive
ES1743	n	om	no	apical	inclusive
ES443	n	qas	no	barones	inclusive
ES2014	n	or	no	foeniculum	inclusive
ES3013	n	asm	no	guisantes	inclusive
ES1448	n	an	no	crocodilido	inclusive
ES1094	n	an	no	canino	inclusive
ES3492	n	cds	no	rezongante	conservative
ES2532	n	qas	no	limpieza	inclusive
ES3926	n	re	no	terrorist	inclusive
ES1105	n	om	no	pederasta	inclusive
ES1350	n	ddp	yes	charlatan	conservative
ES146	n	asf	no	jerigonza	conservative
ES933	n	cds	no	jactancia	conservative
ES3695	n	re	no	secuestra	inclusive
ES1893	a	is	yes	triste	conservative
ES2914	n	cds	no	mateo	conservative
ES218	n	ddp	yes	criatura	inclusive
ES223	n	an	no	ser animado	inclusive
ES3260	n	cds	no	satiriasis	conservative
ES3145	n	asm	no	pero se puede saber que cono estás haciendo?	conservative
ES1695	n	svp	no	repugnancia	inclusive
ES579	n	pa	yes	fajin	inclusive
ES442	n	an	no	perro	conservative
ES469	n	or	no	mastuerzo	conservative
ES398	n	cds	no	barbaros	conservative
ES2276	a	dmc	yes	maloliente	conservative
ES4114	n	an	no	bruja	conservative
ES2314	n	svp	no	buena-para-nada	conservative
ES1479	n	cds	no	mejoramiento vegetal	inclusive
ES2208	n	asm	no	vicia esculenta	inclusive
ES2161	n	an	no	rabia	inclusive
ES2045	n	om	no	fioyo	inclusive
ES1362	n	cds	no	chatarra	inclusive
ES3468	v	cds	no	garrapatear	inclusive
ES400	n	ps	yes	bárbaros	conservative
ES651	n	cds	no	travesura	conservative
ES3218	n	ps	yes	latinos	inclusive
ES567	n	cds	no	beguine	inclusive
ES405	n	ddp	yes	barbaridad	inclusive
ES604	n	cds	no	gang	inclusive
ES3457	v	qas	no	parchear	inclusive
ES2319	n	cds	no	ultraconservadora	conservative
ES552	n	cds	no	patas turvydom	inclusive
ES3593	n	an	no	poulet	inclusive
ES557	n	ps	yes	beduino	inclusive
ES397	n	ddp	yes	salvaje	conservative
ES3479	n	cds	no	habladurías	inclusive
ES1441	n	an	no	cocodrilos	inclusive
ES3115	n	ddp	yes	tontorrona	conservative
ES1360	n	qas	no	residuo metálico	inclusive
ES4059	n	cds	no	teorico conspiratorio	inclusive
ES3340	n	ps	yes	vandalos	inclusive
ES3038	n	cds	no	cachorro	conservative
ES2527	n	qas	no	pintura	inclusive
ES2535	n	qas	no	chabola	inclusive
ES1122	n	cds	no	tribales	inclusive
ES4127	n	svp	no	intransigentes	inclusive
ES730	n	qas	no	garrafal	inclusive
ES388	n	cds	no	bandidismo organizado	inclusive
ES3909	n	re	no	agresiones sexuales	inclusive
ES3158	n	ddp	yes	menso	conservative
ES3254	n	cds	no	adiccion al sexo	conservative
ES3343	n	ps	yes	vándalos	inclusive
ES343	n	cds	no	deportivo casa	inclusive
ES654	n	cds	no	diablura	inclusive
ES2295	n	cds	no	seductor	inclusive
ES1925	n	cds	no	pandar	inclusive
ES3004	n	dmc	yes	malignidad	inclusive
ES1834	n	cds	no	crímen	inclusive
ES958	n	cds	no	conque	conservative
ES3649	n	pr	no	mujer fácil	conservative
ES3348	n	cds	no	ponzoña	conservative
ES2234	n	asm	no	habuca	inclusive
ES4022	n	cds	no	pozo de tormentas	inclusive
ES392	n	rci	yes	bárbara	conservative
ES1983	n	om	no	fenículo	inclusive
ES398	n	ps	yes	barbaros	conservative
ES3742	a	ddf	yes	decepcionante	conservative
ES77	n	asm	no	idiotez	inclusive
ES3285	n	cds	no	omertá	inclusive
ES955	n	cds	no	git	conservative
ES1432	n	qas	no	equipo	inclusive
ES2485	n	ps	yes	judíos	inclusive
ES1172	n	asm	no	cipote	conservative
ES1644	n	ps	yes	destructor	conservative
ES582	n	pa	yes	mozo	inclusive
ES502	n	pr	no	puta	inclusive
ES3082	n	an	no	tiburones	inclusive
ES1648	n	cds	no	delitos	inclusive
ES2053	n	dmc	yes	peste	conservative
ES2650	n	cds	no	maestro	inclusive
ES300	n	is	yes	avaricia	conservative
ES456	n	cds	no	blackballing	inclusive
ES4014	n	asm	no	pajaros	inclusive
ES2815	n	re	no	cuatrero	inclusive
ES881	n	qas	no	empresarios	inclusive
ES956	n	is	yes	sinvergüenza	conservative
ES550	n	cds	no	dandies	inclusive
ES607	n	is	yes	villano	conservative
ES3767	n	an	no	mesobatrachia	inclusive
ES2173	n	dmc	yes	petardista	conservative
ES2557	n	cds	no	crooning	inclusive
ES813	n	pr	no	ternera	inclusive
ES249	n	asm	no	insensatez	conservative
ES4140	n	cds	no	mísero	conservative
ES1440	n	an	no	cocodrilo	inclusive
ES521	n	pr	no	callejera	conservative
ES4194	n	ps	yes	gitanismo	inclusive
ES1560	n	or	no	totanera	inclusive
ES1053	n	asm	no	retrasada	inclusive
ES3834	a	ps	yes	judaico	inclusive
ES1473	n	ps	yes	cruce	inclusive
ES2672	n	dmc	yes	pseudo	conservative
ES2450	n	om	no	homosexualidad	inclusive
ES1671	n	ps	yes	krauthead	conservative
ES1946	n	is	yes	marginal	inclusive
ES722	n	dmc	yes	libertino	conservative
ES2539	n	qas	no	choza	inclusive
ES1002	n	ddp	yes	preso	inclusive
ES2797	n	svp	no	enfadado	inclusive
ES459	n	cds	no	vetado	inclusive
ES1105	n	om	no	pederasta	conservative
ES1837	n	pa	yes	trabajador	inclusive
ES817	n	pr	no	toro	inclusive
ES1491	n	cds	no	muchacho	inclusive
ES1352	n	ddp	yes	curandería	conservative
ES113	n	cds	no	haragán	conservative
ES128	n	cds	no	broma	inclusive
ES3149	n	asm	no	pero se puede saber qué cono estás haciendo?	conservative
ES1162	n	asm	no	pilila	inclusive
ES408	n	qas	no	comerciante	inclusive
