pos	category	stereotype	lemma	level
n	cds	no	vahelesegaja	conservative
n	ps	yes	idagoodid	inclusive
n	pr	no	biston betularia	inclusive
n	qas	no	minna-purustama	inclusive
n	an	no	tagaosaga	conservative
n	asf	no	otu	conservative
n	cds	no	bordellid	inclusive
n	cds	no	fašism	conservative
n	asm	no	suguti	inclusive
n	svp	no	tahtenõrkusest	inclusive
n	asm	no	kala	inclusive
n	qas	no	äri suurärimees	inclusive
n	cds	no	culchie	inclusive
n	an	no	euroopa kärnkonn	inclusive
n	ddp	yes	barbaarse	conservative
n	cds	no	hankides	inclusive
n	cds	no	nuhkima	conservative
n	qas	no	vassija	conservative
n	dmc	yes	mafiooso	inclusive
n	qas	no	maja värvimine	inclusive
n	an	no	kitse antiloop	inclusive
n	pr	no	prostituut	conservative
n	svp	no	conceitedness	conservative
n	ps	yes	molu	conservative
n	re	no	seksuaalkuritegudes	inclusive
n	dmc	yes	nurjatu	conservative
n	an	no	diddly-kükk	conservative
n	cds	no	vandenõu teoreetik	inclusive
n	ddp	yes	idiootsus	inclusive
n	asm	no	narr	conservative
n	qas	no	granger	inclusive
a	ps	yes	hiina	inclusive
n	cds	no	gossipmonger	conservative
n	asf	no	pölkkypää	conservative
n	pr	no	prostituudid	conservative
n	an	no	animalculum	inclusive
n	re	no	vägivald	inclusive
n	ps	yes	sordiaretuse	inclusive
n	an	no	culex pipiens	inclusive
n	qas	no	blooper reel	inclusive
n	qas	no	blooper	inclusive
n	asm	no	munand	inclusive
n	is	yes	sotsiaalne heidik	inclusive
n	cds	no	strikebreakers	inclusive
n	pr	no	kari	inclusive
n	cds	no	kirg	inclusive
n	cds	no	rahvas	inclusive
n	pr	no	crack hoor	conservative
n	re	no	gangsterid	inclusive
n	re	no	väljapressimine	inclusive
n	re	no	korrumpeerumine	inclusive
n	cds	no	intergeneric hübriid	inclusive
n	pa	yes	akadeemiline	inclusive
n	ps	yes	neeger	conservative
n	ddp	yes	twirp	conservative
n	cds	no	maanteeröövel	conservative
n	dmc	yes	dissimulator	conservative
n	cds	no	autorämä	inclusive
n	cds	no	vandenõu teooria	inclusive
n	svp	no	laiskus	conservative
n	cds	no	puzzler	conservative
n	an	no	moskiito	inclusive
n	cds	no	ristandi	inclusive
n	cds	no	kosjasobitaja	inclusive
n	ps	yes	vandal	inclusive
n	an	no	küülikud	inclusive
n	re	no	vägistajad	conservative
n	dmc	yes	maamats	conservative
n	pr	no	lehm	conservative
n	an	no	pukki	inclusive
n	pa	yes	isiklik tool	inclusive
n	cds	no	kuritegevuse isand	inclusive
n	pr	no	lõbutüdruk	conservative
n	re	no	kaubandus laimu	inclusive
n	an	no	fauna	inclusive
n	svp	no	fanaatik	conservative
n	cds	no	laps	inclusive
n	re	no	viivitus	inclusive
n	asm	no	põldherned	inclusive
n	dmc	yes	saast kott	conservative
n	pa	yes	jesuiitide	inclusive
n	is	yes	vaesuse määr	inclusive
n	re	no	valesüüdistusi	inclusive
n	qas	no	parunid	inclusive
n	or	no	vitt	conservative
n	asm	no	betise	conservative
n	om	no	perse	inclusive
n	cds	no	fundamentalist	inclusive
n	dmc	yes	trikster	conservative
n	cds	no	värdjas	conservative
n	cds	no	hulljulge roimar	inclusive
n	qas	no	amatöörid	inclusive
n	an	no	kutsu	inclusive
n	cds	no	patuoinast	conservative
n	pr	no	lehmad	inclusive
n	cds	no	hasartmängude kasiino	inclusive
n	asf	no	debiilsus	conservative
n	dmc	yes	lurjus	conservative
n	or	no	põlenud oranž	inclusive
n	qas	no	vaimne liider	inclusive
n	cds	no	'ndrangheta	inclusive
n	om	no	homoseksuaalsed mehed	inclusive
n	an	no	asjatundmatu	conservative
n	cds	no	vabamüürlus	inclusive
n	is	yes	vaene	inclusive
n	ddp	yes	lollus puha	inclusive
n	svp	no	niggardliness	conservative
n	ddp	yes	loomade paljunemine	inclusive
n	or	no	sitapea	conservative
n	an	no	madu rohus	conservative
n	svp	no	avariciousness	inclusive
n	pa	yes	advocator	inclusive
n	an	no	pelias schoettleri	inclusive
n	svp	no	ihnuskoi	conservative
n	re	no	röövijad	inclusive
n	an	no	caprinae	inclusive
n	an	no	limused	inclusive
n	ddp	yes	pudden peaga	conservative
n	asm	no	kopulatsioonielund	inclusive
n	dmc	yes	scattergood	inclusive
n	ps	yes	mustlaste täielik hävitamine eestis	inclusive
n	cds	no	koormused	inclusive
n	pr	no	räbu	conservative
n	svp	no	dillydallier	conservative
