id	pos	category	stereotype	lemma	level
ET815	n	asm	no	twirp	conservative
ET290	n	pr	no	üüri poiss	conservative
ET733	n	or	no	dus	conservative
ET931	n	cds	no	odav jubedusjutt	inclusive
ET69	n	cds	no	farrago	inclusive
ET341	n	dmc	yes	lindpriius	inclusive
ET2115	n	re	no	seksuaalselt rünnatud	inclusive
ET1711	n	asm	no	jeerer	conservative
ET872	n	cds	no	välja praakima	conservative
ET1533	n	svp	no	logard	conservative
ET274	n	an	no	prostituut	conservative
ET920	n	re	no	kurjategijad	inclusive
ET256	n	ddp	yes	tagaosaga	conservative
ET276	n	pr	no	lõbumajapidaja	conservative
ET975	n	om	no	tooshie	inclusive
ET141	n	asf	no	saphead	conservative
ET1250	n	an	no	hanetibu	inclusive
ET154	n	an	no	lunkhead	conservative
ET77	n	asm	no	derivaadid	inclusive
ET2127	n	ddp	yes	äkämys	conservative
ET141	n	asm	no	saphead	conservative
ET721	n	an	no	küülikud	inclusive
ET2145	n	pr	no	biston betularius	inclusive
ET957	n	om	no	külgmised	inclusive
ET869	n	or	no	cucurbita maxima	inclusive
ET1169	n	cds	no	fundamentalistid	inclusive
ET1258	n	an	no	kodusiga	inclusive
ET1738	n	cds	no	nartsissism	inclusive
ET740	n	om	no	gei	inclusive
ET1447	n	cds	no	valetamine	inclusive
ET1134	n	cds	no	soppa	inclusive
ET347	n	an	no	sokk	inclusive
ET44	n	ddp	yes	vaimupuue	inclusive
ET267	n	an	no	loru	inclusive
ET1005	n	cds	no	alaealise õigusrikkujaga	conservative
ET2230	n	an	no	latastea	inclusive
ET133	n	cds	no	nutikus	inclusive
ET1982	n	re	no	röövida	inclusive
ET824	n	an	no	crocodilians	inclusive
ET60	n	om	no	anaalse sissetungimise	inclusive
ET1470	n	cds	no	backtalk	inclusive
ET675	n	cds	no	rahulolu	inclusive
ET1518	n	cds	no	pesuruum	inclusive
ET1120	n	dmc	yes	foetor	conservative
ET1052	n	qas	no	amatöörid	inclusive
ET137	n	ddp	yes	betise	conservative
ET523	n	is	yes	kaabakas	conservative
ET1116	n	dmc	yes	malodor	conservative
ET671	n	cds	no	ballup	inclusive
ET523	n	cds	no	kaabakas	conservative
ET1346	n	svp	no	overeating	inclusive
ET604	n	qas	no	kombineeritud kogudus	conservative
ET1164	n	cds	no	fundamentalism	inclusive
ET1963	a	ps	yes	hiina	inclusive
ET1417	n	cds	no	koolmeister	inclusive
ET972	n	om	no	tagumik	inclusive
ET384	n	an	no	jobu	inclusive
ET1990	n	re	no	relvastatud rööve	inclusive
ET668	n	qas	no	lihtinimene	inclusive
ET524	n	dmc	yes	nurjatu	conservative
ET1746	n	ps	yes	nigra	conservative
ET430	n	an	no	keha snatchers	inclusive
ET906	n	an	no	despoiler	inclusive
ET2211	n	pr	no	õukondlased	inclusive
ET1487	n	asm	no	noku	inclusive
ET296	n	dmc	yes	vale	inclusive
ET729	n	cds	no	ajakirjanik	inclusive
ET475	n	qas	no	ärimees	inclusive
ET605	n	ddp	yes	kaabakad	conservative
ET1736	n	dmc	yes	näss	conservative
ET1582	n	cds	no	cosa nostra	inclusive
ET253	n	cds	no	bas bleu	inclusive
ET1087	n	cds	no	parittaja	conservative
ET324	n	dmc	yes	fanaatiline	conservative
ET1767	n	ps	yes	negroid	inclusive
ET1445	n	dmc	yes	prevaricator	conservative
ET1498	n	ddp	yes	vaimne puudulikkus	inclusive
ET1483	n	asm	no	suguti	inclusive
ET536	n	an	no	magu	inclusive
ET385	n	cds	no	värdjas	inclusive
ET1873	n	qas	no	pahandus tegija	conservative
ET880	n	om	no	dame	inclusive
ET1182	n	cds	no	fašism	conservative
ET1396	n	is	yes	vähekindlustatud	inclusive
ET1110	n	om	no	finocchio	inclusive
ET1693	n	an	no	animalculum	inclusive
ET256	n	asm	no	tagaosaga	conservative
ET1449	n	re	no	neonaticide	inclusive
ET2146	n	pr	no	kase-kedrikvaksik	inclusive
ET145	n	asf	no	tembutama	conservative
ET1998	n	re	no	stickup	inclusive
ET881	n	cds	no	dastardliness	conservative
ET104	n	an	no	angerjaid	inclusive
ET1879	n	or	no	solanum tuberosum	inclusive
ET982	n	om	no	anatoomilised asenditähistused	inclusive
ET1840	n	cds	no	liigkasuvõtt	inclusive
ET725	n	pa	yes	kapral	inclusive
ET1542	n	an	no	limused	inclusive
ET534	a	ddf	yes	halb	inclusive
ET30	n	pa	yes	teadlased	inclusive
ET257	n	asf	no	patuoinast	conservative
ET2114	n	re	no	seksuaalkuritegu	inclusive
ET283	n	an	no	üüri poisid	conservative
ET1734	n	re	no	stealer	inclusive
ET1452	a	is	yes	õnnetu	inclusive
ET109	n	an	no	loomastik	inclusive
ET310	n	ps	yes	beduiini	inclusive
ET2125	n	re	no	terroriakt	conservative
ET73	n	qas	no	minna-purustama	inclusive
ET363	n	qas	no	laevandus magnaat	inclusive
ET2167	n	asm	no	linnud	inclusive
ET344	n	cds	no	kurjategija	conservative
ET953	n	dmc	yes	silmakirjalik	conservative
ET1283	n	qas	no	norkoilija	conservative
ET1405	n	ddp	yes	ignorantsus	conservative
ET1451	a	is	yes	kahetsusväärne	inclusive
ET1183	n	cds	no	fašismi	conservative
ET568	n	cds	no	imbetsill	inclusive
ET455	n	an	no	kari	inclusive
ET2219	n	an	no	tzarevcsya	inclusive
ET1948	n	an	no	kana	inclusive
ET604	n	cds	no	kombineeritud kogudus	conservative
ET1150	n	cds	no	tasuta ja aktsepteeritud masons	inclusive
ET949	n	dmc	yes	võlts	conservative
ET1318	n	ps	yes	judaic	inclusive
ET1010	n	cds	no	tonni	inclusive
ET118	n	an	no	olend	inclusive
ET599	n	dmc	yes	pettur	conservative
ET736	n	om	no	gay	inclusive
ET438	n	ddp	yes	loomalikkus	conservative
ET139	n	ddp	yes	tobu	conservative
ET1151	n	cds	no	massoonlus	inclusive
ET1167	n	cds	no	fundamentalistlike	inclusive
ET153	n	an	no	puupea	conservative
ET1277	n	cds	no	vargapoisilikku	inclusive
ET770	n	an	no	cimicidae	inclusive
ET1281	n	re	no	rüüstama	inclusive
ET1567	n	cds	no	nerd	conservative
ET1708	n	pa	yes	karjane	inclusive
ET1022	n	cds	no	työmies	inclusive
ET1991	n	re	no	röövitud	inclusive
ET255	n	ddp	yes	tahtejõuetud	conservative
ET1352	n	qas	no	kuur	inclusive
ET76	n	cds	no	gallimaufry	inclusive
ET2033	v	re	no	varastama	inclusive
ET781	n	an	no	hemipteran	inclusive
ET1060	n	an	no	eurypterid	inclusive
ET1359	n	an	no	hyaenidae	inclusive
ET2271	n	dmc	yes	reetur	conservative
ET1240	n	cds	no	äärmuslik parempoolne	conservative
ET217	n	qas	no	kaupmees	inclusive
ET179	n	cds	no	bordell	inclusive
ET876	n	cds	no	praktiline jokker	conservative
ET1860	n	qas	no	kohtades	conservative
ET1641	n	an	no	shoat	inclusive
ET557	n	cds	no	loomakorjus	inclusive
ET246	n	qas	no	baroqueness	inclusive
ET107	n	ddp	yes	loomariik	inclusive
ET895	n	pr	no	kurtisaan	inclusive
ET526	n	cds	no	villainess	conservative
ET1047	n	qas	no	sciolist	conservative
ET285	n	pr	no	floozie	conservative
ET385	n	ddp	yes	värdjas	conservative
ET1638	n	asm	no	hernestega	inclusive
ET987	n	om	no	anatoomikumis vastavalt asukohale	inclusive
ET2057	n	dmc	yes	tossike	conservative
ET714	n	asm	no	nookie	conservative
ET492	n	qas	no	kirjoitustyö	inclusive
ET2168	n	asm	no	avafauna	inclusive
ET1472	n	cds	no	tagasi rääkima	inclusive
ET439	n	an	no	tigedus	conservative
ET1552	n	an	no	mosquitoe	inclusive
ET2028	n	an	no	päriskonnalised	inclusive
ET1534	n	svp	no	slackers	conservative
ET1761	n	ps	yes	mustanahaline	inclusive
ET211	n	dmc	yes	barbarid	conservative
ET1957	n	cds	no	imiku	inclusive
ET304	n	cds	no	kaos	inclusive
ET2099	n	re	no	looper	conservative
ET916	n	cds	no	kuritegu	inclusive
ET1800	n	an	no	sepelhanhi	inclusive
ET1460	n	cds	no	laenuandjad	conservative
ET1781	n	cds	no	hypersexual	conservative
ET1644	n	pa	yes	sealiha lihunik	inclusive
ET1256	n	an	no	siga	inclusive
ET2161	n	pr	no	hetaera	inclusive
ET126	n	re	no	vägistas	conservative
ET1792	n	qas	no	rendikoht	inclusive
ET1838	n	cds	no	liiakasuvõtmine	conservative
ET2010	n	cds	no	lömitaja	conservative
ET1629	n	dmc	yes	evilness	inclusive
ET1276	n	re	no	vargus	inclusive
ET687	n	pa	yes	professor	inclusive
ET541	n	cds	no	sisemise ringi	inclusive
ET1645	n	cds	no	prankishness	inclusive
ET560	n	is	yes	paaria	inclusive
ET211	n	ddp	yes	barbarid	conservative
ET205	n	dmc	yes	bandiit	conservative
ET2026	n	an	no	frogspawn	inclusive
ET1791	n	qas	no	rentnik	inclusive
ET1034	n	cds	no	munapea	inclusive
ET524	n	re	no	nurjatu	conservative
ET1136	n	an	no	kirp	inclusive
ET1413	n	cds	no	suurejoonelisus	conservative
ET1595	n	an	no	kriiskama-öökull	inclusive
ET995	n	svp	no	gourmandizer	inclusive
ET1336	n	cds	no	massid	conservative
ET572	n	asm	no	idiotism	inclusive
ET1244	v	asm	no	seksima	conservative
ET666	n	qas	no	lihtrahvast	inclusive
ET1616	n	qas	no	parasiteerivad	inclusive
ET2209	n	cds	no	argpükslik	conservative
