pos	category	stereotype	lemma	level
n	cds	no	azerikeria	inclusive
n	dmc	yes	intolerante	conservative
n	pa	yes	jesuita	inclusive
n	ddp	yes	atzeratasun	inclusive
n	cds	no	demagogiko	conservative
n	cds	no	nartzisismo	inclusive
n	dmc	yes	hats	conservative
v	an	no	arrantza egin	inclusive
n	ps	yes	judua	inclusive
n	or	no	gazta	inclusive
n	asm	no	barrabil	inclusive
n	dmc	yes	bidelapur	conservative
n	qas	no	nahaspila	inclusive
n	cds	no	artalde	inclusive
n	cds	no	gigolo	inclusive
n	ddp	yes	kabroi	conservative
n	dmc	yes	txaiote	inclusive
n	cds	no	iruzur	inclusive
n	re	no	bilau	conservative
n	cds	no	harroputz	conservative
n	an	no	tonto	conservative
n	cds	no	inboluzionista	conservative
n	svp	no	moteltasun	inclusive
n	svp	no	haserre	inclusive
n	cds	no	metal-hondakin	conservative
n	cds	no	alproja	conservative
n	dmc	yes	iruzur	conservative
n	cds	no	sasiko	inclusive
n	qas	no	bizkarroi	conservative
n	om	no	atzelari	conservative
n	cds	no	aberats berri	inclusive
n	ddp	yes	eskolagabe	inclusive
n	pa	yes	legegizon	inclusive
n	re	no	kalumnia	conservative
n	cds	no	lapur	inclusive
n	ps	yes	beduino	inclusive
n	asm	no	baba	inclusive
n	ddp	yes	sasimediku	conservative
n	qas	no	kaskarro	conservative
n	pa	yes	astakilo	conservative
n	cds	no	ozar	conservative
n	dmc	yes	morala	inclusive
n	pr	no	ohaide	inclusive
n	om	no	homosexualitatea	inclusive
n	an	no	txakur	inclusive
n	re	no	gehiegikeria	inclusive
n	asf	no	tentelkeria	conservative
n	cds	no	kardinal	inclusive
n	asf	no	pello	conservative
n	cds	no	egoismo	conservative
n	cds	no	estolda	inclusive
n	cds	no	gezur	conservative
n	dmc	yes	engainu	conservative
n	cds	no	bufoi	inclusive
n	ddp	yes	analfabetismoa	inclusive
n	ps	yes	judaismo	inclusive
n	an	no	megascops asio	inclusive
n	ps	yes	oies	conservative
n	cds	no	zakar	inclusive
n	cds	no	hezitzaile	inclusive
n	cds	no	barrabas	inclusive
n	an	no	urde	inclusive
n	ddf	yes	elbarri	inclusive
n	ps	yes	basapizti	conservative
n	ddp	yes	kirten	inclusive
n	ddp	yes	salatari	conservative
n	qas	no	txaplata	conservative
a	om	no	anomalo	inclusive
n	an	no	zaldi ziztrin	inclusive
n	cds	no	framazon	inclusive
n	cds	no	faxista	conservative
n	cds	no	lobby	inclusive
n	cds	no	nahaspila	inclusive
n	svp	no	hantuste	inclusive
n	ps	yes	zulu	inclusive
n	pa	yes	mandatugile	inclusive
n	svp	no	alferkeria	conservative
n	dmc	yes	akfer	conservative
v	an	no	uluka ari izan	inclusive
n	asm	no	inozo	inclusive
n	re	no	ebasketa	inclusive
n	ddf	yes	elbarritasun	inclusive
n	qas	no	baldar	conservative
n	pr	no	sexu lan	conservative
n	asm	no	txantxa	inclusive
n	an	no	fauna	inclusive
n	pr	no	heterocera	inclusive
n	pr	no	behi	inclusive
n	cds	no	abeslari	inclusive
n	ddp	yes	kaiku	conservative
n	re	no	min emaile	inclusive
n	pa	yes	irakasle	inclusive
n	re	no	harrapakin	inclusive
n	an	no	zerri	conservative
n	cds	no	alu	conservative
n	cds	no	esamesa	inclusive
n	an	no	aker	inclusive
n	cds	no	mordo	inclusive
n	pa	yes	unibertsitate-irakasle	inclusive
n	svp	no	tripontzi	inclusive
n	or	no	pepino	inclusive
n	dmc	yes	gezur	inclusive
n	cds	no	berriketa	inclusive
n	rci	yes	kaskarro	conservative
n	svp	no	nagi	inclusive
n	re	no	laido	conservative
n	cds	no	zantar	conservative
n	pr	no	prostituta	conservative
n	ps	yes	barbaro	inclusive
n	cds	no	gaizkile-talde	conservative
n	asf	no	inozo	conservative
n	cds	no	zurrumurru	inclusive
n	cds	no	ezjakin	conservative
v	qas	no	nahastu	conservative
n	asf	no	kirten	conservative
n	dmc	yes	mozzarella	inclusive
n	asm	no	avialae	inclusive
n	svp	no	diruzalekeria	inclusive
n	qas	no	baroi	inclusive
n	asm	no	pitilina	inclusive
n	an	no	branta bernicla	inclusive
n	an	no	barraskiloak	inclusive
n	dmc	yes	fariseu	conservative
n	dmc	yes	desertore	conservative
n	ps	yes	trakets	conservative
v	re	no	ostu	inclusive
n	cds	no	talde	conservative
n	ddp	yes	betelan	conservative
n	an	no	begitarte	inclusive
n	dmc	yes	kabroi	inclusive
n	ps	yes	hibridazio	inclusive
n	asm	no	zakil	inclusive
n	cds	no	lukurari	conservative
n	pa	yes	arrainketari	inclusive
n	ddp	yes	sinesbera	conservative
n	cds	no	pello	conservative
n	pr	no	bos taurus	inclusive
n	an	no	aurpegi	inclusive
n	ddp	yes	basakeria	conservative
n	an	no	harrapari	inclusive
n	cds	no	ofizial	inclusive
n	dmc	yes	gauzaez	conservative
n	an	no	culicidae	inclusive
n	an	no	arkakuso	inclusive
n	is	yes	alboratu	inclusive
n	an	no	blattaria	inclusive
n	om	no	sexu anala	inclusive
n	qas	no	astakilo	conservative
n	dmc	yes	lander	conservative
n	qas	no	koskabilo	inclusive
n	cds	no	inozo	conservative
n	dmc	yes	astakilo	conservative
n	an	no	metazoa	inclusive
n	cds	no	erkin	conservative
n	dmc	yes	lizunkoi	conservative
n	re	no	delitu	inclusive
n	cds	no	kaiku	conservative
n	an	no	muzin	inclusive
n	ps	yes	bandalo	conservative
n	an	no	canis lupus familiaris	inclusive
n	cds	no	mafia	inclusive
n	is	yes	lander	inclusive
n	qas	no	handiki	inclusive
n	dmc	yes	zurrul	conservative
n	an	no	bos taurus	inclusive
v	cds	no	trukatu	inclusive
n	asf	no	ergel	conservative
n	ddp	yes	trakets	conservative
n	dmc	yes	gezurti	inclusive
n	re	no	torturatzaile	inclusive
n	asm	no	kirten	inclusive
n	cds	no	kikil	conservative
n	cds	no	istilu	inclusive
n	cds	no	masa	conservative
n	svp	no	zikoitz	conservative
n	svp	no	haragikeria	inclusive
n	dmc	yes	gaizkile	conservative
n	cds	no	korrespontsal	inclusive
n	cds	no	adar-jotze	inclusive
n	dmc	yes	trakets	conservative
n	an	no	tentelkeria	conservative
n	asm	no	potro	inclusive
n	om	no	transexual	conservative
n	asm	no	pello	conservative
n	cds	no	ezkontzagin	inclusive
n	ps	yes	ergel	conservative
n	ps	yes	arlote	inclusive
n	an	no	inozo	conservative
n	pr	no	txahal	inclusive
n	dmc	yes	alu	inclusive
n	ddf	yes	txiki	conservative
n	asf	no	neskato	conservative
n	re	no	mafioso	inclusive
n	cds	no	agente	inclusive
n	ps	yes	vandaloak	inclusive
n	om	no	maritxu	conservative
n	or	no	atsogizon	conservative
n	cds	no	berri-jario	conservative
n	ddp	yes	analfabeto	inclusive
n	an	no	lukurreru	conservative
n	qas	no	kirten	conservative
n	cds	no	txatar	inclusive
n	pa	yes	barbaro	conservative
n	an	no	etxe-ardi	inclusive
v	asm	no	txistu jo	inclusive
n	dmc	yes	txerri	conservative
n	cds	no	hala-moduzko	conservative
n	cds	no	iruzurti	conservative
n	svp	no	litxarrero	inclusive
n	an	no	anguillidae	inclusive
n	cds	no	putetxe	inclusive
n	cds	no	babalore	conservative
v	cds	no	gur egin	inclusive
n	pr	no	sexu-lan	inclusive
n	pa	yes	akademiko	inclusive
n	ps	yes	atzeratu	conservative
n	dmc	yes	gangster	inclusive
n	an	no	gauzak mantso egiten dituen	conservative
n	an	no	angiliforme	inclusive
n	dmc	yes	ezdeus	conservative
n	asf	no	sinesbera	conservative
n	ddf	yes	ezindu	inclusive
n	or	no	sinesbera	conservative
n	cds	no	orojakile	conservative
n	ddp	yes	animalia-bizi	inclusive
n	an	no	siphonaptera	inclusive
n	cds	no	jendaila	conservative
n	an	no	arlote	conservative
n	asf	no	potxin	conservative
n	ddp	yes	adimen-elbarritasun	inclusive
n	an	no	papagai	inclusive
n	an	no	hirudinea	inclusive
n	pr	no	mari-purtzil	conservative
n	asm	no	memelo	conservative
n	an	no	lukurari	conservative
n	re	no	sexu abusu	inclusive
n	an	no	maskal	conservative
n	dmc	yes	lander	inclusive
n	cds	no	frankmasoneria	inclusive
n	cds	no	abokatu	inclusive
n	qas	no	zale	inclusive
n	an	no	beltzuri	inclusive
n	an	no	zizare	inclusive
n	dmc	yes	moraltasunik ez	inclusive
n	dmc	yes	zorigabe	inclusive
n	cds	no	txantxazale	conservative
n	cds	no	kirten	conservative
n	ps	yes	kaiku	conservative
n	ps	yes	mongoliako	inclusive
n	cds	no	presio-talde	inclusive
n	ps	yes	noraezean dabilen	inclusive
n	dmc	yes	urde	conservative
n	qas	no	zirku	inclusive
n	asf	no	sineskor	conservative
v	qas	no	pintatu	inclusive
n	dmc	yes	engainari	conservative
n	svp	no	ernegu	inclusive
n	an	no	animalia-bizi	inclusive
n	asm	no	adarjotzaile	conservative
a	asm	no	marroi	inclusive
n	cds	no	jende	conservative
n	cds	no	gaizto	conservative
n	svp	no	alferrontzi	conservative
n	an	no	ero	conservative
n	is	yes	zuhur	conservative
n	ddp	yes	bihozgabe	conservative
n	an	no	au-au	inclusive
n	ps	yes	babalore	conservative
n	or	no	atzelari	conservative
n	ddp	yes	adimen-enultasun	inclusive
n	cds	no	bitarteko	inclusive
n	pr	no	abelgorriak	inclusive
n	cds	no	txutxu-mutxu	inclusive
n	an	no	gorputz-zorri	inclusive
n	cds	no	faltsu	conservative
n	an	no	hontz	inclusive
n	cds	no	metal-hondakin	inclusive
n	an	no	crocodilia	inclusive
n	an	no	helix pomatia	inclusive
