id	pos	category	stereotype	lemma	level
EU409	n	cds	no	arazo	conservative
EU1132	n	an	no	bildots	conservative
EU524	n	asm	no	txantxazale	conservative
EU90	n	cds	no	zolitasun	inclusive
EU729	n	pr	no	sexu-langile	conservative
EU131	n	svp	no	zikoitz	inclusive
EU1079	n	cds	no	askojakin	conservative
EU11	n	svp	no	nagi	inclusive
EU274	n	pa	yes	trauskilkeria	conservative
EU767	n	qas	no	exola	inclusive
EU319	n	dmc	yes	gaizkile	conservative
EU360	n	cds	no	ozarkeria	conservative
EU644	n	pa	yes	arraindun	inclusive
EU223	n	ddp	yes	autubatzaile	conservative
EU430	n	cds	no	korrespontsal	inclusive
EU589	n	ddf	yes	ipotx	conservative
EU106	n	ddp	yes	kirten	conservative
EU101	n	ddp	yes	memelo	conservative
EU158	n	ddp	yes	basakeria	conservative
EU46	n	svp	no	harrokeria	conservative
EU1027	n	an	no	bizkarkari	conservative
EU1014	n	an	no	putre	inclusive
EU1055	n	qas	no	zalapartari	conservative
EU11	n	cds	no	nagi	conservative
EU1159	n	an	no	anura	inclusive
EU156	n	qas	no	trauskil	conservative
EU404	n	asm	no	buztan	conservative
EU217	n	re	no	pikaro	conservative
EU238	n	cds	no	zerri	conservative
EU97	n	an	no	tentelkeria	conservative
EU182	n	ddp	yes	kaltedun	conservative
EU904	n	an	no	bizkarroi	conservative
EU437	n	om	no	transexual	conservative
EU315	n	dmc	yes	arlote	conservative
EU229	n	ps	yes	beltza	inclusive
EU889	n	cds	no	guardia	conservative
EU106	n	qas	no	kirten	conservative
EU655	n	cds	no	bufoi	inclusive
EU1050	v	cds	no	irentsi	inclusive
EU690	n	cds	no	gigolo	inclusive
EU314	n	cds	no	bolumen	inclusive
EU10	n	svp	no	nagitasun	inclusive
EU757	n	cds	no	prelatu	inclusive
EU1195	n	dmc	yes	hala-holako	conservative
EU358	n	ps	yes	atzeratu	conservative
EU357	n	ps	yes	anormal	conservative
EU958	n	asm	no	harpajole	conservative
EU248	n	pr	no	sasikume	conservative
EU70	n	cds	no	jendetza	conservative
EU446	n	an	no	musu	inclusive
EU87	n	re	no	difamazio	inclusive
EU390	n	cds	no	klan	inclusive
EU551	n	re	no	delitu	inclusive
EU163	n	pa	yes	aldeko	inclusive
EU192	n	cds	no	faltsukeria	inclusive
EU124	n	svp	no	diruzalekeria	inclusive
EU150	n	cds	no	kaiku	inclusive
EU561	n	dmc	yes	azaluts	conservative
EU551	n	dmc	yes	delitu	inclusive
EU928	n	asm	no	haga	inclusive
EU786	n	cds	no	barrabas	conservative
EU226	n	cds	no	bihurrikeria	conservative
EU548	n	cds	no	kriminal	inclusive
EU1213	n	an	no	kaiman	inclusive
EU413	n	qas	no	korapilo	inclusive
EU100	n	ddp	yes	zoro	conservative
EU454	n	cds	no	kikil	conservative
EU546	n	pr	no	gortesau	inclusive
EU179	n	ddp	yes	babalore	conservative
EU602	n	an	no	barakuilo	inclusive
EU242	n	an	no	zantar	conservative
EU357	n	asf	no	anormal	conservative
EU103	n	cds	no	ergel	conservative
EU1069	v	cds	no	begirunea izan	inclusive
EU782	n	qas	no	ideologia	inclusive
EU263	n	cds	no	zuri	conservative
EU903	n	cds	no	paparazzi	inclusive
EU1150	n	re	no	bahiketa	inclusive
EU217	n	dmc	yes	pikaro	conservative
EU572	n	svp	no	tripontzi	conservative
EU204	n	cds	no	begina	inclusive
EU108	n	asm	no	inozo	conservative
EU537	n	dmc	yes	engainu	conservative
EU585	n	ps	yes	noraezean dabilen	inclusive
EU65	n	ddp	yes	eskolagabe	inclusive
EU462	v	cds	no	berba egin	inclusive
EU1028	n	qas	no	bizkarkin	conservative
