n	dmc	yes	بربرها
n	asm	no	nookie
n	asm	no	رول در یونجه
n	cds	no	مرغ نوروزی
n	cds	no	بی ارزش
n	cds	no	حرامزاده
n	an	no	دلقک
n	qas	no	روستایی
n	asf	no	دیر کار
n	cds	no	فساد گیری
n	an	no	سلیطه
n	cds	no	banditti
n	cds	no	شیطانی
n	asf	no	codswallop
n	qas	no	cadger
n	re	no	تروريسم
n	cds	no	فیس
n	or	no	لاک پشت دریایی
n	ddp	yes	فضول
n	asf	no	بتعویق انداختن
n	asf	no	fuckhead
n	or	no	تامین مالی
n	ddp	yes	pillock
n	dmc	yes	سیاه بند
n	qas	no	dauber
n	ps	yes	mestizaje
n	or	no	سر پودینگ
n	re	no	باج گیری
n	cds	no	نویسنده هک
n	cds	no	طرفدار
n	re	no	بزهکار نوجوان
n	re	no	تجاوز به عنف تاریخ عضویت
n	cds	no	اسب چموش
n	svp	no	gorger
n	ddp	yes	کنده
n	an	no	می دانم هیچ چیز
n	dmc	yes	سگ شکاری
n	dmc	yes	فاسق
n	dmc	yes	سرکش
n	cds	no	finagler
n	asm	no	ساده لوحی
a	svp	no	حریص
n	cds	no	تماشاچی در
n	cds	no	یاغی
n	re	no	defamer
n	an	no	لاسی
n	cds	no	پا انداز
n	dmc	yes	slackers
n	ddp	yes	هوچی
n	cds	no	کذب
n	cds	no	عوامفریب
n	an	no	شخص بد
n	svp	no	خیط و پیت کردن
n	cds	no	رندی
n	cds	no	احمق
n	dmc	yes	شرور
v	asm	no	فریب دادن
n	cds	no	خنگ
n	svp	no	خودبینی
n	cds	no	افسر پلیس
n	ps	yes	زردپوستان
n	cds	no	صراف
n	cds	no	groveler
n	re	no	تروریزم
n	asm	no	doofus
n	an	no	grossness
n	cds	no	chiseler
a	svp	no	طماع
n	pr	no	تن‌فروش
n	pa	yes	وحشی
n	cds	no	عیاری
n	an	no	جعل
n	asf	no	بچهای که پریان بجای دزدیدهاند میگذارند
n	ddp	yes	ابله
n	an	no	کم بنیه
n	re	no	شخص بدگو
n	svp	no	ادم بیکاره
n	cds	no	hustling
n	cds	no	حیله گری
n	re	no	تروريست
n	dmc	yes	دورویی،
n	cds	no	تفاله
n	svp	no	تعصب
n	or	no	دسته
n	cds	no	سر پودینگ
n	pr	no	زن خیابانی
n	ddp	yes	جانور
n	cds	no	سرزنش کننده
n	svp	no	تکبر
n	dmc	yes	فقیر شیطان
n	or	no	همجنسگرايي مردانه
n	ps	yes	از نژاد مختلف
n	ps	yes	گول
n	or	no	دخترک
n	asm	no	فاک
n	or	no	poof
n	cds	no	scrawler
n	dmc	yes	طرفدار
n	cds	no	conceitedness
n	dmc	yes	دروغ گو
n	dmc	yes	پرسه زن
n	dmc	yes	بدون حساب
n	qas	no	bungler
n	cds	no	دهقانی
n	qas	no	tagalong
n	is	yes	لات
n	ps	yes	دهقانی
n	cds	no	جمهوریخواه
n	ddp	yes	گول زدن
n	qas	no	دروغ
n	dmc	yes	خپله
n	cds	no	ناراستی
n	cds	no	اراذل و اوباش
n	cds	no	خسته
n	cds	no	سرکش
a	ddp	yes	کودن
n	asm	no	flouter
n	re	no	حمله تروریستی
n	qas	no	ادم خوش نیت ولی احمق و بی عرضه
n	cds	no	layabout
n	cds	no	سرسپردگان
n	asf	no	شکمبه
n	ddp	yes	سخن چین
n	an	no	زن جوان بوالهوس
n	dmc	yes	خائن
n	cds	no	outlawry
n	ddp	yes	بی‌معنی
n	cds	no	دسته
n	an	no	سقوط مرد
v	asm	no	کس دادن
n	cds	no	قرم ساق
n	dmc	yes	بخار دهان
n	ddp	yes	twerp
n	an	no	انبوه
a	cds	no	مزور
n	cds	no	عوام‌فریبی
n	pr	no	زن شلخته
n	ddp	yes	rumourmonger
n	svp	no	خوب برای جز
n	or	no	knucklehead
n	pr	no	زن شل
n	cds	no	افزایش یافته سر
a	dmc	yes	پست
n	om	no	غری
n	cds	no	نوچه
n	dmc	yes	بیهوده dallier
n	dmc	yes	فساد
a	dmc	yes	منفور
n	dmc	yes	وحشی
n	ddp	yes	دستخوش
n	cds	no	ادم بطیء و کندرو
n	or	no	گي
n	ddp	yes	codswallop
n	an	no	بلید
n	asf	no	واژنی
n	or	no	pudden سر
n	pa	yes	روستایی
n	an	no	طوطی
n	pr	no	فحشا
n	svp	no	بی فایدگی
n	cds	no	فاشیسم
n	an	no	سرهم بندی کردن
n	cds	no	رند
n	ps	yes	وابسته بمرض بلاهت مغولی
n	re	no	maligner
n	an	no	کوزه گلی
n	qas	no	متکی بر
n	cds	no	غری
n	cds	no	تعصب مذهبی
n	qas	no	دنباله
n	cds	no	خود رایی
n	pr	no	كارگر جنسي
n	om	no	ساحره
n	qas	no	دهقانی
n	or	no	سوراخ کس
n	dmc	yes	dallier
n	re	no	تجاوز به
n	cds	no	muggins
n	cds	no	عزت نفس
n	an	no	توده مردم پست
n	ddp	yes	مقعد
n	ddp	yes	خنگ
n	cds	no	ناقلا
n	re	no	شرور
n	an	no	غیر عملی
n	om	no	عجیب و غریب
n	pr	no	خودفروشي
n	asm	no	حماقت
n	dmc	yes	آپارتی
n	ps	yes	mongoloids
n	ddp	yes	بی خبری
n	dmc	yes	قلاش
n	an	no	ریزه
n	cds	no	باند
n	ps	yes	زرد پوست
n	ddp	yes	حماقت
n	cds	no	جاكش
n	or	no	کونی
n	qas	no	ساز مشکل
n	an	no	اصطلاح عوامانه
n	or	no	pillock
n	asf	no	لمسی نرم
n	cds	no	فاشیستی
n	svp	no	superbia
n	ddp	yes	تشکر
n	re	no	تجاوز
a	ddf	yes	بدنما
n	dmc	yes	layabout
n	cds	no	بزدلی
n	pr	no	عوضی
n	cds	no	افاده ای
n	svp	no	minginess
n	svp	no	بیهوده dallier
n	svp	no	راحت طلبی
n	cds	no	خردل
n	ddp	yes	dickhead
n	asm	no	دلقک
n	ddp	yes	شرارت
n	ps	yes	ویرانگر
n	or	no	سیگار
n	an	no	سگ کثیف
n	is	yes	اسکروج
n	dmc	yes	ارقه
n	svp	no	دله
v	qas	no	اشتباه کردن
n	cds	no	معتاد
n	cds	no	قصه گو
a	cds	no	شیطنت آمیز
n	an	no	شخص بی کفایت
n	an	no	جمهوریخواه
n	cds	no	مافيا
n	cds	no	عوام انگیز
n	cds	no	groveller
n	cds	no	saphead
n	re	no	زنای به عنف
n	cds	no	نزول خواری
n	or	no	بی کله
a	ddf	yes	بدبخت
n	cds	no	متخلف
n	an	no	توده
n	cds	no	boastfulness
n	ddp	yes	ادم نادان و نفهم
n	cds	no	گردن فرازی
n	pr	no	روسپيگري
n	an	no	حیوانیت
n	re	no	vilifier
n	dmc	yes	libertinism
n	cds	no	خانم رئیس
n	qas	no	دسته
n	an	no	هدف
n	cds	no	dickhead
n	asf	no	سقوط مرد
n	ps	yes	فریب خورده
n	dmc	yes	یاغی
n	an	no	ضعیف
n	cds	no	حکایت
n	cds	no	اشتباه کار
n	an	no	لاس
n	cds	no	دلقک
n	cds	no	ربا خوار
n	ddp	yes	ادم کودن و احمق
n	ddp	yes	فاخته
n	cds	no	قرم‌ساق
n	cds	no	جا کشی
n	re	no	تهدید
n	asf	no	اشغال
n	cds	no	عملی بذله گو
n	asf	no	ادم کودن و احمق
n	re	no	تروريسم دولتي
n	ps	yes	بچهای که پریان بجای دزدیدهاند میگذارند
n	dmc	yes	مرت
n	cds	no	ترسویی
n	cds	no	فاشيستي
n	cds	no	اب و تاب
n	dmc	yes	بیکاره
n	qas	no	جمع اوری کردن
n	or	no	همجنس‌گرایی مردانه
n	cds	no	dastardliness
n	ddp	yes	knucklehead
n	pa	yes	بربرها
n	cds	no	حرف
n	cds	no	راهزن و سارق جاده
n	qas	no	صدای مزاحم
n	cds	no	رد کردن
n	cds	no	تعصب
n	ps	yes	ادم نادان و نفهم
n	cds	no	زباله
n	an	no	ستاره ستاره ستاره ستاره، جیر جیر
a	svp	no	سست
n	svp	no	عدم قبول
n	qas	no	کذب
n	ddp	yes	فرزند فاحشه
n	svp	no	ادم بطیء و کندرو
n	or	no	poove
n	an	no	ديوث
n	asm	no	دمار از روزگارمان درآورد
n	ps	yes	لخته
n	dmc	yes	متلف
n	rci	yes	وحشی
n	or	no	کس
n	cds	no	wangler
n	cds	no	نامرد
n	an	no	ولگرد
n	dmc	yes	شیاد
a	dmc	yes	بی ادب
n	pr	no	روسپی
n	cds	no	فاشيست ها
n	cds	no	tricker
n	asm	no	فاك
n	svp	no	شکم پرست
n	asm	no	فریب خورده
