n	re	no	سرقت فکری
n	asm	no	nookie
n	cds	no	نقش جایگزین ارزشیابی دوزبانه
n	cds	no	فاضلاب خانگی
n	cds	no	حرامزاده
n	cds	no	فساد گیری
n	qas	no	طرزتفکر
n	asm	no	باقلي
n	qas	no	cadger
n	re	no	حملات تروریستی
n	ddp	yes	فضول
n	an	no	caiman
n	ddp	yes	بربریت
n	qas	no	بورژوازي
n	qas	no	شریک در جرم و جنایت
n	qas	no	زباله
n	cds	no	درهم و turvyness
n	or	no	کلم پیچ
n	pa	yes	رایزن
n	an	no	میکروبی
n	cds	no	حرارت
n	or	no	کدو
n	dmc	yes	سگ شکاری
n	pa	yes	شوان
n	an	no	کژدم های دریایی
n	cds	no	تماشاچی در
n	svp	no	دله
n	an	no	جمهوریخواه
n	an	no	بنبک
n	ps	yes	changelings
n	cds	no	تطبیق
n	re	no	شکنجه
n	cds	no	منش نراندامه اي
n	cds	no	رندی
n	dmc	yes	وضع
n	ps	yes	فاشیستی
n	ps	yes	زردپوستان
n	pr	no	مو گاو
n	qas	no	بلاغی
n	asm	no	doofus
n	cds	no	قوم و خویشی
n	cds	no	جنايت
n	cds	no	گوشت گندیده
n	an	no	جعل
n	asf	no	بچهای که پریان بجای دزدیدهاند میگذارند
n	asm	no	بیضه
n	asf	no	codswallop
n	an	no	caprinae
n	cds	no	خانه فواحش
a	cds	no	هوشمند
n	an	no	بوفالوي آمريكا
n	cds	no	سر پودینگ
n	pa	yes	استاد عادی
n	pr	no	زن خیابانی
n	cds	no	omerta
n	qas	no	دهقان
n	qas	no	مردم شهرنشین
n	dmc	yes	پنیر موزارلا
n	or	no	تاک خیار
n	dmc	yes	فقیر شیطان
n	or	no	دخترک
n	an	no	hemipteron
n	cds	no	معلمان
n	dmc	yes	دروغ گو
n	an	no	دال
n	qas	no	bungler
n	an	no	حلزون هايي
n	om	no	پشت سر
n	cds	no	جمهوریخواه
n	ddp	yes	زندانیان
a	ps	yes	چینی
n	ps	yes	استروگوت ها
n	asm	no	flouter
n	pr	no	شخص مقتدر در جامعه
n	qas	no	ادم خوش نیت ولی احمق و بی عرضه
n	cds	no	غیر مشروع
n	dmc	yes	خائن
n	cds	no	outlawry
n	ddp	yes	بی‌معنی
n	om	no	همجنس گرايان
n	an	no	نرم تنان
n	cds	no	conventicles
n	ps	yes	بادیه نشینان عرب
a	cds	no	مزور
n	an	no	دستگاه گوش دادن
n	svp	no	از
n	cds	no	ژیگولو
n	ddp	yes	جانداران
n	dmc	yes	سیاه بند
n	an	no	انسان با خوردن کوسه
n	om	no	امیزش مقعدی
n	an	no	كركس
n	cds	no	روسپی‌خانه
n	dmc	yes	کانگستر
n	dmc	yes	فساد
n	or	no	گي
n	an	no	بلید
n	asf	no	واژنی
n	om	no	آمیزش مقعدی
n	is	yes	فقر نسبی
n	ps	yes	وابسته بمرض بلاهت مغولی
n	om	no	همجنس‌گرایانه
n	om	no	همجنس گرا
n	qas	no	متکی بر
n	qas	no	فروشنده
n	asm	no	maxilliped
n	ddp	yes	روستایی
n	om	no	ساحره
n	qas	no	دهقانی
n	om	no	مبدل پوشی
a	is	yes	فقیر
n	an	no	خرد سازواره
n	cds	no	معما
n	re	no	دستبرد
n	ps	yes	آيين يهود
n	cds	no	گروه
n	an	no	کفتار،
n	an	no	صدای ناهنجار، جغد
n	cds	no	ناقلا
n	or	no	گل زعفران crocus sativus))،
n	qas	no	طبقه متوسط
n	ps	yes	mongoloids
n	an	no	بزسانان
n	re	no	traducement
n	pa	yes	چوپاني
n	cds	no	عضو جمعیت فراماسون
n	re	no	سوء استفادهٔ جنسی
n	ddp	yes	تشکر
n	ps	yes	نژاد مغول
n	cds	no	بزدلی
n	svp	no	minginess
n	ddp	yes	dickhead
n	an	no	حلزون هایی
n	dmc	yes	ادم بی عقل و بیشعور
v	asm	no	گول زدن
n	cds	no	گروه هم مسلک
n	re	no	درنده خویی
a	dmc	yes	بدلی
n	re	no	تقصیر
n	ps	yes	ترکیبی ساخته دست انسان
a	dmc	yes	کشدار
n	ddf	yes	مانع
n	qas	no	زندگي انگلي
n	cds	no	اعتصاب
n	pa	yes	هيئت علمي
n	pa	yes	استادیار
n	cds	no	مدافعه
n	qas	no	همراهی دستیارش
n	an	no	حیوانیت
n	dmc	yes	libertinism
n	qas	no	دسته
a	om	no	غیر عادی
n	an	no	برادر
n	an	no	آتن noctua
n	ddp	yes	فیونا
n	ps	yes	زنگی
n	qas	no	دائم الخمر بودن
n	svp	no	خستگی
n	re	no	تروريسم دولتي
n	or	no	meticulosity
n	cds	no	اب و تاب
n	an	no	استر
n	qas	no	جمع اوری کردن
n	qas	no	هم نوايي
n	an	no	otus asio
n	pa	yes	بربرها
n	svp	no	ادم بیکاره و مهمل
n	an	no	مرغ
n	qas	no	صدای مزاحم
n	re	no	حمله تروریستی
n	cds	no	تعصب
n	an	no	ستاره ستاره ستاره ستاره، جیر جیر
n	pa	yes	دانشگاهی
n	pa	yes	دانشگاهیان
n	an	no	ميكروارگانيسم
n	om	no	امیزش جنسی مقعدی
n	ps	yes	لخته
n	om	no	همجنسگرایانه
n	an	no	بز
n	an	no	شغال طلايي
n	qas	no	نقاش ساختمان
n	or	no	کس
n	cds	no	نامرد
n	an	no	بچه خوک
n	an	no	بی دمان
n	cds	no	تئوری توطئه
n	re	no	زنای به عنف
n	ps	yes	قاراچي
n	asm	no	فاك
n	svp	no	بی عاطفگی
n	ps	yes	ابله
n	dmc	yes	جنایی
n	cds	no	رمان اميرارسلاني
n	an	no	خطر نزدیک
n	an	no	غازيان
n	an	no	vamper
n	dmc	yes	ماهی میگو
n	an	no	vipera بروس
n	om	no	مبدل‌پوش
n	om	no	آمیزش جنسی مقعدی
a	svp	no	مغرور
n	ps	yes	ادم اواره و ولگرد
n	an	no	ميكروارگانيزم
n	an	no	همدم
n	cds	no	mutt
n	an	no	zooerasty
v	asm	no	قربانی کردن
n	cds	no	blackballing
n	cds	no	bellyacher
