pos	category	stereotype	lemma	level
n	qas	no	سرهم بندی کردن	inclusive
n	cds	no	گیج کننده	conservative
n	cds	no	ویس	inclusive
n	an	no	بزغاله	inclusive
n	cds	no	خانواده	inclusive
a	ddf	yes	کور	inclusive
n	or	no	رازيانه	inclusive
n	cds	no	قمارخانه	inclusive
n	ps	yes	وحشیانه	conservative
n	is	yes	گدا	inclusive
n	cds	no	شرور	conservative
n	dmc	yes	grifter	conservative
n	cds	no	راست افراطی در جناح	conservative
n	cds	no	مردرند	conservative
n	ps	yes	کارت قرمز	inclusive
n	om	no	درگ كوئين	inclusive
n	pr	no	عوضی	conservative
n	cds	no	عوام فریبی	conservative
n	cds	no	سرهم بندی کردن	inclusive
n	re	no	هراس افگنی	conservative
n	svp	no	سستی	inclusive
n	an	no	animalculum	inclusive
n	an	no	culex pipiens	inclusive
n	cds	no	خودپرستی افراطی	conservative
n	re	no	تروریست	conservative
n	cds	no	کم بنیه	conservative
n	an	no	پروانه	inclusive
n	dmc	yes	بی ادب	conservative
n	cds	no	کشیش ارشد	inclusive
n	re	no	افترا	conservative
n	om	no	همجنسگرایان	conservative
n	dmc	yes	ناقلا	conservative
n	an	no	مخصوص فروش اشیاء ارزان قیمت یا دست دوم	inclusive
n	om	no	همجنس‌گرا	conservative
n	cds	no	خبرنگاران	inclusive
n	dmc	yes	dissimulator	conservative
n	an	no	سوسريان	inclusive
n	pa	yes	متصدی حمل ونقل	inclusive
n	pa	yes	پروفیسور	inclusive
n	asf	no	چیز جزیی	inclusive
n	dmc	yes	کوزه گلی	inclusive
n	dmc	yes	حالیکه به بازی "چرخ چرخ" اندرو	inclusive
n	asf	no	سیرابی	conservative
n	an	no	فاحشه	inclusive
n	svp	no	کاهلی	inclusive
n	pr	no	whoredom	inclusive
n	an	no	سیمیسیده	inclusive
n	cds	no	schoolma'am	conservative
n	cds	no	سرقت	inclusive
n	dmc	yes	ساختگی	conservative
n	asm	no	کار دست	conservative
n	cds	no	بتعویق انداختن	inclusive
n	cds	no	فاضلاب	inclusive
n	asm	no	باقالا	inclusive
n	an	no	بنابراین و چنان	conservative
n	svp	no	اروس	inclusive
n	an	no	زياگان	inclusive
n	pr	no	hetaira	inclusive
n	ps	yes	مصرف	conservative
n	an	no	blattaria	inclusive
n	an	no	طناز	conservative
n	or	no	همجنس‌گرا	conservative
n	re	no	سرکش	conservative
n	dmc	yes	جنس بنجل	conservative
n	an	no	ساسان	inclusive
n	an	no	کس	conservative
n	asf	no	saphead	conservative
n	cds	no	مردود	conservative
a	pa	yes	نظری	inclusive
n	dmc	yes	ذلت	inclusive
n	om	no	همجنس‌گرائي	inclusive
n	cds	no	lowlife	conservative
n	an	no	جانور	conservative
n	cds	no	جاکش	inclusive
n	an	no	ميش	inclusive
