id	pos	category	stereotype	lemma	level
FA214	n	re	no	بدنامی و رسوایی	conservative
FA230	n	cds	no	shrewdness	inclusive
FA508	n	an	no	سرکش	conservative
FA2928	n	qas	no	گزاف گویی	inclusive
FA882	n	cds	no	عشیره	inclusive
FA1726	n	cds	no	وساطت	inclusive
FA3211	n	cds	no	تئوري توطئه	inclusive
FA737	n	dmc	yes	دستگاه گوارش	conservative
FA757	n	an	no	لات	conservative
FA415	n	ddp	yes	حوله	conservative
FA2401	n	ps	yes	mestizo	conservative
FA842	n	re	no	defamer	conservative
FA941	n	qas	no	ذات	inclusive
FA2323	n	qas	no	autoinfection	inclusive
FA2341	n	an	no	طوطي(پرنده)	inclusive
FA457	n	cds	no	کج کلاه	inclusive
FA1827	n	pr	no	خدمات جنسی	inclusive
FA2491	n	ps	yes	نژاد اسیایی	conservative
FA785	n	cds	no	کاروان	inclusive
FA2733	n	or	no	مورفی	inclusive
FA1604	n	qas	no	تنگنا	inclusive
FA413	n	ps	yes	کنده	conservative
FA314	n	cds	no	bawdyhouse	inclusive
FA413	n	asf	no	کنده	conservative
FA137	n	qas	no	مرید	inclusive
FA1729	n	cds	no	مداخله کننده	inclusive
FA346	n	ddp	yes	بربریت	inclusive
FA1955	n	an	no	كفتار	inclusive
FA242	n	ddp	yes	دلقک	conservative
FA2546	n	ps	yes	راگون	conservative
FA2052	n	cds	no	pompousness	inclusive
FA153	a	svp	no	سلطهجو	conservative
FA2041	n	ddp	yes	بی خبری	conservative
FA2050	n	cds	no	اب و تاب	inclusive
FA738	n	an	no	lowlife	conservative
FA514	n	cds	no	تبه کار	conservative
FA996	n	cds	no	توطئه سکوت	inclusive
FA1679	n	asm	no	باقالا	inclusive
FA1190	n	or	no	خيار	inclusive
FA1957	n	an	no	hyaenidae	inclusive
FA628	n	ddp	yes	fumbler	conservative
FA2370	n	pr	no	موش	inclusive
FA1986	n	cds	no	وصله	inclusive
FA446	n	qas	no	کذب	conservative
FA3081	n	re	no	سوءاستفادهٔ جنسی	inclusive
