n	an	no	salainen vihollinen
n	cds	no	sluibari
n	an	no	roskaväki
n	asm	no	nookie
n	cds	no	sotku
n	om	no	homo
n	ddp	yes	tiedä mitään
n	cds	no	viisastelija
n	is	yes	lurjus
n	asf	no	idiotismi
n	qas	no	hutiloija
n	asm	no	helppo uhri
a	ddp	yes	alaikäinen
n	cds	no	apina
n	asf	no	codswallop
n	qas	no	cadger
n	cds	no	kriminaali
a	dmc	yes	siveetön
v	qas	no	munia
n	qas	no	tuhertelija
n	an	no	tomfool
n	ddp	yes	pillock
n	ddp	yes	molopää
n	cds	no	pikkuvalhe
n	or	no	lunkhead
n	dmc	yes	teeskentelijä
a	pa	yes	pedanttinen
v	asm	no	olla intiimissä suhteessa
n	svp	no	dilly-dallier
n	an	no	huijausta
a	qas	no	ällöttävä
n	cds	no	pahvipää
n	pr	no	ammattihaureus
n	cds	no	runkku
n	dmc	yes	slackers
n	svp	no	kiihko
n	svp	no	omavaltaisuus
n	cds	no	äiti kusipää
n	ddp	yes	lauma
a	dmc	yes	halveksittava
n	dmc	yes	tekopyhä
n	is	yes	pihtaaja
n	re	no	valtioterrorismi
n	svp	no	nolla
n	is	yes	traaginen konna
n	dmc	yes	koijari
n	asm	no	doofus
a	dmc	yes	alhainen
a	ddp	yes	hidasjärkinen
n	asm	no	syntipukki; t+
n	cds	no	chiseler
a	dmc	yes	epäaito
n	asf	no	kiltsi
n	re	no	väkisinmakuu
n	cds	no	höntti
n	cds	no	valehdella
n	svp	no	turhuus
a	svp	no	himokas
n	an	no	typeryys
n	ddp	yes	uhri
n	cds	no	paskapää
n	cds	no	puoli-pint
n	cds	no	tierosvo
v	qas	no	skäbätä
a	dmc	yes	epäkohtelias
n	an	no	puupää
n	asm	no	nainti
n	ps	yes	syntipukki; t+
n	ddp	yes	järjetön
n	cds	no	mafioso
n	cds	no	perkele
n	pr	no	mies saattajan
n	asf	no	lievästi t+
n	dmc	yes	hobo
n	cds	no	mulkku
n	cds	no	ryökäle
n	qas	no	amatöörimäisyys
n	asf	no	narri
n	asm	no	pala hännän
n	pr	no	crack huora
n	svp	no	omahyväisyys
n	or	no	pahvipää
n	asm	no	flouter
n	cds	no	naispoliisi
n	pr	no	street tyttö
a	dmc	yes	halpamainen
n	cds	no	outlawry
n	svp	no	omanarvontunto
n	re	no	väkisinmakaaminen
n	om	no	hinaaja
n	asf	no	pöllöpää
n	cds	no	ilkikurinen
a	svp	no	rahanahne
n	qas	no	vale
n	dmc	yes	yliloikkari
a	svp	no	kova halu saavuttaa jtk
n	pa	yes	moukka
n	an	no	sika
n	asm	no	vetää käteen
n	cds	no	törky
n	or	no	knucklehead
n	asf	no	tyhmyri
n	cds	no	juorukello
n	dmc	yes	irstailija
n	ddp	yes	debiili
a	cds	no	epäkohtelias
n	cds	no	pelkuruus
n	asm	no	mäntti
v	an	no	pauhata
n	asf	no	jälkeenjäänyt
n	an	no	mäntti
n	ps	yes	hömelö
n	dmc	yes	myrkyllinen haju
v	ddp	yes	tainnuttaa
n	cds	no	voihkija
n	pr	no	prostituointi
n	cds	no	pelkurimainen
n	is	yes	konna
a	cds	no	egoistinen
n	om	no	pederasti
n	cds	no	laina sharking
n	cds	no	yksityisetsivä
n	dmc	yes	sluibari
n	cds	no	nostolaitteisto pois
n	cds	no	hävyttömyys
n	or	no	hammerhead
v	asm	no	petkuttaa
a	dmc	yes	tunkkainen
n	cds	no	fasistisen hallinnon
n	an	no	läskipää
n	or	no	paskapää
n	qas	no	tunari
n	svp	no	gorger
n	ps	yes	nenästä vedettävä henkilö
n	cds	no	rosvo
n	cds	no	nopeasti yksi
n	pa	yes	sivistymättömyys
a	dmc	yes	hurjasteleva
n	cds	no	snobi
n	dmc	yes	veijari
n	asf	no	lunkhead
v	asm	no	yhtyä
n	cds	no	venality
n	cds	no	hulttio
n	cds	no	laiskuri
n	dmc	yes	petturi
a	dmc	yes	kevytkenkäinen
n	an	no	koketti
n	qas	no	perättömyys
n	an	no	floozie
n	cds	no	ilkikurisuus
n	om	no	kummallinen
n	ddp	yes	köntys
n	re	no	terroriverkosto
n	asf	no	möhläys
v	qas	no	tumpeloida
n	ddp	yes	pöhkö
n	or	no	yksinkertainen ihminen
n	or	no	pillock
n	svp	no	superbia
n	an	no	scelus
n	ddp	yes	helppo uhri
n	ddp	yes	surullinen säkki
n	an	no	taulapää
a	svp	no	vihainen
n	cds	no	nyhverö
v	asm	no	maata
v	cds	no	paasata
n	cds	no	valittaja
n	re	no	kiristys
n	cds	no	valehteleminen
n	an	no	internet huijausta
n	qas	no	melulauma
n	cds	no	suuri pesemätön
n	asm	no	runkkaus
n	dmc	yes	pseudo
n	om	no	nyyhky
n	cds	no	rahalainaamot
n	rci	yes	barbaari
n	cds	no	äärioikeistolainen
n	dmc	yes	tekohurskaus
n	dmc	yes	bandiitti
n	ddp	yes	väkijoukko
n	rci	yes	barbaarit
n	dmc	yes	libertinism
n	an	no	hölynpöly
n	ddp	yes	stupe
n	cds	no	suupaltti
v	asm	no	bylsiä
n	cds	no	öykkäri
a	svp	no	rietas
a	svp	no	kaunainen
n	cds	no	häpeämättömyys
n	cds	no	kähveltäjä
n	cds	no	surkimus
n	cds	no	pahaa valmistus
n	ps	yes	helppo uhri
n	an	no	naisteniskijä
n	qas	no	lauma
n	svp	no	ylimielisyys
n	pa	yes	barbaarinen
n	dmc	yes	poropeukalo
n	cds	no	fasismi
a	svp	no	mustasukkainen
n	cds	no	dastardliness
n	dmc	yes	karkeakäytöksisyys
n	ddp	yes	läskipää
n	or	no	homoseksuaali
n	svp	no	raivoa
n	cds	no	katujengi
n	asf	no	helposti narrattava uhri
n	asf	no	höntti
n	cds	no	taantumuksellinen
n	an	no	folderol
n	dmc	yes	lorvija
n	ddp	yes	nysverö
n	ddp	yes	melulauma
n	cds	no	romu
n	re	no	kiristäminen
a	cds	no	kavala
n	ps	yes	lakupekka
n	cds	no	tuhertelija
n	cds	no	uho
n	ddp	yes	tylsämielisyys
n	or	no	homophile liikkeen
n	dmc	yes	pahis
n	pr	no	ällötys
n	cds	no	kömpelys
n	cds	no	julkeus
a	svp	no	himoitseva
n	svp	no	tightfistedness
n	asm	no	runkki
n	dmc	yes	salaamista
n	cds	no	kakara
n	or	no	pillu
n	is	yes	villainous
n	cds	no	urkkija
n	om	no	queer
n	an	no	vamper
n	an	no	uskoton nainen
n	cds	no	valkoinen valhe
n	an	no	rosvo
n	ddp	yes	syntipukki; t+
n	asf	no	emättimen
n	cds	no	huijaat
n	or	no	pöllöpää
n	cds	no	irtolainen
n	qas	no	töhertäjä
n	svp	no	fanaatikko
a	svp	no	ahnas
n	dmc	yes	ilkiö
n	cds	no	gossiper
n	qas	no	fumbler
n	dmc	yes	libertinismi
n	cds	no	ylimielisyys
n	an	no	zooerasty
n	ddp	yes	taulapää
n	cds	no	intoilija
n	cds	no	bellyacher
n	cds	no	pikkuvaras
n	cds	no	villainous
n	pa	yes	kiipijä
n	an	no	villainous
n	cds	no	juoruakka
n	cds	no	pöty
n	pr	no	lumppu
v	asm	no	tehdä petos
n	or	no	tyhmä
n	ddp	yes	tyhjä puhe
n	svp	no	gourmand
n	cds	no	dogmaattisuus
a	ddp	yes	kasvuikäinen
a	cds	no	raukkamainen
n	cds	no	kierous
n	cds	no	nörtti
n	an	no	surkimus
n	ddp	yes	hölmö
n	an	no	huora
n	cds	no	poliisi
n	pr	no	lehmä
n	cds	no	keikari
a	re	no	kiivas
n	cds	no	wonk
n	asf	no	aasi
a	svp	no	koppava
n	dmc	yes	maleksija
a	ddp	yes	kykenemätön
n	an	no	diddly-shit
n	qas	no	sciolist
n	asf	no	dumbass
n	pr	no	homssu
n	ddp	yes	muttonhead
n	dmc	yes	rogue
n	svp	no	lorvi
n	asf	no	yksinkertainen ihminen
n	cds	no	fibber
n	asf	no	vako
n	an	no	diddlysquat
n	asf	no	pöllö
n	cds	no	loansharking
n	cds	no	jengiväkivalta
n	an	no	ällötys
a	dmc	yes	roistomainen
n	cds	no	lurjus
n	pr	no	lortto
n	re	no	herjaaja
n	cds	no	törkyisyys
n	asf	no	likka
n	re	no	sisilian mafia
n	asf	no	typykkä
n	asm	no	möhläys
n	cds	no	molopää
n	dmc	yes	harhauttaja
a	qas	no	nyyhky-
a	svp	no	kostonhimoinen
a	dmc	yes	julma
n	om	no	gay
n	svp	no	kitsaus
n	pr	no	john
n	ps	yes	hölmö
n	pa	yes	tomppeli
v	qas	no	kiusata
n	cds	no	pöljä
n	cds	no	dirty dog
a	pa	yes	opettajamainen
n	ddp	yes	nonsensicality
n	om	no	paederast
a	dmc	yes	siivoton
a	dmc	yes	paheellinen
n	cds	no	kantelupukki
n	cds	no	slyboots
n	ddp	yes	yksinkertainen ihminen
a	cds	no	epärehellinen
n	ddp	yes	tuittupää
n	svp	no	kuhnailija
n	pr	no	hutsu
a	ddp	yes	tietämätön
n	qas	no	barbaari
n	dmc	yes	epäkohteliaisuus
n	an	no	moukkamaisuus
n	dmc	yes	hayseed
n	asf	no	nenästä vedettävä henkilö
n	is	yes	parka
n	ddp	yes	lörpöttelijä
n	cds	no	saivartelija
n	cds	no	nössö
n	an	no	konna
n	ps	yes	puoli-kastiin
n	cds	no	kiihkoilija
n	an	no	pip-kitistä
a	pa	yes	pikkumainen
n	svp	no	penninvenyttäjä
n	ddp	yes	huiputtaa
n	or	no	kusipää
n	an	no	epäpätevä henkilö
n	cds	no	mäntti
n	om	no	nance
n	ps	yes	turmelija
n	qas	no	sovinnainen
n	dmc	yes	libertinistit
a	dmc	yes	nuhruinen
n	cds	no	muss
n	an	no	kelmi
n	dmc	yes	paskiainen
n	pr	no	nautinnonantaja
n	an	no	aisuri
n	svp	no	korkea-kätisyys
n	svp	no	koppavuus
n	cds	no	tattletale
n	cds	no	sutenööri
n	cds	no	nosy-parker
n	dmc	yes	hylkiö
n	asm	no	runkkari
n	cds	no	demagogi
n	ps	yes	raakalainen
v	qas	no	kohdella pirullisesti
a	qas	no	imelä
n	re	no	kiristystä
a	re	no	pidättämätön
n	cds	no	pollari
n	svp	no	hotkija
n	ddp	yes	pahvipää
n	cds	no	rintamakarkuri
n	dmc	yes	haisunäätä
n	dmc	yes	rotta
n	asm	no	juntti
n	cds	no	rehentelijä
n	dmc	yes	näyttelijä
a	ddp	yes	häijy
n	cds	no	maantie agentti
n	pr	no	säädytön nainen
n	dmc	yes	kapinallinen
n	asf	no	luupää
v	asm	no	huiputtaa
n	cds	no	tietokonenörtti
n	an	no	doodly-kyykky
