pos	category	stereotype	lemma	level
n	cds	no	fascisti	conservative
n	dmc	yes	irtolainen	inclusive
n	cds	no	seurustella-mankeli	inclusive
n	asf	no	häpykarvoitus	inclusive
n	an	no	animalculum	inclusive
n	an	no	nilviäiset	inclusive
n	cds	no	pilferer	conservative
n	asm	no	kala	inclusive
n	ddp	yes	nuija	conservative
n	svp	no	joutilas	conservative
n	dmc	yes	tekohurskaus	conservative
n	cds	no	etana	conservative
n	om	no	sodomist	inclusive
n	cds	no	hidastaa	inclusive
n	cds	no	koronkiskonta	conservative
n	ddp	yes	persereikä	conservative
n	cds	no	jäte	conservative
n	an	no	krokotiilin	inclusive
n	cds	no	haksahdus	inclusive
n	cds	no	runkkaus	conservative
n	cds	no	gossipmonger	conservative
n	an	no	vuohenmaito	inclusive
n	an	no	punkero	conservative
n	dmc	yes	käpykaartilainen	conservative
n	qas	no	välittäjä	inclusive
n	dmc	yes	petkuttaja	conservative
n	qas	no	verikoira	inclusive
n	asm	no	palli	inclusive
n	cds	no	nenäkkyys	inclusive
n	cds	no	strikebreakers	inclusive
n	dmc	yes	alennustila	inclusive
n	ddp	yes	tyhmyys	conservative
n	qas	no	ahdinko	inclusive
n	dmc	yes	moraalittomuus	inclusive
n	cds	no	idolatria	inclusive
n	ps	yes	vandaali	conservative
n	cds	no	rintalapsi	inclusive
n	an	no	mikrobi	inclusive
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	cds	no	autorämä	inclusive
n	an	no	nynny	conservative
a	dmc	yes	elosteleva	conservative
n	dmc	yes	lainsuojaton	inclusive
n	cds	no	kosla	inclusive
a	re	no	kiihkeä	conservative
n	cds	no	idiotia	inclusive
n	svp	no	jano	inclusive
n	dmc	yes	vetelehtiä-off	conservative
n	svp	no	raukeus	inclusive
n	qas	no	diletantti	conservative
n	an	no	fauna	inclusive
n	re	no	gangsterismi	inclusive
n	ps	yes	lakupekka	conservative
n	cds	no	keskinkertaisuus	conservative
n	or	no	sativus	inclusive
n	cds	no	kasoista	inclusive
n	re	no	merirosvo	inclusive
n	om	no	perse	inclusive
n	an	no	idänkirkupöllönen	inclusive
n	ps	yes	idiotismi	conservative
n	asf	no	hupsu	conservative
n	cds	no	edustaja	inclusive
n	svp	no	saamattomuus	conservative
n	re	no	rikosta	inclusive
n	an	no	vihaisuus	conservative
n	ddp	yes	tylsämielisyys	conservative
n	qas	no	liikenainen	inclusive
a	cds	no	pöyhkeä	conservative
n	cds	no	friikki	conservative
n	re	no	solvaus	inclusive
n	svp	no	niggardliness	conservative
n	an	no	branta bernicla	inclusive
n	cds	no	petollisuus	inclusive
n	asm	no	pilkkaaja	conservative
n	asm	no	processus	inclusive
n	cds	no	kusipää	conservative
n	cds	no	törkyisyys	inclusive
n	pa	yes	kirjanpitäjät	inclusive
n	dmc	yes	scattergood	inclusive
n	om	no	homofiili	conservative
n	cds	no	nyk	inclusive
n	pr	no	hetaira	inclusive
a	re	no	tyrmäävä	inclusive
n	an	no	lunkhead	conservative
n	an	no	culicidae	inclusive
n	an	no	vuorivuohi	inclusive
n	an	no	typerys	conservative
n	cds	no	ongelmia	conservative
n	an	no	papukaijalintu	inclusive
n	cds	no	marisija	conservative
n	svp	no	viha	inclusive
n	cds	no	emävalhe	conservative
n	pr	no	sonnivasikka	inclusive
n	ddp	yes	idioottimaisuus	inclusive
a	ddp	yes	hullu	inclusive
n	ddp	yes	churl	conservative
n	asf	no	houkka	conservative
n	dmc	yes	kuhnailija	conservative
v	cds	no	juonitella	inclusive
v	qas	no	paikata	inclusive
n	cds	no	ääliö	inclusive
n	ddp	yes	rupusakki	conservative
n	cds	no	mullin turvyness	inclusive
n	svp	no	itserakkaus	conservative
n	an	no	bos taurus	inclusive
n	ps	yes	puoliverinen	conservative
n	ddp	yes	kehitysvammaiset	inclusive
n	asm	no	kahjo	inclusive
n	qas	no	riidankylväjä	conservative
n	asf	no	typerys	conservative
n	an	no	s. domesticus	inclusive
n	cds	no	lainsuojaton	inclusive
n	svp	no	vetelehtiä-off	conservative
a	dmc	yes	ilkeä	conservative
n	re	no	rikoksia	inclusive
n	asm	no	kukonpoika	inclusive
n	cds	no	lowlife	conservative
n	cds	no	neuvottelija	inclusive
n	an	no	ilkiö	conservative
n	an	no	laiskuri	conservative
n	om	no	buggery	inclusive
n	ddp	yes	nenästä vedettävä henkilö	conservative
n	svp	no	dallier	conservative
n	asm	no	lievästi t+	inclusive
n	cds	no	upseeri	inclusive
n	ps	yes	urpo	conservative
n	an	no	animalcule	inclusive
n	cds	no	tarkkanäköisyys	inclusive
n	ddp	yes	henkinen puutos	inclusive
n	an	no	eläimistö	inclusive
n	cds	no	hybris	conservative
n	re	no	hirmuvalta	conservative
n	cds	no	valheellisuus	inclusive
n	asf	no	hippunen	inclusive
n	ddp	yes	järjettömyys	conservative
n	cds	no	tekele	inclusive
n	cds	no	skientismi	inclusive
n	cds	no	kantelupukki	conservative
v	re	no	varastaa	inclusive
a	an	no	aivoton	conservative
n	or	no	valkokaali	inclusive
n	ddp	yes	aivovamma	inclusive
n	asm	no	kalu	conservative
n	cds	no	presumptuousness	conservative
n	re	no	loukkaus	inclusive
a	dmc	yes	teko-	inclusive
n	cds	no	toiletti	inclusive
v	cds	no	jaaritella	inclusive
n	qas	no	palapeli	inclusive
n	cds	no	fasistit	conservative
a	dmc	yes	siveetön	conservative
n	dmc	yes	homunculus	inclusive
n	pr	no	nautinnonantaja	conservative
n	cds	no	varastelu	inclusive
n	or	no	lanttu	inclusive
n	cds	no	orjavouti	inclusive
n	cds	no	wangler	conservative
n	dmc	yes	rappio	inclusive
n	dmc	yes	saasta laukku	conservative
n	cds	no	nymfomania	conservative
n	cds	no	jälkeenjäänyt	inclusive
n	cds	no	motkottaja	conservative
n	cds	no	pelkuruus	conservative
n	an	no	täitä	inclusive
n	dmc	yes	moraali	inclusive
n	svp	no	saaliinhimoisuus	inclusive
n	cds	no	scelus	conservative
a	dmc	yes	katala	conservative
n	qas	no	häirikkö	conservative
n	cds	no	pyhäinjäännöksiä	inclusive
n	cds	no	varas	conservative
n	cds	no	mielistelijä	conservative
n	ddf	yes	vammainen	inclusive
n	asm	no	fava-papu	inclusive
n	re	no	väärinkäytös	inclusive
n	ddp	yes	soopa	inclusive
n	dmc	yes	petosta	conservative
n	an	no	pummi	conservative
n	ddp	yes	knucklehead	conservative
n	cds	no	apina	inclusive
n	qas	no	vaatimustenmukaisuuden	inclusive
n	qas	no	markkinoiden pitäjä	inclusive
n	cds	no	käytännön jokeri	conservative
n	ddp	yes	vanki	inclusive
n	qas	no	loinen	inclusive
n	cds	no	estäminen	inclusive
n	cds	no	petoksentekijöiden	inclusive
n	an	no	kesyaasi	inclusive
n	cds	no	rikollinen	inclusive
a	is	yes	saita	conservative
n	ddp	yes	mielettömyys	inclusive
n	qas	no	siivelläeläjä	conservative
n	qas	no	sekoitus	inclusive
n	cds	no	viisastelu	inclusive
n	svp	no	ahmiminen	inclusive
n	cds	no	yhdyskuntajäte	inclusive
n	an	no	tomfool	conservative
n	an	no	mauttomuus	conservative
n	an	no	julmuus	inclusive
n	cds	no	rahanvaihtajille	conservative
n	svp	no	välinpitämättömyys	inclusive
n	cds	no	naispoliisi	inclusive
n	ps	yes	mongoloid	conservative
n	dmc	yes	bumbler	conservative
n	asm	no	kulkunen	inclusive
n	cds	no	nyyhky	conservative
n	or	no	säntillisyys	inclusive
n	an	no	despoiler	inclusive
v	cds	no	lakastua	inclusive
n	pr	no	hovimies	inclusive
n	cds	no	fabricator	conservative
n	cds	no	valehtelu	conservative
n	dmc	yes	salaamista	conservative
n	dmc	yes	vaahtosammutin	conservative
v	qas	no	hässiä	conservative
a	cds	no	viisas	inclusive
n	or	no	twats	conservative
n	ps	yes	ääliö	conservative
n	ps	yes	puoli-kastiin	conservative
n	ps	yes	tomppeli	conservative
n	cds	no	isottelu	inclusive
n	an	no	sikoja kotieläiminä	inclusive
n	dmc	yes	petoksentekijöiden	conservative
n	asm	no	stondis	inclusive
n	svp	no	aboulia	inclusive
n	ddp	yes	harkitsemattomuus	inclusive
n	cds	no	egotismi	conservative
a	ddf	yes	vakava	inclusive
n	qas	no	kivekset	inclusive
n	ddp	yes	tolvana	conservative
n	re	no	henkirikokset	inclusive
n	asf	no	twats	conservative
n	cds	no	superbia	conservative
n	cds	no	poltroon	conservative
a	ddp	yes	pienipäinen	inclusive
n	svp	no	gorger	conservative
v	asm	no	pilkata	conservative
n	cds	no	kakara	inclusive
n	or	no	kurkku	inclusive
n	om	no	vatsa	inclusive
n	is	yes	ihmisraukka	inclusive
n	cds	no	irtolainen	conservative
n	cds	no	rahvas	inclusive
n	cds	no	rahalainaamot	conservative
n	cds	no	haughtiness	conservative
n	re	no	italian mafian	conservative
n	an	no	kesysika	inclusive
n	an	no	kine	inclusive
n	ps	yes	bulgaria	inclusive
n	cds	no	hybridieläin	inclusive
n	an	no	toukat	inclusive
n	dmc	yes	sluibari	conservative
n	qas	no	kätyri	inclusive
n	ddp	yes	vähä-älyinen	conservative
n	cds	no	x-rotuinen	inclusive
n	ps	yes	nahkahousu	conservative
n	cds	no	fawner	conservative
n	an	no	nenästä vedettävä henkilö	conservative
n	asf	no	toope	conservative
a	qas	no	hillitön	inclusive
n	re	no	kuolemantuska	inclusive
n	re	no	synti	inclusive
n	dmc	yes	kelmi	conservative
n	ddp	yes	typerä	conservative
n	om	no	proksimaalinen	inclusive
n	om	no	shirtlifter	inclusive
n	cds	no	arvoitus	conservative
n	cds	no	pikkuvalhe	conservative
n	cds	no	vanginvartija	inclusive
a	qas	no	banaali	conservative
n	qas	no	liisteri	inclusive
n	pa	yes	tiedeyhteisön	inclusive
n	asm	no	hyväuskoisuus	conservative
n	re	no	mafia	conservative
n	asm	no	lisäke	inclusive
a	dmc	yes	roistomainen	conservative
n	cds	no	poropeukalo	conservative
n	re	no	petoksentekijöiden	inclusive
n	pr	no	huorittelu	conservative
n	or	no	pahvipää	conservative
n	ddp	yes	brutaalius	inclusive
n	asm	no	linea lateralis	inclusive
n	dmc	yes	ilveilijä	inclusive
n	asm	no	tyhmä	inclusive
n	cds	no	väki	inclusive
a	svp	no	toimeton	conservative
n	cds	no	pikkusielu	conservative
n	an	no	hienostumattomuus	conservative
n	cds	no	julkisiin tiloihin	inclusive
n	cds	no	veijarimaisuus	inclusive
n	dmc	yes	riiviö	conservative
n	ddp	yes	persreikä	conservative
n	ps	yes	hybridieläin	inclusive
n	asm	no	muhinointi	conservative
n	asm	no	haarake	inclusive
n	om	no	hintti	conservative
n	an	no	brant	inclusive
n	asm	no	pöljä	inclusive
n	an	no	viikari	conservative
n	cds	no	mäntti	conservative
v	cds	no	lärpättää	inclusive
n	dmc	yes	maleksija	conservative
n	ddp	yes	hupsu	conservative
n	or	no	kupoli	inclusive
n	an	no	huijari	conservative
n	re	no	murhaaja	inclusive
n	an	no	sonni	inclusive
n	ddp	yes	petturi	conservative
n	om	no	homophile	conservative
a	pa	yes	pikkumainen	conservative
n	om	no	homoseksualisti	inclusive
n	cds	no	vapaa muurari	inclusive
n	cds	no	oveluuden	conservative
n	cds	no	koronkiskonta	inclusive
n	cds	no	kahjo	inclusive
n	cds	no	prelaatti	inclusive
n	cds	no	koronkiskoja	conservative
n	svp	no	spiritlessness	inclusive
n	asm	no	vicia faba	inclusive
n	qas	no	munaus	inclusive
n	pr	no	sonni	inclusive
n	dmc	yes	ihmisraukka	inclusive
n	dmc	yes	libertinistit	conservative
n	an	no	sukupuoliyhdyntä eläimen kanssa	conservative
n	qas	no	lauma	inclusive
n	ddp	yes	älykääpiö	conservative
n	dmc	yes	kiihkoilua	conservative
