id	pos	category	stereotype	lemma	level
FI3972	n	re	no	kiduttaminen	inclusive
FI2478	n	cds	no	opetetaan	inclusive
FI2306	n	ps	yes	juutalainen	inclusive
FI2234	n	cds	no	varastaminen	inclusive
FI2710	n	svp	no	slackers	conservative
FI2940	n	ps	yes	mestizo	conservative
FI1170	n	an	no	moukkamaisuus	conservative
FI758	n	cds	no	kömmähdys	inclusive
FI414	n	pa	yes	barbaarinen	conservative
FI2694	n	cds	no	pesuhuone	inclusive
FI1372	n	qas	no	roskaa	inclusive
FI1189	n	qas	no	pulma	inclusive
FI793	n	ps	yes	kömpelys	conservative
FI3720	n	qas	no	koukeroisuus	inclusive
FI1638	n	an	no	diddley	conservative
FI26	n	svp	no	apaattinen	inclusive
FI514	n	pr	no	ilotyttö	inclusive
FI545	n	pr	no	rentboy	conservative
FI1965	n	asm	no	pterygium posterius	inclusive
FI2919	n	qas	no	puhetaito	inclusive
FI2268	n	pr	no	huora-sanan käyttö	inclusive
FI336	n	om	no	ass	inclusive
FI1019	n	dmc	yes	hylkytavara qualifier	inclusive
FI3035	n	cds	no	narsismi	inclusive
FI3699	a	dmc	yes	epäsiisti	inclusive
FI1935	n	cds	no	fasisti	conservative
FI2376	n	cds	no	viisujen laulaja	inclusive
FI1835	n	asm	no	kovaa on	inclusive
FI3565	a	cds	no	mairea	conservative
FI75	n	pa	yes	akateemikko	inclusive
FI3249	n	qas	no	cadger	conservative
FI1874	n	is	yes	parka	inclusive
FI3696	a	qas	no	harrastelijamainen	conservative
FI1901	n	svp	no	faineance	inclusive
FI302	n	an	no	narri	conservative
FI2543	a	is	yes	surullinen	inclusive
FI354	n	svp	no	saituus	conservative
FI1344	v	cds	no	sopottaa	inclusive
FI1043	n	ddp	yes	debiili	conservative
FI226	n	ddp	yes	infauna	inclusive
FI1906	n	cds	no	perheen	inclusive
FI1372	n	cds	no	roskaa	conservative
FI3287	v	cds	no	käyttää liikaa	inclusive
FI386	n	asm	no	paskaa	inclusive
FI3627	n	pr	no	palturi	conservative
FI919	n	cds	no	git	conservative
FI4096	n	re	no	kiihkeys	inclusive
FI910	n	svp	no	hauteur	conservative
FI2579	n	cds	no	backtalk	inclusive
