pos	category	stereotype	lemma	level
n	an	no	phryne	inclusive
n	om	no	hop	conservative
n	ddf	yes	handicap	inclusive
n	qas	no	grandiosité	inclusive
a	dmc	yes	infâme	conservative
a	asm	no	brunâtre	inclusive
n	om	no	homosexuels	inclusive
n	an	no	lampiste	conservative
n	or	no	andouille	conservative
a	qas	no	pauvre	conservative
n	dmc	yes	dilly-dallier	conservative
n	cds	no	nazi	conservative
n	cds	no	pote	inclusive
n	an	no	lapereau	inclusive
n	svp	no	tṛṣna	inclusive
a	dmc	yes	frauduleux	conservative
n	cds	no	francs-maçons	inclusive
n	an	no	squale	inclusive
n	pa	yes	pyronia tithonus	inclusive
n	an	no	poule	conservative
n	svp	no	futilité	conservative
n	an	no	animalculum	inclusive
n	pr	no	nana	inclusive
n	an	no	culex pipiens	inclusive
n	cds	no	malfrat	conservative
a	cds	no	arrogante	conservative
n	dmc	yes	menteur	conservative
n	dmc	yes	interdire	inclusive
a	cds	no	incivil	conservative
n	an	no	talon	conservative
n	om	no	pénétration anale	inclusive
n	re	no	agresser	inclusive
n	cds	no	mess-up	inclusive
a	cds	no	stupide	conservative
n	svp	no	vantardise	conservative
n	cds	no	scads	inclusive
n	an	no	coquin	conservative
n	ddp	yes	twirp	conservative
n	om	no	homosexualite	inclusive
n	cds	no	volume	inclusive
n	an	no	aries	inclusive
n	cds	no	rustler	inclusive
a	cds	no	pauvre	conservative
v	re	no	entourloupe	inclusive
n	re	no	dénigrement	conservative
n	an	no	rana rubeta	inclusive
n	om	no	bougrerie	inclusive
n	cds	no	sigisbée	inclusive
n	cds	no	fausse idole	inclusive
n	pa	yes	barbare	conservative
n	re	no	hold-up	inclusive
n	dmc	yes	falsification	inclusive
n	pr	no	heterocera	inclusive
n	ddp	yes	déficience intellectuelle	inclusive
n	ps	yes	melanoderme	inclusive
n	or	no	connichon	conservative
n	is	yes	lésineur	conservative
n	pa	yes	sauvage	conservative
n	qas	no	starlette	inclusive
n	pa	yes	bâtard	conservative
n	cds	no	scores	inclusive
n	pa	yes	rustaud	conservative
n	or	no	sativus	inclusive
n	an	no	mouilek	inclusive
a	re	no	rouge	conservative
n	an	no	gouffre	inclusive
n	an	no	prostitué	conservative
n	re	no	bandit	inclusive
n	ps	yes	haltère	conservative
n	ddp	yes	bêta	inclusive
n	asm	no	aviaire	inclusive
n	is	yes	mendiant	conservative
a	ddf	yes	mal-voyante	inclusive
n	qas	no	resquilleur	conservative
n	cds	no	bellâtre	inclusive
n	cds	no	masse	inclusive
n	cds	no	theorie du complot	inclusive
n	an	no	face	inclusive
n	cds	no	hors-la-loi	conservative
n	pa	yes	poissonnier	inclusive
n	cds	no	schoolma'am	conservative
n	pr	no	maîtresse	conservative
n	cds	no	canalisation	inclusive
n	cds	no	beaucoup	inclusive
n	cds	no	retard	inclusive
a	cds	no	égocentriste	conservative
n	qas	no	abattage	conservative
n	an	no	branta bernicla	inclusive
n	qas	no	bêtisier	inclusive
n	cds	no	demi-pinte	conservative
n	qas	no	rhéteur	inclusive
n	dmc	yes	scattergood	inclusive
n	ps	yes	sauvage	inclusive
n	or	no	connerie	conservative
n	an	no	ampoule de lorenzini	inclusive
n	asm	no	couillon	conservative
n	ps	yes	hébreu	inclusive
n	cds	no	réactionnaires	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	svp	no	lasciveté	inclusive
n	cds	no	mystificateur	conservative
n	cds	no	bungle	inclusive
n	om	no	uraniste	inclusive
n	asm	no	buse	conservative
n	or	no	muttonheads	conservative
n	dmc	yes	fripouille	conservative
n	ps	yes	manouche	conservative
a	is	yes	étroit	conservative
n	cds	no	bosser	conservative
n	cds	no	extrémiste religieux	inclusive
a	svp	no	altier	conservative
n	dmc	yes	sans-abri	inclusive
n	qas	no	incapable	conservative
n	an	no	aurochs	inclusive
n	svp	no	abattement	conservative
n	svp	no	aboulie	inclusive
n	svp	no	lascive	inclusive
n	an	no	bos taurus	inclusive
n	om	no	séant	inclusive
n	om	no	ventrolatérale	inclusive
n	ps	yes	condition noire	inclusive
n	or	no	cancre	conservative
n	re	no	valet	conservative
n	svp	no	lésineur	conservative
n	qas	no	idéologie	inclusive
a	cds	no	vénal	conservative
n	asm	no	fada	conservative
n	qas	no	trou	inclusive
n	cds	no	meute	conservative
n	re	no	chantage	conservative
n	re	no	butin	inclusive
n	cds	no	claniques	inclusive
n	asm	no	couilles	inclusive
n	cds	no	ultraconservateur	conservative
n	an	no	limacidé	inclusive
n	pr	no	mus decumanus	inclusive
n	dmc	yes	gredin	conservative
n	is	yes	méchant	conservative
n	cds	no	cancan	inclusive
n	svp	no	lenteur	inclusive
n	qas	no	caste	inclusive
n	qas	no	bousilleur	conservative
n	cds	no	maison de tolérance	inclusive
n	om	no	ventrale	inclusive
n	cds	no	badaude	conservative
n	cds	no	hybris	conservative
n	re	no	voleur	conservative
n	ps	yes	judaïsme	inclusive
n	om	no	tarlouze	inclusive
n	ddp	yes	fou	conservative
n	dmc	yes	mozarelle	inclusive
n	ddp	yes	haltère	conservative
n	svp	no	grigou	inclusive
n	cds	no	wimps	conservative
n	re	no	hors la loi	inclusive
n	cds	no	fou	conservative
n	cds	no	usuriers	inclusive
a	is	yes	misérable	conservative
n	svp	no	soif de richesse	inclusive
n	cds	no	ostentation	conservative
a	is	yes	avaricieux	conservative
n	cds	no	charlatan	conservative
n	re	no	force	inclusive
a	ddf	yes	abject	conservative
n	svp	no	indifférence	inclusive
n	an	no	vaches	inclusive
n	an	no	mollusque	inclusive
n	dmc	yes	moralement	inclusive
n	an	no	hirudinées	inclusive
n	ps	yes	monohybrides	inclusive
a	dmc	yes	puant	conservative
n	cds	no	ravisseur	conservative
n	qas	no	tabi'in	inclusive
n	cds	no	enseignants	inclusive
n	asm	no	pénis	conservative
n	asf	no	fille	conservative
n	svp	no	faignant	inclusive
n	ps	yes	pelle	conservative
a	svp	no	hargneux	conservative
n	is	yes	avaricieux	conservative
n	ddp	yes	knucklehead	conservative
n	asm	no	bollocks	inclusive
n	qas	no	jument nid	inclusive
n	re	no	calomnie	inclusive
n	cds	no	démarcheur	inclusive
n	dmc	yes	sauvage	conservative
n	is	yes	moi	conservative
n	cds	no	eaux d'égout	inclusive
n	rci	yes	brute	conservative
a	svp	no	rapace	inclusive
n	cds	no	courtiers	inclusive
n	cds	no	franc-maconnerie	inclusive
n	cds	no	fraudeur	inclusive
a	ps	yes	nègre	inclusive
n	an	no	crapauds	inclusive
n	or	no	con	conservative
n	asm	no	cruche	conservative
n	cds	no	fourberie	conservative
n	qas	no	tourbillon	inclusive
n	asm	no	conne	conservative
n	an	no	pourceaux	inclusive
n	ddp	yes	tête boudin	conservative
n	om	no	sexualité anale	inclusive
a	om	no	différent	inclusive
v	cds	no	contenter	inclusive
a	an	no	radin	conservative
n	dmc	yes	vaurien	conservative
n	pa	yes	caporaux	inclusive
a	cds	no	retors	conservative
n	qas	no	bourde	inclusive
n	an	no	euryptéridés	inclusive
a	ddp	yes	crédule	conservative
n	ps	yes	crétin	conservative
a	dmc	yes	fatal	conservative
n	an	no	biquette	inclusive
n	an	no	poulets	inclusive
n	cds	no	console	conservative
n	an	no	phtiraptères	inclusive
n	ddp	yes	lesion cerebrale	inclusive
n	an	no	chienchien	inclusive
n	svp	no	lubricité	inclusive
n	is	yes	have-not	inclusive
n	an	no	roulure	conservative
a	ddp	yes	imbécile	conservative
