id	pos	category	stereotype	lemma	level
FR1010	n	an	no	cakehole	inclusive
FR2762	n	ps	yes	mongole	inclusive
FR3349	n	cds	no	ragots	inclusive
FR1078	n	cds	no	poulet	inclusive
FR1210	n	asm	no	p	conservative
FR1727	n	dmc	yes	dissimulateur	conservative
FR748	n	pa	yes	entrepreneur	inclusive
FR839	n	an	no	bétail	inclusive
FR276	n	or	no	fada	conservative
FR1511	n	ps	yes	interfertilité	inclusive
FR3702	a	re	no	dur	inclusive
FR1935	n	cds	no	kinfolk	inclusive
FR1770	n	om	no	rétroversion	inclusive
FR1940	n	qas	no	divulgation	inclusive
FR1100	n	cds	no	joue	conservative
FR4026	n	an	no	latasteopara	inclusive
FR653	n	ddp	yes	voyou	conservative
FR3984	n	dmc	yes	vagabonder	inclusive
FR539	n	pr	no	pute	conservative
FR3307	a	qas	no	démonstratif	conservative
FR779	n	cds	no	trique	inclusive
FR1423	n	an	no	chinch	inclusive
FR2552	n	cds	no	pompeux	inclusive
FR1605	n	dmc	yes	imposture	conservative
FR289	n	ddp	yes	enfoiré	conservative
FR616	n	cds	no	relation	conservative
FR2090	n	cds	no	fondamentaliste	inclusive
FR2999	n	ddp	yes	inintelligence	conservative
FR550	n	an	no	garce	conservative
FR1311	n	cds	no	conspiration du silence	inclusive
FR521	n	asm	no	dadais	conservative
FR1157	n	cds	no	unités japonaises de mesure	inclusive
FR550	n	an	no	garce	inclusive
FR3167	n	ddp	yes	twaddler	conservative
FR3007	n	pa	yes	pasteur	inclusive
FR30	n	qas	no	acolytat	inclusive
FR3602	a	dmc	yes	sale	inclusive
FR1737	n	om	no	dorso-ventrale	inclusive
FR217	n	an	no	bête	conservative
FR2113	n	cds	no	tricheur	conservative
FR2745	n	cds	no	lav	inclusive
FR127	n	svp	no	fainéant	conservative
FR3766	a	ddp	yes	obtus	conservative
FR1745	n	om	no	fouindé	inclusive
FR2869	n	qas	no	endoparasites	inclusive
FR974	n	cds	no	ne rien faire	conservative
FR685	n	cds	no	rapporteur	conservative
FR1911	a	cds	no	pauvre	conservative
FR2640	n	re	no	malversation	inclusive
FR1145	n	ps	yes	comitatif	inclusive
FR1115	n	cds	no	camorriste	inclusive
FR3381	a	an	no	pouilleux	inclusive
FR1413	n	an	no	cimicidae	inclusive
FR217	n	ps	yes	bête	conservative
FR444	n	qas	no	négociant	inclusive
FR1473	n	asm	no	jerk-off	conservative
FR1896	n	dmc	yes	moralement	inclusive
FR2017	n	dmc	yes	falsification	inclusive
FR3206	n	cds	no	lapsus	inclusive
FR31	n	qas	no	acolytes	inclusive
FR1837	n	ddf	yes	naine	conservative
FR419	n	qas	no	sauvage	conservative
FR1141	n	om	no	pédéraste	inclusive
FR1177	n	an	no	chèvre	inclusive
FR2106	n	svp	no	futilité	conservative
FR537	n	pr	no	catin	inclusive
FR2929	n	cds	no	propagandiste	inclusive
FR633	n	cds	no	bigoterie	conservative
FR835	n	an	no	bœufs	inclusive
FR2925	n	svp	no	fierté	inclusive
FR797	n	dmc	yes	bousilleur	conservative
FR1089	n	pr	no	rosse	conservative
