id	pos	category	stereotype	lemma	level
GA893	n	cds	no	coireanna	inclusive
GA958	n	om	no	dorsolateral	inclusive
GA1399	n	cds	no	pomposity	inclusive
GA805	n	cds	no	bhiteicneolaíocht plandaí	inclusive
GA770	n	an	no	vamper	conservative
GA157	n	an	no	miser	conservative
GA884	n	ps	yes	doofus	conservative
GA1719	n	cds	no	narcism	inclusive
GA310	n	cds	no	gang	inclusive
GA584	n	dmc	yes	grifter	conservative
GA619	n	an	no	gabhair	inclusive
GA887	n	re	no	coirpigh	inclusive
GA316	n	an	no	bradacha	conservative
GA1209	n	cds	no	looker ar	conservative
GA1628	n	svp	no	pridefulness	inclusive
GA163	n	cds	no	spóirt teach	inclusive
GA1684	n	pa	yes	sheepherders	inclusive
GA324	n	dmc	yes	meirleachas	inclusive
GA869	n	an	no	simpleton	conservative
GA229	n	qas	no	baroqueness	inclusive
GA175	n	svp	no	niggard	conservative
GA321	n	cds	no	banditti	conservative
GA1564	n	cds	no	mafia	conservative
GA1694	n	an	no	mollusk	inclusive
GA1848	n	or	no	prátaí	inclusive
GA101	n	an	no	fána	inclusive
GA64	n	cds	no	cleas	inclusive
GA181	n	qas	no	magairlí	inclusive
GA528	n	cds	no	traein bagáiste	inclusive
GA2014	n	an	no	hirudinea	inclusive
GA2097	n	an	no	caimans	inclusive
GA28	n	pa	yes	academe	inclusive
GA882	n	asm	no	nitwit	conservative
GA2121	n	om	no	crossdresser	inclusive
GA938	n	om	no	proximal	inclusive
GA1445	n	cds	no	sharking iasacht	inclusive
GA99	n	an	no	ainmhithe	inclusive
GA190	a	svp	no	gabhálach	conservative
GA567	n	cds	no	brusaireacht	conservative
GA2152	n	cds	no	theorist comhcheilg	inclusive
GA867	n	pr	no	concubine	inclusive
GA1014	n	cds	no	oideachasóir	inclusive
GA581	n	dmc	yes	defrauder	conservative
GA695	n	asm	no	píosa eireaball	conservative
GA1599	n	qas	no	parishioner	inclusive
GA571	n	re	no	backbiter	conservative
GA892	n	re	no	coir	inclusive
GA1115	n	pa	yes	fishwife	inclusive
GA119	n	ddp	yes	fathead	conservative
GA1008	n	an	no	cnádaí	conservative
GA245	n	cds	no	stupe	conservative
GA346	n	qas	no	magnate	inclusive
GA1826	n	qas	no	scrounger	conservative
GA2113	n	pa	yes	bán-collar oibrithe	inclusive
GA96	n	ddp	yes	macrofauna	inclusive
GA601	n	om	no	péidearastach	conservative
GA572	n	re	no	vilifier	conservative
GA1140	n	an	no	bhreall	inclusive
GA351	n	qas	no	industrialist	inclusive
GA141	n	an	no	asal	inclusive
GA1556	n	cds	no	oifigeach	inclusive
GA516	a	ddf	yes	olc	inclusive
GA524	n	cds	no	clique	inclusive
GA1815	n	dmc	yes	buffoon	inclusive
GA1880	n	an	no	cootie	inclusive
GA925	n	svp	no	disgust	inclusive
GA382	n	cds	no	marbh-deireadh sráide	inclusive
GA1428	n	dmc	yes	prevaricator	inclusive
GA1984	n	qas	no	grandiloquence	inclusive
GA239	n	asf	no	chump	conservative
GA974	n	svp	no	gourmand	conservative
